# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.857114476586e-10       7.737446480450e-15       5.610485247852e-13       4.752346483997e-15       8.434843030905e-09       4.650102726306e-10      -2.059107313039e-12 
    3       2.437096273478e-10       1.003105517290e-14       4.521822486520e-13       4.790955156336e-15       5.183090782101e-09       3.304255169823e-10      -1.650908530063e-12 
    4       2.247965706039e-10       9.612271798564e-15       3.866733547747e-13       4.171212687916e-15       3.609136249632e-09       2.505697247287e-10      -1.174319619456e-12 
    5       2.142296191985e-10       7.427283097270e-15       3.236696916218e-13       3.271594139966e-15       2.696616102662e-09       1.980981575553e-10      -7.483515697515e-13 
    6       2.073000532927e-10       4.893510007959e-15       2.614216550221e-13       2.377695519973e-15       2.107731430411e-09       1.612763254469e-10      -4.084515717126e-13 
    7       2.027598252680e-10       2.940735104928e-15       2.052903351590e-13       1.647163714659e-15       1.701023100645e-09       1.342366155340e-10      -1.633765769846e-13 
    8       1.998334796306e-10       1.814850101881e-15       1.587590213900e-13       1.133319555531e-15       1.405823501621e-09       1.136947604107e-10      -7.083194977611e-15 
    9       1.980218790278e-10       1.328698553841e-15       1.234554330290e-13       8.246846868522e-16       1.183386922228e-09       9.767517814294e-11       7.491110018909e-14 
   10       1.969699371580e-10       1.183963347438e-15       9.938147405575e-14       6.802389346770e-16       1.011177578820e-09       8.493047948576e-11       1.012922876782e-13 
   11       1.964893917866e-10       1.167928061152e-15       8.522241383195e-14       6.521964218757e-16       8.495940716417e-10       7.493690402605e-11       9.150645710265e-14 
   12       1.964208238090e-10       1.193133029179e-15       7.880659684140e-14       6.991933649535e-16       7.423419932832e-10       6.628207819629e-11       6.295212658785e-14 
   13       1.966485495559e-10       1.249859500387e-15       7.767159178548e-14       7.903600075942e-16       6.543031642699e-10       5.921884292133e-11       2.934729028705e-14 
   14       1.970731417674e-10       1.346931307735e-15       7.956741703900e-14       9.061192124267e-16       5.810556008920e-10       5.306335957594e-11      -7.091610431149e-16 
   15       1.976927397171e-10       1.483940133870e-15       8.272285830769e-14       1.034880214500e-15       5.194023897331e-10       4.789922208003e-11      -2.197704750527e-14 
   16       1.984632101347e-10       1.650385552783e-15       8.583893195109e-14       1.171204956299e-15       4.669843909475e-10       4.349071719004e-11      -3.322893458270e-14 
   17       1.993273588361e-10       1.836973657463e-15       8.821234894557e-14       1.312771224392e-15       4.220198691543e-10       3.966410823579e-11      -3.568945821751e-14 
   18       2.002623766465e-10       2.041758749864e-15       8.977669344123e-14       1.458688153687e-15       3.829926635159e-10       3.627113616524e-11      -3.210465984158e-14 
   19       2.012962803045e-10       2.268583826700e-15       9.064414768991e-14       1.608727158044e-15       3.492863120892e-10       3.328736608506e-11      -2.504754352560e-14 
   20       2.023705042627e-10       2.522441041810e-15       9.098943168785e-14       1.762911558000e-15       3.195990784093e-10       3.065765206092e-11      -1.747581877359e-14 
   21       2.035060024289e-10       2.805155132118e-15       9.108578659234e-14       1.921106967257e-15       2.934647919813e-10       2.833862093690e-11      -1.100182926413e-14 
   22       2.046906123685e-10       3.116808398744e-15       9.121786341893e-14       2.083200316448e-15       2.702591859961e-10       2.625266937871e-11      -6.759042367334e-15 
   23       2.059237716031e-10       3.456205984821e-15       9.137899133342e-14       2.249096630255e-15       2.496632998931e-10       2.437116379211e-11      -4.946813556918e-15 
   24       2.071731482872e-10       3.821492454734e-15       9.141929866711e-14       2.418739459263e-15       2.312008230883e-10       2.266234981312e-11      -5.268681435989e-15 
   25       2.084617405097e-10       4.212663665000e-15       9.113367587016e-14       2.591968794671e-15       2.146547492651e-10       2.112966138164e-11      -7.038986101305e-15 
   26       2.097974738219e-10       4.630168777072e-15       9.025327939346e-14       2.768595787201e-15       1.997258443791e-10       1.976814450684e-11      -9.326046716698e-15 
   27       2.111654285562e-10       5.074392675303e-15       8.849703075666e-14       2.948355910562e-15       1.862350456523e-10       1.854431536731e-11      -1.144272312390e-14 
   28       2.125281648102e-10       5.545719195970e-15       8.558563872459e-14       3.130972442935e-15       1.739497261408e-10       1.740970721483e-11      -1.279775946866e-14 
   29       2.139033582183e-10       6.045009930687e-15       8.143212523634e-14       3.316220069610e-15       1.628071824605e-10       1.636153892659e-11      -1.330727256396e-14 
   30       2.153054745287e-10       6.573301352015e-15       7.601871130084e-14       3.503902327112e-15       1.526878176358e-10       1.540360409584e-11      -1.308135358314e-14 
   31       2.167294208048e-10       7.131664441291e-15       6.934350964263e-14       3.693828009086e-15       1.433852676756e-10       1.453113660135e-11      -1.229206617570e-14 
   32       2.181825397892e-10       7.721150214919e-15       6.141113693061e-14       3.885759339076e-15       1.348515320147e-10       1.373607092626e-11      -1.116017558370e-14 
   33       2.196595984609e-10       8.342826261124e-15       5.224081148068e-14       4.079444786694e-15       1.270262964583e-10       1.300196246747e-11      -9.973142341231e-15 
   34       2.211429809521e-10       8.997725172765e-15       4.186378166347e-14       4.274630156777e-15       1.198000879074e-10       1.230875125813e-11      -9.023417286261e-15 
   35       2.226415540170e-10       9.686612984518e-15       3.030163283161e-14       4.471051037450e-15       1.131359525438e-10       1.165756455671e-11      -8.362775624552e-15 
   36       2.241622418038e-10       1.041013316428e-14       1.758169398088e-14       4.668437233505e-15       1.069804583249e-10       1.105378343333e-11      -7.962569617233e-15 
   37       2.257030121192e-10       1.116886332526e-14       3.723098438972e-15       4.866524668029e-15       1.012535265800e-10       1.049985467721e-11      -7.778849684159e-15 
   38       2.272693174720e-10       1.196331940786e-14      -1.133275433734e-14       5.065090548901e-15       9.594038308418e-11       9.994051944870e-12      -7.758772825389e-15 
   39       2.288608834546e-10       1.279394372334e-14      -2.767650473058e-14       5.263930217688e-15       9.102418932211e-11       9.530772056868e-12      -7.834053055882e-15 
   40       2.304658298537e-10       1.366109698836e-14      -4.541363441162e-14       5.462848419752e-15       8.645807153509e-11       9.100451671611e-12      -7.917616187164e-15 
   41       2.320680972381e-10       1.456511308261e-14      -6.464471376045e-14       5.661639979380e-15       8.218145647238e-11       8.692478070217e-12      -7.924687241071e-15 
   42       2.336754095122e-10       1.550649759777e-14      -8.539575879796e-14       5.860022990911e-15       7.818177291654e-11       8.305839920005e-12      -7.847354060651e-15 
   43       2.352984710326e-10       1.648578493437e-14      -1.076670598474e-13       6.057684767061e-15       7.444842602863e-11       7.941398409435e-12      -7.702144441212e-15 
   44       2.369426170224e-10       1.750348259570e-14      -1.314517559051e-13       6.254298992279e-15       7.095428213350e-11       7.598852014406e-12      -7.510031975682e-15 
   45       2.386094078272e-10       1.856002371123e-14      -1.567378005721e-13       6.449541411335e-15       6.766536527621e-11       7.277111251412e-12      -7.294849557491e-15 
   46       2.403033124201e-10       1.965561057160e-14      -1.835153469227e-13       6.643144460145e-15       6.457650669131e-11       6.975795775828e-12      -7.077320869516e-15 
   47       2.420260612278e-10       2.079032223039e-14      -2.117710028974e-13       6.834857543938e-15       6.168411328097e-11       6.694012164099e-12      -6.879709000303e-15 
