# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.428819746893e-10       2.662181541039e-15       1.670740275918e-13       4.752087211995e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089155566335e-10       2.820133962582e-15      -8.564495183330e-15       4.790436478325e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.767250223575e-11       2.591460480085e-15      -6.080032285254e-14       4.170347933521e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297036829113e-11       2.074336823820e-15      -7.167270630108e-14       3.270296478637e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.018398486051e-11       1.497479119388e-15      -6.812442059932e-14       2.375877936186e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.842543635775e-11       1.021427558441e-15      -6.044467933734e-14       1.644738992294e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.723637376457e-11       7.119255016416e-16      -5.316483816664e-14       1.130200272338e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.637149205956e-11       5.646274496662e-16      -4.796282207286e-14       8.207832194854e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.568941094453e-11       5.404323909182e-16      -4.518202223956e-14       6.754674742917e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.510743157891e-11       5.945271196343e-16      -4.459796211648e-14       6.464669998527e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.457759028689e-11       6.911335493697e-16      -4.581357131574e-14       6.924178878549e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.407130932131e-11       8.083369028608e-16      -4.844797107846e-14       7.824503000556e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.357083284161e-11       9.350214740421e-16      -5.219752753228e-14       8.969870663409e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.306513786016e-11       1.067591456236e-15      -5.683567798004e-14       1.024437442569e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.254766858486e-11       1.205192193064e-15      -6.220590519998e-14       1.159363447833e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.201474594520e-11       1.348032103536e-15      -6.819979499529e-14       1.299443001130e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.145859235211e-11       1.496514536498e-15      -7.473116868255e-14       1.443785424524e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.089650922581e-11       1.650588884588e-15      -8.175539910236e-14       1.592162363793e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.030925881369e-11       1.810104815458e-15      -8.921775055225e-14       1.744597422019e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.970737798316e-11       1.974802676604e-15      -9.708108140361e-14       1.900956521884e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.908540244005e-11       2.144421982495e-15      -1.053043466070e-13       2.061126936748e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.845078363136e-11       2.318817086812e-15      -1.138567167369e-13       2.225014040420e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.779746127479e-11       2.497926854639e-15      -1.227046762781e-13       2.392561746309e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.713134348238e-11       2.681754960713e-15      -1.318167478639e-13       2.563610391824e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.644912103020e-11       2.870362448077e-15      -1.411594599728e-13       2.737971466083e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.575325355599e-11       3.063797719078e-15      -1.507071425549e-13       2.915380747704e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.503975226871e-11       3.262083682399e-15      -1.604351277680e-13       3.095561791904e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.431646289479e-11       3.465017697219e-15      -1.703203429376e-13       3.278289507452e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.358425403830e-11       3.672297164650e-15      -1.803387737503e-13       3.463367612609e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.283495622006e-11       3.883597322996e-15      -1.904656358663e-13       3.650605041588e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.207376638193e-11       4.098666408741e-15      -2.006798168784e-13       3.839764107620e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.130297570083e-11       4.317262812223e-15      -2.109610963943e-13       4.030593316522e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.051879930497e-11       4.539140226881e-15      -2.212894326444e-13       4.222838461136e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.972456552817e-11       4.764085965945e-15      -2.316463651880e-13       4.416235097084e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.892064870921e-11       4.991895255268e-15      -2.420142032596e-13       4.610512950482e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.810358360282e-11       5.222358108951e-15      -2.523749973633e-13       4.805407832349e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.727761953254e-11       5.455249574303e-15      -2.627080415874e-13       5.000696888760e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.644598317024e-11       5.690335673648e-15      -2.729915940111e-13       5.196175388767e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.560715911680e-11       5.927375464496e-15      -2.832035540299e-13       5.391647969295e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.475722313333e-11       6.166148605519e-15      -2.933254541592e-13       5.586909344351e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.389893240365e-11       6.406549852069e-15      -3.033559770340e-13       5.781677616998e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
