# Matter power spectrum P(k) at redshift z=0
# for k=1.04233e-05 to 105.248 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042334792351e-05       5.068143271307e+01 
       2.327947088441e-05       1.097777830988e+02 
       3.618061400712e-05       1.677693072565e+02 
       4.916135487458e-05       2.253072724804e+02 
       6.225684065053e-05       2.827578319323e+02 
       7.550310027457e-05       3.403927129547e+02 
       8.893736660095e-05       3.984425544439e+02 
       1.025984127507e-04       4.571186450184e+02 
       1.165269069791e-04       5.166240267334e+02 
       1.307657903942e-04       5.771601568205e+02 
       1.453606818687e-04       6.389314998842e+02 
       1.603603144304e-04       7.021490565855e+02 
       1.758170072434e-04       7.670333518532e+02 
       1.917871769312e-04       8.338171458342e+02 
       2.083318913526e-04       9.027480084945e+02 
       2.255174678879e-04       9.740908578380e+02 
       2.434161166688e-04       1.048130487811e+03 
       2.621066267709e-04       1.125174120522e+03 
       2.816750899156e-04       1.205553947592e+03 
       3.022156513866e-04       1.289629636798e+03 
       3.238312712659e-04       1.377790711260e+03 
       3.466344703595e-04       1.470458698723e+03 
       3.707480239226e-04       1.568088894454e+03 
       3.963055522648e-04       1.671171479457e+03 
       4.234519405181e-04       1.780231766731e+03 
       4.523435007881e-04       1.895829201241e+03 
       4.831477698675e-04       2.018554660386e+03 
       5.160428171276e-04       2.149025646513e+03 
       5.512159240810e-04       2.287878813121e+03 
       5.888614951107e-04       2.435759402220e+03 
       6.291780751936e-04       2.593307186706e+03 
       6.723643929264e-04       2.761138804907e+03 
       7.186144222385e-04       2.939826645593e+03 
       7.681115659379e-04       3.129874948279e+03 
       8.210222026281e-04       3.331694317336e+03 
       8.774889883892e-04       3.545576332677e+03 
       9.376244371722e-04       3.771670589067e+03 
       1.001505383120e-03       4.009966496095e+03 
       1.069168920434e-03       4.260282072025e+03 
       1.140610303717e-03       4.522261650068e+03 
       1.215783081830e-03       4.795382909082e+03 
       1.294601467998e-03       5.078973231848e+03 
       1.376944674900e-03       5.372216560328e+03 
       1.462662724477e-03       5.674207401256e+03 
       1.551583119941e-03       5.984004802574e+03 
       1.643517754742e-03       6.300609411943e+03 
       1.738269514186e-03       6.623013996423e+03 
       1.835638165601e-03       6.950227454747e+03 
       1.935425293438e-03       7.281293839128e+03 
       2.037438184152e-03       7.615306832024e+03 
       2.141492682637e-03       7.951419451135e+03 
       2.247415120393e-03       8.288850416648e+03 
       2.355043457876e-03       8.626886027482e+03 
       2.464227797282e-03       8.964880134275e+03 
       2.574830416217e-03       9.302252564797e+03 
       2.686725455633e-03       9.638484755498e+03 
       2.799798373281e-03       9.973117312448e+03 
       2.913945251126e-03       1.030574315508e+04 
       3.029072024094e-03       1.063600628564e+04 
       3.145093679498e-03       1.096359352785e+04 
       3.261933461794e-03       1.128823262374e+04 
       3.379522105808e-03       1.160968562026e+04 
       3.497797112928e-03       1.192774919371e+04 
       3.616702078369e-03       1.224224585051e+04 
       3.736186073112e-03       1.255302496964e+04 
       3.856203081025e-03       1.285995715816e+04 
       3.976711489611e-03       1.316293421668e+04 
       4.097673631590e-03       1.346186757555e+04 
       4.219055373778e-03       1.375667792475e+04 
       4.340825749392e-03       1.404730819583e+04 
       4.462956629864e-03       1.433370510480e+04 
       4.585422432293e-03       1.461583645435e+04 
       4.708199858890e-03       1.489366907048e+04 
       4.831267665017e-03       1.516718757440e+04 
       4.954606452697e-03       1.543638152990e+04 
       5.078198486769e-03       1.570123491944e+04 
       5.202027531123e-03       1.596176872793e+04 
       5.326078702759e-03       1.621797459747e+04 
       5.450338341612e-03       1.646986376814e+04 
       5.574793894350e-03       1.671745403736e+04 
       5.699433810552e-03       1.696075745048e+04 
       5.824247449834e-03       1.719980238956e+04 
       5.949224998696e-03       1.743461793487e+04 
       6.074357395982e-03       1.766525114419e+04 
       6.199636265972e-03       1.789166361686e+04 
       6.325053858273e-03       1.811390525405e+04 
       6.450602993731e-03       1.833203594680e+04 
       6.576277015719e-03       1.854606114623e+04 
       6.702069746201e-03       1.875589643227e+04 
       6.827975446063e-03       1.896182704505e+04 
       6.953988779243e-03       1.916376638289e+04 
       7.080104780267e-03       1.936176086644e+04 
       7.206318824830e-03       1.955583287862e+04 
       7.332626603096e-03       1.974602132449e+04 
       7.459024095449e-03       1.993237911662e+04 
       7.585507550435e-03       2.011493044485e+04 
       7.712073464683e-03       2.029371830663e+04 
       7.838718564596e-03       2.046877970966e+04 
       7.965439789650e-03       2.064015093266e+04 
       8.092234277132e-03       2.080787222235e+04 
       8.219099348184e-03       2.097197761364e+04 
       8.346032495032e-03       2.113250674008e+04 
       8.473031369279e-03       2.128950476820e+04 
       8.600093771166e-03       2.144299572201e+04 
       8.727217639712e-03       2.159303573549e+04 
       8.854401043663e-03       2.173964505499e+04 
       8.981642173147e-03       2.188287153227e+04 
       9.108939332014e-03       2.202275172000e+04 
       9.236290930759e-03       2.215932275979e+04 
       9.363695480008e-03       2.229261714368e+04 
       9.491151584501e-03       2.242268533541e+04 
       9.618657937537e-03       2.254954227732e+04 
       9.746213315838e-03       2.267324034858e+04 
       9.873816574801e-03       2.279379544196e+04 
       1.000146664410e-02       2.291127268479e+04 
       1.012916252361e-02       2.302568806242e+04 
       1.025690327965e-02       2.313707985668e+04 
       1.038468804148e-02       2.324548217477e+04 
       1.051251599802e-02       2.335091748733e+04 
       1.064038639492e-02       2.345344267283e+04 
       1.076829853167e-02       2.355309294101e+04 
       1.089625175907e-02       2.364986418632e+04 
       1.102424547678e-02       2.374383299712e+04 
       1.115227913110e-02       2.383501971651e+04 
       1.128035221285e-02       2.392342520817e+04 
       1.140846425548e-02       2.400912014413e+04 
       1.153661483321e-02       2.409213422550e+04 
       1.166480355939e-02       2.417247125848e+04 
       1.179303008493e-02       2.425019771293e+04 
       1.192129409684e-02       2.432531137365e+04 
       1.204959531687e-02       2.439786480999e+04 
       1.217793350028e-02       2.446787588586e+04 
       1.230630843465e-02       2.453537803101e+04 
       1.243471993881e-02       2.460041103398e+04 
       1.256316786180e-02       2.466299313054e+04 
       1.269165208200e-02       2.472315195450e+04 
       1.282017250617e-02       2.478092621233e+04 
       1.294872906873e-02       2.483634056441e+04 
       1.307732173098e-02       2.488942501186e+04 
       1.320595048039e-02       2.494020591492e+04 
       1.333461533000e-02       2.498871066497e+04 
       1.346331631783e-02       2.503495637907e+04 
       1.359205350632e-02       2.507899655563e+04 
       1.372082698185e-02       2.512085179412e+04 
       1.384963685429e-02       2.516051900340e+04 
       1.397848325658e-02       2.519806486985e+04 
       1.410736634438e-02       2.523348372087e+04 
       1.423628629568e-02       2.526683062530e+04 
       1.436524331057e-02       2.529810822654e+04 
       1.449423761089e-02       2.532736238009e+04 
       1.462326944003e-02       2.535460158849e+04 
       1.475233906274e-02       2.537986426851e+04 
       1.488144676491e-02       2.540316467604e+04 
       1.501059285341e-02       2.542454495293e+04 
       1.513977765601e-02       2.544400915227e+04 
       1.526900152121e-02       2.546157105346e+04 
       1.539826481821e-02       2.547729715819e+04 
       1.552756793685e-02       2.549120082163e+04 
       1.565691128753e-02       2.550327540071e+04 
       1.578629530125e-02       2.551356690321e+04 
       1.591572042960e-02       2.552208459940e+04 
       1.604518714478e-02       2.552889616427e+04 
       1.617469593964e-02       2.553397435314e+04 
       1.630424732780e-02       2.553735538963e+04 
       1.643384184366e-02       2.553907114720e+04 
       1.656348004258e-02       2.553913714197e+04 
       1.669316250094e-02       2.553759909532e+04 
       1.682288981635e-02       2.553444628401e+04 
       1.695266260775e-02       2.552971476741e+04 
       1.708248151561e-02       2.552343873600e+04 
       1.721234720213e-02       2.551561788859e+04 
       1.734226035143e-02       2.550627404351e+04 
       1.747222166984e-02       2.549545719638e+04 
       1.760223188604e-02       2.548317851787e+04 
       1.773229175142e-02       2.546943739027e+04 
       1.786240204031e-02       2.545426546205e+04 
       1.799256355027e-02       2.543771603882e+04 
       1.812277710244e-02       2.541974202450e+04 
       1.825304354184e-02       2.540042489468e+04 
       1.838336373769e-02       2.537977205164e+04 
       1.851373858383e-02       2.535777479135e+04 
       1.864416899905e-02       2.533448343467e+04 
       1.877465592753e-02       2.530991075353e+04 
       1.890520033920e-02       2.528407698503e+04 
       1.903580323020e-02       2.525699162073e+04 
       1.916646562333e-02       2.522868801104e+04 
       1.929718856852e-02       2.519918628589e+04 
       1.942797314329e-02       2.516850183866e+04 
       1.955882045325e-02       2.513665551308e+04 
       1.968973163266e-02       2.510363092151e+04 
       1.982070784492e-02       2.506949266978e+04 
       1.995175028316e-02       2.503428155168e+04 
       2.008286017082e-02       2.499793344565e+04 
       2.021403876221e-02       2.496055112370e+04 
       2.034528734317e-02       2.492208015053e+04 
       2.047660723170e-02       2.488256479512e+04 
       2.060799977858e-02       2.484205648131e+04 
       2.073946636813e-02       2.480052287480e+04 
       2.087100841882e-02       2.475806335529e+04 
       2.100262738408e-02       2.471457853100e+04 
       2.113432475301e-02       2.467019387136e+04 
       2.126610205115e-02       2.462485749262e+04 
       2.139796084130e-02       2.457861941293e+04 
       2.152990272434e-02       2.453143834150e+04 
       2.166192934005e-02       2.448342004890e+04 
       2.179404236805e-02       2.443451637602e+04 
       2.192624352864e-02       2.438479220252e+04 
       2.205853458376e-02       2.433420947635e+04 
       2.219091733799e-02       2.428284159221e+04 
       2.232339363948e-02       2.423067524206e+04 
       2.245596538100e-02       2.417772136637e+04 
       2.258863450100e-02       2.412393144041e+04 
       2.272140298471e-02       2.406946831394e+04 
       2.285427286525e-02       2.401430467680e+04 
       2.298724622477e-02       2.395834798555e+04 
       2.312032519568e-02       2.390173043894e+04 
       2.325351196186e-02       2.384436502044e+04 
       2.338680875994e-02       2.378638556918e+04 
       2.352021788061e-02       2.372768627576e+04 
       2.365374166995e-02       2.366838550594e+04 
       2.378738253088e-02       2.360845948225e+04 
       2.392114292455e-02       2.354792778525e+04 
       2.405502537183e-02       2.348674875662e+04 
       2.418903245488e-02       2.342496263132e+04 
       2.432316681869e-02       2.336265673695e+04 
       2.445743117276e-02       2.329979441754e+04 
       2.459182829274e-02       2.323631181273e+04 
       2.472636102219e-02       2.317237692758e+04 
       2.486103227441e-02       2.310789225800e+04 
       2.499584503424e-02       2.304288761377e+04 
       2.513080236005e-02       2.297738942932e+04 
       2.526590738565e-02       2.291141865569e+04 
       2.540116332239e-02       2.284495189783e+04 
       2.553657346129e-02       2.277805451929e+04 
       2.567214117518e-02       2.271072155654e+04 
       2.580786992099e-02       2.264295448684e+04 
       2.594376324212e-02       2.257474746911e+04 
       2.607982477081e-02       2.250615575967e+04 
       2.621605823070e-02       2.243711632893e+04 
       2.635246743939e-02       2.236772031958e+04 
       2.648905631112e-02       2.229800302271e+04 
       2.662582885959e-02       2.222785127975e+04 
       2.676278920078e-02       2.215736940627e+04 
       2.689994155600e-02       2.208656880712e+04 
       2.703729025491e-02       2.201541239687e+04 
       2.717483973876e-02       2.194395404659e+04 
       2.731259456369e-02       2.187218953225e+04 
       2.745055940418e-02       2.180014468835e+04 
       2.758873905659e-02       2.172772522517e+04 
       2.772713844290e-02       2.165508748285e+04 
       2.786576261450e-02       2.158212456985e+04 
       2.800461675618e-02       2.150896611179e+04 
       2.814370619028e-02       2.143562301559e+04 
       2.828303638097e-02       2.136197410424e+04 
       2.842261293869e-02       2.128808267428e+04 
       2.856244162480e-02       2.121398586804e+04 
       2.870252835638e-02       2.113963453367e+04 
       2.884287921120e-02       2.106512475215e+04 
       2.898350043299e-02       2.099043300492e+04 
       2.912439843674e-02       2.091552718482e+04 
       2.926557981444e-02       2.084042246569e+04 
       2.940705134083e-02       2.076524294430e+04 
       2.954881997956e-02       2.068983338685e+04 
       2.969089288950e-02       2.061426917774e+04 
       2.983327743138e-02       2.053857774573e+04 
       2.997598117466e-02       2.046273710022e+04 
       3.011901190469e-02       2.038678113636e+04 
       3.026237763024e-02       2.031067450768e+04 
       3.040608659130e-02       2.023449666844e+04 
       3.055014726720e-02       2.015815855855e+04 
       3.069456838516e-02       2.008177134659e+04 
       3.083935892915e-02       2.000519144129e+04 
       3.098452814921e-02       1.992868477272e+04 
       3.113008557110e-02       1.985198801075e+04 
       3.127604100649e-02       1.977529348213e+04 
       3.142240456356e-02       1.969840111519e+04 
       3.156918665808e-02       1.962153000192e+04 
       3.171639802508e-02       1.954460032662e+04 
       3.186404973098e-02       1.946765400750e+04 
       3.201215318636e-02       1.939062445802e+04 
       3.216072015933e-02       1.931351704991e+04 
       3.230976278955e-02       1.923645143660e+04 
       3.245929360293e-02       1.915924513634e+04 
       3.260932552706e-02       1.908215295769e+04 
       3.275987190743e-02       1.900494618592e+04 
       3.291094652445e-02       1.892765243730e+04 
       3.306256361135e-02       1.885056188122e+04 
       3.321473787300e-02       1.877332906230e+04 
       3.336748450572e-02       1.869605164253e+04 
       3.352081921812e-02       1.861885239941e+04 
       3.367475825305e-02       1.854163231973e+04 
       3.382931841076e-02       1.846436393431e+04 
       3.398451707327e-02       1.838717158831e+04 
       3.414037223012e-02       1.831000019713e+04 
       3.429690250556e-02       1.823281994115e+04 
       3.445412718719e-02       1.815565945521e+04 
       3.461206625635e-02       1.807854413267e+04 
       3.477074042013e-02       1.800142258845e+04 
       3.493017114535e-02       1.792435250298e+04 
       3.509038069444e-02       1.784726989851e+04 
       3.525139216354e-02       1.777029336169e+04 
       3.541322952284e-02       1.769323937490e+04 
       3.557591765938e-02       1.761639511941e+04 
       3.573948242250e-02       1.753941039693e+04 
       3.590395067213e-02       1.746255045195e+04 
       3.606935033009e-02       1.738573790089e+04 
       3.623571043476e-02       1.730894343426e+04 
       3.640306119912e-02       1.723215601218e+04 
       3.657143407282e-02       1.715543545621e+04 
       3.674086180813e-02       1.707878313268e+04 
       3.691137853055e-02       1.700212612726e+04 
       3.708301981402e-02       1.692554035124e+04 
       3.725582276151e-02       1.684899506324e+04 
       3.742982609111e-02       1.677248240469e+04 
       3.760507022828e-02       1.669598143472e+04 
       3.778159740474e-02       1.661952415509e+04 
       3.795945176456e-02       1.654311191666e+04 
       3.813867947808e-02       1.646672647456e+04 
       3.831932886439e-02       1.639040790551e+04 
       3.850145052312e-02       1.631407624710e+04 
       3.868509747640e-02       1.623781288810e+04 
       3.887032532197e-02       1.616154903310e+04 
       3.905719239843e-02       1.608534212691e+04 
       3.924575996389e-02       1.600910304384e+04 
       3.943609238921e-02       1.593292452113e+04 
       3.962825736740e-02       1.585670989670e+04 
       3.982232614070e-02       1.578053298691e+04 
       4.001837374727e-02       1.570432460867e+04 
       4.021647928937e-02       1.562812842388e+04 
       4.041672622544e-02       1.555188517609e+04 
       4.061920268859e-02       1.547572268481e+04 
       4.082400183440e-02       1.539948575774e+04 
       4.103122222125e-02       1.532324036989e+04 
       4.124096822696e-02       1.524689257804e+04 
       4.145335050577e-02       1.517060039750e+04 
       4.166848649055e-02       1.509418686171e+04 
       4.188650094552e-02       1.501768880687e+04 
       4.210752657566e-02       1.494117285574e+04 
       4.233170469994e-02       1.486454240085e+04 
       4.255918599616e-02       1.478784544258e+04 
       4.279013132702e-02       1.471102282114e+04 
       4.302471265768e-02       1.463412181210e+04 
       4.326311407742e-02       1.455703975835e+04 
       4.350553293938e-02       1.447985855357e+04 
       4.375218113509e-02       1.440244177614e+04 
       4.400328652286e-02       1.432490674032e+04 
       4.425909453256e-02       1.424716558591e+04 
       4.451986997301e-02       1.416921505544e+04 
       4.478589907292e-02       1.409102494072e+04 
       4.505749179173e-02       1.401262314610e+04 
       4.533498444335e-02       1.393387670219e+04 
       4.561874268404e-02       1.385483509765e+04 
       4.590916492506e-02       1.377547523454e+04 
       4.620668624301e-02       1.369573763474e+04 
       4.651178287521e-02       1.361563323122e+04 
       4.682497740511e-02       1.353504522603e+04 
       4.714684476533e-02       1.345401710068e+04 
       4.747801921281e-02       1.337246079265e+04 
       4.781920246480e-02       1.329028539847e+04 
       4.817117322701e-02       1.320757390492e+04 
       4.853479839830e-02       1.312413789009e+04 
       4.891104630391e-02       1.303993964071e+04 
       4.930100239363e-02       1.295499329087e+04 
       4.970588794931e-02       1.286908127494e+04 
       5.012708248298e-02       1.278223911602e+04 
       5.056615068118e-02       1.269421844790e+04 
       5.102487497350e-02       1.260497649627e+04 
       5.150529508663e-02       1.251444274793e+04 
       5.200975630418e-02       1.242234556877e+04 
       5.254096860435e-02       1.232850953393e+04 
       5.310207940736e-02       1.223270758073e+04 
       5.369676333926e-02       1.213465016933e+04 
       5.432933319451e-02       1.203407029024e+04 
       5.500487708620e-02       1.193047781730e+04 
       5.572942742983e-02       1.182328766975e+04 
       5.651016749564e-02       1.171193598534e+04 
       5.735567991080e-02       1.159556558220e+04 
       5.827623695566e-02       1.147302529277e+04 
       5.928412149276e-02       1.134280935061e+04 
       6.039394410701e-02       1.120306331466e+04 
       6.162287737679e-02       1.105115140466e+04 
       6.299065067617e-02       1.088360807057e+04 
       6.451903286372e-02       1.069586305167e+04 
       6.623040170204e-02       1.048212794977e+04 
       6.814496914594e-02       1.023544868499e+04 
       7.027654625864e-02       9.948487096840e+03 
       7.262765463166e-02       9.614978721163e+03 
       7.518609365802e-02       9.232113133430e+03 
       7.792548455066e-02       8.802998925742e+03 
       8.081045917850e-02       8.337547922826e+03 
       8.380406749304e-02       7.851649407142e+03 
       8.687380290585e-02       7.364124973871e+03 
       8.999439170183e-02       6.893811881196e+03 
       9.314781709110e-02       6.456613898377e+03 
       9.632196797425e-02       6.063999715324e+03 
       9.950900982184e-02       5.722573781903e+03 
       1.027039970166e-01       5.433848738996e+03 
       1.059038549338e-01       5.195478940843e+03 
       1.091066900091e-01       5.001568364078e+03 
       1.123113426810e-01       4.844032805151e+03 
       1.155171052552e-01       4.713344575037e+03 
       1.187235466271e-01       4.599490360239e+03 
       1.219304044131e-01       4.492852502193e+03 
       1.251375189418e-01       4.385153763361e+03 
       1.283447929986e-01       4.269769052657e+03 
       1.315521673256e-01       4.142795446533e+03 
       1.347596057293e-01       4.002703860184e+03 
       1.379670860337e-01       3.850462661254e+03 
       1.411745945867e-01       3.689019856127e+03 
       1.443821229245e-01       3.522718584791e+03 
       1.475896657458e-01       3.356584865112e+03 
       1.507972196814e-01       3.195600458685e+03 
       1.540047825464e-01       3.044173876002e+03 
       1.572123528857e-01       2.905705687294e+03 
       1.604199296966e-01       2.782484598879e+03 
       1.636275122600e-01       2.675352411848e+03 
       1.668351000373e-01       2.584060896454e+03 
       1.700426926067e-01       2.507237031744e+03 
       1.732502896241e-01       2.442687021848e+03 
       1.764578907990e-01       2.387663831465e+03 
       1.796654958787e-01       2.339151046388e+03 
       1.828731046391e-01       2.294310726922e+03 
       1.860807168777e-01       2.250660368030e+03 
       1.892883324102e-01       2.205421261425e+03 
       1.924959510665e-01       2.156763907220e+03 
       1.957035726896e-01       2.103773374511e+03 
       1.989111971333e-01       2.046312118233e+03 
       2.021188242615e-01       1.984963770819e+03 
