# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.04233e-05 to 105.248 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.042334792351e-05       5.068143259888e+01      -5.506344159250e-09      -5.068143271307e+01       0.000000000000e+00      -5.068143271307e+01      -5.068143271307e+01       5.068143271307e+01      -5.068143271307e+01 
       2.327947088441e-05       1.097777819243e+02      -5.949228733472e-08      -1.097777830988e+02       0.000000000000e+00      -1.097777830988e+02      -1.097777830988e+02       1.097777830988e+02      -1.097777830988e+02 
       3.618061400712e-05       1.677693034868e+02      -2.196162047915e-07      -1.677693072565e+02       0.000000000000e+00      -1.677693072565e+02      -1.677693072565e+02       1.677693072565e+02      -1.677693072565e+02 
       4.916135487458e-05       2.253072611963e+02      -5.445313610054e-07      -2.253072724804e+02       0.000000000000e+00      -2.253072724804e+02      -2.253072724804e+02       2.253072724804e+02      -2.253072724804e+02 
       6.225684065053e-05       2.827578106604e+02      -1.095945112404e-06      -2.827578319323e+02       0.000000000000e+00      -2.827578319323e+02      -2.827578319323e+02       2.827578319323e+02      -2.827578319323e+02 
       7.550310027457e-05       3.403926742160e+02      -1.940482939508e-06      -3.403927129547e+02       0.000000000000e+00      -3.403927129547e+02      -3.403927129547e+02       3.403927129547e+02      -3.403927129547e+02 
       8.893736660095e-05       3.984424902838e+02      -3.151622923007e-06      -3.984425544439e+02       0.000000000000e+00      -3.984425544439e+02      -3.984425544439e+02       3.984425544439e+02      -3.984425544439e+02 
       1.025984127507e-04       4.571185457735e+02      -4.811829391590e-06      -4.571186450184e+02       0.000000000000e+00      -4.571186450184e+02      -4.571186450184e+02       4.571186450184e+02      -4.571186450184e+02 
       1.165269069791e-04       5.166238830147e+02      -7.014989747559e-06      -5.166240267334e+02       0.000000000000e+00      -5.166240267334e+02      -5.166240267334e+02       5.166240267334e+02      -5.166240267334e+02 
       1.307657903942e-04       5.771599560073e+02      -9.869261022977e-06      -5.771601568205e+02       0.000000000000e+00      -5.771601568205e+02      -5.771601568205e+02       5.771601568205e+02      -5.771601568205e+02 
       1.453606818687e-04       6.389312203193e+02      -1.350044867562e-05      -6.389314998842e+02       0.000000000000e+00      -6.389314998842e+02      -6.389314998842e+02       6.389314998842e+02      -6.389314998842e+02 
       1.603603144304e-04       7.021486868404e+02      -1.805606548351e-05      -7.021490565855e+02       0.000000000000e+00      -7.021490565855e+02      -7.021490565855e+02       7.021490565855e+02      -7.021490565855e+02 
       1.758170072434e-04       7.670328617334e+02      -2.371024352455e-05      -7.670333518532e+02       0.000000000000e+00      -7.670333518532e+02      -7.670333518532e+02       7.670333518532e+02      -7.670333518532e+02 
       1.917871769312e-04       8.338165119996e+02      -3.066973018030e-05      -8.338171458342e+02       0.000000000000e+00      -8.338171458342e+02      -8.338171458342e+02       8.338171458342e+02      -8.338171458342e+02 
       2.083318913526e-04       9.027472018336e+02      -3.918122936009e-05      -9.027480084945e+02       0.000000000000e+00      -9.027480084945e+02      -9.027480084945e+02       9.027480084945e+02      -9.027480084945e+02 
       2.255174678879e-04       9.740898374407e+02      -4.954043860138e-05      -9.740908578380e+02       0.000000000000e+00      -9.740908578380e+02      -9.740908578380e+02       9.740908578380e+02      -9.740908578380e+02 
       2.434161166688e-04       1.048129206640e+03      -6.210320557390e-05      -1.048130487811e+03       0.000000000000e+00      -1.048130487811e+03      -1.048130487811e+03       1.048130487811e+03      -1.048130487811e+03 
       2.621066267709e-04       1.125172523505e+03      -7.729933167741e-05      -1.125174120522e+03       0.000000000000e+00      -1.125174120522e+03      -1.125174120522e+03       1.125174120522e+03      -1.125174120522e+03 
       2.816750899156e-04       1.205551970018e+03      -9.564968246354e-05      -1.205553947592e+03       0.000000000000e+00      -1.205553947592e+03      -1.205553947592e+03       1.205553947592e+03      -1.205553947592e+03 
       3.022156513866e-04       1.289627200872e+03      -1.177874196185e-04      -1.289629636798e+03       0.000000000000e+00      -1.289629636798e+03      -1.289629636798e+03       1.289629636798e+03      -1.289629636798e+03 
       3.238312712659e-04       1.377787723191e+03      -1.444843535622e-04      -1.377790711260e+03       0.000000000000e+00      -1.377790711260e+03      -1.377790711260e+03       1.377790711260e+03      -1.377790711260e+03 
       3.466344703595e-04       1.470455045275e+03      -1.766836339385e-04      -1.470458698723e+03       0.000000000000e+00      -1.470458698723e+03      -1.470458698723e+03       1.470458698723e+03      -1.470458698723e+03 
       3.707480239226e-04       1.568084438411e+03      -2.155402408626e-04      -1.568088894454e+03       0.000000000000e+00      -1.568088894454e+03      -1.568088894454e+03       1.568088894454e+03      -1.568088894454e+03 
       3.963055522648e-04       1.671166054467e+03      -2.624709980816e-04      -1.671171479457e+03       0.000000000000e+00      -1.671171479457e+03      -1.671171479457e+03       1.671171479457e+03      -1.671171479457e+03 
       4.234519405181e-04       1.780225170792e+03      -3.192161046850e-04      -1.780231766731e+03       0.000000000000e+00      -1.780231766731e+03      -1.780231766731e+03       1.780231766731e+03      -1.780231766731e+03 
       4.523435007881e-04       1.895821188008e+03      -3.879144068176e-04      -1.895829201241e+03       0.000000000000e+00      -1.895829201241e+03      -1.895829201241e+03       1.895829201241e+03      -1.895829201241e+03 
       4.831477698675e-04       2.018544930005e+03      -4.711947713091e-04      -2.018554660386e+03       0.000000000000e+00      -2.018554660386e+03      -2.018554660386e+03       2.018554660386e+03      -2.018554660386e+03 
       5.160428171276e-04       2.149013832095e+03      -5.722859206809e-04      -2.149025646513e+03       0.000000000000e+00      -2.149025646513e+03      -2.149025646513e+03       2.149025646513e+03      -2.149025646513e+03 
       5.512159240810e-04       2.287864467278e+03      -6.951467772333e-04      -2.287878813121e+03       0.000000000000e+00      -2.287878813121e+03      -2.287878813121e+03       2.287878813121e+03      -2.287878813121e+03 
       5.888614951107e-04       2.435741977462e+03      -8.446186866577e-04      -2.435759402220e+03       0.000000000000e+00      -2.435759402220e+03      -2.435759402220e+03       2.435759402220e+03      -2.435759402220e+03 
       6.291780751936e-04       2.593286015420e+03      -1.026599631834e-03      -2.593307186706e+03       0.000000000000e+00      -2.593307186706e+03      -2.593307186706e+03       2.593307186706e+03      -2.593307186706e+03 
