# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.862976618589e-10       7.955223721376e-15       5.635268698332e-13       4.881414122626e-15       8.407696720699e-09       4.687158034276e-10      -2.085325492251e-12 
    3       2.441949463528e-10       1.039144339081e-14       4.554950477082e-13       4.945778601333e-15       5.162849671564e-09       3.328336573563e-10      -1.679205367110e-12 
    4       2.251088518907e-10       1.003156296398e-14       3.905691031989e-13       4.326663829111e-15       3.593249802940e-09       2.522709289708e-10      -1.200868711758e-12 
    5       2.143995793873e-10       7.809825097244e-15       3.278315806730e-13       3.409015531135e-15       2.684154921560e-09       1.993969370137e-10      -7.709138342329e-13 
    6       2.073629512730e-10       5.180196932764e-15       2.654564384955e-13       2.487256377616e-15       2.097746134032e-09       1.623448627409e-10      -4.257332720443e-13 
    7       2.027623421913e-10       3.121987216084e-15       2.088432373736e-13       1.726860311417e-15       1.692916085973e-09       1.351082879073e-10      -1.749463001249e-13 
    8       1.997440249236e-10       1.915678902225e-15       1.616522826746e-13       1.186198304434e-15       1.399135832681e-09       1.143913046821e-10      -1.327021640892e-14 
    9       1.978718564154e-10       1.383503781203e-15       1.256460863362e-13       8.564498346563e-16       1.177841210819e-09       9.826485932076e-11       7.319393023266e-14 
   10       1.968221062806e-10       1.218871338106e-15       1.008420387219e-13       6.968320839251e-16       1.006437022965e-09       8.545296010571e-11       1.027751782725e-13 
   11       1.962883000344e-10       1.195056142891e-15       8.605795730684e-14       6.590948068469e-16       8.459743246376e-10       7.532275243124e-11       9.469604623109e-14 
   12       1.961921393940e-10       1.215298038749e-15       7.925213284190e-14       7.003338035493e-16       7.391278359338e-10       6.669103736133e-11       6.686230231500e-14 
   13       1.963938498493e-10       1.266570953288e-15       7.793573497502e-14       7.886045086959e-16       6.514271721869e-10       5.943379240119e-11       3.263439080121e-14 
   14       1.968167645758e-10       1.358721132310e-15       7.979689592765e-14       9.029791454520e-16       5.784584217477e-10       5.334715246368e-11       1.659756167252e-15 
   15       1.974299730235e-10       1.492254976132e-15       8.295685141782e-14       1.031306652651e-15       5.170463490157e-10       4.820557960278e-11      -2.078882516132e-14 
   16       1.981525041006e-10       1.656828757181e-15       8.610098043979e-14       1.167435526160e-15       4.648372660553e-10       4.377814355945e-11      -3.317458926133e-14 
   17       1.990362854200e-10       1.842041892364e-15       8.856216434626e-14       1.308822447864e-15       4.200523985682e-10       3.983140612501e-11      -3.671681584078e-14 
   18       1.999834530876e-10       2.044823006534e-15       9.010087431529e-14       1.454533087249e-15       3.811814944958e-10       3.639659139081e-11      -3.374010445900e-14 
   19       2.010112224344e-10       2.268969381142e-15       9.084038295726e-14       1.604331597526e-15       3.476107579674e-10       3.342911672852e-11      -2.677530976661e-14 
   20       2.020913418761e-10       2.519829138337e-15       9.104920467025e-14       1.758249671592e-15       3.180448409780e-10       3.076082422612e-11      -1.896931833503e-14 
   21       2.032344665923e-10       2.799667691882e-15       9.098953772115e-14       1.916156670987e-15       2.920191309084e-10       2.838299198132e-11      -1.209023093352e-14 
   22       2.044087997726e-10       3.109003177025e-15       9.091241383116e-14       2.077937289597e-15       2.689110502600e-10       2.629775401248e-11      -7.421490572002e-15 
   23       2.056329574919e-10       3.446578464170e-15       9.087065064954e-14       2.243465739324e-15       2.484024681675e-10       2.446657404070e-11      -5.169128774659e-15 
   24       2.069003780220e-10       3.810282699176e-15       9.079646079256e-14       2.412657626460e-15       2.300186994965e-10       2.281203084268e-11      -5.028723565053e-15 
   25       2.082075701326e-10       4.199983153991e-15       9.046620499268e-14       2.585405392122e-15       2.135434974532e-10       2.129523598755e-11      -6.485019695579e-15 
   26       2.095263606931e-10       4.616024876710e-15       8.956267317716e-14       2.761589440531e-15       1.986788897777e-10       1.988168393091e-11      -8.796975573125e-15 
   27       2.108674320105e-10       5.058727509039e-15       8.780905126484e-14       2.940916964249e-15       1.852468875729e-10       1.858923942277e-11      -1.116250557356e-14 
   28       2.122345583984e-10       5.528417452304e-15       8.494108981970e-14       3.123054582430e-15       1.730162019971e-10       1.743962486658e-11      -1.277987832438e-14 
   29       2.136410937334e-10       6.025923676388e-15       8.085299630947e-14       3.307767415876e-15       1.619241214864e-10       1.642044923232e-11      -1.350865150070e-14 
   30       2.150791056712e-10       6.552253824143e-15       7.549145309210e-14       3.494865625438e-15       1.518510126404e-10       1.549372693816e-11      -1.344734292212e-14 
   31       2.165215156448e-10       7.108457510123e-15       6.882007390745e-14       3.684168465952e-15       1.425908745026e-10       1.461422859588e-11      -1.275703104551e-14 
   32       2.179796215774e-10       7.695615850575e-15       6.084832495357e-14       3.875453810491e-15       1.340959770039e-10       1.378407776796e-11      -1.165099587770e-14 
   33       2.194623216956e-10       8.314851850757e-15       5.161606641443e-14       4.068490715706e-15       1.263065757301e-10       1.301727145675e-11      -1.041113902752e-14 
   34       2.209646510045e-10       8.967244828633e-15       4.117666660876e-14       4.263051471548e-15       1.191139842108e-10       1.232239849644e-11      -9.333614545493e-15 
   35       2.224880473325e-10       9.653516385670e-15       2.955821915949e-14       4.458907339481e-15       1.124813638189e-10       1.169303121042e-11      -8.510653751283e-15 
   36       2.240238411200e-10       1.037422689806e-14       1.679028466062e-14       4.655831567240e-15       1.063553489400e-10       1.111294321799e-11      -7.974215086615e-15 
   37       2.255562704007e-10       1.112988200046e-14       2.894503397399e-15       4.853592035736e-15       1.006560499466e-10       1.056379345166e-11      -7.736926959501e-15 
   38       2.270973439140e-10       1.192103732145e-14      -1.218479730912e-14       5.051921782484e-15       9.536872070810e-11       1.004511649928e-11      -7.737132620990e-15 
   39       2.286613966559e-10       1.274821984046e-14      -2.853498704748e-14       5.250538125672e-15       9.047660591385e-11       9.560349290449e-12      -7.873343917803e-15 
   40       2.302545587313e-10       1.361189459190e-14      -4.625795646706e-14       5.449149769908e-15       8.593306262916e-11       9.111256567336e-12      -8.016585355744e-15 
   41       2.318763144255e-10       1.451248688122e-14      -6.545247603878e-14       5.647469245997e-15       8.167780980775e-11       8.697690583032e-12      -8.042969045042e-15 
   42       2.335270442911e-10       1.545046750816e-14      -8.615174161462e-14       5.845256567568e-15       7.769830617368e-11       8.317195455529e-12      -7.948599812724e-15 
   43       2.352013597542e-10       1.642628837082e-14      -1.083673350085e-13       6.042288759080e-15       7.398396467217e-11       7.964980407978e-12      -7.768976171974e-15 
   44       2.368850659042e-10       1.744035627834e-14      -1.321060092250e-13       6.238348314149e-15       7.050773339517e-11       7.633798805949e-12      -7.548317456925e-15 
   45       2.385622757569e-10       1.849301166048e-14      -1.573680404089e-13       6.433209066913e-15       6.723575514762e-11       7.316077420941e-12      -7.331959137802e-15 
   46       2.402410953836e-10       1.958446256154e-14      -1.841421673406e-13       6.626588099976e-15       6.416287827968e-11       7.011484914631e-12      -7.139584106203e-15 
   47       2.419343139197e-10       2.071482697566e-14      -2.124087989255e-13       6.818179941885e-15       6.128553280693e-11       6.721321702590e-12      -6.984886250934e-15 
   48       2.436518850827e-10       2.188414678999e-14      -2.421410549561e-13       7.007669199652e-15       5.859102070605e-11       6.446363433141e-12      -6.883065896757e-15 
   49       2.454006146131e-10       2.309238437708e-14      -2.733044827645e-13       7.194730012689e-15       5.605683709538e-11       6.186815008783e-12      -6.850889159355e-15 
   50       2.471841972005e-10       2.433943129847e-14      -3.058677780214e-13       7.379048689875e-15       5.365744801936e-11       5.942415353489e-12      -6.901003584109e-15 
   51       2.490040642171e-10       2.562514510644e-14      -3.398390351602e-13       7.560400131489e-15       5.138836755367e-11       5.712891910391e-12      -7.022928363290e-15 
   52       2.508582258136e-10       2.694931664139e-14      -3.752388469362e-13       7.738591207240e-15       4.924744277716e-11       5.497550035579e-12      -7.197006726916e-15 
   53       2.527406524571e-10       2.831165602333e-14      -4.120903892122e-13       7.913439918153e-15       4.722764823104e-11       5.295095072559e-12      -7.399492738728e-15 
   54       2.546409788177e-10       2.971178981417e-14      -4.504196554526e-13       8.084775941475e-15       4.531675799849e-11       5.103593467608e-12      -7.602340358629e-15 
   55       2.565487161859e-10       3.114929489290e-14      -4.902487665229e-13       8.252437536934e-15       4.350107418397e-11       4.921005065666e-12      -7.779908528195e-15 
   56       2.584677935231e-10       3.262381643657e-14      -5.315734166440e-13       8.416260117196e-15       4.177844823549e-11       4.747023928918e-12      -7.931510236269e-15 
   57       2.604051100550e-10       3.413497427788e-14      -5.743802352631e-13       8.576085792514e-15       4.014792002000e-11       4.581626707550e-12      -8.064095651647e-15 
   58       2.623662253950e-10       3.568232738352e-14      -6.186531863249e-13       8.731767154975e-15       3.860577865368e-11       4.424525256069e-12      -8.185884128635e-15 
   59       2.643552390887e-10       3.726537244687e-14      -6.643735329724e-13       8.883167681649e-15       3.714539262311e-11       4.275150002439e-12      -8.306422724929e-15 
   60       2.663746701577e-10       3.888354248070e-14      -7.115198022472e-13       9.030162137722e-15       3.575703990638e-11       4.132633317221e-12      -8.436644719512e-15 
   61       2.684261133296e-10       4.053623172124e-14      -7.600709025560e-13       9.172635507124e-15       3.443060721295e-11       3.996066913247e-12      -8.585826361453e-15 
   62       2.705126523630e-10       4.222288005664e-14      -8.100163736234e-13       9.310478591856e-15       3.316478001639e-11       3.865379183201e-12      -8.751526501779e-15 
   63       2.726367771326e-10       4.394290513830e-14      -8.613483850819e-13       9.443592135772e-15       3.195962325784e-11       3.740626174332e-12      -8.927482368191e-15 
   64       2.747995608296e-10       4.569567718064e-14      -9.140588501796e-13       9.571888559301e-15       3.081381697071e-11       3.621727156321e-12      -9.106472961401e-15 
   65       2.770005641484e-10       4.748051838856e-14      -9.681394905154e-13       9.695292315862e-15       2.972457743676e-11       3.508456685204e-12      -9.280279156225e-15 
   66       2.792377394745e-10       4.929670238502e-14      -1.023581900775e-12       9.813740248290e-15       2.868757834226e-11       3.400436667294e-12      -9.439643802687e-15 
   67       2.815073350725e-10       5.114345363853e-14      -1.080377613465e-12       9.927181945255e-15       2.769687193410e-11       3.297128423100e-12      -9.574231827123e-15 
   68       2.838056177615e-10       5.301990355593e-14      -1.138515583752e-12       1.003557237096e-14       2.674647695849e-11       3.197980885217e-12      -9.674956663481e-15 
   69       2.861346604487e-10       5.492494970922e-14      -1.197973907461e-12       1.013884722337e-14       2.583569234894e-11       3.102927801547e-12      -9.741596128627e-15 
   70       2.884975605692e-10       5.685736692490e-14      -1.258726533508e-12       1.023694320026e-14       2.496472353983e-11       3.011977484720e-12      -9.776655138062e-15 
   71       2.908966769387e-10       5.881584644426e-14      -1.320745694092e-12       1.032980544008e-14       2.413307538324e-11       2.925061719934e-12      -9.783156166670e-15 
   72       2.933335804492e-10       6.079899424265e-14      -1.384001903451e-12       1.041738768083e-14       2.333951593381e-11       2.842031822075e-12      -9.764659869772e-15 
