# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.435191923742e-10       5.209127381423e-15       3.979567074296e-13       0.000000000000e+00       8.407696720699e-09       4.687158034276e-10      -2.085325492251e-12 
    3       1.353182820449e-10       7.458296844741e-15       4.673744564794e-13       0.000000000000e+00       5.162849671564e-09       3.328336573563e-10      -1.679205367110e-12 
    4       1.274933223778e-10       7.318209841680e-15       4.553170283209e-13       0.000000000000e+00       3.593249802940e-09       2.522709289708e-10      -1.200868711758e-12 
    5       1.215183276368e-10       5.624306560048e-15       4.033392725325e-13       0.000000000000e+00       2.684154921560e-09       1.993969370137e-10      -7.709138342329e-13 
    6       1.172909494746e-10       3.594330082504e-15       3.369501172923e-13       0.000000000000e+00       2.097746134032e-09       1.623448627409e-10      -4.257332720443e-13 
    7       1.144670187955e-10       2.038506816814e-15       2.720545378698e-13       0.000000000000e+00       1.692916085973e-09       1.351082879073e-10      -1.749463001249e-13 
    8       1.126509787148e-10       1.164967688927e-15       2.169815180404e-13       0.000000000000e+00       1.399135832681e-09       1.143913046821e-10      -1.327021640892e-14 
    9       1.116525582616e-10       7.971852514628e-16       1.752401467046e-13       0.000000000000e+00       1.177841210819e-09       9.826485932076e-11       7.319393023266e-14 
   10       1.112900745288e-10       6.670101452698e-16       1.472151107119e-13       0.000000000000e+00       1.006437022965e-09       8.545296010571e-11       1.027751782725e-13 
   11       1.113405420586e-10       5.941190174428e-16       1.314988149684e-13       0.000000000000e+00       8.459743246376e-10       7.532275243124e-11       9.469604623109e-14 
   12       1.117743819710e-10       5.191358698307e-16       1.256452033627e-13       0.000000000000e+00       7.391278359338e-10       6.669103736133e-11       6.686230231500e-14 
   13       1.124809433012e-10       4.528486096867e-16       1.267685268959e-13       0.000000000000e+00       6.514271721869e-10       5.943379240119e-11       3.263439080121e-14 
   14       1.134017823182e-10       4.170996060981e-16       1.322301335035e-13       0.000000000000e+00       5.784584217477e-10       5.334715246368e-11       1.659756167252e-15 
   15       1.145174547613e-10       4.168182728384e-16       1.399145572501e-13       0.000000000000e+00       5.170463490157e-10       4.820557960278e-11      -2.078882516132e-14 
   16       1.157538544900e-10       4.424958689541e-16       1.483440038217e-13       0.000000000000e+00       4.648372660553e-10       4.377814355945e-11      -3.317458926133e-14 
   17       1.171666896097e-10       4.835524196301e-16       1.567291140462e-13       0.000000000000e+00       4.200523985682e-10       3.983140612501e-11      -3.671681584078e-14 
   18       1.186659148275e-10       5.365053158706e-16       1.647436065047e-13       0.000000000000e+00       3.811814944958e-10       3.639659139081e-11      -3.374010445900e-14 
   19       1.202515498436e-10       6.052092971789e-16       1.724619394790e-13       0.000000000000e+00       3.476107579674e-10       3.342911672852e-11      -2.677530976661e-14 
   20       1.219146164013e-10       6.951860493943e-16       1.800901161470e-13       0.000000000000e+00       3.180448409780e-10       3.076082422612e-11      -1.896931833503e-14 
   21       1.236552586969e-10       8.089659206133e-16       1.878541785051e-13       0.000000000000e+00       2.920191309084e-10       2.838299198132e-11      -1.209023093352e-14 
   22       1.254471107156e-10       9.473168658466e-16       1.959671207594e-13       0.000000000000e+00       2.689110502600e-10       2.629775401248e-11      -7.421490572002e-15 
   23       1.273013538440e-10       1.109083345785e-15       2.044483328054e-13       0.000000000000e+00       2.484024681675e-10       2.446657404070e-11      -5.169128774659e-15 
   24       1.292174768806e-10       1.292169527595e-15       2.131923696985e-13       0.000000000000e+00       2.300186994965e-10       2.281203084268e-11      -5.028723565053e-15 
   25       1.311860722661e-10       1.496479256434e-15       2.219456609411e-13       0.000000000000e+00       2.135434974532e-10       2.129523598755e-11      -6.485019695579e-15 
   26       1.331822433716e-10       1.722352560085e-15       2.303602619209e-13       0.000000000000e+00       1.986788897777e-10       1.988168393091e-11      -8.796975573125e-15 
   27       1.352142260680e-10       1.970016410694e-15       2.381317810872e-13       0.000000000000e+00       1.852468875729e-10       1.858923942277e-11      -1.116250557356e-14 
   28       1.372897909882e-10       2.239700178680e-15       2.449681908883e-13       0.000000000000e+00       1.730162019971e-10       1.743962486658e-11      -1.277987832438e-14 
   29       1.394144552657e-10       2.532415729158e-15       2.507410520068e-13       0.000000000000e+00       1.619241214864e-10       1.642044923232e-11      -1.350865150070e-14 
   30       1.415794021848e-10       2.849471438313e-15       2.553748193817e-13       0.000000000000e+00       1.518510126404e-10       1.549372693816e-11      -1.344734292212e-14 
   31       1.437656889652e-10       3.192245425703e-15       2.588099875301e-13       0.000000000000e+00       1.425908745026e-10       1.461422859588e-11      -1.275703104551e-14 
   32       1.459794321785e-10       3.562089729239e-15       2.610343755698e-13       0.000000000000e+00       1.340959770039e-10       1.378407776796e-11      -1.165099587770e-14 
   33       1.482272573224e-10       3.960398368145e-15       2.620661576471e-13       0.000000000000e+00       1.263065757301e-10       1.301727145675e-11      -1.041113902752e-14 
   34       1.505079900061e-10       4.388531370314e-15       2.619372177616e-13       0.000000000000e+00       1.191139842108e-10       1.232239849644e-11      -9.333614545493e-15 
   35       1.528197463567e-10       4.847450786999e-15       2.606573314871e-13       0.000000000000e+00       1.124813638189e-10       1.169303121042e-11      -8.510653751283e-15 
   36       1.551534780960e-10       5.337951102479e-15       2.582390824869e-13       0.000000000000e+00       1.063553489400e-10       1.111294321799e-11      -7.974215086615e-15 
   37       1.574968775011e-10       5.860766837029e-15       2.546868923246e-13       0.000000000000e+00       1.006560499466e-10       1.056379345166e-11      -7.736926959501e-15 
   38       1.598577195450e-10       6.416634302145e-15       2.499245964693e-13       0.000000000000e+00       9.536872070810e-11       1.004511649928e-11      -7.737132620990e-15 
   39       1.622471304947e-10       7.006241386322e-15       2.438431442804e-13       0.000000000000e+00       9.047660591385e-11       9.560349290449e-12      -7.873343917803e-15 
   40       1.646727661929e-10       7.630205029461e-15       2.363185938451e-13       0.000000000000e+00       8.593306262916e-11       9.111256567336e-12      -8.016585355744e-15 
   41       1.671380402465e-10       8.289096790614e-15       2.272337004768e-13       0.000000000000e+00       8.167780980775e-11       8.697690583032e-12      -8.042969045042e-15 
   42       1.696405858990e-10       8.983540824583e-15       2.165537394344e-13       0.000000000000e+00       7.769830617368e-11       8.317195455529e-12      -7.948599812724e-15 
   43       1.721725376252e-10       9.714139913881e-15       2.042735421310e-13       0.000000000000e+00       7.398396467217e-11       7.964980407978e-12      -7.768976171974e-15 
   44       1.747203480222e-10       1.048144541044e-14       1.903974207335e-13       0.000000000000e+00       7.050773339517e-11       7.633798805949e-12      -7.548317456925e-15 
   45       1.772702197971e-10       1.128595242168e-14       1.749336248300e-13       0.000000000000e+00       6.723575514762e-11       7.316077420941e-12      -7.331959137802e-15 
   46       1.798274485797e-10       1.212808981613e-14       1.578746101727e-13       0.000000000000e+00       6.416287827968e-11       7.011484914631e-12      -7.139584106203e-15 
   47       1.824020613708e-10       1.300822278067e-14       1.392116831682e-13       0.000000000000e+00       6.128553280693e-11       6.721321702590e-12      -6.984886250934e-15 
   48       1.850032876219e-10       1.392665208841e-14       1.189406367933e-13       0.000000000000e+00       5.859102070605e-11       6.446363433141e-12      -6.883065896757e-15 
   49       1.876394280345e-10       1.488361135654e-14       9.706188126836e-14       0.000000000000e+00       5.605683709538e-11       6.186815008783e-12      -6.850889159355e-15 
   50       1.903165005487e-10       1.587928350877e-14       7.357256665584e-14       0.000000000000e+00       5.365744801936e-11       5.942415353489e-12      -6.901003584109e-15 
   51       1.930340494098e-10       1.691386179274e-14       4.844012672197e-14       0.000000000000e+00       5.138836755367e-11       5.712891910391e-12      -7.022928363290e-15 
   52       1.957879717320e-10       1.798750058501e-14       2.162177973334e-14       0.000000000000e+00       4.924744277716e-11       5.497550035579e-12      -7.197006726916e-15 
   53       1.985714566170e-10       1.910029583919e-14      -6.928331447314e-15       0.000000000000e+00       4.722764823104e-11       5.295095072559e-12      -7.399492738728e-15 
   54       2.013747964090e-10       2.025228324740e-14      -3.725938553773e-14       0.000000000000e+00       4.531675799849e-11       5.103593467608e-12      -7.602340358629e-15 
   55       2.041886466558e-10       2.144342864809e-14      -6.941470583356e-14       0.000000000000e+00       4.350107418397e-11       4.921005065666e-12      -7.779908528195e-15 
   56       2.070151867379e-10       2.267360067038e-14      -1.034009955590e-13       0.000000000000e+00       4.177844823549e-11       4.747023928918e-12      -7.931510236269e-15 
   57       2.098594011782e-10       2.394258807379e-14      -1.392118911146e-13       0.000000000000e+00       4.014792002000e-11       4.581626707550e-12      -8.064095651647e-15 
   58       2.127258206536e-10       2.525010481267e-14      -1.768365973307e-13       0.000000000000e+00       3.860577865368e-11       4.424525256069e-12      -8.185884128635e-15 
   59       2.156184676161e-10       2.659578789569e-14      -2.162597665072e-13       0.000000000000e+00       3.714539262311e-11       4.275150002439e-12      -8.306422724929e-15 
   60       2.185408019125e-10       2.797919524529e-14      -2.574613774536e-13       0.000000000000e+00       3.575703990638e-11       4.132633317221e-12      -8.436644719512e-15 
   61       2.214955701729e-10       2.939984746114e-14      -3.004212003557e-13       0.000000000000e+00       3.443060721295e-11       3.996066913247e-12      -8.585826361453e-15 
   62       2.244844374897e-10       3.085736890757e-14      -3.451336361375e-13       0.000000000000e+00       3.316478001639e-11       3.865379183201e-12      -8.751526501779e-15 
   63       2.275081761915e-10       3.235137464045e-14      -3.915960084662e-13       0.000000000000e+00       3.195962325784e-11       3.740626174332e-12      -8.927482368191e-15 
   64       2.305666984847e-10       3.388142856489e-14      -4.398042959039e-13       0.000000000000e+00       3.081381697071e-11       3.621727156321e-12      -9.106472961401e-15 
   65       2.336589990211e-10       3.544704268780e-14      -4.897531564523e-13       0.000000000000e+00       2.972457743676e-11       3.508456685204e-12      -9.280279156225e-15 
   66       2.367830974644e-10       3.704767637035e-14      -5.414359520976e-13       0.000000000000e+00       2.868757834226e-11       3.400436667294e-12      -9.439643802687e-15 
