# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.427779837402e-10       2.745841119856e-15       1.655701664848e-13       4.881158902565e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088756963153e-10       2.932635966223e-15      -1.187939060346e-14       4.945268021843e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.761392385449e-11       2.712501852012e-15      -6.474787299681e-14       4.325812560578e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.287885737518e-11       2.184241077363e-15      -7.550757333317e-14       3.407738077283e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.006867286865e-11       1.584077506014e-15      -7.149344625360e-14       2.485467049628e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.829091998403e-11       1.081093261737e-15      -6.321088887858e-14       1.724473211564e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.708743482616e-11       7.476401514902e-16      -5.532856027705e-14       1.183127320158e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.621235210053e-11       5.824771933011e-16      -4.959301657675e-14       8.526086435833e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.552363128282e-11       5.471630259784e-16      -4.637153234905e-14       6.921341698320e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.493779028487e-11       5.952953920145e-16      -4.543867245045e-14       6.534534861125e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.440611645171e-11       6.894899881223e-16      -4.639006719392e-14       6.936622611656e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.389949263469e-11       8.059327356168e-16      -4.882877524554e-14       7.808158424981e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.339970164511e-11       9.326274664691e-16      -5.242799012706e-14       8.939864168638e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.289528248954e-11       1.065151184029e-15      -5.695098880452e-14       1.021022941949e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
