# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730799435e+01 
       2.321812845909e-05       1.108985049535e+02 
       3.609173376214e-05       1.695113111073e+02 
       4.904439972694e-05       2.276638575413e+02 
       6.211104704304e-05       2.857257562091e+02 
       7.532746857735e-05       3.439710638098e+02 
       8.873064804491e-05       4.026322439714e+02 
       1.023590926816e-04       4.619221325513e+02 
       1.162531841578e-04       5.220451589276e+02 
       1.304555520066e-04       5.832040712575e+02 
       1.450114738457e-04       6.456045489990e+02 
       1.599693066204e-04       7.094587695608e+02 
       1.753809529236e-04       7.749883996405e+02 
       1.913023661048e-04       8.424273159661e+02 
       2.077940972509e-04       9.120241919658e+02 
       2.249218861033e-04       9.840450205409e+02 
       2.427572963948e-04       1.058775668424e+03 
       2.613783937365e-04       1.136524406699e+03 
       2.808704608154e-04       1.217624463367e+03 
       3.013267399410e-04       1.302436524324e+03 
       3.228491865615e-04       1.391351125429e+03 
       3.455492088575e-04       1.484790795730e+03 
       3.695483575494e-04       1.583211841281e+03 
       3.949789163640e-04       1.687105477875e+03 
       4.219843271948e-04       1.796998132987e+03 
       4.507193653101e-04       1.913450465923e+03 
       4.813499602484e-04       2.037054771485e+03 
       5.140525396193e-04       2.168430245794e+03 
       5.490127597170e-04       2.308215666026e+03 
       5.864234841228e-04       2.457058935758e+03 
       6.264818863381e-04       2.615603239478e+03 
       6.693855925968e-04       2.784469532615e+03 
       7.153278528513e-04       2.964235581270e+03 
       7.644918338936e-04       3.155412147742e+03 
       8.170442633386e-04       3.358417520390e+03 
       8.731288006755e-04       3.573552050161e+03 
       9.328596442615e-04       3.800974858917e+03 
       9.963159659542e-04       4.040685199425e+03 
       1.063537764581e-03       4.292510713124e+03 
       1.134523626239e-03       4.556104376928e+03 
       1.209230679194e-03       4.830951034634e+03 
       1.287576767919e-03       5.116382867487e+03 
       1.369444599257e-03       5.411587813416e+03 
       1.454687391959e-03       5.715656621397e+03 
       1.543135431684e-03       6.027646378758e+03 
       1.634602912099e-03       6.346551759064e+03 
       1.728894515478e-03       6.671357382968e+03 
       1.825811320550e-03       7.001062175610e+03 
       1.925155782887e-03       7.334699121095e+03 
       2.026735681319e-03       7.671349946606e+03 
       2.130367042364e-03       8.010155526319e+03 
       2.235876135455e-03       8.350322803966e+03 
       2.343100676636e-03       8.691125969350e+03 
       2.451890394377e-03       9.031908125719e+03 
       2.562107107073e-03       9.372078594422e+03 
       2.673624445823e-03       9.711109471316e+03 
       2.786327334635e-03       1.004853253032e+04 
       2.900111317649e-03       1.038393346581e+04 
       3.014881802039e-03       1.071694918289e+04 
       3.130553267074e-03       1.104725980777e+04 
       3.247048475047e-03       1.137458873751e+04 
       3.364297708069e-03       1.169869293736e+04 
       3.482238045923e-03       1.201936514839e+04 
       3.600812693636e-03       1.233642360252e+04 
       3.719970362791e-03       1.264971714785e+04 
       3.839664707406e-03       1.295911172260e+04 
       3.959853813072e-03       1.326449801641e+04 
       4.080499736700e-03       1.356578468883e+04 
       4.201568093487e-03       1.386289228885e+04 
       4.323027687306e-03       1.415576235776e+04 
       4.444850180647e-03       1.444433970987e+04 
       4.567009800288e-03       1.472859345382e+04 
       4.689483075068e-03       1.500848894919e+04 
       4.812248602367e-03       1.528400945476e+04 
       4.935286840186e-03       1.555514746142e+04 
       5.058579921982e-03       1.582188843388e+04 
       5.182111491712e-03       1.608424320471e+04 
       5.305866556801e-03       1.634221090840e+04 
       5.429831356981e-03       1.659580510359e+04 
       5.553993247203e-03       1.684504278411e+04 
       5.678340593006e-03       1.708993570232e+04 
       5.802862676925e-03       1.733051198782e+04 
       5.927549614681e-03       1.756680249018e+04 
       6.052392280055e-03       1.779885436445e+04 
       6.177382237450e-03       1.802663053336e+04 
       6.302511681309e-03       1.825018150658e+04 
       6.427773381594e-03       1.846956906689e+04 
       6.553160634691e-03       1.868479459055e+04 
       6.678667219122e-03       1.889577995708e+04 
       6.804287355565e-03       1.910280860878e+04 
       6.930015670697e-03       1.930579509364e+04 
       7.055847164479e-03       1.950478566207e+04 
       7.181777180500e-03       1.969980595251e+04 
       7.307801379070e-03       1.989089361566e+04 
       7.433915712780e-03       2.007810393101e+04 
       7.560116404275e-03       2.026145943639e+04 
       7.686399926014e-03       2.044100453393e+04 
       7.812762981824e-03       2.061677863300e+04 
       7.939202490069e-03       2.078881934590e+04 
       8.065715568266e-03       2.095716280237e+04 
       8.192299519032e-03       2.112185444246e+04 
       8.318951817208e-03       2.128292646524e+04 
       8.445670098061e-03       2.144041766793e+04 
       8.572452146473e-03       2.159436791907e+04 
       8.699295887004e-03       2.174482159198e+04 
       8.826199374762e-03       2.189181070612e+04 
       8.953160787016e-03       2.203537654535e+04 
       9.080178415458e-03       2.217554988533e+04 
       9.207250659091e-03       2.231239745114e+04 
       9.334376017655e-03       2.244592179837e+04 
       9.461553085571e-03       2.257617484427e+04 
       9.588780546346e-03       2.270319203312e+04 
       9.716057167395e-03       2.282700829476e+04 
       9.843381795261e-03       2.294765930787e+04 
       9.970753351188e-03       2.306519613750e+04 
       1.009817082702e-02       2.317963165862e+04 
       1.022563328138e-02       2.329101581708e+04 
       1.035313983621e-02       2.339937838075e+04 
       1.048068967341e-02       2.350473464747e+04 
       1.060828203188e-02       2.360717109855e+04 
