# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730788049e+01      -5.522795875853e-09      -5.116730799435e+01       0.000000000000e+00      -5.116730799435e+01      -5.116730799435e+01       5.116730799435e+01      -5.116730799435e+01 
       2.321812845909e-05       1.108985037708e+02      -5.978333124594e-08      -1.108985049535e+02       0.000000000000e+00      -1.108985049535e+02      -1.108985049535e+02       1.108985049535e+02      -1.108985049535e+02 
       3.609173376214e-05       1.695113073502e+02      -2.208076818741e-07      -1.695113111073e+02       0.000000000000e+00      -1.695113111073e+02      -1.695113111073e+02       1.695113111073e+02      -1.695113111073e+02 
       4.904439972694e-05       2.276638462551e+02      -5.476119756409e-07      -2.276638575413e+02       0.000000000000e+00      -2.276638575413e+02      -2.276638575413e+02       2.276638575413e+02      -2.276638575413e+02 
       6.211104704304e-05       2.857257349517e+02      -1.102267740603e-06      -2.857257562091e+02       0.000000000000e+00      -2.857257562091e+02      -2.857257562091e+02       2.857257562091e+02      -2.857257562091e+02 
       7.532746857735e-05       3.439710251528e+02      -1.951770100288e-06      -3.439710638098e+02       0.000000000000e+00      -3.439710638098e+02      -3.439710638098e+02       3.439710638098e+02      -3.439710638098e+02 
       8.873064804491e-05       4.026321797326e+02      -3.169975173304e-06      -4.026322439714e+02       0.000000000000e+00      -4.026322439714e+02      -4.026322439714e+02       4.026322439714e+02      -4.026322439714e+02 
       1.023590926816e-04       4.619220332292e+02      -4.839735499573e-06      -4.619221325513e+02       0.000000000000e+00      -4.619221325513e+02      -4.619221325513e+02       4.619221325513e+02      -4.619221325513e+02 
       1.162531841578e-04       5.220450151370e+02      -7.055337427851e-06      -5.220451589276e+02       0.000000000000e+00      -5.220451589276e+02      -5.220451589276e+02       5.220451589276e+02      -5.220451589276e+02 
       1.304555520066e-04       5.832038705285e+02      -9.925346722627e-06      -5.832040712575e+02       0.000000000000e+00      -5.832040712575e+02      -5.832040712575e+02       5.832040712575e+02      -5.832040712575e+02 
       1.450114738457e-04       6.456042695937e+02      -1.357598390599e-05      -6.456045489990e+02       0.000000000000e+00      -6.456045489990e+02      -6.456045489990e+02       6.456045489990e+02      -6.456045489990e+02 
       1.599693066204e-04       7.094584000748e+02      -1.815517720828e-05      -7.094587695608e+02       0.000000000000e+00      -7.094587695608e+02      -7.094587695608e+02       7.094587695608e+02      -7.094587695608e+02 
       1.753809529236e-04       7.749879096675e+02      -2.383746412912e-05      -7.749883996405e+02       0.000000000000e+00      -7.749883996405e+02      -7.749883996405e+02       7.749883996405e+02      -7.749883996405e+02 
       1.913023661048e-04       8.424266828188e+02      -3.082997162695e-05      -8.424273159661e+02       0.000000000000e+00      -8.424273159661e+02      -8.424273159661e+02       8.424273159661e+02      -8.424273159661e+02 
       2.077940972509e-04       9.120233859246e+02      -3.937973393529e-05      -9.120241919658e+02       0.000000000000e+00      -9.120241919658e+02      -9.120241919658e+02       9.120241919658e+02      -9.120241919658e+02 
       2.249218861033e-04       9.840440015292e+02      -4.978269552022e-05      -9.840450205409e+02       0.000000000000e+00      -9.840450205409e+02      -9.840450205409e+02       9.840450205409e+02      -9.840450205409e+02 
       2.427572963948e-04       1.058774388630e+03      -6.239482066237e-05      -1.058775668424e+03       0.000000000000e+00      -1.058775668424e+03      -1.058775668424e+03       1.058775668424e+03      -1.058775668424e+03 
       2.613783937365e-04       1.136522811999e+03      -7.764583020034e-05      -1.136524406699e+03       0.000000000000e+00      -1.136524406699e+03      -1.136524406699e+03       1.136524406699e+03      -1.136524406699e+03 
       2.808704608154e-04       1.217622488961e+03      -9.605622131736e-05      -1.217624463367e+03       0.000000000000e+00      -1.217624463367e+03      -1.217624463367e+03       1.217624463367e+03      -1.217624463367e+03 
       3.013267399410e-04       1.302434093066e+03      -1.182583760569e-04      -1.302436524324e+03       0.000000000000e+00      -1.302436524324e+03      -1.302436524324e+03       1.302436524324e+03      -1.302436524324e+03 
       3.228491865615e-04       1.391348143862e+03      -1.450227492010e-04      -1.391351125429e+03       0.000000000000e+00      -1.391351125429e+03      -1.391351125429e+03       1.391351125429e+03      -1.391351125429e+03 
       3.455492088575e-04       1.484787151386e+03      -1.772903382974e-04      -1.484790795730e+03       0.000000000000e+00      -1.484790795730e+03      -1.484790795730e+03       1.484790795730e+03      -1.484790795730e+03 
       3.695483575494e-04       1.583207397666e+03      -2.162128877048e-04      -1.583211841281e+03       0.000000000000e+00      -1.583211841281e+03      -1.583211841281e+03       1.583211841281e+03      -1.583211841281e+03 
       3.949789163640e-04       1.687100070008e+03      -2.632025286333e-04      -1.687105477875e+03       0.000000000000e+00      -1.687105477875e+03      -1.687105477875e+03       1.687105477875e+03      -1.687105477875e+03 
       4.219843271948e-04       1.796991559993e+03      -3.199928401219e-04      -1.796998132987e+03       0.000000000000e+00      -1.796998132987e+03      -1.796998132987e+03       1.796998132987e+03      -1.796998132987e+03 
       4.507193653101e-04       1.913442483924e+03      -3.887135248753e-04      -1.913450465923e+03       0.000000000000e+00      -1.913450465923e+03      -1.913450465923e+03       1.913450465923e+03      -1.913450465923e+03 
       4.813499602484e-04       2.037045082345e+03      -4.719810663879e-04      -2.037054771485e+03       0.000000000000e+00      -2.037054771485e+03      -2.037054771485e+03       2.037054771485e+03      -2.037054771485e+03 
       5.140525396193e-04       2.168418487030e+03      -5.730077071634e-04      -2.168430245794e+03       0.000000000000e+00      -2.168430245794e+03      -2.168430245794e+03       2.168430245794e+03      -2.168430245794e+03 
       5.490127597170e-04       2.308201392900e+03      -6.957308280425e-04      -2.308215666026e+03       0.000000000000e+00      -2.308215666026e+03      -2.308215666026e+03       2.308215666026e+03      -2.308215666026e+03 
       5.864234841228e-04       2.457041607566e+03      -8.449641166154e-04      -2.457058935758e+03       0.000000000000e+00      -2.457058935758e+03      -2.457058935758e+03       2.457058935758e+03      -2.457058935758e+03 
       6.264818863381e-04       2.615582194289e+03      -1.026570747438e-03      -2.615603239478e+03       0.000000000000e+00      -2.615603239478e+03      -2.615603239478e+03       2.615603239478e+03      -2.615603239478e+03 
       6.693855925968e-04       2.784443965469e+03      -1.247656885474e-03      -2.784469532615e+03       0.000000000000e+00      -2.784469532615e+03      -2.784469532615e+03       2.784469532615e+03      -2.784469532615e+03 
       7.153278528513e-04       2.964204512064e+03      -1.516781269648e-03      -2.964235581270e+03       0.000000000000e+00      -2.964235581270e+03      -2.964235581270e+03       2.964235581270e+03      -2.964235581270e+03 
       7.644918338936e-04       3.155374389752e+03      -1.844173412627e-03      -3.155412147742e+03       0.000000000000e+00      -3.155412147742e+03      -3.155412147742e+03       3.155412147742e+03      -3.155412147742e+03 
       8.170442633386e-04       3.358371642428e+03      -2.241949413637e-03      -3.358417520390e+03       0.000000000000e+00      -3.358417520390e+03      -3.358417520390e+03       3.358417520390e+03      -3.358417520390e+03 
       8.731288006755e-04       3.573496329228e+03      -2.724310972002e-03      -3.573552050161e+03       0.000000000000e+00      -3.573552050161e+03      -3.573552050161e+03       3.573552050161e+03      -3.573552050161e+03 
       9.328596442615e-04       3.800907252149e+03      -3.307710821749e-03      -3.800974858917e+03       0.000000000000e+00      -3.800974858917e+03      -3.800974858917e+03       3.800974858917e+03      -3.800974858917e+03 
       9.963159659542e-04       4.040603246011e+03      -4.010967111985e-03      -4.040685199425e+03       0.000000000000e+00      -4.040685199425e+03      -4.040685199425e+03       4.040685199425e+03      -4.040685199425e+03 
