# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585390715e-10       7.806878286811e-15       5.603665671885e-13       4.801770851995e-15       8.295053414820e-09       4.689812378589e-10      -2.069961097019e-12 
    3       2.442152880374e-10       1.011718482897e-14       4.540119149924e-13       4.836877680670e-15       5.165977254555e-09       3.331955269424e-10      -1.657325600202e-12 
    4       2.251776907950e-10       9.681959767779e-15       3.881848808038e-13       4.207381001395e-15       3.599238107182e-09       2.523853452545e-10      -1.177728925215e-12 
    5       2.145250164575e-10       7.469414717564e-15       3.248964408837e-13       3.296622942376e-15       2.687276827615e-09       1.994313863042e-10      -7.494946879077e-13 
    6       2.075462914881e-10       4.913041505957e-15       2.623285272939e-13       2.392965913165e-15       2.097620776979e-09       1.623378032938e-10      -4.080037439761e-13 
    7       2.029900855652e-10       2.947734506594e-15       2.058536172589e-13       1.655321492915e-15       1.690361952909e-09       1.350738640313e-10      -1.621209376259e-13 
    8       2.000075519189e-10       1.817583672033e-15       1.590668507235e-13       1.136839265373e-15       1.396166795407e-09       1.143556880234e-10      -5.637307192554e-15 
    9       1.981643918422e-10       1.330741566783e-15       1.236125664076e-13       8.256730318979e-16       1.175840894101e-09       9.825190823289e-11       7.615637329469e-14 
   10       1.971371104941e-10       1.185909599890e-15       9.941854354687e-14       6.799092923463e-16       1.005509603981e-09       8.546536137920e-11       1.021541545070e-13 
   11       1.966194210447e-10       1.169161608636e-15       8.518253312968e-14       6.513823118607e-16       8.467489796280e-10       7.532344634871e-11       9.186993805284e-14 
   12       1.965361912453e-10       1.193580543973e-15       7.874031364878e-14       6.980951245153e-16       7.398086058631e-10       6.669706198529e-11       6.312343786478e-14 
   13       1.967475407389e-10       1.249538871509e-15       7.762428805402e-14       7.893160787706e-16       6.520285003737e-10       5.943904048307e-11       2.907423270433e-14 
   14       1.971778683523e-10       1.346361471965e-15       7.954520012517e-14       9.048540197861e-16       5.789916741211e-10       5.334757454168e-11      -9.902124448659e-16 
   15       1.977979000234e-10       1.482988838440e-15       8.262934234816e-14       1.033510976944e-15       5.175210996566e-10       4.819984226184e-11      -2.218472078029e-14 
   16       1.985259191284e-10       1.648858310503e-15       8.570202520369e-14       1.169784348021e-15       4.652609902267e-10       4.376736724376e-11      -3.331095151028e-14 
   17       1.994142041843e-10       1.835054479163e-15       8.811856746052e-14       1.310901000354e-15       4.204312555169e-10       3.981807929024e-11      -3.583015832553e-14 
   18       2.003657664851e-10       2.039261691159e-15       8.961313376585e-14       1.456521883618e-15       3.815212107030e-10       3.638341841135e-11      -3.220141170786e-14 
   19       2.013978080589e-10       2.265399867115e-15       9.034913884008e-14       1.606430810655e-15       3.479152184139e-10       3.341775469514e-11      -2.498964238833e-14 
   20       2.024816596433e-10       2.518748054152e-15       9.065352869090e-14       1.760389085628e-15       3.183180138448e-10       3.075127248827e-11      -1.731390751591e-14 
   21       2.036281985832e-10       2.801049276223e-15       9.077259404171e-14       1.918296189913e-15       2.922646299627e-10       2.837462780472e-11      -1.085669394669e-14 
   22       2.048059844355e-10       3.112181111659e-15       9.090428439480e-14       2.080167202572e-15       2.691315905461e-10       2.628978594230e-11      -6.763651076003e-15 
   23       2.060337597339e-10       3.450934021582e-15       9.103552227243e-14       2.245903884052e-15       2.486005111703e-10       2.445872650510e-11      -5.095886804855e-15 
   24       2.073049555278e-10       3.815505247856e-15       9.103534399603e-14       2.415399181353e-15       2.301964088742e-10       2.280474837523e-11      -5.393380682374e-15 
   25       2.086161525669e-10       4.205930480034e-15       9.069866624414e-14       2.588460728520e-15       2.137028416786e-10       2.128895187431e-11      -7.062665525799e-15 
   26       2.099392023910e-10       4.622690655344e-15       8.975755534787e-14       2.764875934027e-15       1.988215181695e-10       1.987654633438e-11      -9.331567599414e-15 
   27       2.112847104660e-10       5.066157022690e-15       8.796566456778e-14       2.944388863331e-15       1.853742902446e-10       1.858509812405e-11      -1.148149120093e-14 
   28       2.126563149249e-10       5.536682587468e-15       8.507973798844e-14       3.126741786683e-15       1.731296688192e-10       1.743608021845e-11      -1.283726371839e-14 
   29       2.140673897804e-10       6.035104367299e-15       8.097975188033e-14       3.311715022211e-15       1.620248869022e-10       1.641727784760e-11      -1.332130181826e-14 
   30       2.155100346013e-10       6.562432062977e-15       7.558216177999e-14       3.499114298238e-15       1.519401916630e-10       1.549108246396e-11      -1.308451668555e-14 
   31       2.169571558778e-10       7.119723377564e-15       6.882632183424e-14       3.688750433968e-15       1.426693762592e-10       1.461261089726e-11      -1.233425654354e-14 
   32       2.184200023635e-10       7.708097550279e-15       6.075327274950e-14       3.880384474542e-15       1.341646630076e-10       1.378380629514e-11      -1.126049319612e-14 
   33       2.199073700518e-10       8.328731662151e-15       5.146022852092e-14       4.073762370993e-15       1.263662480149e-10       1.301826159956e-11      -1.009055302193e-14 
   34       2.214141842152e-10       8.982744216924e-15       4.104930482921e-14       4.268634212812e-15       1.191653358842e-10       1.232417037709e-11      -9.066080406526e-15 
   35       2.229419571022e-10       9.670793094037e-15       2.951056760013e-14       4.464772362729e-15       1.125250477857e-10       1.169510727472e-11      -8.281079367338e-15 
   36       2.244821494050e-10       1.039332728247e-14       1.679846836447e-14       4.661960046573e-15       1.063919600616e-10       1.111499433635e-11      -7.788953306315e-15 
