# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854629297585e-10       7.806992164697e-15       5.603731468921e-13       4.801773524860e-15       8.295498801940e-09       4.690125736251e-10      -2.069992069650e-12 
    3       2.442195728294e-10       1.011746661334e-14       4.540259553506e-13       4.836882861706e-15       5.166338332381e-09       3.332179087805e-10      -1.657372396852e-12 
    4       2.251821209354e-10       9.682395468990e-15       3.882084612117e-13       4.207389655488e-15       3.599552271913e-09       2.524019052937e-10      -1.177779984891e-12 
    5       2.145296566040e-10       7.469936344347e-15       3.249305234800e-13       3.296635826690e-15       2.687554421153e-09       1.994440045480e-10      -7.495390055027e-13 
    6       2.075513200235e-10       4.913581848116e-15       2.623739409629e-13       2.392984093556e-15       2.097867800586e-09       1.623479439849e-10      -4.080360038384e-13 
    7       2.029956237488e-10       2.948256662254e-15       2.059099771140e-13       1.655345924016e-15       1.690585386187e-09       1.350825028141e-10      -1.621424520937e-13 
    8       2.000135332745e-10       1.818070835826e-15       1.591331341810e-13       1.136870828683e-15       1.396373530270e-09       1.143631204693e-10      -5.652073216233e-15 
    9       1.981708032161e-10       1.331179460734e-15       1.236880293769e-13       8.257131490318e-16       1.176035206022e-09       9.825815628944e-11       7.614562718083e-14 
   10       1.971436499734e-10       1.186289420828e-15       9.950024360322e-14       6.799581277450e-16       1.005693089915e-09       8.547078605510e-11       1.021464255371e-13 
   11       1.966259133577e-10       1.169481340182e-15       8.526320520216e-14       6.514425173923e-16       8.468478044981e-10       7.532706996728e-11       9.186644862291e-14 
   12       1.965424517270e-10       1.193850102119e-15       7.881140986571e-14       6.981653431314e-16       7.398976117683e-10       6.670081889567e-11       6.312192046335e-14 
   13       1.967530289421e-10       1.249766417686e-15       7.768070456033e-14       7.894007078638e-16       6.521093874481e-10       5.944264769722e-11       2.907287790103e-14 
   14       1.971823920132e-10       1.346562911391e-15       7.958657901448e-14       9.049499497457e-16       5.790657826835e-10       5.335081682132e-11      -9.919980800642e-16 
   15       1.978013678433e-10       1.483168451685e-15       8.265810483629e-14       1.033623905936e-15       5.175894121806e-10       4.820264676394e-11      -2.218685757730e-14 
   16       1.985287864130e-10       1.649026085804e-15       8.572050666391e-14       1.169910747725e-15       4.653243584429e-10       4.376987797071e-11      -3.331321176870e-14 
   17       1.994159304280e-10       1.835209613534e-15       8.812916046660e-14       1.311045598724e-15       4.204902864444e-10       3.982060681833e-11      -3.583228603844e-14 
   18       2.003667469163e-10       2.039406801095e-15       8.961790795560e-14       1.456684465545e-15       3.815764309275e-10       3.638606796058e-11      -3.220310926003e-14 
   19       2.013983840866e-10       2.265538242142e-15       9.034967303372e-14       1.606610239151e-15       3.479671810651e-10       3.342034759040e-11      -2.499075540159e-14 
   20       2.024815726255e-10       2.518880407724e-15       9.065074620391e-14       1.760586688952e-15       3.183670631873e-10       3.075341870858e-11      -1.731450407988e-14 
   21       2.036273736384e-10       2.801176293299e-15       9.076731495308e-14       1.918513476052e-15       2.923110644290e-10       2.837636582963e-11      -1.085689389303e-14 
   22       2.048047378990e-10       3.112304189495e-15       9.089734258623e-14       2.080405109680e-15       2.691756702605e-10       2.629170961717e-11      -6.763561643570e-15 
   23       2.060321912669e-10       3.451054740782e-15       9.102767689624e-14       2.246163318364e-15       2.486424711582e-10       2.446103927265e-11      -5.095596134369e-15 
   24       2.073027751526e-10       3.815625000660e-15       9.102718435780e-14       2.415681180638e-15       2.302364359084e-10       2.280700727829e-11      -5.392956063086e-15 
   25       2.086131262357e-10       4.206049969951e-15       9.069053740168e-14       2.588766328295e-15       2.137411056757e-10       2.129086329650e-11      -7.062193610186e-15 
   26       2.099353076857e-10       4.622809998657e-15       8.974954933488e-14       2.765205990199e-15       1.988581637848e-10       1.987820994126e-11      -9.331153976528e-15 
   27       2.112800573461e-10       5.066277792515e-15       8.795794127372e-14       2.944743467450e-15       1.854094475203e-10       1.858667433323e-11      -1.148119112470e-14 
   28       2.126511037854e-10       5.536808221152e-15       8.507259518048e-14       3.127120210636e-15       1.731634461178e-10       1.743768018405e-11      -1.283706088854e-14 
   29       2.140617702732e-10       6.035238009839e-15       8.097340297981e-14       3.312116840445e-15       1.620573896697e-10       1.641896360999e-11      -1.332116254337e-14 
   30       2.155040379523e-10       6.562575624442e-15       7.557663374549e-14       3.499539893198e-15       1.519715155224e-10       1.549285403142e-11      -1.308440692688e-14 
   31       2.169506882047e-10       7.119877391637e-15       6.882146653587e-14       3.689201040917e-15       1.426995966809e-10       1.461440594774e-11      -1.233414447103e-14 
   32       2.184129486903e-10       7.708262119923e-15       6.074900672333e-14       3.880861484166e-15       1.341938527206e-10       1.378556506535e-11      -1.126035481134e-14 
   33       2.198996286995e-10       8.328906708889e-15       5.145663295374e-14       4.074267098337e-15       1.263944748807e-10       1.301995132414e-11      -1.009037630928e-14 
   34       2.214056703571e-10       8.982929561401e-15       4.104662739511e-14       4.269167864765e-15       1.191926567697e-10       1.232578800259e-11      -9.065867573139e-15 
   35       2.229325966768e-10       9.670988933265e-15       2.950907658616e-14       4.465336042724e-15       1.125515172500e-10       1.169666298235e-11      -8.280844207448e-15 
   36       2.244718798454e-10       1.039353441984e-14       1.679840316409e-14       4.662554729942e-15       1.064176281109e-10       1.111650791929e-11      -7.788722034991e-15 
   37       2.260078885506e-10       1.115095967797e-14       2.866485794416e-15       4.860603172221e-15       1.007110069289e-10       1.056714030542e-11      -7.621114474850e-15 
   38       2.275526852992e-10       1.194379277120e-14      -1.232744149137e-14       5.059221568002e-15       9.541688895694e-11       1.004808826140e-11      -7.706420302958e-15 
   39       2.291206232911e-10       1.277255953151e-14      -2.882416401846e-14       5.258134265740e-15       9.051849809865e-11       9.562729661711e-12      -7.921889727227e-15 
   40       2.307178301066e-10       1.363772778004e-14      -4.666758953380e-14       5.457058521483e-15       8.596913680610e-11       9.112761301109e-12      -8.112682956167e-15 
   41       2.323437680511e-10       1.453974404309e-14      -6.590376434819e-14       5.655711609576e-15       8.170845389361e-11       8.697999015198e-12      -8.132873302195e-15 
   42       2.339987858038e-10       1.547916710809e-14      -8.657668450221e-14       5.853836184977e-15       7.772389146082e-11       8.316120261567e-12      -7.989621926612e-15 
   43       2.356774429039e-10       1.645657162008e-14      -1.087317175825e-13       6.051182304667e-15       7.400484789573e-11       7.962543336016e-12      -7.742357534601e-15 
   44       2.373654674478e-10       1.747251040313e-14      -1.324170809956e-13       6.247500517084e-15       7.052423812196e-11       7.630271696077e-12      -7.464520797525e-15 
   45       2.390468997819e-10       1.852744684898e-14      -1.576725344377e-13       6.442537461177e-15       6.724816407019e-11       7.311959083768e-12      -7.228442217441e-15 
   46       2.407298809845e-10       1.962153034044e-14      -1.844908160186e-13       6.636021082394e-15       6.417146551296e-11       7.007257234065e-12      -7.052602918030e-15 
   47       2.424272671206e-10       2.075475198367e-14      -2.128451174482e-13       6.827671005660e-15       6.129056568785e-11       6.717364471861e-12      -6.940037377129e-15 
   48       2.441490819437e-10       2.192700067601e-14      -2.426992528969e-13       7.017202315665e-15       5.859274957124e-11       6.442928469174e-12      -6.892851323379e-15 
   49       2.459022042034e-10       2.313805826767e-14      -2.740072517672e-13       7.204325308290e-15       5.605548432764e-11       6.183998766967e-12      -6.912143344269e-15 
   50       2.476903828325e-10       2.438765319951e-14      -3.067247931246e-13       7.388758397923e-15       5.365320477093e-11       5.940164755599e-12      -6.996104061386e-15 
   51       2.495150128144e-10       2.567564980506e-14      -3.408481127747e-13       7.570271546458e-15       5.138141765358e-11       5.711123919343e-12      -7.133887261583e-15 
   52       2.513740294086e-10       2.700190202918e-14      -3.763849531537e-13       7.748654192925e-15       4.923796556913e-11       5.496185766462e-12      -7.309939648347e-15 
   53       2.532613084664e-10       2.836619740601e-14      -4.133437911669e-13       7.923703489638e-15       4.721581332033e-11       5.294062020167e-12      -7.505517614552e-15 
   54       2.551663691687e-10       2.976825497256e-14      -4.517339882148e-13       8.095224672714e-15       4.530271966311e-11       5.102827867886e-12      -7.698523088958e-15 
   55       2.570786225270e-10       3.120775005264e-14      -4.915649670729e-13       8.263033321047e-15       4.348496981846e-11       4.920451459497e-12      -7.868923684932e-15 
   56       2.590020338167e-10       3.268440059847e-14      -5.328431593797e-13       8.426961941526e-15       4.176041083461e-11       4.746625212229e-12      -8.016965977888e-15 
   57       2.609435819283e-10       3.419789864357e-14      -5.755745626223e-13       8.586855668731e-15       4.012807952238e-11       4.581321566280e-12      -8.149199269222e-15 
   58       2.629089151932e-10       3.574788429470e-14      -6.197657565168e-13       8.742570954241e-15       3.858425906090e-11       4.424248344934e-12      -8.273339953375e-15 
   59       2.649022312289e-10       3.733394469226e-14      -6.654240151199e-13       8.893976010744e-15       3.712230895329e-11       4.274832143409e-12      -8.398324934546e-15 
   60       2.669261567842e-10       3.895561297074e-14      -7.125574189410e-13       9.040951256126e-15       3.573249498231e-11       4.132201717708e-12      -8.534365043416e-15 
   61       2.689823788742e-10       4.061235709556e-14      -7.611703821086e-13       9.183387334147e-15       3.440469133780e-11       3.995448156847e-12      -8.689925342679e-15 
   62       2.710739755584e-10       4.230354579714e-14      -8.112488070388e-13       9.321177652590e-15       3.313758044420e-11       3.864511220772e-12      -8.861753148287e-15 
   63       2.732033974943e-10       4.402847311084e-14      -8.627717813527e-13       9.454224950656e-15       3.193122578411e-11       3.739463379128e-12      -9.042696292913e-15 
   64       2.753716684028e-10       4.578636649206e-14      -9.157158360775e-13       9.582443934534e-15       3.078430459668e-11       3.620242909473e-12      -9.224535506244e-15 
   65       2.775782887510e-10       4.757638545542e-14      -9.700549122820e-13       9.705761644608e-15       2.969402896510e-11       3.506646068255e-12      -9.397940324207e-15 
   66       2.798211394346e-10       4.939762021399e-14      -1.025760327711e-12       9.824117822658e-15       2.865606690406e-11       3.398319261782e-12      -9.552424998194e-15 
   67       2.820963854609e-10       5.124909031858e-14      -1.082800743420e-12       9.937465279074e-15       2.766446344734e-11       3.294751217205e-12      -9.676304404281e-15 
   68       2.844002197409e-10       5.312975238155e-14      -1.141144899547e-12       1.004576145919e-14       2.671323014574e-11       3.195415436332e-12      -9.759486688879e-15 
   69       2.867347200649e-10       5.503852810774e-14      -1.200770540916e-12       1.014894033709e-14       2.580166395305e-11       3.100248575804e-12      -9.802606854605e-15 
   70       2.891030113288e-10       5.697427952491e-14      -1.261657248367e-12       1.024693546025e-14       2.492996927647e-11       3.009255380308e-12      -9.809673176047e-15 
   71       2.915074820579e-10       5.893579929339e-14      -1.323783866427e-12       1.033968838608e-14       2.409764933229e-11       2.922363062252e-12      -9.785422162684e-15 
