# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434943043979e-10       5.120291093349e-15       3.941760297831e-13       0.000000000000e+00       8.295498801940e-09       4.690125736251e-10      -2.069992069650e-12 
    3       1.352938619699e-10       7.273239688918e-15       4.621053155379e-13       0.000000000000e+00       5.166338332381e-09       3.332179087805e-10      -1.657372396852e-12 
    4       1.274945387714e-10       7.071793918888e-15       4.487968783329e-13       0.000000000000e+00       3.599552271913e-09       2.524019052937e-10      -1.177779984891e-12 
    5       1.215505744074e-10       5.382718417682e-15       3.964198664522e-13       0.000000000000e+00       2.687554421153e-09       1.994440045480e-10      -7.495390055027e-13 
    6       1.173523994286e-10       3.408456866229e-15       3.303417689288e-13       0.000000000000e+00       2.097867800586e-09       1.623479439849e-10      -4.080360038384e-13 
    7       1.145553258378e-10       1.922480284493e-15       2.662179883044e-13       0.000000000000e+00       1.690585386187e-09       1.350825028141e-10      -1.621424520937e-13 
    8       1.127617139929e-10       1.103050790803e-15       2.121796763569e-13       0.000000000000e+00       1.396373530270e-09       1.143631204693e-10      -5.652073216233e-15 
    9       1.117826106928e-10       7.634655824789e-16       1.715572315516e-13       0.000000000000e+00       1.176035206022e-09       9.825815628944e-11       7.614562718083e-14 
   10       1.114358189343e-10       6.419664349477e-16       1.446074660447e-13       0.000000000000e+00       1.005693089915e-09       8.547078605510e-11       1.021464255371e-13 
   11       1.114980630888e-10       5.700816986478e-16       1.297992209219e-13       0.000000000000e+00       8.468478044981e-10       7.532706996728e-11       9.186644862291e-14 
   12       1.119423045662e-10       4.966584491236e-16       1.245780399408e-13       0.000000000000e+00       7.398976117683e-10       6.670081889567e-11       6.312192046335e-14 
   13       1.126568822281e-10       4.344252928252e-16       1.260920929633e-13       0.000000000000e+00       6.521093874481e-10       5.944264769722e-11       2.907287790103e-14 
   14       1.135843116574e-10       4.033110266013e-16       1.317498379205e-13       0.000000000000e+00       5.790657826835e-10       5.335081682132e-11      -9.919980800642e-16 
   15       1.147065372740e-10       4.062686091778e-16       1.394615975231e-13       0.000000000000e+00       5.175894121806e-10       4.820264676394e-11      -2.218685757730e-14 
   16       1.159490048286e-10       4.334871512193e-16       1.478951924917e-13       0.000000000000e+00       4.653243584429e-10       4.376987797071e-11      -3.331321176870e-14 
   17       1.173666042555e-10       4.753018193649e-16       1.562928429397e-13       0.000000000000e+00       4.204902864444e-10       3.982060681833e-11      -3.583228603844e-14 
