# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.849704780512e-10       7.793294964641e-15       5.594074282402e-13       4.793255667366e-15       8.281199763618e-09       4.682041830304e-10      -2.066424170381e-12 
    3       2.437976780923e-10       1.009954584500e-14       4.532434580414e-13       4.828063874776e-15       5.157432953844e-09       3.326434241618e-10      -1.654515628086e-12 
    4       2.247923281546e-10       9.664902873262e-15       3.875392072522e-13       4.199334638572e-15       3.593347207313e-09       2.519667076654e-10      -1.175749709849e-12 
    5       2.141575133778e-10       7.455855855530e-15       3.243705213451e-13       3.289749128958e-15       2.682921497802e-09       1.991003072914e-10      -7.482469520260e-13 
    6       2.071903019826e-10       4.903425370945e-15       2.619219073076e-13       2.387172497552e-15       2.094251333551e-09       1.620682425037e-10      -4.073326413536e-13 
    7       2.026413430090e-10       2.940924323029e-15       2.055553930380e-13       1.650242195394e-15       1.687670893826e-09       1.348495697217e-10      -1.618629613436e-13 
    8       1.996631787824e-10       1.812041608416e-15       1.588594499081e-13       1.132015982250e-15       1.393966074288e-09       1.141657689555e-10      -5.642330065796e-15 
    9       1.978222514875e-10       1.325263287061e-15       1.234760069382e-13       8.206678801288e-16       1.174007539295e-09       9.808877373713e-11       7.601436901870e-14 
   10       1.967955823942e-10       1.179814184861e-15       9.933049793245e-14       6.743564534428e-16       1.003958966128e-09       8.532369083779e-11       1.019703377453e-13 
   11       1.962771895193e-10       1.162145929091e-15       8.511843574080e-14       6.449988346158e-16       8.453812307966e-10       7.519739029011e-11       9.170808700250e-14 
   12       1.961919956610e-10       1.185499025100e-15       7.867842991031e-14       6.906703268869e-16       7.386159377281e-10       6.658572487378e-11       6.301312813355e-14 
   13       1.964004629039e-10       1.240266540227e-15       7.755080690894e-14       7.806921688184e-16       6.509795024359e-10       5.933992762881e-11       2.902277663919e-14 
   14       1.968273019492e-10       1.335757503445e-15       7.945472596877e-14       8.949079766601e-16       5.780622069381e-10       5.325876591848e-11      -9.903011483817e-16 
   15       1.974433676021e-10       1.470911489230e-15       8.252219103792e-14       1.022139101369e-15       5.166921552135e-10       4.811974581932e-11      -2.214863200816e-14 
   16       1.981672225423e-10       1.635180615982e-15       8.558108428378e-14       1.156892496941e-15       4.645175000857e-10       4.369468218657e-11      -3.325577808062e-14 
   17       1.990510846289e-10       1.819662524061e-15       8.798760665535e-14       1.296399939955e-15       4.197609825751e-10       3.975197153279e-11      -3.577049457800e-14 
   18       1.999981164710e-10       2.022044498304e-15       8.947597255808e-14       1.440323147010e-15       3.809144461459e-10       3.632310189587e-11      -3.214760233273e-14 
   19       2.010254617954e-10       2.246239777100e-15       9.020897782337e-14       1.588446528865e-15       3.473633489477e-10       3.336248042458e-11      -2.494771011537e-14 
   20       2.021044583524e-10       2.497518523511e-15       9.051251322215e-14       1.740532076101e-15       3.178144514847e-10       3.070049171851e-11      -1.728466195555e-14 
   21       2.032459712101e-10       2.777621489573e-15       9.063226198810e-14       1.896479745715e-15       2.918035441095e-10       2.832783631330e-11      -1.083813910588e-14 
   22       2.044186309224e-10       3.086427296758e-15       9.076568622284e-14       2.056304926897e-15       2.687081919233e-10       2.624653587228e-11      -6.751874985085e-15 
   23       2.056411418314e-10       3.422729144025e-15       9.089966058713e-14       2.219909891252e-15       2.482105354348e-10       2.441860365399e-11      -5.086831876271e-15 
   24       2.069069306976e-10       3.784727817746e-15       9.090334259121e-14       2.387188125488e-15       2.298363641810e-10       2.276741468936e-11      -5.383707854564e-15 
   25       2.082125833149e-10       4.172458990354e-15       9.057181657899e-14       2.557947934241e-15       2.133695932945e-10       2.125415937812e-11      -7.050055698991e-15 
   26       2.095299991746e-10       4.586402786655e-15       8.963740468057e-14       2.731977423861e-15       1.985124221054e-10       1.984414869620e-11      -9.315049273540e-15 
   27       2.108697513954e-10       5.026930958509e-15       8.785422295351e-14       2.909021399440e-15       1.850869958235e-10       1.855490008406e-11      -1.146133179595e-14 
   28       2.122354556314e-10       5.494397318815e-15       8.497953120308e-14       3.088822846618e-15       1.728622040215e-10       1.740781530916e-11      -1.281488186902e-14 
   29       2.136404724880e-10       5.989638084222e-15       8.089348367302e-14       3.271162680799e-15       1.617753850600e-10       1.639070713626e-11      -1.329821112252e-14 
   30       2.150769353749e-10       6.513661521979e-15       7.551259333757e-14       3.455847142857e-15       1.517069833496e-10       1.546605435798e-11      -1.306191404726e-14 
   31       2.165178142870e-10       7.067523707407e-15       6.877622722871e-14       3.642687515333e-15       1.424511287586e-10       1.458907230919e-11      -1.231293111645e-14 
   32       2.179743247036e-10       7.652342198975e-15       6.072534727573e-14       3.831445342295e-15       1.339601233348e-10       1.376169482324e-11      -1.124093606120e-14 
   33       2.194552192658e-10       8.269292224350e-15       5.145701994720e-14       4.021867047089e-15       1.261742616846e-10       1.299747405094e-11      -1.007292793156e-14 
   34       2.209554064409e-10       8.919490585517e-15       4.107320059168e-14       4.213703137012e-15       1.189849257027e-10       1.230457179430e-11      -9.050197079402e-15 
   35       2.224764093585e-10       9.603594924542e-15       2.956394853182e-14       4.406726334109e-15       1.123552979512e-10       1.167657277600e-11      -8.266578280897e-15 
   36       2.240097326268e-10       1.032205462208e-14       1.688375316106e-14       4.600720159420e-15       1.062320426275e-10       1.109743132821e-11      -7.775349745015e-15 
   37       2.255397820963e-10       1.107526323591e-14       2.984576725261e-15       4.795464262203e-15       1.005353157552e-10       1.054899322401e-11      -7.608027594167e-15 
   38       2.270785659272e-10       1.186374866394e-14      -1.217423213046e-14       4.990699261603e-15       9.525037802196e-11       1.003079409807e-11      -7.693141066242e-15 
   39       2.286403588959e-10       1.268803664145e-14      -2.863331973430e-14       5.186149916686e-15       9.036048227658e-11       9.546217451121e-12      -7.908177296702e-15 
   40       2.302312130367e-10       1.354859501870e-14      -4.643643194451e-14       5.381533872608e-15       8.581901180362e-11       9.096971505842e-12      -8.098594940345e-15 
   41       2.318505391201e-10       1.444587055721e-14      -6.562947636764e-14       5.576568738524e-15       8.156571993478e-11       8.682886221840e-12      -8.118747567198e-15 
   42       2.334987277144e-10       1.538042274259e-14      -8.625649409447e-14       5.770997341495e-15       7.758807043834e-11       8.301644163541e-12      -7.975778301564e-15 
   43       2.351704284384e-10       1.635282721852e-14      -1.083629702052e-13       5.964569819043e-15       7.387547999651e-11       7.948668443452e-12      -7.728995284567e-15 
   44       2.368514917014e-10       1.736363805294e-14      -1.319972701632e-13       6.157036733888e-15       7.040091042585e-11       7.616970552854e-12      -7.451690339543e-15 
   45       2.385260742201e-10       1.841332005705e-14      -1.571993001337e-13       6.348144847419e-15       6.713052237477e-11       7.299212855597e-12      -7.216048468320e-15 
   46       2.402022938788e-10       1.950202394808e-14      -1.839618316601e-13       6.537622928885e-15       6.405916448992e-11       6.995046898419e-12      -7.040518811677e-15 
   47       2.418929416145e-10       2.062974228389e-14      -2.122580575316e-13       6.725191706915e-15       6.118326614511e-11       6.705669010732e-12      -6.928137263268e-15 
   48       2.436079711463e-10       2.179636561184e-14      -2.420517909751e-13       6.910567494253e-15       5.849013431539e-11       6.431725766593e-12      -6.881014114936e-15 
   49       2.453541862758e-10       2.300167763739e-14      -2.732970579895e-13       7.093461946126e-15       5.595727520646e-11       6.173266584665e-12      -6.900255887876e-15 
   50       2.471352734776e-10       2.424540894916e-14      -3.059495589866e-13       7.273594807256e-15       5.355916794108e-11       5.929881178127e-12      -6.984065331712e-15 
   51       2.489526355606e-10       2.552742659520e-14      -3.400056672220e-13       7.450736792544e-15       5.129132701768e-11       5.701265856412e-12      -7.121614773100e-15 
   52       2.508042437748e-10       2.684758761366e-14      -3.754733113727e-13       7.624677928184e-15       4.915159872899e-11       5.486729005815e-12      -7.297374637236e-15 
   53       2.526840228819e-10       2.820568294725e-14      -4.123611787362e-13       7.795215941141e-15       4.713296004973e-11       5.284981891400e-12      -7.492629917934e-15 
   54       2.545815547055e-10       2.960143536743e-14      -4.506788661214e-13       7.962156628743e-15       4.522319095105e-11       5.094099955788e-12      -7.685316275525e-15 
   55       2.564863073432e-10       3.103452395654e-14      -4.904360206433e-13       8.125316119093e-15       4.340860043086e-11       4.912052169910e-12      -7.855431861319e-15 
   56       2.584022322606e-10       3.250466943182e-14      -5.316391664841e-13       8.284527463148e-15       4.168703923880e-11       4.738531739164e-12      -8.003222624801e-15 
   57       2.603362741730e-10       3.401156638176e-14      -5.742943541271e-13       8.439636327633e-15       4.005754582451e-11       4.573512395755e-12      -8.135227539730e-15 
   58       2.622940455795e-10       3.555485754684e-14      -6.184082104931e-13       8.590499681319e-15       3.851640979199e-11       4.416703983695e-12      -8.259150857135e-15 
   59       2.642797066373e-10       3.713413277846e-14      -6.639880504755e-13       8.736986238288e-15       3.705700215099e-11       4.267535889490e-12      -8.383915439304e-15 
   60       2.662958450357e-10       3.874892799783e-14      -7.110419884762e-13       8.878976901196e-15       3.566960556847e-11       4.125140472817e-12      -8.519716093776e-15 
   61       2.683441151877e-10       4.039871404461e-14      -7.595744860076e-13       9.016362683951e-15       3.434411180097e-11       3.988612342285e-12      -8.675004712977e-15 
   62       2.704275952203e-10       4.208286265300e-14      -8.095715743287e-13       9.149036932065e-15       3.307920553636e-11       3.857891674137e-12      -8.846534252860e-15 
   63       2.725487482780e-10       4.380067095641e-14      -8.610124976979e-13       9.276902134708e-15       3.187495012351e-11       3.733050663689e-12      -9.027164490280e-15 
   64       2.747086157595e-10       4.555136958901e-14      -9.138739519975e-13       9.399872647300e-15       3.073002507943e-11       3.614027513884e-12      -9.208689874358e-15 
   65       2.769067212841e-10       4.733412132385e-14      -9.681300514595e-13       9.517875054798e-15       2.964164731415e-11       3.500618618326e-12      -9.381795508986e-15 
   66       2.791409746583e-10       4.914801971095e-14      -1.023752295391e-12       9.630848534983e-15       2.860549235562e-11       3.392470744323e-12      -9.536013135329e-15 
   67       2.814075758431e-10       5.099208771550e-14      -1.080709534898e-12       9.738745221748e-15       2.761561557459e-11       3.289073215924e-12      -9.659677114332e-15 
   68       2.837027505666e-10       5.286528541511e-14      -1.138970699184e-12       9.841521854805e-15       2.666603891822e-11       3.189900213298e-12      -9.742712427356e-15 
   69       2.860285802062e-10       5.476653794725e-14      -1.198513690287e-12       9.939111951972e-15       2.575606054524e-11       3.094888626269e-12      -9.785753070288e-15 
   70       2.883881861038e-10       5.669471080420e-14      -1.259318239156e-12       1.003144862498e-14       2.488588449089e-11       3.004043428639e-12      -9.792800700317e-15 
   71       2.907839541322e-10       5.864860016499e-14      -1.321363342180e-12       1.011847293205e-14       2.405501482058e-11       2.917292222593e-12      -9.768583998240e-15 
   72       2.932174855077e-10       6.062693176524e-14      -1.384627298490e-12       1.020013401837e-14       2.326221945089e-11       2.834481261026e-12      -9.718587081090e-15 
   73       2.956895476016e-10       6.262835976693e-14      -1.449087747267e-12       1.027638925647e-14       2.250549397061e-11       2.755371469881e-12      -9.649077914778e-15 
   74       2.982000247521e-10       6.465146562828e-14      -1.514721705035e-12       1.034720438671e-14       2.178202546180e-11       2.679634470476e-12      -9.567136726726e-15 
   75       3.007478690765e-10       6.669475697350e-14      -1.581505602975e-12       1.041255365765e-14       2.108815632078e-11       2.606848601839e-12      -9.480684418505e-15 
   76       3.033319483324e-10       6.875671389282e-14      -1.649414260696e-12       1.047241979633e-14       2.042029167690e-11       2.536603160625e-12      -9.396794546507e-15 
   77       3.059538767304e-10       7.083594008792e-14      -1.718417509073e-12       1.052679360200e-14       1.977789265893e-11       2.468841858856e-12      -9.316211084607e-15 
   78       3.086156133675e-10       7.293103736331e-14      -1.788483016477e-12       1.057567453311e-14       1.916096577134e-11       2.403575061724e-12      -9.237877924437e-15 
   79       3.113185806774e-10       7.504056048632e-14      -1.859577312916e-12       1.061907100564e-14       1.856915116236e-11       2.340775396131e-12      -9.160559944470e-15 
   80       3.140636336371e-10       7.716301702950e-14      -1.931665805516e-12       1.065700053008e-14       1.800170579426e-11       2.280375992111e-12      -9.082836225830e-15 
   81       3.168510289737e-10       7.929686721306e-14      -2.004712794029e-12       1.068948984838e-14       1.745748661362e-11       2.222268724248e-12      -9.003093268097e-15 
   82       3.196803943712e-10       8.144052374725e-14      -2.078681486318e-12       1.071657507086e-14       1.693493372160e-11       2.166302453101e-12      -8.919518205121e-15 
   83       3.225506976765e-10       8.359235167480e-14      -2.153534013852e-12       1.073830181320e-14       1.643205354416e-11       2.112281266622e-12      -8.830092020822e-15 
   84       3.254608781689e-10       8.575067494268e-14      -2.229230643105e-12       1.075472039559e-14       1.594690306285e-11       2.060014513488e-12      -8.733167574773e-15 
   85       3.284119280591e-10       8.791379771433e-14      -2.305727225586e-12       1.076587022604e-14       1.547917160649e-11       2.009480285364e-12      -8.629328639634e-15 
   86       3.314051012046e-10       9.007998631804e-14      -2.382977351517e-12       1.077179306721e-14       1.502883164976e-11       1.960685938279e-12      -8.519828047187e-15 
   87       3.344412623520e-10       9.224746278793e-14      -2.460933118302e-12       1.077253779712e-14       1.459565278315e-11       1.913617835351e-12      -8.406033279761e-15 
   88       3.375208674706e-10       9.441440481941e-14      -2.539545132500e-12       1.076816046312e-14       1.417919330440e-11       1.868240458656e-12      -8.289429514774e-15 
   89       3.406439440859e-10       9.657894572475e-14      -2.618762511811e-12       1.075872433583e-14       1.377879180997e-11       1.824495521104e-12      -8.171622669277e-15 
   90       3.438100716138e-10       9.873917438855e-14      -2.698532887055e-12       1.074429996308e-14       1.339355878644e-11       1.782301078313e-12      -8.054342444502e-15 
   91       3.470183616940e-10       1.008931352233e-13      -2.778802404147e-12       1.072496522393e-14       1.302236820202e-11       1.741550640480e-12      -7.939445370399e-15 
