# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.849709584423e-10       7.793534081207e-15       5.594074241953e-13       4.793494783894e-15       8.281199763618e-09       4.682041830304e-10      -2.066424170381e-12 
    3       2.437986353668e-10       1.010002421114e-14       4.532434400345e-13       4.828542240544e-15       5.157432953844e-09       3.326434241618e-10      -1.654515628086e-12 
    4       2.247939159257e-10       9.665700439603e-15       3.875391555847e-13       4.200132203112e-15       3.593347207313e-09       2.519667076654e-10      -1.175749709849e-12 
    5       2.141598808791e-10       7.457052733242e-15       3.243704038497e-13       3.290946000514e-15       2.682921497802e-09       1.991003072914e-10      -7.482469520260e-13 
    6       2.071935932202e-10       4.905101857867e-15       2.619216767640e-13       2.388848967726e-15       2.094251333551e-09       1.620682425037e-10      -4.073326413536e-13 
    7       2.026456960648e-10       2.943160921234e-15       2.055549849122e-13       1.652478754750e-15       1.687670893826e-09       1.348495697217e-10      -1.618629613436e-13 
    8       1.996687252858e-10       1.814919032155e-15       1.588587804578e-13       1.134893325963e-15       1.393966074288e-09       1.141657689555e-10      -5.642330065796e-15 
    9       1.978291162677e-10       1.328862460394e-15       1.234749717116e-13       8.242669032228e-16       1.174007539295e-09       9.808877373713e-11       7.601436901870e-14 
   10       1.968038833173e-10       1.184216228668e-15       9.932897067677e-14       6.787582356025e-16       1.003958966128e-09       8.532369083779e-11       1.019703377453e-13 
   11       1.962870375090e-10       1.167432137483e-15       8.511626772359e-14       6.502846150101e-16       8.453812307966e-10       7.519739029011e-11       9.170808700250e-14 
   12       1.962034948950e-10       1.191750831645e-15       7.867544964382e-14       6.969214698831e-16       7.386159377281e-10       6.658572487378e-11       6.301312813355e-14 
   13       1.964137111707e-10       1.247565474746e-15       7.754682025739e-14       7.879901218598e-16       6.509795024359e-10       5.933992762881e-11       2.902277663919e-14 
   14       1.968423911479e-10       1.344185140443e-15       7.944951660824e-14       9.033342219275e-16       5.780622069381e-10       5.325876591848e-11      -9.903011483817e-16 
   15       1.974603843579e-10       1.480549389310e-15       8.251552123059e-14       1.031775103118e-15       5.166921552135e-10       4.811974581932e-11      -2.214863200816e-14 
   16       1.981862489124e-10       1.646110261805e-15       8.557269592245e-14       1.167819646605e-15       4.645175000857e-10       4.369468218657e-11      -3.325577808062e-14 
   17       1.990721988671e-10       1.831965252580e-15       8.797722253057e-14       1.308699501203e-15       4.197609825751e-10       3.975197153279e-11      -3.577049457800e-14 
   18       2.000213938330e-10       2.035801430282e-15       8.946329782091e-14       1.454076201860e-15       3.809144461459e-10       3.632310189587e-11      -3.214760233273e-14 
   19       2.010509752671e-10       2.261531750605e-15       9.019370146603e-14       1.603733933590e-15       3.473633489477e-10       3.336248042458e-11      -2.494771011537e-14 
   20       2.021322795019e-10       2.514426020216e-15       9.049430987932e-14       1.757434411334e-15       3.178144514847e-10       3.070049171851e-11      -1.728466195555e-14 
   21       2.032761707584e-10       2.796224576563e-15       9.061079346260e-14       1.915077290360e-15       2.918035441095e-10       2.832783631330e-11      -1.083813910588e-14 
   22       2.044512794578e-10       3.106805560033e-15       9.074060336611e-14       2.076677624824e-15       2.687081919233e-10       2.624653587228e-11      -6.751874985085e-15 
   23       2.056763101687e-10       3.444961641961e-15       9.087060481986e-14       2.242137344896e-15       2.482105354348e-10       2.441860365399e-11      -5.086831876271e-15 
   24       2.069446903817e-10       3.808893026095e-15       9.086994778616e-14       2.411349582258e-15       2.298363641810e-10       2.276741468936e-11      -5.383707854564e-15 
   25       2.082530066853e-10       4.198634772015e-15       9.053371051802e-14       2.584122302757e-15       2.133695932945e-10       2.125415937812e-11      -7.050055698991e-15 
   26       2.095731596085e-10       4.614666350985e-15       8.959421090868e-14       2.760243281514e-15       1.985124221054e-10       1.984414869620e-11      -9.315049273540e-15 
   27       2.109157231505e-10       5.057358843076e-15       8.780556230291e-14       2.939457025231e-15       1.850869958235e-10       1.855490008406e-11      -1.146133179595e-14 
   28       2.122843138003e-10       5.527065364218e-15       8.492502365009e-14       3.121506248454e-15       1.728622040215e-10       1.740781530916e-11      -1.281488186902e-14 
   29       2.136922924205e-10       6.024621437673e-15       8.083274986865e-14       3.306171648109e-15       1.617753850600e-10       1.639070713626e-11      -1.329821112252e-14 
   30       2.151317924371e-10       6.551034622133e-15       7.544525659971e-14       3.493259287530e-15       1.517069833496e-10       1.546605435798e-11      -1.306191404726e-14 
   31       2.165757836011e-10       7.107360268604e-15       6.870191575235e-14       3.682580312091e-15       1.424511287586e-10       1.458907230919e-11      -1.231293111645e-14 
   32       2.180354803764e-10       7.694715218719e-15       6.064369632614e-14       3.873896178713e-15       1.339601233348e-10       1.376169482324e-11      -1.124093606120e-14 
   33       2.195196338491e-10       8.314273980459e-15       5.136767422661e-14       4.066953276103e-15       1.261742616846e-10       1.299747405094e-11      -1.007292793156e-14 
   34       2.210231504558e-10       8.967152627347e-15       4.097581691317e-14       4.261502124228e-15       1.189849257027e-10       1.230457179430e-11      -9.050197079402e-15 
   35       2.225475507756e-10       9.654008055222e-15       2.945819921022e-14       4.457315477942e-15       1.123552979512e-10       1.167657277600e-11      -8.266578280897e-15 
   36       2.240843362807e-10       1.037528889068e-14       1.676932912386e-14       4.654176936436e-15       1.062320426275e-10       1.109743132821e-11      -7.775349745015e-15 
   37       2.256179092455e-10       1.113138791580e-14       2.861190994914e-15       4.851866259870e-15       1.005353157552e-10       1.054899322401e-11      -7.608027594167e-15 
   38       2.271602744627e-10       1.192283216752e-14      -1.230683942266e-14       5.050124128844e-15       9.525037802196e-11       1.003079409807e-11      -7.693141066242e-15 
   39       2.287257030395e-10       1.275014647971e-14      -2.877537712560e-14       5.248675374355e-15       9.036048227658e-11       9.546217451121e-12      -7.908177296702e-15 
   40       2.303202428157e-10       1.361379777874e-14      -4.658813263492e-14       5.447237748730e-15       8.581901180362e-11       9.096971505842e-12      -8.098594940345e-15 
   41       2.319433001934e-10       1.451423184647e-14      -6.579097361111e-14       5.645528970039e-15       8.156571993478e-11       8.682886221840e-12      -8.118747567198e-15 
   42       2.335952624850e-10       1.545200701822e-14      -8.642789490976e-14       5.843291857193e-15       7.758807043834e-11       8.301644163541e-12      -7.975778301564e-15 
   43       2.352707762325e-10       1.642769769551e-14      -1.085443299645e-13       6.040276506253e-15       7.387547999651e-11       7.948668443452e-12      -7.728995284567e-15 
   44       2.369556885811e-10       1.744185664143e-14      -1.321885874049e-13       6.236233437189e-15       7.040091042585e-11       7.616970552854e-12      -7.451690339543e-15 
   45       2.386341531942e-10       1.849494726413e-14      -1.574005113823e-13       6.430909341571e-15       6.713052237477e-11       7.299212855597e-12      -7.216048468320e-15 
   46       2.403142864759e-10       1.958711866413e-14      -1.841728067000e-13       6.624032806002e-15       6.405916448992e-11       6.995046898419e-12      -7.040518811677e-15 
   47       2.420088784805e-10       2.071836164707e-14      -2.124785940501e-13       6.815324323221e-15       6.118326614511e-11       6.705669010732e-12      -6.928137263268e-15 
   48       2.437278822789e-10       2.188856490003e-14      -2.422816088585e-13       7.004499938337e-15       5.849013431539e-11       6.431725766593e-12      -6.881014114936e-15 
   49       2.454781012707e-10       2.309751015651e-14      -2.735357934467e-13       7.191271005412e-15       5.595727520646e-11       6.173266584665e-12      -6.900255887876e-15 
   50       2.472632219068e-10       2.434492591587e-14      -3.061967598358e-13       7.375356940913e-15       5.355916794108e-11       5.929881178127e-12      -6.984065331712e-15 
   51       2.490846477637e-10       2.563067700914e-14      -3.402607924426e-13       7.556528129927e-15       5.129132701768e-11       5.701265856412e-12      -7.121614773100e-15 
   52       2.509403513696e-10       2.695461813109e-14      -3.757357272510e-13       7.734574245589e-15       4.915159872899e-11       5.486729005815e-12      -7.297374637236e-15 
   53       2.528242591807e-10       2.831653775296e-14      -4.126301536691e-13       7.909292629587e-15       4.713296004973e-11       5.284981891400e-12      -7.492629917934e-15 
   54       2.547259551487e-10       2.971615604291e-14      -4.509535653094e-13       8.080488660354e-15       4.522319095105e-11       5.094099955788e-12      -7.685316275525e-15 
   55       2.566349095026e-10       3.115314941529e-14      -4.907155031222e-13       8.247978066612e-15       4.340860043086e-11       4.912052169910e-12      -7.855431861319e-15 
   56       2.585550743871e-10       3.262723608391e-14      -5.319223901034e-13       8.411593697496e-15       4.168703923880e-11       4.738531739164e-12      -8.003222624801e-15 
   57       2.604933948685e-10       3.413810811965e-14      -5.745801743626e-13       8.571181079202e-15       4.005754582451e-11       4.573512395755e-12      -8.135227539730e-15 
   58       2.624554838847e-10       3.568540566449e-14      -6.186953769710e-13       8.726597051336e-15       3.851640979199e-11       4.416703983695e-12      -8.259150857135e-15 
   59       2.644455021189e-10       3.726871588948e-14      -6.642752034818e-13       8.877710210908e-15       3.705700215099e-11       4.267535889490e-12      -8.383915439304e-15 
   60       2.664660378740e-10       3.888757195278e-14      -7.113276554515e-13       9.024401356326e-15       3.566960556847e-11       4.125140472817e-12      -8.519716093776e-15 
   61       2.685187455791e-10       4.054144198541e-14      -7.598570800097e-13       9.166561465041e-15       3.434411180097e-11       3.988612342285e-12      -8.675004712977e-15 
   62       2.706067005480e-10       4.222969551696e-14      -8.098493989494e-13       9.304084091605e-15       3.307920553636e-11       3.857891674137e-12      -8.846534252860e-15 
   63       2.727323620112e-10       4.395162763043e-14      -8.612837469545e-13       9.436872043384e-15       3.187495012351e-11       3.733050663689e-12      -9.027164490280e-15 
   64       2.748967669710e-10       4.570646693793e-14      -9.141367084181e-13       9.564840054830e-15       3.073002507943e-11       3.614027513884e-12      -9.208689874358e-15 
   65       2.770994341461e-10       4.749337422226e-14      -9.683822842161e-13       9.687915153210e-15       2.964164731415e-11       3.500618618326e-12      -9.381795508986e-15 
   66       2.793382679167e-10       4.931144107851e-14      -1.023991858481e-12       9.806037024355e-15       2.860549235562e-11       3.392470744323e-12      -9.536013135329e-15 
   67       2.816094622692e-10       5.115968855564e-14      -1.080934165376e-12       9.919158378387e-15       2.761561557459e-11       3.289073215924e-12      -9.659677114332e-15 
   68       2.839092366237e-10       5.303707492990e-14      -1.139178014536e-12       1.002723655554e-14       2.666603891822e-11       3.189900213298e-12      -9.742712427356e-15 
   69       2.862396664577e-10       5.494252389074e-14      -1.198701182947e-12       1.013020555095e-14       2.575606054524e-11       3.094888626269e-12      -9.785753070288e-15 
   70       2.886038669906e-10       5.687489965203e-14      -1.259483273382e-12       1.022799895234e-14       2.488588449089e-11       3.004043428639e-12      -9.792800700317e-15 
   71       2.910042175129e-10       5.883299722085e-14      -1.321503151814e-12       1.032055833753e-14       2.405501482058e-11       2.917292222593e-12      -9.768583998240e-15 
   72       2.934423121820e-10       6.081554127260e-14      -1.384738984738e-12       1.040783341618e-14       2.326221945089e-11       2.834481261026e-12      -9.718587081090e-15 
   73       2.959189108185e-10       6.282118502618e-14      -1.449168276504e-12       1.048978217144e-14       2.250549397061e-11       2.755371469881e-12      -9.649077914778e-15 
   74       2.984338897018e-10       6.484850911909e-14      -1.514767906638e-12       1.056637100169e-14       2.178202546180e-11       2.679634470476e-12      -9.567136726726e-15 
   75       3.009861923668e-10       6.689602048257e-14      -1.581514167179e-12       1.063757486221e-14       2.108815632078e-11       2.606848601839e-12      -9.480684418505e-15 
   76       3.035746785626e-10       6.896219857119e-14      -1.649381735750e-12       1.070337714035e-14       2.042029167690e-11       2.536603160625e-12      -9.396794546507e-15 
   77       3.062009586255e-10       7.104564627053e-14      -1.718340296092e-12       1.076376894147e-14       1.977789265893e-11       2.468841858856e-12      -9.316211084607e-15 
   78       3.088669889754e-10       7.314496459245e-14      -1.788357366222e-12       1.081874992963e-14       1.916096577134e-11       2.403575061724e-12      -9.237877924437e-15 
   79       3.115741895174e-10       7.525870761060e-14      -1.859399323270e-12       1.086832871657e-14       1.856915116236e-11       2.340775396131e-12      -9.160559944470e-15 
   80       3.143234128550e-10       7.738538230662e-14      -1.931431418979e-12       1.091252299801e-14       1.800170579426e-11       2.280375992111e-12      -9.082836225830e-15 
   81       3.171149135040e-10       7.952344841631e-14      -2.004417795212e-12       1.095135968983e-14       1.745748661362e-11       2.222268724248e-12      -9.003093268097e-15 
   82       3.199483171062e-10       8.167131827582e-14      -2.078321499456e-12       1.098487506431e-14       1.693493372160e-11       2.166302453101e-12      -8.919518205121e-15 
   83       3.228225896427e-10       8.382735666779e-14      -2.153104500327e-12       1.101311488639e-14       1.643205354416e-11       2.112281266622e-12      -8.830092020822e-15 
   84       3.257366686033e-10       8.598988740681e-14      -2.228726904306e-12       1.103612965966e-14       1.594690306285e-11       2.060014513488e-12      -8.733167574773e-15 
   85       3.286915441532e-10       8.815721468689e-14      -2.305144422795e-12       1.105395916050e-14       1.547917160649e-11       2.009480285364e-12      -8.629328639634e-15 
   86       3.316884681381e-10       9.032760500734e-14      -2.382310511628e-12       1.106664557788e-14       1.502883164976e-11       1.960685938279e-12      -8.519828047187e-15 
   87       3.347283034337e-10       9.249928070827e-14      -2.460177134553e-12       1.107423822887e-14       1.459565278315e-11       1.913617835351e-12      -8.406033279761e-15 
   88       3.378115042841e-10       9.467041993002e-14      -2.538694765312e-12       1.107679361270e-14       1.417919330440e-11       1.868240458656e-12      -8.289429514774e-15 
   89       3.409380966412e-10       9.683915657257e-14      -2.617812389721e-12       1.107437546479e-14       1.377879180997e-11       1.824495521104e-12      -8.171622669277e-15 
   90       3.441076585030e-10       9.900358025503e-14      -2.697477507749e-12       1.106705481079e-14       1.339355878644e-11       1.782301078313e-12      -8.054342444502e-15 
   91       3.473193002534e-10       1.011617362750e-13      -2.777636135601e-12       1.105491002063e-14       1.302236820202e-11       1.741550640480e-12      -7.939445370399e-15 
   92       3.505716450003e-10       1.033116255683e-13      -2.858232807794e-12       1.103802686258e-14       1.266384909795e-11       1.702112284258e-12      -7.828917850186e-15 
   93       3.538633748668e-10       1.054512505947e-13      -2.939211700376e-12       1.101649464695e-14       1.231671063732e-11       1.663860866504e-12      -7.724475193680e-15 
   94       3.571950065534e-10       1.075787609805e-13      -3.020520189291e-12       1.099039387642e-14       1.198079143762e-11       1.626782136745e-12      -7.626283120922e-15 
   95       3.605673477118e-10       1.096923298077e-13      -3.102105833527e-12       1.095980682961e-14       1.165615324564e-11       1.590882714042e-12      -7.534048706942e-15 
   96       3.639809430539e-10       1.117901102207e-13      -3.183915318903e-12       1.092482130626e-14       1.134275776228e-11       1.556157952379e-12      -7.447404792186e-15 
   97       3.674360624598e-10       1.138702360167e-13      -3.265894475536e-12       1.088553062763e-14       1.104046281130e-11       1.522591506923e-12      -7.365907481262e-15 
   98       3.709326890854e-10       1.159308222351e-13      -3.347988295313e-12       1.084203363680e-14       1.074901850808e-11       1.490154900283e-12      -7.289033641687e-15 
   99       3.744705074700e-10       1.179699657474e-13      -3.430140949359e-12       1.079443469913e-14       1.046806342841e-11       1.458807088765e-12      -7.216178402636e-15 
  100       3.780488916440e-10       1.199857458473e-13      -3.512295805507e-12       1.074284370253e-14       1.019712077720e-11       1.428494028630e-12      -7.146652653689e-15 
  101       3.816668932364e-10       1.219762248405e-13      -3.594395445769e-12       1.068737605792e-14       9.935594557305e-12       1.399148242354e-12      -7.079680543582e-15 
  102       3.853232295829e-10       1.239394486345e-13      -3.676381683803e-12       1.062815269954e-14       9.682765738233e-12       1.370688384878e-12      -7.014396978954e-15 
  103       3.890162718329e-10       1.258734473285e-13      -3.758195582385e-12       1.056530008532e-14       9.437788424938e-12       1.343018809875e-12      -6.949845123094e-15 
  104       3.927444777922e-10       1.277762769321e-13      -3.839777366544e-12       1.049894548604e-14       9.199881489490e-12       1.316051676580e-12      -6.885170431570e-15 
  105       3.965077826554e-10       1.296461496694e-13      -3.921066111984e-12       1.042920212716e-14       8.968941199813e-12       1.289777605577e-12      -6.820237998070e-15 
  106       4.003063748444e-10       1.314813224584e-13      -4.002000046946e-12       1.035618203115e-14       8.745004590895e-12       1.264203803390e-12      -6.755094328159e-15 
  107       4.041402611305e-10       1.332800583838e-13      -4.082516668907e-12       1.028000049880e-14       8.528059728987e-12       1.239332190427e-12      -6.689777912024e-15 
  108       4.080092596283e-10       1.350406277387e-13      -4.162552760903e-12       1.020077605776e-14       8.318044028313e-12       1.215159214927e-12      -6.624318882962e-15 
