# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842033759336e-10       7.780798996065e-15       5.606765431842e-13       4.782451445075e-15       8.330293551527e-09       4.600421071117e-10      -2.068991297743e-12 
    3       2.431755307988e-10       1.010963228996e-14       4.539413003362e-13       4.826041849839e-15       5.194433689659e-09       3.273330917828e-10      -1.658277500942e-12 
    4       2.243497919091e-10       9.704017462565e-15       3.879442103871e-13       4.206030875041e-15       3.619683947352e-09       2.481429735075e-10      -1.180849009506e-12 
    5       2.138582409521e-10       7.511206140710e-15       3.247017147100e-13       3.301924783643e-15       2.702882211873e-09       1.961506496636e-10      -7.539857828327e-13 
    6       2.069902094610e-10       4.956063170423e-15       2.622328611664e-13       2.401074777302e-15       2.110159039490e-09       1.596898366977e-10      -4.128663910122e-13 
    7       2.025147508998e-10       2.978685098366e-15       2.058665466503e-13       1.662916397113e-15       1.700385653493e-09       1.329086248051e-10      -1.664916746611e-13 
    8       1.996015889042e-10       1.833191155023e-15       1.591688763768e-13       1.141867222253e-15       1.404083144232e-09       1.125566625585e-10      -8.933262532372e-15 
    9       1.978066731849e-10       1.334953032020e-15       1.237648917789e-13       8.271867116092e-16       1.182265567765e-09       9.670880610580e-11       7.417563026450e-14 
   10       1.968054904344e-10       1.184186601370e-15       9.955332425749e-14       6.778697643970e-16       1.011022775717e-09       8.412737827967e-11       1.014173683467e-13 
   11       1.963465405494e-10       1.164916736951e-15       8.521436358828e-14       6.461134708396e-16       8.508413150654e-10       7.416338463488e-11       9.207976310829e-14 
   12       1.962457141364e-10       1.187435305138e-15       7.867745166590e-14       6.901903692568e-16       7.433508171664e-10       6.574728374447e-11       6.402290198247e-14 
