# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842038603162e-10       7.781039601225e-15       5.606765391298e-13       4.782692050196e-15       8.330293551527e-09       4.600421071117e-10      -2.068991297743e-12 
    3       2.431764960088e-10       1.011011363430e-14       4.539412822862e-13       4.826523193795e-15       5.194433689659e-09       3.273330917828e-10      -1.658277500942e-12 
    4       2.243513928022e-10       9.704819994827e-15       3.879441585941e-13       4.206833405422e-15       3.619683947352e-09       2.481429735075e-10      -1.180849009506e-12 
    5       2.138606279460e-10       7.512410471480e-15       3.247015969236e-13       3.303129107987e-15       2.702882211873e-09       1.961506496636e-10      -7.539857828327e-13 
    6       2.069935276772e-10       4.957750098577e-15       2.622326300387e-13       2.402761687963e-15       2.110159039490e-09       1.596898366977e-10      -4.128663910122e-13 
    7       2.025191394586e-10       2.980935628887e-15       2.058661374637e-13       1.665166887043e-15       1.700385653493e-09       1.329086248051e-10      -1.664916746611e-13 
    8       1.996071803913e-10       1.836086507180e-15       1.591682051367e-13       1.144762490759e-15       1.404083144232e-09       1.125566625585e-10      -8.933262532372e-15 
    9       1.978135933011e-10       1.338574637187e-15       1.237638536989e-13       8.308081596480e-16       1.182265567765e-09       9.670880610580e-11       7.417563026450e-14 
   10       1.968138578339e-10       1.188616090164e-15       9.955179265404e-14       6.822989793712e-16       1.011022775717e-09       8.412737827967e-11       1.014173683467e-13 
   11       1.963564668634e-10       1.170235915713e-15       8.521218918700e-14       6.514322013487e-16       8.508413150654e-10       7.416338463488e-11       9.207976310829e-14 
   12       1.962573041756e-10       1.193726122158e-15       7.867446231131e-14       6.964804906758e-16       7.433508171664e-10       6.574728374447e-11       6.402290198247e-14 
   13       1.964951962240e-10       1.248406201308e-15       7.753267929085e-14       7.864550543345e-16       6.551190542562e-10       5.848362072123e-11       3.007729016706e-14 
