# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907313664094e-10       8.047527660241e-15       5.800951770154e-13       4.759414604929e-15       8.560810750095e-09       4.828397738679e-10      -2.174832067576e-12 
    3       2.493499331828e-10       1.044849984856e-14       4.777792842972e-13       4.799925665589e-15       5.317928548412e-09       3.425725860627e-10      -1.736057036158e-12 
    4       2.299318119398e-10       9.992272650346e-15       4.105905282273e-13       4.178848411822e-15       3.698942271311e-09       2.591856486398e-10      -1.231284101006e-12 
    5       2.189319176040e-10       7.698126897884e-15       3.440138533903e-13       3.276600724398e-15       2.758246095562e-09       2.045939497457e-10      -7.825609608364e-13 
    6       2.116811752082e-10       5.053887797397e-15       2.777491460754e-13       2.380027647383e-15       2.150845285486e-09       1.663894695457e-10      -4.257423173044e-13 
    7       2.069162134786e-10       3.025210298211e-15       2.179174827551e-13       1.647574040728e-15       1.731784146152e-09       1.383335807438e-10      -1.693586474080e-13 
    8       2.037711003493e-10       1.860924272067e-15       1.684244043015e-13       1.132527269019e-15       1.429310448091e-09       1.170298901435e-10      -6.454924687305e-15 
    9       2.018023111456e-10       1.359906120897e-15       1.309881338757e-13       8.234299782136e-16       1.202938505705e-09       1.004827836923e-10       7.859435430114e-14 
   10       2.006777562591e-10       1.209747606179e-15       1.054792381280e-13       6.787933310868e-16       1.028050344149e-09       8.735384022272e-11       1.056223556910e-13 
   11       2.000818653738e-10       1.189765630414e-15       9.047614948845e-14       6.508084657680e-16       8.656532085182e-10       7.697965312276e-11       9.501193546062e-14 
   12       1.999367475290e-10       1.211026717181e-15       8.367531827103e-14       6.977359252391e-16       7.559618377904e-10       6.813063910478e-11       6.526047412683e-14 
   13       2.000980568462e-10       1.264320897446e-15       8.247780132531e-14       7.890087848590e-16       6.659687409765e-10       6.068806262975e-11       3.003679446355e-14 
   14       2.004876425145e-10       1.359654291177e-15       8.448585771368e-14       9.045301905135e-16       5.911253281423e-10       5.444536622494e-11      -1.045343256952e-15 
   15       2.010751878173e-10       1.496044345225e-15       8.774338415715e-14       1.033149630980e-15       5.281615704162e-10       4.917365286214e-11      -2.294275891065e-14 
   16       2.017766417803e-10       1.662562636480e-15       9.102300206403e-14       1.169385153688e-15       4.746538813671e-10       4.463682077487e-11      -3.442969330869e-14 
   17       2.026449890741e-10       1.849933204837e-15       9.365048589623e-14       1.310470685706e-15       4.287715156874e-10       4.059457872389e-11      -3.702731585032e-14 
