# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865922662546e-10       7.676758657465e-15       5.585189604164e-13       4.718825807520e-15       8.374735018153e-09       4.690796679546e-10      -2.049096662244e-12 
    3       2.443825029718e-10       9.939163564925e-15       4.498648133903e-13       4.753396619916e-15       5.154068586260e-09       3.332398407323e-10      -1.642150645026e-12 
    4       2.253570079910e-10       9.510851537097e-15       3.846358658686e-13       4.135085700400e-15       3.589061463662e-09       2.525102219705e-10      -1.166783951953e-12 
    5       2.147248429761e-10       7.338148748209e-15       3.219795955939e-13       3.240727302346e-15       2.680536038357e-09       1.995613067917e-10      -7.422309896187e-13 
    6       2.077494850658e-10       4.828831223488e-15       2.600541086807e-13       2.353796728154e-15       2.094373682450e-09       1.624750757905e-10      -4.038005547627e-13 
    7       2.031994464934e-10       2.901298470847e-15       2.042093457262e-13       1.630347668054e-15       1.689377264790e-09       1.352067441412e-10      -1.601447557486e-13 
    8       2.002207860044e-10       1.794308430221e-15       1.579943144422e-13       1.122605763263e-15       1.395302842098e-09       1.144623879712e-10      -5.112161506246e-15 
    9       1.983787700108e-10       1.318896415728e-15       1.230209797817e-13       8.187886295188e-16       1.173897171982e-09       9.832340220192e-11       7.586531357426e-14 
   10       1.973574873119e-10       1.178988785756e-15       9.914200666349e-14       6.776592289391e-16       1.002616335036e-09       8.551395936970e-11       1.015147961582e-13 
   11       1.968418256467e-10       1.164638686193e-15       8.506505099710e-14       6.518935204026e-16       8.464660288081e-10       7.537730641745e-11       9.120169786179e-14 
   12       1.967472417276e-10       1.190773199490e-15       7.871302875864e-14       7.002067394854e-16       7.395690895908e-10       6.676120242635e-11       6.265754764625e-14 
   13       1.969521672342e-10       1.248376678334e-15       7.762685702399e-14       7.922088150417e-16       6.518230310820e-10       5.946264902764e-11       2.884252485262e-14 
   14       1.973894618889e-10       1.346345262498e-15       7.953568007678e-14       9.084792124661e-16       5.788147230013e-10       5.338588330406e-11      -9.255214458878e-16 
   15       1.979997323648e-10       1.484113464528e-15       8.260529168855e-14       1.037543047298e-15       5.173685985899e-10       4.826336475376e-11      -2.188943025105e-14 
   16       1.987230331833e-10       1.651015024115e-15       8.564829421461e-14       1.174273466538e-15       4.651293912894e-10       4.381096391742e-11      -3.294446872069e-14 
   17       1.996164570444e-10       1.838338409448e-15       8.803518570503e-14       1.315953182910e-15       4.203164751829e-10       3.984852253713e-11      -3.544937039268e-14 
   18       2.005596085256e-10       2.043892592697e-15       8.955931366409e-14       1.462116371258e-15       3.814217914904e-10       3.639881413715e-11      -3.189304216150e-14 
   19       2.015786764943e-10       2.271468845249e-15       9.035591812425e-14       1.612583708733e-15       3.478277869169e-10       3.342645831630e-11      -2.481277796361e-14 
   20       2.026643469806e-10       2.526158183833e-15       9.069057102806e-14       1.767197181543e-15       3.182415146285e-10       3.078149280292e-11      -1.725281423447e-14 
   21       2.038153199863e-10       2.809696067498e-15       9.081099264156e-14       1.925802503456e-15       2.921981396138e-10       2.842604836499e-11      -1.085109156955e-14 
   22       2.049799343158e-10       3.122027503660e-15       9.094059096641e-14       2.088323657977e-15       2.690737707078e-10       2.632287467021e-11      -6.728892937099e-15 
   23       2.061881667815e-10       3.462000530697e-15       9.108403545255e-14       2.254691452373e-15       2.485502108055e-10       2.445850137969e-11      -4.991381354804e-15 
   24       2.074534569652e-10       3.827854692697e-15       9.112000625314e-14       2.424863655008e-15       2.301529103558e-10       2.279889739974e-11      -5.245560574895e-15 
