# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.865956355996e-10       7.887690743847e-15       5.644418210831e-13       4.852152831118e-15       8.375751427785e-09       4.723422000915e-10      -2.078004808191e-12 
    3       2.447272673565e-10       1.020538263455e-14       4.559187522483e-13       4.883649997960e-15       5.150505810693e-09       3.349493242211e-10      -1.663874117397e-12 
    4       2.256174369499e-10       9.753776635452e-15       3.898849768596e-13       4.244256800108e-15       3.577646666625e-09       2.537722153529e-10      -1.181421794170e-12 
    5       2.148577482725e-10       7.513337967987e-15       3.262435172005e-13       3.322119470168e-15       2.668915659854e-09       2.005052441822e-10      -7.507426402455e-13 
    6       2.078075179495e-10       4.933934626490e-15       2.632983618984e-13       2.408654468781e-15       2.084074117934e-09       1.631355891734e-10      -4.076612773326e-13 
    7       2.031867762401e-10       2.956061504338e-15       2.065151036580e-13       1.663769939246e-15       1.681013478363e-09       1.357477826875e-10      -1.609304581244e-13 
    8       2.002128625968e-10       1.821507021555e-15       1.594908667626e-13       1.140741163527e-15       1.389159242637e-09       1.149829359928e-10      -4.201318654718e-15 
    9       1.983369500561e-10       1.334015164820e-15       1.238973913593e-13       8.269863650079e-16       1.169598690663e-09       9.876338990648e-11       7.741629173143e-14 
   10       1.972739431477e-10       1.188944683881e-15       9.963765898368e-14       6.800390527230e-16       9.994372263082e-10       8.582173833504e-11       1.030089824074e-13 
   11       1.967738669961e-10       1.171496952438e-15       8.530950714006e-14       6.510456542508e-16       8.431774006348e-10       7.565188018664e-11       9.227644938390e-14 
   12       1.966421389965e-10       1.194992332150e-15       7.881660770709e-14       6.976554804543e-16       7.366447055668e-10       6.703625156430e-11       6.319530948457e-14 
   13       1.968711926433e-10       1.250260143300e-15       7.769979128092e-14       7.888837402072e-16       6.491913264230e-10       5.969277747076e-11       2.884638094987e-14 
   14       1.973079414830e-10       1.346796298453e-15       7.957086987621e-14       9.043607341526e-16       5.764341652923e-10       5.361354695452e-11      -1.199422189621e-15 
   15       1.978984768226e-10       1.482987860899e-15       8.264370472040e-14       1.033156815120e-15       5.152048224432e-10       4.844780604304e-11      -2.232502201062e-14 
   16       1.986602528529e-10       1.648624086969e-15       8.569130416593e-14       1.169140779150e-15       4.631485024649e-10       4.387788563369e-11      -3.356453526378e-14 
   17       1.995196880427e-10       1.834041756760e-15       8.798536854748e-14       1.310375696663e-15       4.184939528282e-10       3.995716942819e-11      -3.590617070440e-14 
   18       2.004632267365e-10       2.037667350498e-15       8.943430059394e-14       1.455978518443e-15       3.797388454758e-10       3.652880116118e-11      -3.212906894427e-14 
   19       2.015137653683e-10       2.263511477851e-15       9.017919385612e-14       1.605669803444e-15       3.462677133061e-10       3.352543841570e-11      -2.490699832948e-14 
   20       2.025978895371e-10       2.516531938450e-15       9.043701848987e-14       1.759493356469e-15       3.167909553298e-10       3.086075024473e-11      -1.729212528792e-14 
   21       2.037434140700e-10       2.798440336494e-15       9.047063897755e-14       1.917351698637e-15       2.908450391535e-10       2.850269543414e-11      -1.090163242971e-14 
   22       2.049505401185e-10       3.109178760194e-15       9.053840539471e-14       2.079168112711e-15       2.678083159381e-10       2.639780863508e-11      -6.823332990731e-15 
   23       2.062114071983e-10       3.447555582719e-15       9.064356565777e-14       2.244825030501e-15       2.473636622852e-10       2.451497205932e-11      -5.155667081926e-15 
   24       2.074799257673e-10       3.811757925158e-15       9.065300667272e-14       2.414218517192e-15       2.290381409127e-10       2.281130339622e-11      -5.489129358327e-15 
   25       2.087758811087e-10       4.201752249177e-15       9.034163198504e-14       2.587152775897e-15       2.126156694306e-10       2.128996674893e-11      -7.144267859074e-15 
   26       2.101098037632e-10       4.617936938541e-15       8.941259780643e-14       2.763416855567e-15       1.977985521396e-10       1.994584705393e-11      -9.253743956133e-15 
   27       2.114798278372e-10       5.060684947060e-15       8.759637046151e-14       2.942790428407e-15       1.844095495315e-10       1.872914878441e-11      -1.124540979698e-14 
   28       2.128631488960e-10       5.530387080804e-15       8.463453034567e-14       3.125058363442e-15       1.722185456338e-10       1.757322233721e-11      -1.264111812866e-14 
   29       2.142740510922e-10       6.027936699314e-15       8.043169621270e-14       3.309998634695e-15       1.611630051345e-10       1.648449632257e-11      -1.330674638734e-14 
   30       2.157159327452e-10       6.554418630524e-15       7.494930995296e-14       3.497396264736e-15       1.511235046416e-10       1.548833567772e-11      -1.322902751867e-14 
   31       2.171723589001e-10       7.110946072821e-15       6.816805638283e-14       3.687041815394e-15       1.418945453290e-10       1.460107193632e-11      -1.245788559105e-14 
   32       2.186502814269e-10       7.698537037515e-15       6.010957254669e-14       3.878704555667e-15       1.334285346129e-10       1.381152168307e-11      -1.122607851473e-14 
   33       2.201480283019e-10       8.318192763787e-15       5.082576387489e-14       4.072149784412e-15       1.256659727062e-10       1.309054302959e-11      -9.885021269180e-15 
   34       2.216515472890e-10       8.970885782325e-15       4.037758263912e-14       4.267137551813e-15       1.184985764455e-10       1.240500124803e-11      -8.796521141664e-15 
   35       2.231693134926e-10       9.657408362752e-15       2.877436323354e-14       4.463393702377e-15       1.118895496208e-10       1.175423370403e-11      -8.039499278104e-15 
   36       2.247064857573e-10       1.037846526531e-14       1.601417721864e-14       4.660627878597e-15       1.057855797424e-10       1.114547068190e-11      -7.601962486687e-15 
   37       2.262597948900e-10       1.113468958515e-14       2.087534575687e-15       4.858555871869e-15       1.001069306275e-10       1.058329482227e-11      -7.452018154736e-15 
   38       2.278370154952e-10       1.192657545822e-14      -1.306509643841e-14       5.056952526086e-15       9.483889273518e-11       1.006727876551e-11      -7.521107943766e-15 
   39       2.294417681213e-10       1.275451375131e-14      -2.952582997458e-14       5.255616593113e-15       8.996479712608e-11       9.593080913402e-12      -7.712525643876e-15 
   40       2.310668947831e-10       1.361880228554e-14      -4.738919842319e-14       5.454357361444e-15       8.543820874342e-11       9.152686041800e-12      -7.903682573907e-15 
   41       2.327002978813e-10       1.451971802560e-14      -6.674431835548e-14       5.652975298382e-15       8.119910012897e-11       8.736914036059e-12      -7.976791646429e-15 
   42       2.343473959518e-10       1.545777651445e-14      -8.761214808466e-14       5.851194926671e-15       7.723494673644e-11       8.344664002957e-12      -7.927086402732e-15 
   43       2.360141205001e-10       1.643354666849e-14      -1.099893862641e-13       6.048711126879e-15       7.353514982226e-11       7.976164318119e-12      -7.786922750232e-15 
   44       2.376999895139e-10       1.744757912085e-14      -1.338651374151e-13       6.245206474091e-15       7.007270042146e-11       7.630307099983e-12      -7.596898990728e-15 
   45       2.394012426736e-10       1.850035040320e-14      -1.592249376639e-13       6.440364403968e-15       6.681381343024e-11       7.305222214695e-12      -7.399298923459e-15 
