# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.441067166997e-10       5.173454909306e-15       3.955731195420e-13       0.000000000000e+00       8.375751427785e-09       4.723422000915e-10      -2.078004808191e-12 
    3       1.357787248694e-10       7.337154872455e-15       4.634784428341e-13       0.000000000000e+00       5.150505810693e-09       3.349493242211e-10      -1.663874117397e-12 
    4       1.278824737153e-10       7.124611925415e-15       4.501748307308e-13       0.000000000000e+00       3.577646666625e-09       2.537722153529e-10      -1.181421794170e-12 
    5       1.218580326409e-10       5.414277713845e-15       3.975483244421e-13       0.000000000000e+00       2.668915659854e-09       2.005052441822e-10      -7.507426402455e-13 
    6       1.175963421000e-10       3.422822342384e-15       3.311074365742e-13       0.000000000000e+00       2.084074117934e-09       1.631355891734e-10      -4.076612773326e-13 
    7       1.147360977544e-10       1.928126079106e-15       2.666824449315e-13       0.000000000000e+00       1.681013478363e-09       1.357477826875e-10      -1.609304581244e-13 
    8       1.129513135012e-10       1.106347693140e-15       2.124199774298e-13       0.000000000000e+00       1.389159242637e-09       1.149829359928e-10      -4.201318654718e-15 
    9       1.119390637100e-10       7.668026597722e-16       1.716674590872e-13       0.000000000000e+00       1.169598690663e-09       9.876338990648e-11       7.741629173143e-14 
   10       1.115560801212e-10       6.451868255855e-16       1.446645378530e-13       0.000000000000e+00       9.994372263082e-10       8.582173833504e-11       1.030089824074e-13 
   11       1.116354542045e-10       5.725181846727e-16       1.297838434002e-13       0.000000000000e+00       8.431774006348e-10       7.565188018664e-11       9.227644938390e-14 
   12       1.120309143196e-10       4.981358608752e-16       1.245305604056e-13       0.000000000000e+00       7.366447055668e-10       6.703625156430e-11       6.319530948457e-14 
   13       1.127635288626e-10       4.352404027054e-16       1.260664854000e-13       0.000000000000e+00       6.491913264230e-10       5.969277747076e-11       2.884638094987e-14 
   14       1.136978845245e-10       4.038634611887e-16       1.316982362833e-13       0.000000000000e+00       5.764341652923e-10       5.361354695452e-11      -1.199422189621e-15 
   15       1.147911811793e-10       4.066873247757e-16       1.394104097225e-13       0.000000000000e+00       5.152048224432e-10       4.844780604304e-11      -2.232502201062e-14 
   16       1.160675413665e-10       4.335780431366e-16       1.478247282598e-13       0.000000000000e+00       4.631485024649e-10       4.387788563369e-11      -3.356453526378e-14 
   17       1.174570256191e-10       4.749544301638e-16       1.561074158498e-13       0.000000000000e+00       4.184939528282e-10       3.995716942819e-11      -3.590617070440e-14 
   18       1.189537662177e-10       5.288683400696e-16       1.640822264624e-13       0.000000000000e+00       3.797388454758e-10       3.652880116118e-11      -3.212906894427e-14 
   19       1.205633330218e-10       5.993203627401e-16       1.718456412016e-13       0.000000000000e+00       3.462677133061e-10       3.352543841570e-11      -2.490699832948e-14 
   20       1.222315528818e-10       6.914071212000e-16       1.795593673589e-13       0.000000000000e+00       3.167909553298e-10       3.086075024473e-11      -1.729212528792e-14 
   21       1.239757011987e-10       8.071250558816e-16       1.874487192641e-13       0.000000000000e+00       2.908450391535e-10       2.850269543414e-11      -1.090163242971e-14 
   22       1.258014427893e-10       9.467135759199e-16       1.957309050864e-13       0.000000000000e+00       2.678083159381e-10       2.639780863508e-11      -6.823332990731e-15 
   23       1.276934573930e-10       1.109126988693e-15       2.043796870188e-13       0.000000000000e+00       2.473636622852e-10       2.451497205932e-11      -5.155667081926e-15 
   24       1.296117091973e-10       1.292592305695e-15       2.132300048670e-13       0.000000000000e+00       2.290381409127e-10       2.281130339622e-11      -5.489129358327e-15 
   25       1.315700750781e-10       1.497017623122e-15       2.220243368926e-13       0.000000000000e+00       2.126156694306e-10       2.128996674893e-11      -7.144267859074e-15 
   26       1.335823993979e-10       1.722682194650e-15       2.304308293315e-13       0.000000000000e+00       1.977985521396e-10       1.994584705393e-11      -9.253743956133e-15 
   27       1.356443569087e-10       1.969927737115e-15       2.381549911061e-13       0.000000000000e+00       1.844095495315e-10       1.872914878441e-11      -1.124540979698e-14 
   28       1.377371325684e-10       2.239167018584e-15       2.449150246926e-13       0.000000000000e+00       1.722185456338e-10       1.757322233721e-11      -1.264111812866e-14 
   29       1.398671616179e-10       2.531527536803e-15       2.505923346705e-13       0.000000000000e+00       1.611630051345e-10       1.648449632257e-11      -1.330674638734e-14 
   30       1.420369715850e-10       2.848429986466e-15       2.551236317053e-13       0.000000000000e+00       1.511235046416e-10       1.548833567772e-11      -1.322902751867e-14 
   31       1.442382976748e-10       3.191341752066e-15       2.584641969933e-13       0.000000000000e+00       1.418945453290e-10       1.460107193632e-11      -1.245788559105e-14 
   32       1.464728974534e-10       3.561515634817e-15       2.606151703285e-13       0.000000000000e+00       1.334285346129e-10       1.381152168307e-11      -1.122607851473e-14 
   33       1.487368135948e-10       3.960156873467e-15       2.616093952619e-13       0.000000000000e+00       1.256659727062e-10       1.309054302959e-11      -9.885021269180e-15 
   34       1.510197867623e-10       4.388447000127e-15       2.614888528353e-13       0.000000000000e+00       1.184985764455e-10       1.240500124803e-11      -8.796521141664e-15 
   35       1.533269678874e-10       4.847391282736e-15       2.602441592283e-13       0.000000000000e+00       1.118895496208e-10       1.175423370403e-11      -8.039499278104e-15 
   36       1.556631461564e-10       5.337912938899e-15       2.578549035628e-13       0.000000000000e+00       1.057855797424e-10       1.114547068190e-11      -7.601962486687e-15 
   37       1.580285237098e-10       5.860868029012e-15       2.542928272610e-13       0.000000000000e+00       1.001069306275e-10       1.058329482227e-11      -7.452018154736e-15 
   38       1.604266301380e-10       6.416972390105e-15       2.494775180530e-13       0.000000000000e+00       9.483889273518e-11       1.006727876551e-11      -7.521107943766e-15 
   39       1.628578642889e-10       7.006841820583e-15       2.433051313506e-13       0.000000000000e+00       8.996479712608e-11       9.593080913402e-12      -7.712525643876e-15 
   40       1.653165902593e-10       7.631004259440e-15       2.356590528720e-13       0.000000000000e+00       8.543820874342e-11       9.152686041800e-12      -7.903682573907e-15 
   41       1.677946423445e-10       8.289948946107e-15       2.264317757833e-13       0.000000000000e+00       8.119910012897e-11       8.736914036059e-12      -7.976791646429e-15 
   42       1.702946876503e-10       8.984307005907e-15       2.156013320772e-13       0.000000000000e+00       7.723494673644e-11       8.344664002957e-12      -7.927086402732e-15 
   43       1.728201803485e-10       9.714719947596e-15       2.031781775197e-13       0.000000000000e+00       7.353514982226e-11       7.976164318119e-12      -7.786922750232e-15 
   44       1.753712937571e-10       1.048178785923e-14       1.891851590499e-13       0.000000000000e+00       7.007270042146e-11       7.630307099983e-12      -7.596898990728e-15 
   45       1.779463684088e-10       1.128605770044e-14       1.736460243575e-13       0.000000000000e+00       6.681381343024e-11       7.305222214695e-12      -7.399298923459e-15 
   46       1.805475526485e-10       1.212798871027e-14       1.565453483121e-13       0.000000000000e+00       6.375334189746e-11       7.000468992566e-12      -7.214896818367e-15 
   47       1.831762852031e-10       1.300797326137e-14       1.378577131480e-13       0.000000000000e+00       6.088772876722e-11       6.715308411218e-12      -7.060074707932e-15 
   48       1.858314397834e-10       1.392634318378e-14       1.175587398736e-13       0.000000000000e+00       5.820432767942e-11       6.448002439304e-12      -6.953375353760e-15 
   49       1.885090964846e-10       1.488336720901e-14       9.562502876314e-14       0.000000000000e+00       5.568072708358e-11       6.195741089483e-12      -6.915599236663e-15 
   50       1.912046789139e-10       1.587925333894e-14       7.203335569298e-14       0.000000000000e+00       5.329149788205e-11       5.955479098140e-12      -6.963216811525e-15 
   51       1.939205798066e-10       1.691416263981e-14       4.675814203659e-14       0.000000000000e+00       5.103216366113e-11       5.726882939144e-12      -7.086272176540e-15 
   52       1.966602101484e-10       1.798819477449e-14       1.977319513745e-14       0.000000000000e+00       4.890056859754e-11       5.510057650254e-12      -7.264649258051e-15 
   53       1.994256998682e-10       1.910138113599e-14      -8.947699844173e-15       0.000000000000e+00       4.688970380066e-11       5.304677695149e-12      -7.474019910006e-15 
   54       2.022177805665e-10       2.025368252338e-14      -3.943087445860e-14       0.000000000000e+00       4.498738076893e-11       5.109956822372e-12      -7.685626328260e-15 
   55       2.050365016887e-10       2.144500324416e-14      -7.169968093260e-14       0.000000000000e+00       4.317994530215e-11       4.924926611213e-12      -7.872897287583e-15 
   56       2.078838560443e-10       2.267524284829e-14      -1.057640868492e-13       0.000000000000e+00       4.146524773095e-11       4.749422191341e-12      -8.033720045275e-15 
   57       2.107616011129e-10       2.394425317513e-14      -1.416286611348e-13       0.000000000000e+00       3.984232280400e-11       4.583288602651e-12      -8.173320138091e-15 
   58       2.136703997904e-10       2.525182140546e-14      -1.792955090154e-13       0.000000000000e+00       3.830746608912e-11       4.426075842641e-12      -8.297959919304e-15 
   59       2.166097355892e-10       2.659766837732e-14      -2.187642422360e-13       0.000000000000e+00       3.685406485004e-11       4.277020752113e-12      -8.414987225830e-15 
   60       2.195778278387e-10       2.798144690193e-14      -2.600319492803e-13       0.000000000000e+00       3.547242892311e-11       4.135028900871e-12      -8.532884045356e-15 
   61       2.225726466179e-10       2.940275689862e-14      -3.030934575775e-13       0.000000000000e+00       3.415247946673e-11       3.998976418863e-12      -8.659172852675e-15 
   62       2.255954156055e-10       3.086119857942e-14      -3.479422562694e-13       0.000000000000e+00       3.289290306185e-11       3.868735638304e-12      -8.793476361591e-15 
   63       2.286477485819e-10       3.235632826818e-14      -3.945697286648e-13       0.000000000000e+00       3.169376158641e-11       3.744348571503e-12      -8.932979230940e-15 
   64       2.317305701602e-10       3.388764150716e-14      -4.429648584211e-13       0.000000000000e+00       3.055373876517e-11       3.625719475203e-12      -9.074414005999e-15 
   65       2.348440658797e-10       3.545457190660e-14      -4.931142090283e-13       0.000000000000e+00       2.947006172458e-11       3.512606887905e-12      -9.214041811077e-15 
   66       2.379876323008e-10       3.705648999426e-14      -5.450019032931e-13       0.000000000000e+00       2.843842254766e-11       3.404615667201e-12      -9.347633042107e-15 
   67       2.411598270983e-10       3.869270206489e-14      -5.986096028235e-13       0.000000000000e+00       2.745289982886e-11       3.301189027102e-12      -9.470448059240e-15 
   68       2.443591562328e-10       4.036242897578e-14      -6.539169513353e-13       0.000000000000e+00       2.650753873154e-11       3.201764003082e-12      -9.578010985219e-15 
   69       2.475867322355e-10       4.206474011553e-14      -7.109030547395e-13       0.000000000000e+00       2.560163828639e-11       3.106292226146e-12      -9.668656328462e-15 
   70       2.508440673829e-10       4.379860392735e-14      -7.695452654822e-13       0.000000000000e+00       2.473539943909e-11       3.014810851649e-12      -9.741466059078e-15 
   71       2.541322562929e-10       4.556290514576e-14      -8.298187367596e-13       0.000000000000e+00       2.390832595770e-11       2.927284753052e-12      -9.795523118789e-15 
   72       2.574519474265e-10       4.735644313320e-14      -8.916964138644e-13       0.000000000000e+00       2.311918840447e-11       2.843602738990e-12      -9.829912397560e-15 
   73       2.608033145913e-10       4.917793021671e-14      -9.551490255327e-13       0.000000000000e+00       2.236598810770e-11       2.763573770333e-12      -9.843721710225e-15 
   74       2.641860284435e-10       5.102599002450e-14      -1.020145075291e-12       0.000000000000e+00       2.164592113352e-11       2.686923177256e-12      -9.836042773117e-15 
   75       2.675992279911e-10       5.289915582267e-14      -1.086650832802e-12       0.000000000000e+00       2.095534225777e-11       2.613288876302e-12      -9.805972180691e-15 
   76       2.710420347234e-10       5.479594244397e-14      -1.154630934305e-12       0.000000000000e+00       2.029066895568e-11       2.542313041986e-12      -9.753042050079e-15 
   77       2.745152662341e-10       5.671508089423e-14      -1.224050329472e-12       0.000000000000e+00       1.965136332600e-11       2.473944783172e-12      -9.678600457880e-15 
   78       2.780199847635e-10       5.865532370428e-14      -1.294872675496e-12       0.000000000000e+00       1.903743100559e-11       2.408186044799e-12      -9.584685676542e-15 
   79       2.815569652044e-10       6.061537498139e-14      -1.367059763271e-12       0.000000000000e+00       1.844851290995e-11       2.344999253835e-12      -9.473628467329e-15 
   80       2.851266777310e-10       6.259389025486e-14      -1.440571521227e-12       0.000000000000e+00       1.788386848092e-11       2.284305493716e-12      -9.348061867636e-15 
   81       2.887292704291e-10       6.458947632181e-14      -1.515366019169e-12       0.000000000000e+00       1.734235893429e-11       2.225982678786e-12      -9.210930978302e-15 
   82       2.923645519259e-10       6.660069109284e-14      -1.591399472109e-12       0.000000000000e+00       1.682243050750e-11       2.169863728731e-12      -9.065502750930e-15 
   83       2.960319740192e-10       6.862604343776e-14      -1.668626244109e-12       0.000000000000e+00       1.632209770725e-11       2.115734743021e-12      -8.915375775204e-15 
   84       2.997309385194e-10       7.066398712814e-14      -1.746998650193e-12       0.000000000000e+00       1.583942533133e-11       2.063388471411e-12      -8.763999236396e-15 
