# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.424884397011e-10       2.713998812171e-15       1.688687055682e-13       4.851915808786e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089475875802e-10       2.867753584414e-15      -7.559672657711e-15       4.883175820657e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.773337937298e-11       2.628374124548e-15      -6.028980242885e-14       4.243466216483e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.299735392762e-11       2.097873847805e-15      -7.130469025407e-14       3.320933070203e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.020789261920e-11       1.509450457093e-15      -6.780884511966e-14       2.406992659112e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.844633594287e-11       1.025718373239e-15      -6.016693487704e-14       1.661552927506e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.725601587891e-11       7.123070345380e-16      -5.292844401883e-14       1.137888952612e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.639103786607e-11       5.636447419174e-16      -4.776903677467e-14       8.234187577326e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.570958162977e-11       5.393942008036e-16      -4.502535782269e-14       6.756756668746e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.512858774172e-11       5.937386163519e-16      -4.447217691126e-14       6.458059476090e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.459975196124e-11       6.906590853782e-16      -4.571098413481e-14       6.914587849027e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.409444575681e-11       8.077842815285e-16      -4.836272282160e-14       7.816493036667e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.359500185946e-11       9.345784194590e-16      -5.212217669966e-14       8.960077687262e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.309031696646e-11       1.066746285409e-15      -5.676005981415e-14       1.023604549560e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.257372729267e-11       1.204211161204e-15      -6.212506599354e-14       1.158308513570e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.204159457836e-11       1.346891155745e-15      -6.811169975286e-14       1.298182857307e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.148623389109e-11       1.495161108038e-15      -7.463529468196e-14       1.442344711420e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.092497408467e-11       1.649031317261e-15      -8.165122215721e-14       1.590514858720e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.033857533979e-11       1.808363312998e-15      -8.910420493177e-14       1.742737377648e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.973757794564e-11       1.972872670204e-15      -9.695667999628e-14       1.898915089033e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.911651838879e-11       2.142262545627e-15      -1.051674944663e-13       2.058971608621e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.848285623734e-11       2.316387529339e-15      -1.137071531660e-13       2.222789707671e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.783053705109e-11       2.495208310246e-15      -1.225437014288e-13       2.390265804464e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.716546845945e-11       2.678783863385e-15      -1.316447078703e-13       2.561204439110e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.648433561859e-11       2.867233969128e-15      -1.409751582754e-13       2.735394990131e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.578959701347e-11       3.060590532905e-15      -1.505100925371e-13       2.912617426661e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.507726242442e-11       3.258832286254e-15      -1.602261318960e-13       3.092656887552e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.435518050743e-11       3.461725780446e-15      -1.701000628736e-13       3.275291564250e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.362422203506e-11       3.668935853133e-15      -1.801071569405e-13       3.460306656037e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.287621708353e-11       3.880109038024e-15      -1.902220153869e-13       3.647492861304e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.211636095970e-11       4.095011256417e-15      -2.004241480528e-13       3.836619535709e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
