# Matter power spectrum P(k) at redshift z=0
# for k=1.03549e-05 to 104.598 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035494839108e-05       5.166178990526e+01 
       2.315654277267e-05       1.120401663817e+02 
       3.600252388297e-05       1.712862901506e+02 
       4.892702916178e-05       2.300653182597e+02 
       6.196475310490e-05       2.887503832491e+02 
       7.515125283946e-05       3.476179206511e+02 
       8.852326334617e-05       4.069022452591e+02 
       1.021190264739e-04       4.668177726210e+02 
       1.159786379241e-04       5.275703445607e+02 
       1.301444164150e-04       5.893640189532e+02 
       1.446612992455e-04       6.524057194541e+02 
       1.595772684243e-04       7.169088149165e+02 
       1.749438113704e-04       7.830961371573e+02 
       1.908164198499e-04       8.512026998955e+02 
       2.072551302113e-04       9.214782948807e+02 
       2.243251069852e-04       9.941900190228e+02 
       2.420972703796e-04       1.069624823608e+03 
       2.606489659138e-04       1.148092053828e+03 
       2.800646711532e-04       1.229925991611e+03 
       3.004367299146e-04       1.315488368285e+03 
       3.218660980621e-04       1.405170742720e+03 
       3.444630767260e-04       1.499396675255e+03 
       3.683479980822e-04       1.598623496603e+03 
       3.936518154808e-04       1.703343492755e+03 
       4.205165336690e-04       1.814084211060e+03 
       4.490953965692e-04       1.931407555598e+03 
       4.795527306712e-04       2.055907248920e+03 
       5.120633238403e-04       2.188204208060e+03 
       5.468112058585e-04       2.328939326955e+03 
       5.839876936044e-04       2.478763205665e+03 
       6.237885772251e-04       2.638322446693e+03 
       6.664103614766e-04       2.808242321350e+03 
       7.120455450968e-04       2.989105964918e+03 
       7.608770233098e-04       3.181430699890e+03 
       8.130718296984e-04       3.385642528248e+03 
       8.687745786860e-04       3.602050579350e+03 
       9.281011024517e-04       3.830823560000e+03 
       9.911328621885e-04       4.071970685736e+03 
       1.057912719899e-03       4.325329304139e+03 
       1.128442563018e-03       4.590561251002e+03 
       1.202683083538e-03       4.867158530368e+03 
       1.280555757393e-03       5.154458443924e+03 
       1.361946801145e-03       5.451653004868e+03 
       1.446712658920e-03       5.757829282262e+03 
       1.534686436870e-03       6.072042552678e+03 
       1.625684672382e-03       6.393281528594e+03 
       1.719513889791e-03       6.720522554141e+03 
       1.815976522698e-03       7.052754600567e+03 
       1.914875937303e-03       7.388999352936e+03 
       2.016020438962e-03       7.728326643528e+03 
       2.119226264001e-03       8.069865058507e+03 
       2.224319642040e-03       8.412809030685e+03 
       2.331138061463e-03       8.756421361350e+03 
       2.439530888945e-03       9.100033661995e+03 
       2.549359491554e-03       9.443044741523e+03 
       2.660496995147e-03       9.784917467550e+03 
       2.772827792022e-03       1.012517533268e+04 
       2.886246888596e-03       1.046339320930e+04 
       3.000659162960e-03       1.079920392269e+04 
       3.115978584016e-03       1.113228092864e+04 
       3.232127428899e-03       1.146234166066e+04 
       3.349035523606e-03       1.178913826179e+04 
       3.466639522702e-03       1.211245926944e+04 
       3.584882237338e-03       1.243211982360e+04 
       3.703712016047e-03       1.274796489327e+04 
       3.823082179449e-03       1.305985885258e+04 
       3.942950507816e-03       1.336768957978e+04 
       4.063278779029e-03       1.367136287669e+04 
       4.184032353636e-03       1.397080120903e+04 
       4.305179803337e-03       1.426594159927e+04 
       4.426692579049e-03       1.455673165681e+04 
       4.548544714797e-03       1.484313606321e+04 
       4.670712563800e-03       1.512512254724e+04 
       4.793174563387e-03       1.540267216881e+04 
       4.915911025632e-03       1.567577746870e+04 
       5.038903950861e-03       1.594442629304e+04 
       5.162136861494e-03       1.620862498324e+04 
       5.285594653906e-03       1.646838100653e+04 
       5.409263466276e-03       1.672370096332e+04 
       5.533130560599e-03       1.697460549174e+04 
       5.657184217235e-03       1.722110624216e+04 
       5.781413640595e-03       1.746323056216e+04 
       5.905808874662e-03       1.770101126308e+04 
       6.030360727271e-03       1.793449708268e+04 
       6.155060702143e-03       1.816365099668e+04 
       6.279900937809e-03       1.838852109075e+04 
       6.404874152662e-03       1.860917519289e+04 
       6.529973595469e-03       1.882561152481e+04 
       6.655193000728e-03       1.903775568656e+04 
       6.780526548371e-03       1.924589056140e+04 
       6.905968827318e-03       1.944992945405e+04 
       7.031514802506e-03       1.964992188317e+04 
       7.157159784992e-03       1.984589599862e+04 
       7.282899404840e-03       2.003788674838e+04 
       7.408729586482e-03       2.022594931630e+04 
