# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.864510184033e-10       7.694058784691e-15       5.633138519882e-13       4.734776885901e-15       8.381361454863e-09       4.684504637948e-10      -2.053280096767e-12 
    3       2.442614667091e-10       9.888635203223e-15       4.527983268095e-13       4.745713711971e-15       5.156860164930e-09       3.327948627533e-10      -1.638694346725e-12 
    4       2.252617403421e-10       9.392767733164e-15       3.862272007586e-13       4.108055499583e-15       3.590743485469e-09       2.521614144146e-10      -1.158302260063e-12 
    5       2.146582643968e-10       7.190902984918e-15       3.224756613939e-13       3.203518369712e-15       2.681708415472e-09       1.992707677991e-10      -7.315063353729e-13 
    6       2.077146756238e-10       4.696798515939e-15       2.597398846339e-13       2.315398145773e-15       2.095278207506e-09       1.622335748561e-10      -3.932920077810e-13 
    7       2.031950909011e-10       2.808599447689e-15       2.034088862608e-13       1.596882622998e-15       1.690139709503e-09       1.350061558882e-10      -1.516073310913e-13 
    8       2.002430672105e-10       1.740329098720e-15       1.570082154142e-13       1.096929957290e-15       1.395938591592e-09       1.142931399073e-10       5.217370614674e-16 
    9       1.984235861867e-10       1.289546267919e-15       1.220793144867e-13       8.011642940171e-16       1.174441215215e-09       9.817662850761e-11       7.843689211603e-14 
   10       1.974144190843e-10       1.160187586281e-15       9.839353201356e-14       6.667305183396e-16       1.003105385074e-09       8.538225509824e-11       1.014683877001e-13 
   11       1.969102258589e-10       1.148872736569e-15       8.456721018016e-14       6.458086346825e-16       8.468436612193e-10       7.526689653177e-11       8.937784902180e-14 
   12       1.968369125098e-10       1.176760407277e-15       7.842564079134e-14       6.969430292938e-16       7.398936441167e-10       6.665107913574e-11       5.993069477634e-14 
   13       1.970555282162e-10       1.236657638648e-15       7.745211514976e-14       7.904733140824e-16       6.521054551143e-10       5.940280687051e-11       2.612603335589e-14 
   14       1.974909140803e-10       1.337209648321e-15       7.939165838471e-14       9.070251815569e-16       5.790620287192e-10       5.331864747412e-11      -3.071173826539e-15 
   15       1.981147721456e-10       1.476191980101e-15       8.243654184001e-14       1.036083790696e-15       5.175857189225e-10       4.817536659647e-11      -2.313799435205e-14 
   16       1.988456108024e-10       1.643309785654e-15       8.540190252729e-14       1.172314677032e-15       4.653209064236e-10       4.374512450760e-11      -3.319548458465e-14 
   17       1.997364668688e-10       1.830272757638e-15       8.770632537516e-14       1.313518306433e-15       4.204870221886e-10       3.979703710965e-11      -3.492838897853e-14 
   18       2.006902703927e-10       2.035849460698e-15       8.919078277785e-14       1.459167511030e-15       3.815740887653e-10       3.636364654280e-11      -3.090101777195e-14 
   19       2.017242962178e-10       2.263962833915e-15       8.999951878925e-14       1.609077236290e-15       3.479641089763e-10       3.339944298200e-11      -2.364923254007e-14 
   20       2.028099860734e-10       2.519425587019e-15       9.039202099958e-14       1.763195241944e-15       3.183638405767e-10       3.073445860214e-11      -1.618609855913e-14 
   21       2.039583524582e-10       2.803624311468e-15       9.060364839737e-14       1.921384945271e-15       2.923082374670e-10       2.835912949617e-11      -1.007249912724e-14 
   22       2.051380145505e-10       3.116154318398e-15       9.083992395444e-14       2.083552464673e-15       2.691730227529e-10       2.627521590175e-11      -6.317197100816e-15 
   23       2.063677563919e-10       3.455919279374e-15       9.108940668145e-14       2.249607500502e-15       2.486398041402e-10       2.444478984723e-11      -4.936687965614e-15 
   24       2.076409943338e-10       3.821365851666e-15       9.121291263606e-14       2.419475497906e-15       2.302338089824e-10       2.279134663392e-11      -5.455510058504e-15 
   25       2.089543914124e-10       4.212550703904e-15       9.095986254302e-14       2.592905668662e-15       2.137385748044e-10       2.127599330600e-11      -7.265955602516e-15 
   26       2.102798522169e-10       4.629934421617e-15       9.001260094628e-14       2.769614411555e-15       1.988557046326e-10       1.986389382447e-11      -9.584562851640e-15 
   27       2.116279414874e-10       5.074009033707e-15       8.814517115309e-14       2.949408519406e-15       1.854070385623e-10       1.857260151950e-11      -1.168975242398e-14 
   28       2.130021938751e-10       5.545288447739e-15       8.515978382003e-14       3.132126663213e-15       1.731610931876e-10       1.742360051192e-11      -1.291480315237e-14 
   29       2.144159618189e-10       6.044638770554e-15       8.096330408874e-14       3.317540961455e-15       1.620551002650e-10       1.640472721220e-11      -1.322033573422e-14 
   30       2.158613048769e-10       6.573053411832e-15       7.549787583479e-14       3.505407623996e-15       1.519692902548e-10       1.547845457315e-11      -1.281561994756e-14 
   31       2.173110603768e-10       7.131562403129e-15       6.872477172380e-14       3.695486670487e-15       1.426974295970e-10       1.459998172567e-11      -1.196793690480e-14 
   32       2.187764959577e-10       7.721240247227e-15       6.066825236374e-14       3.887536838835e-15       1.341917378801e-10       1.377124273430e-11      -1.087597508677e-14 
   33       2.202664340155e-10       8.343204018934e-15       5.139111219106e-14       4.081319225835e-15       1.263924091454e-10       1.300578748559e-11      -9.757438469297e-15 
   34       2.217758062471e-10       8.998513478101e-15       4.096397877280e-14       4.276599729773e-15       1.191906400423e-10       1.231178073256e-11      -8.836807317742e-15 
   35       2.233061330386e-10       9.687825059866e-15       2.939090171102e-14       4.473152147768e-15       1.125495490659e-10       1.168286996534e-11      -8.175088501919e-15 
   36       2.248488658409e-10       1.041160739810e-14       1.665848673834e-14       4.670756664715e-15       1.064157066643e-10       1.110309674387e-11      -7.781197630603e-15 
   37       2.263883375866e-10       1.117028463007e-14       2.747588605001e-15       4.869189084379e-15       1.007091293113e-10       1.055438426358e-11      -7.645753165387e-15 
   38       2.279366092743e-10       1.196444292490e-14      -1.239350986743e-14       5.068185580873e-15       9.541505222502e-11       1.003626589208e-11      -7.705956507156e-15 
   39       2.295080301045e-10       1.279468432930e-14      -2.883201907993e-14       5.267465874635e-15       9.051669982787e-11       9.552088862836e-12      -7.866786279354e-15 
   40       2.311087056943e-10       1.366156782730e-14      -4.664441978125e-14       5.466741960760e-15       8.596737546202e-11       9.103508240375e-12      -8.008266819461e-15 
   41       2.327380728551e-10       1.456560680589e-14      -6.590599471481e-14       5.665727832556e-15       8.170672889081e-11       8.690272454030e-12      -8.016923880777e-15 
   42       2.343965044703e-10       1.550726733263e-14      -8.665353162568e-14       5.864173783960e-15       7.772220208687e-11       8.309918261091e-12      -7.896451834025e-15 
   43       2.360785950831e-10       1.648696450499e-14      -1.089117345103e-13       6.061842346121e-15       7.400319305307e-11       7.957680782087e-12      -7.690282424049e-15 
   44       2.377701032216e-10       1.750505929215e-14      -1.327033656032e-13       6.258499128939e-15       7.052261638888e-11       7.626348612794e-12      -7.452188488498e-15 
   45       2.394550905958e-10       1.856184286873e-14      -1.580435049004e-13       6.453903387745e-15       6.724657380437e-11       7.308391679248e-12      -7.236314812473e-15 
   46       2.411416970641e-10       1.965749076022e-14      -1.849203496258e-13       6.647775999085e-15       6.416990507981e-11       7.003523524392e-12      -7.062252542732e-15 
   47       2.428427632247e-10       2.079209013128e-14      -2.133086259014e-13       6.839822171693e-15       6.128903361411e-11       6.713096577616e-12      -6.940580252302e-15 
   48       2.445682857273e-10       2.196564790615e-14      -2.431744539998e-13       7.029739813457e-15       5.859124467621e-11       6.437947998611e-12      -6.882558996149e-15 
   49       2.463251036910e-10       2.317808717528e-14      -2.744749907849e-13       7.217219132590e-15       5.605400586389e-11       6.178354205531e-12      -6.900143694716e-15 
   50       2.481169317329e-10       2.442927544730e-14      -3.071709025090e-13       7.401960919956e-15       5.365175242274e-11       5.934112665002e-12      -7.000899960653e-15 
