# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434547881844e-10       5.053717355219e-15       3.924002564123e-13       0.000000000000e+00       8.381361454863e-09       4.684504637948e-10      -2.053280096767e-12 
    3       1.352795826375e-10       7.118377193668e-15       4.576766004228e-13       0.000000000000e+00       5.156860164930e-09       3.327948627533e-10      -1.638694346725e-12 
    4       1.275013661548e-10       6.867096809463e-15       4.433135273151e-13       0.000000000000e+00       3.590743485469e-09       2.521614144146e-10      -1.158302260063e-12 
    5       1.215811514905e-10       5.184273421256e-15       3.906353076972e-13       0.000000000000e+00       2.681708415472e-09       1.992707677991e-10      -7.315063353729e-13 
    6       1.174077098763e-10       3.257287592527e-15       3.247981780879e-13       0.000000000000e+00       2.095278207506e-09       1.622335748561e-10      -3.932920077810e-13 
    7       1.146324112535e-10       1.829140141280e-15       2.613304321177e-13       0.000000000000e+00       1.690139709503e-09       1.350061558882e-10      -1.516073310913e-13 
    8       1.128573419684e-10       1.053533764364e-15       2.081899214392e-13       0.000000000000e+00       1.395938591592e-09       1.142931399073e-10       5.217370614674e-16 
    9       1.118930861570e-10       7.361870403153e-16       1.685419813564e-13       0.000000000000e+00       1.174441215215e-09       9.817662850761e-11       7.843689211603e-14 
   10       1.115585777700e-10       6.212699407754e-16       1.424747541999e-13       0.000000000000e+00       1.003105385074e-09       8.538225509824e-11       1.014683877001e-13 
   11       1.116308419120e-10       5.502264422108e-16       1.283748492005e-13       0.000000000000e+00       8.468436612193e-10       7.526689653177e-11       8.937784902180e-14 
   12       1.120833636247e-10       4.783470562400e-16       1.236873858760e-13       0.000000000000e+00       7.398936441167e-10       6.665107913574e-11       5.993069477634e-14 
   13       1.128053045240e-10       4.195874240502e-16       1.255277411701e-13       0.000000000000e+00       6.521054551143e-10       5.940280687051e-11       2.612603335589e-14 
   14       1.137388954204e-10       3.922575728543e-16       1.313433862145e-13       0.000000000000e+00       5.790620287192e-10       5.331864747412e-11      -3.071173826539e-15 
   15       1.148666654512e-10       3.977259802088e-16       1.391181777471e-13       0.000000000000e+00       5.175857189225e-10       4.817536659647e-11      -2.313799435205e-14 
   16       1.161135322480e-10       4.260766888812e-16       1.475251813908e-13       0.000000000000e+00       4.653209064236e-10       4.374512450760e-11      -3.319548458465e-14 
   17       1.175359980080e-10       4.686760059619e-16       1.558745685513e-13       0.000000000000e+00       4.204870221886e-10       3.979703710965e-11      -3.492838897853e-14 
   18       1.190446237057e-10       5.241720262942e-16       1.639341482333e-13       0.000000000000e+00       3.815740887653e-10       3.636364654280e-11      -3.090101777195e-14 
   19       1.206393168001e-10       5.965992325790e-16       1.718045656430e-13       0.000000000000e+00       3.479641089763e-10       3.339944298200e-11      -2.364923254007e-14 
   20       1.223107910949e-10       6.908864250418e-16       1.796876652136e-13       0.000000000000e+00       3.183638405767e-10       3.073445860214e-11      -1.618609855913e-14 
