# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.429957471958e-10       2.640100956897e-15       1.709135996286e-13       4.734536413363e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089809215559e-10       2.769776935588e-15      -4.878255571020e-15       4.745232638373e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.775877773136e-11       2.524868853415e-15      -5.708627478577e-14       4.107253431104e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.307473247067e-11       2.005425946635e-15      -6.815952856772e-14       3.202314758862e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.030365655400e-11       1.437825028390e-15      -6.505806242694e-14       2.313712267557e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.855830288042e-11       9.772102042779e-16      -5.792113685023e-14       1.594633559854e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.738014857916e-11       6.839018904468e-16      -5.118103508330e-14       1.094036593688e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.652359799234e-11       5.497401039725e-16      -4.646162925657e-14       7.975453211566e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.584749543005e-11       5.344913135570e-16      -4.407969127987e-14       6.623044489661e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.526948272830e-11       5.933310577533e-16      -4.380546562023e-14       6.404938275958e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.474198763130e-11       6.921273785277e-16      -4.525875712248e-14       6.906577226984e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.423690412842e-11       8.097315820708e-16      -4.807162865227e-14       7.831356665454e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.373684843423e-11       9.364788161831e-16      -5.194650388311e-14       8.985533190043e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.323099875677e-11       1.068776161629e-15      -5.667494664141e-14       1.026395857612e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.271295044560e-11       1.206244804376e-15      -6.211486500414e-14       1.161328889837e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.217924194209e-11       1.349228273367e-15      -6.815782617241e-14       1.301153006917e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.162224532918e-11       1.497847250865e-15      -7.473064893636e-14       1.445341218779e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.105933026696e-11       1.651990471151e-15      -8.178971810699e-14       1.593708691633e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.047122609953e-11       1.811542194118e-15      -8.927737598487e-14       1.746203454533e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.986851221253e-11       1.976262633034e-15      -9.716089249989e-14       1.902689219605e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.924573717456e-11       2.145911467896e-15      -1.054057807375e-13       2.063072432632e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.861035615764e-11       2.320370751343e-15      -1.139787663585e-13       2.227263127814e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.795627571827e-11       2.499622287185e-15      -1.228418238566e-13       2.395187097603e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.728942186534e-11       2.683753640628e-15      -1.319663582531e-13       2.566593885642e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.660648887381e-11       2.872884642196e-15      -1.413236224864e-13       2.741200215558e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.590992130626e-11       3.066894731491e-15      -1.508862985267e-13       2.918813173519e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.519569528457e-11       3.265588698816e-15      -1.606264733768e-13       3.099271697746e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.447167343268e-11       3.468803374773e-15      -1.705217318062e-13       3.282348123289e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.373873875989e-11       3.676381495343e-15      -1.805503408153e-13       3.467798837266e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.298871762427e-11       3.888139587791e-15      -1.906897471237e-13       3.655383997810e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.222681117315e-11       4.103794253852e-15      -2.009183973284e-13       3.844862433155e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.145530167878e-11       4.323003446688e-15      -2.112145760289e-13       4.035995279893e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.067038447782e-11       4.545417967664e-15      -2.215567999202e-13       4.228548430613e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.987539796530e-11       4.770805812717e-15      -2.319268216528e-13       4.422295657474e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.907072712367e-11       4.998970205269e-15      -2.423077832434e-13       4.617017076803e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.825290904427e-11       5.229718983681e-15      -2.526825870759e-13       4.812488392333e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.742619798113e-11       5.462871134004e-15      -2.630307326670e-13       5.008445726039e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
