# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730950099e+01 
       2.321812845909e-05       1.108985048323e+02 
       3.609173376214e-05       1.695112977688e+02 
       4.904439972694e-05       2.276638397061e+02 
       6.211104704304e-05       2.857257342488e+02 
       7.532746857735e-05       3.439710372198e+02 
       8.873064804491e-05       4.026322135432e+02 
       1.023590926816e-04       4.619220977805e+02 
       1.162531841578e-04       5.220451198431e+02 
       1.304555520066e-04       5.832040275900e+02 
       1.450114738457e-04       6.456045014353e+02 
       1.599693066204e-04       7.094587178216e+02 
       1.753809529236e-04       7.749883435647e+02 
       1.913023661048e-04       8.424272574240e+02 
       2.077940972509e-04       9.120241285226e+02 
       2.249218861033e-04       9.840449553794e+02 
       2.427572963948e-04       1.058775599125e+03 
       2.613783937365e-04       1.136524337876e+03 
       2.808704608154e-04       1.217624392699e+03 
       3.013267399410e-04       1.302436458752e+03 
       3.228491865615e-04       1.391351064472e+03 
       3.455492088575e-04       1.484790744841e+03 
       3.695483575494e-04       1.583211803042e+03 
       3.949789163640e-04       1.687105460860e+03 
       4.219843271948e-04       1.796998146443e+03 
       4.507193653101e-04       1.913450522368e+03 
       4.813499602484e-04       2.037054886774e+03 
       5.140525396193e-04       2.168430445189e+03 
       5.490127597170e-04       2.308215969240e+03 
       5.864234841228e-04       2.457059384902e+03 
       6.264818863381e-04       2.615603884337e+03 
       6.693855925968e-04       2.784470432189e+03 
       7.153278528513e-04       2.964236807464e+03 
       7.644918338936e-04       3.155413796088e+03 
       8.170442633386e-04       3.358419703345e+03 
       8.731288006755e-04       3.573554893841e+03 
       9.328596442615e-04       3.800978509309e+03 
       9.963159659542e-04       4.040689818918e+03 
       1.063537764581e-03       4.292516472355e+03 
       1.134523626239e-03       4.556111457085e+03 
       1.209230679194e-03       4.830959526905e+03 
       1.287576767919e-03       5.116392942125e+03 
       1.369444599257e-03       5.411599528991e+03 
       1.454687391959e-03       5.715670020922e+03 
       1.543135431684e-03       6.027661460620e+03 
       1.634602912099e-03       6.346568461930e+03 
