# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854630357169e-10       7.806992059249e-15       5.603733865352e-13       4.801772414170e-15       8.295499407873e-09       4.690126592714e-10      -2.069992388920e-12 
    3       2.442196187470e-10       1.011746535963e-14       4.540260826321e-13       4.836880804988e-15       5.166338602616e-09       3.332178195109e-10      -1.657372579442e-12 
    4       2.251820838078e-10       9.682392169744e-15       3.882083425957e-13       4.207386208809e-15       3.599552055429e-09       2.524017936899e-10      -1.177779947383e-12 
    5       2.145296876840e-10       7.469931352720e-15       3.249305134746e-13       3.296630753653e-15       2.687554259247e-09       1.994441057321e-10      -7.495389949104e-13 
    6       2.075513725164e-10       4.913574704098e-15       2.623739522306e-13       2.392976849185e-15       2.097867602921e-09       1.623480954573e-10      -4.080360070531e-13 
    7       2.029956240709e-10       2.948246939732e-15       2.059099283237e-13       1.655336074933e-15       1.690585096368e-09       1.350824225606e-10      -1.621424598259e-13 
    8       2.000135148425e-10       1.818057961422e-15       1.591330902795e-13       1.136858014032e-15       1.396373119105e-09       1.143629058353e-10      -5.652073015491e-15 
    9       1.981707315416e-10       1.331163341075e-15       1.236881815545e-13       8.256964684387e-16       1.176034768518e-09       9.825814950511e-11       7.614562758826e-14 
   10       1.971437307444e-10       1.186268735562e-15       9.950048531872e-14       6.799379377756e-16       1.005692562282e-09       8.547102437161e-11       1.021464160427e-13 
   11       1.966259951436e-10       1.169457199207e-15       8.526323932857e-14       6.514166869510e-16       8.468410012653e-10       7.532723813350e-11       9.186644485605e-14 
   12       1.965423111279e-10       1.193819564460e-15       7.881129809470e-14       6.981357509576e-16       7.398913501625e-10       6.670070243806e-11       6.312193668079e-14 
   13       1.967528934224e-10       1.249732406351e-15       7.768071809314e-14       7.893634768634e-16       6.521035877820e-10       5.944239344045e-11       2.907289200810e-14 
   14       1.971823168115e-10       1.346520873111e-15       7.958669782676e-14       9.049087105269e-16       5.790603816172e-10       5.335073102352e-11      -9.920111607630e-16 
   15       1.978013804818e-10       1.483122694113e-15       8.265799417517e-14       1.033573482050e-15       5.175843585439e-10       4.820283707016e-11      -2.218687737930e-14 
   16       1.985285019064e-10       1.648971695827e-15       8.572044490004e-14       1.169855187146e-15       4.653196103102e-10       4.377013241467e-11      -3.331320282698e-14 
   17       1.994159852957e-10       1.835150000097e-15       8.812912009592e-14       1.310980694083e-15       4.204858090367e-10       3.982061364595e-11      -3.583226163614e-14 
   18       2.003668230352e-10       2.039340681254e-15       8.961775752014e-14       1.456610952990e-15       3.815721939635e-10       3.638582317421e-11      -3.220311352557e-14 
   19       2.013981861773e-10       2.265463451176e-15       9.034941789900e-14       1.606529775765e-15       3.479631620737e-10       3.342008942027e-11      -2.499078882253e-14 
   20       2.024813615568e-10       2.518797215547e-15       9.065054033163e-14       1.760498465341e-15       3.183632407574e-10       3.075350409867e-11      -1.731450841790e-14 
   21       2.036272321529e-10       2.801085316203e-15       9.076721941167e-14       1.918416503123e-15       2.923074187885e-10       2.837675168708e-11      -1.085685397063e-14 
   22       2.048043742190e-10       3.112205682251e-15       9.089724722131e-14       2.080298968609e-15       2.691721864727e-10       2.629185733977e-11      -6.763533852531e-15 
   23       2.060315246223e-10       3.450948899341e-15       9.102746629378e-14       2.246047621970e-15       2.486391354515e-10       2.446076872130e-11      -5.095615613929e-15 
   24       2.073020995056e-10       3.815512062417e-15       9.102680063174e-14       2.415555409679e-15       2.302332364143e-10       2.280672854966e-11      -5.393004225777e-15 
   25       2.086126795645e-10       4.205930290579e-15       9.068997462694e-14       2.588629965351e-15       2.137380313670e-10       2.129086020972e-11      -7.062229452958e-15 
   26       2.099351168089e-10       4.622683881965e-15       8.974884394248e-14       2.765058697038e-15       1.988552054094e-10       1.987841477781e-11      -9.331134127743e-15 
   27       2.112800034982e-10       5.066144556342e-15       8.795709733098e-14       2.944585669730e-15       1.854065966388e-10       1.858693994277e-11      -1.148112276489e-14 
   28       2.126509623676e-10       5.536666038300e-15       8.507157458458e-14       3.126953153232e-15       1.731606955557e-10       1.743787442779e-11      -1.283701009405e-14 
   29       2.140613773513e-10       6.035085292777e-15       8.097222367887e-14       3.311941465425e-15       1.620547323190e-10       1.641900995322e-11      -1.332117394116e-14 
   30       2.155033682915e-10       6.562411617196e-15       7.557541610180e-14       3.499356334489e-15       1.519689448956e-10       1.549276052154e-11      -1.308446883756e-14 
   31       2.169498582640e-10       7.119702183812e-15       6.882041908031e-14       3.689008579508e-15       1.426971076654e-10       1.461426413525e-11      -1.233419259301e-14 
   32       2.184120810958e-10       7.708075761672e-15       6.074827236949e-14       3.880659245412e-15       1.341914403134e-10       1.378545796698e-11      -1.126034645961e-14 
   33       2.198988029812e-10       8.328708885745e-15       5.145621951763e-14       4.074054283006e-15       1.263921343489e-10       1.301991756885e-11      -1.009032146029e-14 
   34       2.214049215580e-10       8.982719555622e-15       4.104640407804e-14       4.268943781589e-15       1.191903841095e-10       1.232581883632e-11      -9.065824597438e-15 
   35       2.229319600265e-10       9.670765800233e-15       2.950888376332e-14       4.465100103776e-15       1.125493085821e-10       1.169673541445e-11      -8.280852677361e-15 
   36       2.244714051785e-10       1.039329701961e-14       1.679808805783e-14       4.662306475333e-15       1.064154798663e-10       1.111659392840e-11      -7.788775907706e-15 
   37       2.260076323489e-10       1.115070667275e-14       2.865918429003e-15       4.860342276429e-15       1.007089161140e-10       1.056720880323e-11      -7.621164831667e-15 
   38       2.275526670538e-10       1.194352270515e-14      -1.232831947055e-14       5.058947740083e-15       9.541485256185e-11       1.004811487178e-11      -7.706425274278e-15 
   39       2.291208050368e-10       1.277227085531e-14      -2.882531071550e-14       5.257847222353e-15       9.051651314024e-11       9.562701477279e-12      -7.921832820693e-15 
   40       2.307181045736e-10       1.363741885413e-14      -4.666884124299e-14       5.456757988473e-15       8.596720063786e-11       9.112679792086e-12      -8.112579269900e-15 
   41       2.323439710339e-10       1.453941325139e-14      -6.590485784646e-14       5.655397269356e-15       8.170656435488e-11       8.697879482191e-12      -8.132766695502e-15 
   42       2.339987923931e-10       1.547881334433e-14      -8.657743126946e-14       5.853507439846e-15       7.772204641251e-11       8.315979110367e-12      -7.989550556263e-15 
   43       2.356772059436e-10       1.645619452392e-14      -1.087320733082e-13       6.050838164426e-15       7.400304521812e-11       7.962393885934e-12      -7.742341404232e-15 
   44       2.373650343867e-10       1.747211050517e-14      -1.324171759105e-13       6.247139532202e-15       7.052247589981e-11       7.630123232697e-12      -7.464557620129e-15 
   45       2.390464040173e-10       1.852702549368e-14      -1.576726519207e-13       6.442157797212e-15       6.724644067357e-11       7.311816844168e-12      -7.228508851956e-15 
   46       2.407294452523e-10       1.962108884437e-14      -1.844911934288e-13       6.635621077025e-15       6.416977929087e-11       7.007125665390e-12      -7.052676097728e-15 
   47       2.424269702297e-10       2.075429134373e-14      -2.128458745874e-13       6.827249381253e-15       6.128891495991e-11       6.717248091551e-12      -6.940100493360e-15 
   48       2.441489492057e-10       2.192652148313e-14      -2.427003680667e-13       7.016758264123e-15       5.859113273796e-11       6.442831813184e-12      -6.892895974661e-15 
   49       2.459021973271e-10       2.313756061546e-14      -2.740085365117e-13       7.203858580632e-15       5.605389998931e-11       6.183926334287e-12      -6.912170973525e-15 
   50       2.476904074105e-10       2.438713676738e-14      -3.067259151423e-13       7.388269262046e-15       5.365165176830e-11       5.940120659571e-12      -6.996125136154e-15 
   51       2.495149854572e-10       2.567511453258e-14      -3.408487818056e-13       7.569760296266e-15       5.137989482798e-11       5.711110574070e-12      -7.133912092411e-15 
   52       2.513739004965e-10       2.700134835087e-14      -3.763849858555e-13       7.748120992499e-15       4.923647174213e-11       5.496203269828e-12      -7.309975451644e-15 
   53       2.532610685003e-10       2.836562632397e-14      -4.133431313625e-13       7.923148341670e-15       4.721434735841e-11       5.294107786571e-12      -7.505567891346e-15 
   54       2.551660554377e-10       2.976766813236e-14      -4.517327281537e-13       8.094647385250e-15       4.530128054689e-11       5.102896243674e-12      -7.698586972025e-15 
   55       2.570783133589e-10       3.120714962715e-14      -4.915633334707e-13       8.262433532913e-15       4.348355666443e-11       4.920534104967e-12      -7.868996306603e-15 
   56       2.590018012345e-10       3.268378853147e-14      -5.328413812256e-13       8.426339344733e-15       4.175902274942e-11       4.746714046087e-12      -8.017042269259e-15 
   57       2.609434761237e-10       3.419727638051e-14      -5.755728296230e-13       8.586210079868e-15       4.012671559114e-11       4.581409753881e-12      -8.149275124991e-15 
   58       2.629089606572e-10       3.574725269075e-14      -6.197642108121e-13       8.741902330445e-15       3.858291838660e-11       4.424330571333e-12      -8.273412428220e-15 
   59       2.649024227039e-10       3.733330391624e-14      -6.654227426003e-13       8.893284466315e-15       3.712099069890e-11       4.274904899634e-12      -8.398392448875e-15 
   60       2.669264550370e-10       3.895496240477e-14      -7.125564401671e-13       9.040237079819e-15       3.573119841551e-11       4.132263600256e-12      -8.534427598481e-15 
   61       2.689827149424e-10       4.061169536483e-14      -7.611696579521e-13       9.182650960062e-15       3.440341583843e-11       3.995499718413e-12      -8.689984363854e-15 
   62       2.710742830394e-10       4.230287123385e-14      -8.112482932499e-13       9.320419478215e-15       3.313632538431e-11       3.864553327048e-12      -8.861810094080e-15 
   63       2.732036227983e-10       4.402778387439e-14      -8.627714445267e-13       9.453445274471e-15       3.192999051143e-11       3.739496746141e-12      -9.042752236564e-15 
   64       2.753717730043e-10       4.578566056339e-14      -9.157156555505e-13       9.581642936827e-15       3.078308845662e-11       3.620268071925e-12      -9.224591071408e-15 
   65       2.775782515367e-10       4.757566063145e-14      -9.700548821083e-13       9.704939367456e-15       2.969283132418e-11       3.506663346426e-12      -9.397995617916e-15 
   66       2.798209591476e-10       4.939687410205e-14      -1.025760458722e-12       9.823274149083e-15       2.865488717474e-11       3.398328727003e-12      -9.552479541083e-15 
   67       2.820960832412e-10       5.124832033085e-14      -1.082801065364e-12       9.936599911359e-15       2.766330111411e-11       3.294752655891e-12      -9.676357058095e-15 
   68       2.843998366984e-10       5.312895579249e-14      -1.141145457607e-12       1.004487392208e-14       2.671208476678e-11       3.195408405294e-12      -9.759535753174e-15 
   69       2.867342985702e-10       5.503770231520e-14      -1.200771373845e-12       1.014803006335e-14       2.580053507957e-11       3.100232756060e-12      -9.802650716965e-15 
   70       2.891025894448e-10       5.697342214909e-14      -1.261658381410e-12       1.024600180914e-14       2.492885644005e-11       3.009230690580e-12      -9.809710516560e-15 
   71       2.915070927098e-10       5.893490821805e-14      -1.323785309553e-12       1.033873063739e-14       2.409655205725e-11       2.922329686023e-12      -9.785451998050e-15 
   72       2.939494052630e-10       6.092088299302e-14      -1.387130286840e-12       1.042616617201e-14       2.330238772024e-11       2.839375729803e-12      -9.735368748225e-15 
   73       2.964302882239e-10       6.292999736516e-14      -1.451670778538e-12       1.050826632480e-14       2.254435555670e-11       2.760129335037e-12      -9.665739556267e-15 
   74       2.989496176444e-10       6.496082951904e-14      -1.517383624017e-12       1.058499743737e-14       2.181963779143e-11       2.684261556014e-12      -9.583656875453e-15 
   75       3.015063352202e-10       6.701188380587e-14      -1.584245074132e-12       1.065633442313e-14       2.112457050496e-11       2.611350003653e-12      -9.497055284846e-15 
   76       3.040992987176e-10       6.908163705281e-14      -1.652229762536e-12       1.072226064201e-14       2.045555261914e-11       2.540983265422e-12      -9.413020555175e-15 
   77       3.067301212468e-10       7.116868973105e-14      -1.721307320364e-12       1.078276718447e-14       1.981204433226e-11       2.473104956149e-12      -9.332297944979e-15 
   78       3.094007626014e-10       7.327164043490e-14      -1.791445209285e-12       1.083785371422e-14       1.919405216002e-11       2.407725458925e-12      -9.253829522243e-15 
   79       3.121126451338e-10       7.538904073953e-14      -1.862609748104e-12       1.088752885810e-14       1.860121562926e-11       2.344817353384e-12      -9.176378032684e-15 
   80       3.148666229157e-10       7.751939504693e-14      -1.934766128291e-12       1.093181034254e-14       1.803279041922e-11       2.284313654090e-12      -9.098520103838e-15 
   81       3.176629508985e-10       7.966116043181e-14      -2.007878429519e-12       1.097072513003e-14       1.748763150268e-11       2.226106048923e-12      -9.018639449158e-15 
   82       3.205012540740e-10       8.181274648751e-14      -2.081909635186e-12       1.100430955557e-14       1.696417628724e-11       2.170043137459e-12      -8.934920072108e-15 
   83       3.233804966346e-10       8.397251517193e-14      -2.156821647955e-12       1.103260946318e-14       1.646042775644e-11       2.115928669358e-12      -8.845339470254e-15 
   84       3.262996142322e-10       8.613878740456e-14      -2.232574505142e-12       1.105567544377e-14       1.597443953670e-11       2.063571664087e-12      -8.748247658951e-15 
   85       3.292595987382e-10       8.830986445158e-14      -2.309123841433e-12       1.107354734290e-14       1.550590042038e-11       2.012950175481e-12      -8.644229418896e-15 
   86       3.322617041566e-10       9.048400981996e-14      -2.386423032061e-12       1.108626742304e-14       1.505478283464e-11       1.964071572271e-12      -8.534539745210e-15 
   87       3.353067948497e-10       9.265944278148e-14      -2.464423957598e-12       1.109388508705e-14       1.462085597211e-11       1.916922194027e-12      -8.420548481534e-15 
   88       3.383953258432e-10       9.483433833218e-14      -2.543077006038e-12       1.109645693238e-14       1.420367736780e-11       1.871466461494e-12      -8.303743369833e-15 
