# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907274574058e-10       7.950735266957e-15       5.707085884067e-13       4.890089115191e-15       8.448496728540e-09       4.776628533946e-10      -2.108170113217e-12 
    3       2.487228837103e-10       1.030357707419e-14       4.623998915372e-13       4.925600518711e-15       5.261623518569e-09       3.393634933368e-10      -1.687940186229e-12 
    4       2.293335873092e-10       9.860153436358e-15       3.953682821462e-13       4.284169681775e-15       3.665940080188e-09       2.570569441839e-10      -1.199502229240e-12 
    5       2.184839277895e-10       7.606479206147e-15       3.309234611702e-13       3.356208707321e-15       2.737121932101e-09       2.031225357216e-10      -7.633630520670e-13 
    6       2.113759646489e-10       5.002484469348e-15       2.672132589704e-13       2.435398204573e-15       2.136559441300e-09       1.653423484129e-10      -4.155615836032e-13 
    7       2.067351075142e-10       3.000336935615e-15       2.097080272408e-13       1.683580421564e-15       1.721765255317e-09       1.375738034534e-10      -1.651329201587e-13 
    8       2.036967783538e-10       1.848648509596e-15       1.620687317244e-13       1.154884991992e-15       1.422127005082e-09       1.164721481263e-10      -5.756316531772e-15 
    9       2.018186606084e-10       1.352036282759e-15       1.259704717248e-13       8.372470292223e-16       1.197724863321e-09       1.000703651258e-10       7.755001283726e-14 
   10       2.007712507254e-10       1.203648814858e-15       1.013371746584e-13       6.879798161386e-16       1.024240965444e-09       8.704740176380e-11       1.040303445685e-13 
   11       2.002423852671e-10       1.185623624629e-15       8.683800009920e-14       6.580291141030e-16       8.624596394996e-10       7.671652948789e-11       9.356077562881e-14 
   12       2.001554703208e-10       1.209448500355e-15       8.026789314082e-14       7.046232627836e-16       7.535374718236e-10       6.793089103284e-11       6.428612062110e-14 
   13       2.003681490232e-10       1.265322429929e-15       7.911748987679e-14       7.964637277844e-16       6.641306034953e-10       6.053871404555e-11       2.960909535917e-14 
   14       2.008036110795e-10       1.362742503515e-15       8.105987194794e-14       9.129869256836e-16       5.897402313207e-10       5.433470058350e-11      -1.010307232187e-15 
   15       2.014321225032e-10       1.500626872851e-15       8.418930600839e-14       1.042788376144e-15       5.271303805714e-10       4.909186189648e-11      -2.259607911944e-14 
   16       2.021706007754e-10       1.668214567820e-15       8.730999507740e-14       1.180264062536e-15       4.739016920066e-10       4.457740303882e-11      -3.392761198124e-14 
   17       2.030723186618e-10       1.856423383132e-15       8.976513406253e-14       1.322589837732e-15       4.282410024251e-10       4.055504166476e-11      -3.649313083210e-14 
   18       2.040384824604e-10       2.062893882108e-15       9.128356796330e-14       1.469420584323e-15       3.886096874822e-10       3.705690193417e-11      -3.279704884450e-14 
   19       2.050865822357e-10       2.291618358456e-15       9.203138141576e-14       1.620536357731e-15       3.543807903406e-10       3.403646992810e-11      -2.545170425911e-14 
   20       2.061873767030e-10       2.547973443178e-15       9.234104884280e-14       1.775694340265e-15       3.242349454541e-10       3.132070367242e-11      -1.763384704556e-14 
   21       2.073519504264e-10       2.833735055019e-15       9.246321677573e-14       1.934792467851e-15       2.976985652026e-10       2.890011583478e-11      -1.105709141104e-14 
   22       2.085483002340e-10       3.148779363359e-15       9.259933644956e-14       2.097846440572e-15       2.741366402450e-10       2.677676892020e-11      -6.888276499935e-15 
   23       2.097955083330e-10       3.491875187338e-15       9.273601736667e-14       2.264756555721e-15       2.532248896860e-10       2.491190877832e-11      -5.189596156600e-15 
   24       2.110868686915e-10       3.861186965580e-15       9.273977375467e-14       2.435414148225e-15       2.344795230533e-10       2.322736246086e-11      -5.492469629404e-15 
   25       2.124188981293e-10       4.256751091169e-15       9.240155024725e-14       2.609623650085e-15       2.176800901287e-10       2.168353633525e-11      -7.192481066648e-15 
   26       2.137629284508e-10       4.679057388406e-15       9.144826134078e-14       2.787168886970e-15       2.025227740671e-10       2.024504058905e-11      -9.503232087147e-15 
   27       2.151297463730e-10       5.128485119287e-15       8.962905574045e-14       2.967789508520e-15       1.888261270522e-10       1.892974655041e-11      -1.169287385243e-14 
   28       2.165230405937e-10       5.605395244448e-15       8.669628940920e-14       3.151223308166e-15       1.763543697593e-10       1.775948834570e-11      -1.307376837142e-14 
   29       2.179564416292e-10       6.110640873803e-15       8.252769546439e-14       3.337246775361e-15       1.650435746572e-10       1.672183253295e-11      -1.356686185227e-14 
   30       2.194219239684e-10       6.645250643635e-15       7.703810027368e-14       3.525662236652e-15       1.547717708920e-10       1.577849990057e-11      -1.332579109872e-14 
   31       2.208919115453e-10       7.210301964122e-15       7.016564596061e-14       3.716277162107e-15       1.453289293396e-10       1.488380104271e-11      -1.256167719961e-14 
   32       2.223778464148e-10       7.806934970671e-15       6.195212196817e-14       3.908848278503e-15       1.366663884527e-10       1.403970886007e-11      -1.146802567859e-14 
   33       2.238886580388e-10       8.436348632923e-15       5.249655570371e-14       4.103116886424e-15       1.287232366681e-10       1.326004928430e-11      -1.027642142512e-14 
   34       2.254191520256e-10       9.099682314517e-15       4.190296221980e-14       4.298828452911e-15       1.213886615755e-10       1.255314900226e-11      -9.233029343632e-15 
   35       2.269708822749e-10       9.797606943219e-15       3.016120001731e-14       4.495751108535e-15       1.146251019502e-10       1.191246313511e-11      -8.433579862330e-15 
   36       2.285351817708e-10       1.053058097808e-14       1.722483908350e-14       4.693664001024e-15       1.083781444988e-10       1.132162186009e-11      -7.932427517641e-15 
   37       2.300961413306e-10       1.129900592755e-14       3.044871204558e-15       4.892342328106e-15       1.025663322351e-10       1.076210419823e-11      -7.761725121322e-15 
   38       2.316660117035e-10       1.210342035412e-14      -1.242017621391e-14       5.091521468908e-15       9.717462808301e-11       1.023343640308e-11      -7.848558057479e-15 
   39       2.332593560453e-10       1.294436061401e-14      -2.921177063803e-14       5.290920622074e-15       9.218594656500e-11       9.739070328921e-12      -8.067938454212e-15 
   40       2.348823486536e-10       1.382230400897e-14      -4.737454168076e-14       5.490251728620e-15       8.755272921379e-11       9.280748707981e-12      -8.262202918938e-15 
   41       2.365343883952e-10       1.473770632605e-14      -6.695532437507e-14       5.689226692838e-15       8.321351225669e-11       8.858298064705e-12      -8.282762669565e-15 
   42       2.382158737288e-10       1.569113835355e-14      -8.799904953073e-14       5.887583146374e-15       7.915550620477e-11       8.469354146643e-12      -8.136905135938e-15 
   43       2.399213461846e-10       1.668318736435e-14      -1.105521211185e-13       6.085066179023e-15       7.536791393583e-11       8.109247603925e-12      -7.885136603447e-15 
   44       2.416363703216e-10       1.771441861966e-14      -1.346638816816e-13       6.281421314371e-15       7.182315104051e-11       7.770848745841e-12      -7.602229538322e-15 
   45       2.433447827902e-10       1.878530632083e-14      -1.603750435707e-13       6.476390197872e-15       6.848669454396e-11       7.446671701165e-12      -7.361827225255e-15 
   46       2.450548654723e-10       1.989600422986e-14      -1.876782322997e-13       6.669696119367e-15       6.535328902507e-11       7.136360977174e-12      -7.182751514943e-15 
   47       2.467796677077e-10       2.104650475427e-14      -2.165460990979e-13       6.861054165640e-15       6.241929172380e-11       6.841137071555e-12      -7.068099632223e-15 
   48       2.485293443008e-10       2.223669623026e-14      -2.469417261463e-13       7.050174918379e-15       5.967175319044e-11       6.561659620463e-12      -7.020024501096e-15 
   49       2.503108365036e-10       2.346635799370e-14      -2.788182106762e-13       7.236764207664e-15       5.708772521063e-11       6.297979040921e-12      -7.039654996722e-15 
   50       2.521279052650e-10       2.473521519056e-14      -3.121303581580e-13       7.420536116494e-15       5.464117133383e-11       6.049676757483e-12      -7.125157560636e-15 
   51       2.539819817336e-10       2.604313218298e-14      -3.468744685801e-13       7.601256727747e-15       5.232751544228e-11       5.816442944420e-12      -7.265485778617e-15 
   52       2.558709961743e-10       2.738996312101e-14      -3.830586307943e-13       7.778711825723e-15       5.014456031948e-11       5.597572016034e-12      -7.444796347079e-15 
   53       2.577887506169e-10       2.877549472396e-14      -4.206917075996e-13       7.952695051063e-15       4.808514106084e-11       5.391749202337e-12      -7.643996178903e-15 
   54       2.597246164168e-10       3.019944416273e-14      -4.597834896794e-13       8.123008277809e-15       4.613679076824e-11       5.197011066006e-12      -7.840575190182e-15 
   55       2.616678489057e-10       3.166148403647e-14      -5.003438190401e-13       8.289463919478e-15       4.428554185370e-11       5.011285547080e-12      -8.014127454477e-15 
   56       2.636224793769e-10       3.316132942034e-14      -5.423793516656e-13       8.451891654323e-15       4.252920164767e-11       4.834259653086e-12      -8.164903889948e-15 
   57       2.655955928431e-10       3.469866873290e-14      -5.858962602711e-13       8.610134031222e-15       4.086678917450e-11       4.665906585568e-12      -8.299575570835e-15 
   58       2.675929151871e-10       3.627313749728e-14      -6.309013056545e-13       8.764045129427e-15       3.929451908071e-11       4.505930326800e-12      -8.426002389602e-15 
   59       2.696186906098e-10       3.788431727903e-14      -6.774019504851e-13       8.913491010779e-15       3.780562845707e-11       4.353748735742e-12      -8.553287468381e-15 
   60       2.716755590769e-10       3.953173462405e-14      -7.254064730919e-13       9.058350171927e-15       3.639020366076e-11       4.208476643985e-12      -8.691831570418e-15 
   61       2.737652084238e-10       4.121484968188e-14      -7.749194251188e-13       9.198511425041e-15       3.503793224139e-11       4.069190369402e-12      -8.850257333442e-15 
   62       2.758907789621e-10       4.293302149447e-14      -8.259265556283e-13       9.333865960995e-15       3.374747231487e-11       3.935828879675e-12      -9.025252116554e-15 
   63       2.780547835967e-10       4.468553299593e-14      -8.784066895706e-13       9.464314299045e-15       3.251888850984e-11       3.808465828612e-12      -9.209531449680e-15 
   64       2.802582847647e-10       4.647159927768e-14      -9.323360520378e-13       9.589769064417e-15       3.135083366690e-11       3.687038170730e-12      -9.394724013234e-15 
   65       2.825007964615e-10       4.829036619907e-14      -9.876882343172e-13       9.710155358936e-15       3.024046847202e-11       3.571338186373e-12      -9.571326731389e-15 
   66       2.847801862676e-10       5.014090899804e-14      -1.044434159944e-12       9.825411131650e-15       2.918338109007e-11       3.461005506834e-12      -9.728659865335e-15 
   67       2.870925773753e-10       5.202223090167e-14      -1.102542050755e-12       9.935487549460e-15       2.817350679832e-11       3.355519139478e-12      -9.854822106540e-15 
   68       2.894341192649e-10       5.393327097905e-14      -1.161980208259e-12       1.004034047813e-14       2.720474677515e-11       3.254342641850e-12      -9.939534900636e-15 
   69       2.918069353619e-10       5.587293265325e-14      -1.222726088071e-12       1.013990209242e-14       2.627638500070e-11       3.157411628820e-12      -9.983445051506e-15 
   70       2.942142100655e-10       5.784005849721e-14      -1.284759011665e-12       1.023410415275e-14       2.538862963212e-11       3.064731174673e-12      -9.990635057900e-15 
   71       2.966583774480e-10       5.983342037035e-14      -1.348057551113e-12       1.032288652664e-14       2.454097471595e-11       2.976227419009e-12      -9.965929129517e-15 
   72       2.991410710735e-10       6.185171826555e-14      -1.412599567147e-12       1.040619733188e-14       2.373216327818e-11       2.891743508723e-12      -9.914922173637e-15 
   73       3.016630738158e-10       6.389357915617e-14      -1.478362247211e-12       1.048399307984e-14       2.296015041446e-11       2.811035539979e-12      -9.844008781743e-15 
   74       3.042242676764e-10       6.595755584299e-14      -1.545322143521e-12       1.055623881876e-14       2.222206638022e-11       2.733768500183e-12      -9.760412216155e-15 
   75       3.068235836033e-10       6.804212580125e-14      -1.613455211116e-12       1.062290827700e-14       2.151417968080e-11       2.659512209957e-12      -9.672213396657e-15 
   76       3.094598664805e-10       7.014573841591e-14      -1.682735760912e-12       1.068398383262e-14       2.083282282188e-11       2.587847668920e-12      -9.586628779770e-15 
   77       3.121347631290e-10       7.226696918061e-14      -1.753133014306e-12       1.073945609901e-14       2.017744604598e-11       2.518717451964e-12      -9.504417369144e-15 
