# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.907279574032e-10       7.950984163741e-15       5.707085841964e-13       4.890338011938e-15       8.448496728540e-09       4.776628533946e-10      -2.108170113217e-12 
    3       2.487238800545e-10       1.030407500651e-14       4.623998727941e-13       4.926098450650e-15       5.261623518569e-09       3.393634933368e-10      -1.687940186229e-12 
    4       2.293352398827e-10       9.860983625484e-15       3.953682283664e-13       4.284999869055e-15       3.665940080188e-09       2.570569441839e-10      -1.199502229240e-12 
    5       2.184863919166e-10       7.607725040783e-15       3.309233388716e-13       3.357454535648e-15       2.737121932101e-09       2.031225357216e-10      -7.633630520670e-13 
    6       2.113793902133e-10       5.004229532854e-15       2.672130190027e-13       2.437143250916e-15       2.136559441300e-09       1.653423484129e-10      -4.155615836032e-13 
    7       2.067396382333e-10       3.002665024272e-15       2.097076024329e-13       1.685908470411e-15       1.721765255317e-09       1.375738034534e-10      -1.651329201587e-13 
    8       2.037025512294e-10       1.851643640827e-15       1.620680349125e-13       1.157880041228e-15       1.422127005082e-09       1.164721481263e-10      -5.756316531772e-15 
    9       2.018258055645e-10       1.355782692584e-15       1.259693941901e-13       8.409932851338e-16       1.197724863321e-09       1.000703651258e-10       7.755001283726e-14 
   10       2.007798904386e-10       1.208230944257e-15       1.013355849917e-13       6.925616775392e-16       1.024240965444e-09       8.704740176380e-11       1.040303445685e-13 
   11       2.002526351884e-10       1.191126094858e-15       8.683574349499e-14       6.635311460394e-16       8.624596394996e-10       7.671652948789e-11       9.356077562881e-14 
   12       2.001674388795e-10       1.215956077643e-15       8.026479111054e-14       7.111301607367e-16       7.535374718236e-10       6.793089103284e-11       6.428612062110e-14 
   13       2.003819379991e-10       1.272919980352e-15       7.911334036122e-14       8.040602736968e-16       6.641306034953e-10       6.053871404555e-11       2.960909535917e-14 
   14       2.008193161221e-10       1.371514939173e-15       8.105444979624e-14       9.217579375061e-16       5.897402313207e-10       5.433470058350e-11      -1.010307232187e-15 
   15       2.014498337731e-10       1.510659090761e-15       8.418236378441e-14       1.052818652877e-15       5.271303805714e-10       4.909186189648e-11      -2.259607911944e-14 
   16       2.021904036787e-10       1.679591383159e-15       8.730126414712e-14       1.191638326950e-15       4.739016920066e-10       4.457740303882e-11      -3.392761198124e-14 
   17       2.030942946455e-10       1.869229458645e-15       8.975432591314e-14       1.335392679047e-15       4.282410024251e-10       4.055504166476e-11      -3.649313083210e-14 
