# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.445866226852e-10       2.736007560572e-15       1.692625210210e-13       4.890089115191e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.109337462180e-10       2.896193193297e-15      -8.228271042876e-15       4.925600518711e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.948762852965e-11       2.657931442664e-15      -6.170586877832e-14       4.284169681775e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.469151166585e-11       2.124484946212e-15      -7.280773939856e-14       3.356208707321e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.185913345300e-11       1.531163957059e-15      -6.922115181240e-14       2.435398204573e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       9.006699079780e-11       1.042399527070e-15      -6.141988082090e-14       1.683580421564e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.885537287363e-11       7.252536998026e-16      -5.402421613568e-14       1.154884991992e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.797447049860e-11       5.744898104015e-16      -4.875101135158e-14       8.372470292223e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.728009304948e-11       5.498423107611e-16      -4.593758768504e-14       6.879798161386e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.668783443880e-11       6.050276335677e-16      -4.535518200669e-14       6.580291141030e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.614871103903e-11       7.036299795816e-16      -4.660766093806e-14       7.046232627836e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.563362748528e-11       8.228848737775e-16      -4.930017442257e-14       7.964637277844e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.512449385893e-11       9.519930551457e-16      -5.311999172923e-14       9.129869256836e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.460999274078e-11       1.086865259416e-15      -5.784431487678e-14       1.042788376144e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.408339072048e-11       1.226732410394e-15      -6.331280094318e-14       1.180264062536e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.354101813218e-11       1.372355402531e-15      -6.941021386190e-14       1.322589837732e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
