# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867175534931e-10       7.832488817499e-15       5.600623549492e-13       4.820519781744e-15       8.259506886989e-09       4.777387734968e-10      -2.071093464922e-12 
    3       2.452646776335e-10       1.012404126970e-14       4.541097278896e-13       4.846633472775e-15       5.138496194732e-09       3.389986445596e-10      -1.656448486184e-12 
    4       2.260293125208e-10       9.658966485089e-15       3.885001320605e-13       4.207077784884e-15       3.579671013268e-09       2.566815251614e-10      -1.174670141089e-12 
    5       2.152048449493e-10       7.426389982959e-15       3.251848998240e-13       3.288867196047e-15       2.672363422416e-09       2.027033653453e-10      -7.450908031832e-13 
    6       2.080948431368e-10       4.868143818742e-15       2.624966905725e-13       2.381578245035e-15       2.085795380839e-09       1.648881807202e-10      -4.032475347845e-13 
    7       2.034532340655e-10       2.913902538823e-15       2.059387179441e-13       1.643347521669e-15       1.681094390625e-09       1.372059855768e-10      -1.578510217377e-13 
    8       2.004259244691e-10       1.797599904620e-15       1.590939679522e-13       1.126207694557e-15       1.388911962929e-09       1.162082142053e-10      -2.420247957884e-15 
    9       1.985341753643e-10       1.320393878478e-15       1.236106721373e-13       8.171204664922e-16       1.169909520212e-09       9.979638191157e-11       7.807528154222e-14 
   10       1.974319637850e-10       1.179642279436e-15       9.945718097389e-14       6.732515270022e-16       1.000388707544e-09       8.672196074529e-11       1.028310801505e-13 
   11       1.968905843352e-10       1.163407630109e-15       8.531234935093e-14       6.462339169651e-16       8.428967208686e-10       7.646423214166e-11       9.163912499940e-14 
   12       1.968095019143e-10       1.187713809689e-15       7.896707278606e-14       6.936246164800e-16       7.364826051188e-10       6.771306205476e-11       6.223036561744e-14 
   13       1.970104392595e-10       1.243862535262e-15       7.786202138018e-14       7.850105276280e-16       6.491292058011e-10       6.044249962970e-11       2.813928503977e-14 
   14       1.973987585853e-10       1.341185706788e-15       7.973612406637e-14       9.002100948549e-16       5.764448610167e-10       5.413741436495e-11      -1.837801632139e-15 
   15       1.979847967515e-10       1.477964460592e-15       8.283309230137e-14       1.028273777242e-15       5.152649762396e-10       4.883839246584e-11      -2.274753120856e-14 
   16       1.987645458077e-10       1.643611603431e-15       8.586650474571e-14       1.163635161758e-15       4.632482913641e-10       4.435660478218e-11      -3.353108668021e-14 
   17       1.995925596664e-10       1.829231861311e-15       8.818389892583e-14       1.303909591436e-15       4.186266207607e-10       4.049224182805e-11      -3.554331045383e-14 
