# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.867180332891e-10       7.832728106837e-15       5.600623508950e-13       4.820759071046e-15       8.259506886989e-09       4.777387734968e-10      -2.071093464922e-12 
    3       2.452656337382e-10       1.012451998127e-14       4.541097098412e-13       4.847112183984e-15       5.138496194732e-09       3.389986445596e-10      -1.656448486184e-12 
    4       2.260308983866e-10       9.659764626851e-15       3.885000802736e-13       4.207875924915e-15       3.579671013268e-09       2.566815251614e-10      -1.174670141089e-12 
    5       2.152072096737e-10       7.427587723192e-15       3.251847820561e-13       3.290064930364e-15       2.672363422416e-09       2.027033653453e-10      -7.450908031832e-13 
    6       2.080981306189e-10       4.869821512040e-15       2.624964594915e-13       2.383255922243e-15       2.085795380839e-09       1.648881807202e-10      -4.032475347845e-13 
    7       2.034575823121e-10       2.916140743512e-15       2.059383088621e-13       1.645585689049e-15       1.681094390625e-09       1.372059855768e-10      -1.578510217377e-13 
    8       2.004314650682e-10       1.800479390520e-15       1.590932969243e-13       1.129087103644e-15       1.388911962929e-09       1.162082142053e-10      -2.420247957884e-15 
    9       1.985410331375e-10       1.323995624333e-15       1.236096344563e-13       8.207220682282e-16       1.169909520212e-09       9.979638191157e-11       7.807528154222e-14 
   10       1.974402566239e-10       1.184047459696e-15       9.945565007437e-14       6.776564564603e-16       1.000388707544e-09       8.672196074529e-11       1.028310801505e-13 
   11       1.969004232191e-10       1.168697591110e-15       8.531017612831e-14       6.515234680779e-16       8.428967208686e-10       7.646423214166e-11       9.163912499940e-14 
   12       1.968209911029e-10       1.193970035651e-15       7.896408531928e-14       6.998802076590e-16       7.364826051188e-10       6.771306205476e-11       6.223036561744e-14 
   13       1.970236766454e-10       1.251166604874e-15       7.785802503933e-14       7.923136595480e-16       6.491292058011e-10       6.044249962970e-11       2.813928503977e-14 
   14       1.974138361867e-10       1.349619241456e-15       7.973090197466e-14       9.086423020277e-16       5.764448610167e-10       5.413741436495e-11      -1.837801632139e-15 
   15       1.980018013225e-10       1.487609065718e-15       8.282640611351e-14       1.037916575276e-15       5.152649762396e-10       4.883839246584e-11      -2.274753120856e-14 
   16       1.987835595367e-10       1.654548804288e-15       8.585809569875e-14       1.174569992400e-15       4.632482913641e-10       4.435660478218e-11      -3.353108668021e-14 
   17       1.996136609331e-10       1.841543035260e-15       8.817348911498e-14       1.316217767581e-15       4.186266207607e-10       4.049224182805e-11      -3.554331045383e-14 
   18       2.005410962251e-10       2.046882586602e-15       8.963911090296e-14       1.462327861683e-15       3.798961626701e-10       3.701191956581e-11      -3.167231832541e-14 
