# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.417532290899e-10       2.693083628658e-15       1.674827643304e-13       4.820519781744e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088363383491e-10       2.841533687525e-15      -6.866686753230e-15       4.846633472775e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.763499381985e-11       2.600138230186e-15      -5.939022930721e-14       4.207077784884e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.293412589829e-11       2.072254363536e-15      -7.037426409594e-14       3.288867196047e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.016007272449e-11       1.489368266117e-15      -6.699626257056e-14       2.381578245035e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.840488628712e-11       1.012143274387e-15      -5.951360875362e-14       1.643347521669e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.721871764592e-11       7.047359467011e-16      -5.243620897349e-14       1.126207694557e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.635626106853e-11       5.606304342209e-16      -4.743032203241e-14       8.171204664922e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.567586274024e-11       5.395755279058e-16      -4.481792974521e-14       6.732515270022e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.509487978970e-11       5.956890851181e-16      -4.437394056528e-14       6.462339169651e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.456554537063e-11       6.937451382021e-16      -4.570609190444e-14       6.936246164800e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.405943337535e-11       8.114848237961e-16      -4.842950545948e-14       7.850105276280e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.355882233731e-11       9.387133112168e-16      -5.224742489258e-14       9.002100948549e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.305270290528e-11       1.071496894463e-15      -5.694221927984e-14       1.028273777242e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.253456593784e-11       1.209357181471e-15      -6.235933641542e-14       1.163635161758e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.200080336549e-11       1.352730110507e-15      -6.839064930854e-14       1.303909591436e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.144371644443e-11       1.501684367512e-15      -7.495798709856e-14       1.448565209901e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.088061996994e-11       1.656136525439e-15      -8.201655549180e-14       1.597368588004e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.029227868979e-11       1.816042078307e-15      -8.950872933714e-14       1.750193793482e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.968925442681e-11       1.981145403620e-15      -9.739952721557e-14       1.906928529423e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.906611440598e-11       2.151161884991e-15      -1.056515851955e-13       2.067534503695e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.843029877017e-11       2.325970804975e-15      -1.142329270084e-13       2.231906010134e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.777572764264e-11       2.505557627734e-15      -1.231076439231e-13       2.399945141439e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.710833047202e-11       2.689970404328e-15      -1.322451388469e-13       2.571469357100e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.642482736895e-11       2.879291189125e-15      -1.416136587873e-13       2.746276812120e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.572765829622e-11       3.073463613051e-15      -1.511867837071e-13       2.924117088563e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.501280343376e-11       3.272380111718e-15      -1.609384773686e-13       3.104736604161e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.428811625466e-11       3.475863364118e-15      -1.708458081248e-13       3.287919290338e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.355448960060e-11       3.683700656260e-15      -1.808855317397e-13       3.473474474560e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.280377774187e-11       3.895653737931e-15      -1.910336430074e-13       3.661215689753e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.204117301537e-11       4.111445846159e-15      -2.012688985832e-13       3.850902004814e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.126895089232e-11       4.330765415514e-15      -2.115706083411e-13       4.042274886804e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.048331236490e-11       4.553299057415e-15      -2.219183102795e-13       4.235072455883e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.968759322486e-11       4.778843758500e-15      -2.322937264048e-13       4.429027431465e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.888218407218e-11       5.007233492328e-15      -2.426795972367e-13       4.623867880276e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.806363565648e-11       5.238298283485e-15      -2.530583349597e-13       4.819326179552e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.723619905111e-11       5.471823256550e-15      -2.634089075266e-13       5.015169154994e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.640309787860e-11       5.707575855651e-15      -2.737089685774e-13       5.211178116601e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.556281254461e-11       5.945316206299e-15      -2.839356901342e-13       5.407141284140e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.471141519620e-11       6.184821654931e-15      -2.940700413674e-13       5.602839714801e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
