# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.805298799036e-10       7.579562910994e-15       5.418558694903e-13       4.844525090719e-15       8.039324647789e-09       4.555587301976e-10      -1.970214223908e-12 
    3       2.393708345042e-10       9.802656998648e-15       4.314686190218e-13       4.874133254970e-15       5.019595111394e-09       3.241121549344e-10      -1.582256282702e-12 
    4       2.206746274512e-10       9.386899640580e-15       3.668657340495e-13       4.236128391091e-15       3.503177200554e-09       2.457943542694e-10      -1.126600345861e-12 
    5       2.103407910085e-10       7.251954338136e-15       3.066887166846e-13       3.316790975061e-15       2.618919215470e-09       1.944246163521e-10      -7.179088949171e-13 
    6       2.036131086342e-10       4.779379628408e-15       2.476494315009e-13       2.406003481928e-15       2.046377444027e-09       1.584063139144e-10      -3.910636352459e-13 
    7       1.992498145911e-10       2.874557992850e-15       1.943925239793e-13       1.663141295117e-15       1.650507254618e-09       1.319093459210e-10      -1.552298537266e-13 
    8       1.964174302969e-10       1.776950615166e-15       1.502083827471e-13       1.141211464377e-15       1.364307439663e-09       1.117584176251e-10      -4.899288415570e-15 
    9       1.946899576141e-10       1.303537350890e-15       1.166667469788e-13       8.279743864377e-16       1.149825198120e-09       9.608445146439e-11       7.377185369833e-14 
   10       1.937517418265e-10       1.163657232474e-15       9.374228354268e-14       6.810883246923e-16       9.838983984948e-10       8.363040840524e-11       9.878483546839e-14 
   11       1.933047757984e-10       1.149875850347e-15       8.023643419146e-14       6.520282059758e-16       8.284909098603e-10       7.371199973914e-11       8.882545261521e-14 
   12       1.932762558361e-10       1.177217318531e-15       7.411583833380e-14       6.985380203552e-16       7.242074394548e-10       6.530234297167e-11       6.105385462826e-14 
   13       1.935306916745e-10       1.235650202304e-15       7.304570726798e-14       7.897205148696e-16       6.385654427438e-10       5.822370882728e-11       2.814023202052e-14 
   14       1.939952058328e-10       1.333837948953e-15       7.484959949068e-14       9.052897877076e-16       5.672747139480e-10       5.227939441068e-11      -9.407912419267e-16 
   15       1.946416124900e-10       1.470639379046e-15       7.773787611477e-14       1.034000205826e-15       5.072476738602e-10       4.725238893566e-11      -2.145569995363e-14 
   16       1.953906778257e-10       1.635837462472e-15       8.058759516935e-14       1.170328433429e-15       4.561940338958e-10       4.292139988812e-11      -3.223276295120e-14 
   17       1.962939905131e-10       1.820859693152e-15       8.278205382929e-14       1.311494256572e-15       4.123823724223e-10       3.906243601105e-11      -3.467563394673e-14 
   18       1.972571742418e-10       2.023496673937e-15       8.406772028403e-14       1.457157698689e-15       3.743421887965e-10       3.570507466261e-11      -3.115995389677e-14 
   19       1.982973585371e-10       2.247575320381e-15       8.460490520749e-14       1.607103106642e-15       3.414761146470e-10       3.280465382070e-11      -2.416938480782e-14 
   20       1.993864698199e-10       2.498248690525e-15       8.471321369901e-14       1.761092883639e-15       3.125211584396e-10       3.019584816228e-11      -1.672640862069e-14 
   21       2.005354956843e-10       2.777224277447e-15       8.463301218129e-14       1.919027183413e-15       2.870250264514e-10       2.786984374350e-11      -1.046436154923e-14 
   22       2.017139548688e-10       3.084397402302e-15       8.455798252405e-14       2.080921780703e-15       2.643800574554e-10       2.582873691418e-11      -6.497468317941e-15 
   23       2.029402715576e-10       3.418608131814e-15       8.447642322548e-14       2.246678817769e-15       2.442762901331e-10       2.403537311291e-11      -4.886123718395e-15 
   24       2.042079390474e-10       3.778122456031e-15       8.426230686507e-14       2.416191567079e-15       2.262503049056e-10       2.241476897128e-11      -5.184397746709e-15 
   25       2.055138491941e-10       4.162990158105e-15       8.371714917025e-14       2.589267781090e-15       2.100912625588e-10       2.092924403409e-11      -6.815544706795e-15 
   26       2.068306716235e-10       4.573694160117e-15       8.258134521791e-14       2.765694930445e-15       1.955080486815e-10       1.954515601215e-11      -9.028808209544e-15 
   27       2.081687862790e-10       5.010611029122e-15       8.061554561564e-14       2.945217111865e-15       1.823269151662e-10       1.827945663379e-11      -1.112555051107e-14 
   28       2.095316355952e-10       5.474099152532e-15       7.758319202666e-14       3.127576610907e-15       1.703217806920e-10       1.715275170030e-11      -1.244934551588e-14 
   29       2.109324430198e-10       5.964980842185e-15       7.336725638917e-14       3.312553732302e-15       1.594316189298e-10       1.615317541246e-11      -1.292447129700e-14 
   30       2.123636162550e-10       6.484243350275e-15       6.788610940360e-14       3.499954168028e-15       1.495395151252e-10       1.524419739501e-11      -1.269724871499e-14 
   31       2.137986982154e-10       7.032919956934e-15       6.108045363179e-14       3.689588685729e-15       1.404438398509e-10       1.438215185268e-11      -1.196900602627e-14 
   32       2.152487526857e-10       7.612106066354e-15       5.299007989005e-14       3.881218288052e-15       1.320980530075e-10       1.356891740457e-11      -1.092490508841e-14 
   33       2.167223675662e-10       8.222953560148e-15       4.370954793225e-14       4.074588870312e-15       1.244437639707e-10       1.281765256539e-11      -9.786809965171e-15 
   34       2.182145032970e-10       8.866557319198e-15       3.333820826674e-14       4.269450456774e-15       1.173745451479e-10       1.213622573810e-11      -8.790574041669e-15 
   35       2.197267092114e-10       9.543566338015e-15       2.186612504638e-14       4.465575384097e-15       1.108544154204e-10       1.151837122662e-11      -8.027942633096e-15 
   36       2.212506979915e-10       1.025442706173e-14       9.248647384558e-15       4.662746854593e-15       1.048311428349e-10       1.094843136568e-11      -7.551044008538e-15 
   37       2.227711877612e-10       1.099953165613e-14      -4.561309697323e-15       4.860744225972e-15       9.922644660883e-11       1.040867425951e-11      -7.390731867874e-15 
   38       2.243000229815e-10       1.177940399791e-14      -1.960359677971e-14       5.059307757366e-15       9.402596222244e-11       9.898656406865e-12      -7.477089323913e-15 
   39       2.258512578996e-10       1.259456613520e-14      -3.591801575778e-14       5.258161844637e-15       8.921333034922e-11       9.421682825579e-12      -7.690272315956e-15 
   40       2.274308392145e-10       1.344548376380e-14      -5.354733772208e-14       5.457023792015e-15       8.474283199789e-11       8.979403551200e-12      -7.879121723122e-15 
   41       2.290381756437e-10       1.433260212125e-14      -7.253652308545e-14       5.655610872160e-15       8.055534431040e-11       8.571624892210e-12      -7.901189455259e-15 
   42       2.306736871360e-10       1.525647658747e-14      -9.292926838184e-14       5.853665519760e-15       7.663861374720e-11       8.196082992044e-12      -7.763475317406e-15 
   43       2.323321546020e-10       1.621767839195e-14      -1.147709012449e-13       6.050937464569e-15       7.298229162839e-11       7.848306898724e-12      -7.524012489223e-15 
   44       2.339996957866e-10       1.721675775224e-14      -1.381096542431e-13       6.247176860891e-15       6.955984435868e-11       7.521458776817e-12      -7.254525426879e-15 
   45       2.356607545401e-10       1.825417712740e-14      -1.629853906277e-13       6.442130035280e-15       6.633804548201e-11       7.208354397346e-12      -7.025667211932e-15 
   46       2.373233387228e-10       1.933008952366e-14      -1.893911590481e-13       6.635525212450e-15       6.331187276134e-11       6.908653045154e-12      -6.855531864536e-15 
   47       2.390000437235e-10       2.044449222103e-14      -2.173005806256e-13       6.827082522884e-15       6.047785173758e-11       6.623522508757e-12      -6.747147290670e-15 
   48       2.407006628865e-10       2.159728211646e-14      -2.466779838704e-13       7.016517647131e-15       5.782353012476e-11       6.353586374635e-12      -6.702649789976e-15 
   49       2.424318788272e-10       2.278825094359e-14      -2.774779966141e-13       7.203541571412e-15       5.532680993865e-11       6.098877174230e-12      -6.723208406196e-15 
   50       2.441973073846e-10       2.401713781723e-14      -3.096568676657e-13       7.387873367340e-15       5.296261138119e-11       5.858976321116e-12      -6.807141033504e-15 
   51       2.459983596898e-10       2.528381477094e-14      -3.432110014292e-13       7.569283187564e-15       5.072654639855e-11       5.633587401349e-12      -6.943835396512e-15 
   52       2.478330805164e-10       2.658814331862e-14      -3.781481777026e-13       7.747560518353e-15       4.861651658609e-11       5.422037508019e-12      -7.118047224096e-15 
   53       2.496955309356e-10       2.792991949847e-14      -4.144768766504e-13       7.922502535291e-15       4.662562787420e-11       5.223066891920e-12      -7.311407345259e-15 
   54       2.515754962264e-10       2.930887179039e-14      -4.522064227237e-13       8.093914471772e-15       4.474186768062e-11       5.034790898674e-12      -7.502260945725e-15 
   55       2.534626454847e-10       3.072468594986e-14      -4.913462248711e-13       8.261611931651e-15       4.295177343893e-11       4.855219151714e-12      -7.670977903399e-15 
   56       2.553608896696e-10       3.217709150501e-14      -5.319029464377e-13       8.425427655706e-15       4.125324500662e-11       4.684051334850e-12      -7.817796868125e-15 
   57       2.572770787859e-10       3.366579309948e-14      -5.738828842943e-13       8.585207081580e-15       3.964534964126e-11       4.521260850535e-12      -7.949132479715e-15 
   58       2.592167466265e-10       3.519044444726e-14      -6.172929172912e-13       8.740806981501e-15       3.812444579152e-11       4.366560663435e-12      -8.072543943308e-15 
   59       2.611839921255e-10       3.675064729882e-14      -6.621406149676e-13       8.892095906536e-15       3.668401575765e-11       4.219386948442e-12      -8.196787444875e-15 
   60       2.631813607116e-10       3.834595040723e-14      -7.084343462616e-13       9.038954630843e-15       3.531449835209e-11       4.078882738669e-12      -8.331868566737e-15 
   61       2.652104790100e-10       3.997583843926e-14      -7.561788800486e-13       9.181274121823e-15       3.400594618986e-11       3.944154083755e-12      -8.486081798901e-15 
   62       2.672743938445e-10       4.163969813910e-14      -8.053607868653e-13       9.318947913109e-15       3.275707312547e-11       3.815142706865e-12      -8.656233972117e-15 
   63       2.693755500978e-10       4.333684270057e-14      -8.559599384413e-13       9.451878800158e-15       3.156794990564e-11       3.691921099446e-12      -8.835309394767e-15 
   64       2.715149908236e-10       4.506651982578e-14      -9.079536930730e-13       9.579981521789e-15       3.043728256370e-11       3.574429742678e-12      -9.015246787753e-15 
   65       2.736922625033e-10       4.682791037228e-14      -9.613168612933e-13       9.703183125939e-15       2.936233470360e-11       3.462469402028e-12      -9.186896102834e-15 
   66       2.759053203016e-10       4.862012700009e-14      -1.016021671540e-12       9.821423335411e-15       2.833884978371e-11       3.355693421796e-12      -9.339975340972e-15 
   67       2.781504333237e-10       5.044221281885e-14      -1.072037735824e-12       9.934654913625e-15       2.736097340083e-11       3.253600019666e-12      -9.463027370671e-15 
   68       2.804238947822e-10       5.229314884107e-14      -1.129334741173e-12       1.004283525950e-14       2.642281768956e-11       3.155672341018e-12      -9.546156724290e-15 
   69       2.827277666727e-10       5.417188111994e-14      -1.187891233968e-12       1.014589839686e-14       2.552369633297e-11       3.061848799754e-12      -9.589980462761e-15 
   70       2.850651342675e-10       5.607729670517e-14      -1.247687562049e-12       1.024377794031e-14       2.466381556415e-11       2.972134636386e-12      -9.598421751461e-15 
   71       2.874383564854e-10       5.800821421591e-14      -1.308703341179e-12       1.033641550283e-14       2.384269082756e-11       2.886458734648e-12      -9.576117772919e-15 
   72       2.898490173095e-10       5.996338271301e-14      -1.370917490421e-12       1.042376083721e-14       2.305911106082e-11       2.804669695063e-12      -9.528447644342e-15 
   73       2.922978772051e-10       6.194148057140e-14      -1.434308267526e-12       1.050577197747e-14       2.231110297642e-11       2.726531908516e-12      -9.461560335131e-15 
   74       2.947848245370e-10       6.394111435233e-14      -1.498853304311e-12       1.058241538031e-14       2.159589534352e-11       2.651721629829e-12      -9.382402584409e-15 
   75       2.973088269881e-10       6.596081767575e-14      -1.564529642042e-12       1.065366606653e-14       2.090988326966e-11       2.579823051327e-12      -9.298746818539e-15 
   76       2.998687696122e-10       6.799909683640e-14      -1.631312727454e-12       1.071950750118e-14       2.024952345246e-11       2.510431129507e-12      -9.217534927842e-15 
   77       3.024662528200e-10       7.005457974839e-14      -1.699173111247e-12       1.077993089622e-14       1.961428736484e-11       2.443490392219e-12      -9.139499205726e-15 
   78       3.051032187262e-10       7.212589223883e-14      -1.768079209029e-12       1.083493603704e-14       1.900418420650e-11       2.379011068125e-12      -9.063606675105e-15 
   79       3.077810798680e-10       7.421161354709e-14      -1.837998301110e-12       1.088453166636e-14       1.841886134999e-11       2.316966105368e-12      -8.988649699809e-15 
   80       3.105006888050e-10       7.631027615563e-14      -1.908896546565e-12       1.092873562031e-14       1.785758771272e-11       2.257289434198e-12      -8.913239367427e-15 
   81       3.132623077173e-10       7.842036562085e-14      -1.980738997310e-12       1.096757496445e-14       1.731923712900e-11       2.199874229607e-12      -8.835798872162e-15 
   82       3.160655780050e-10       8.054032040393e-14      -2.053489612167e-12       1.100108612992e-14       1.680227172213e-11       2.144571173957e-12      -8.754556897682e-15 
   83       3.189094898867e-10       8.266853170161e-14      -2.127111270933e-12       1.102931504946e-14       1.630472527636e-11       2.091186719608e-12      -8.667540999972e-15 
   84       3.217930052670e-10       8.480334994779e-14      -2.201565006627e-12       1.105231239744e-14       1.582468134177e-11       2.039532557029e-12      -8.573143156699e-15 
   85       3.247171115704e-10       8.694310592692e-14      -2.276807525175e-12       1.107011810519e-14       1.536183503919e-11       1.989587247276e-12      -8.471938633729e-15 
   86       3.276830542334e-10       8.908609286687e-14      -2.352793298423e-12       1.108277451621e-14       1.491616088674e-11       1.941358323957e-12      -8.365157917896e-15 
   87       3.306916945743e-10       9.123056002321e-14      -2.429475310317e-12       1.109033110695e-14       1.448743289686e-11       1.894832606307e-12      -8.254144314792e-15 
   88       3.337434903710e-10       9.337471262216e-14      -2.506805057833e-12       1.109284454062e-14       1.407521626329e-11       1.849975322414e-12      -8.140356947863e-15 
   89       3.368384764396e-10       9.551671180355e-14      -2.584732551901e-12       1.109037872098e-14       1.367885904785e-11       1.806729232447e-12      -8.025373757499e-15 
   90       3.399762452125e-10       9.765467456374e-14      -2.663206318342e-12       1.108300484612e-14       1.329748386739e-11       1.765013751881e-12      -7.910894500134e-15 
   91       3.431559273166e-10       9.978667369860e-14      -2.742173398787e-12       1.107080146224e-14       1.292997958065e-11       1.724724074725e-12      -7.798743747342e-15 
   92       3.463761721515e-10       1.019107377464e-13      -2.821579351616e-12       1.105385451747e-14       1.257499297512e-11       1.685730296744e-12      -7.690873884924e-15 
   93       3.496356870837e-10       1.040248963869e-13      -2.901369368856e-12       1.103225350057e-14       1.223124991207e-11       1.647909166877e-12      -7.588970860160e-15 
   94       3.529349899774e-10       1.061273245721e-13      -2.981491817035e-12       1.100607907616e-14       1.189859206866e-11       1.611246708465e-12      -7.493197080940e-15 
