# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.370366509095e-10       4.870387458843e-15       3.732674939782e-13       0.000000000000e+00       8.039324647789e-09       4.555587301976e-10      -1.970214223908e-12 
    3       1.294717412515e-10       6.939667606919e-15       4.392372828347e-13       0.000000000000e+00       5.019595111394e-09       3.241121549344e-10      -1.582256282702e-12 
    4       1.222246558300e-10       6.761314119477e-15       4.276968852656e-13       0.000000000000e+00       3.503177200554e-09       2.457943542694e-10      -1.126600345861e-12 
    5       1.167094536366e-10       5.154136340164e-15       3.785432327884e-13       0.000000000000e+00       2.618919215470e-09       1.944246163521e-10      -7.179088949171e-13 
    6       1.128375310696e-10       3.267599333949e-15       3.159744957215e-13       0.000000000000e+00       2.046377444027e-09       1.584063139144e-10      -3.910636352459e-13 
    7       1.102891808703e-10       1.845053412584e-15       2.550130755756e-13       0.000000000000e+00       1.650507254618e-09       1.319093459210e-10      -1.552298537266e-13 
    8       1.086897894393e-10       1.060050104095e-15       2.035215806676e-13       0.000000000000e+00       1.364307439663e-09       1.117584176251e-10      -4.899288415570e-15 
    9       1.078626817944e-10       7.349342044038e-16       1.647669703154e-13       0.000000000000e+00       1.149825198120e-09       9.608445146439e-11       7.377185369833e-14 
   10       1.076361305709e-10       6.188789885221e-16       1.390568367356e-13       0.000000000000e+00       9.838983984948e-10       8.363040840524e-11       9.878483546839e-14 
   11       1.077964513851e-10       5.501482752131e-16       1.249662449049e-13       0.000000000000e+00       8.284909098603e-10       7.371199973914e-11       8.882545261521e-14 
   12       1.083198677139e-10       4.796907491905e-16       1.200703327589e-13       0.000000000000e+00       7.242074394548e-10       6.530234297167e-11       6.105385462826e-14 
   13       1.091000880692e-10       4.199188070686e-16       1.216443098455e-13       0.000000000000e+00       6.385654427438e-10       5.822370882728e-11       2.814023202052e-14 
   14       1.100824460125e-10       3.901393388423e-16       1.272029042454e-13       0.000000000000e+00       5.672747139480e-10       5.227939441068e-11      -9.407912419267e-16 
   15       1.112501995897e-10       3.932388354522e-16       1.347364806260e-13       0.000000000000e+00       5.072476738602e-10       4.725238893566e-11      -2.145569995363e-14 
   16       1.125309775475e-10       4.197564224951e-16       1.429638183872e-13       0.000000000000e+00       4.561940338958e-10       4.292139988812e-11      -3.223276295120e-14 
   17       1.139801664727e-10       4.603705972472e-16       1.511544895952e-13       0.000000000000e+00       4.123823724223e-10       3.906243601105e-11      -3.467563394673e-14 
   18       1.155112998138e-10       5.130266440764e-16       1.589787803104e-13       0.000000000000e+00       3.743421887965e-10       3.570507466261e-11      -3.115995389677e-14 
   19       1.171242126938e-10       5.816770364448e-16       1.665494829467e-13       0.000000000000e+00       3.414761146470e-10       3.280465382070e-11      -2.416938480782e-14 
   20       1.188103376548e-10       6.714188134603e-16       1.741233738902e-13       0.000000000000e+00       3.125211584396e-10       3.019584816228e-11      -1.672640862069e-14 
   21       1.205701324568e-10       7.841626310103e-16       1.819075190486e-13       0.000000000000e+00       2.870250264514e-10       2.786984374350e-11      -1.046436154923e-14 
   22       1.223786685267e-10       9.200570591249e-16       1.900616699285e-13       0.000000000000e+00       2.643800574554e-10       2.582873691418e-11      -6.497468317941e-15 
   23       1.242469424413e-10       1.078085029365e-15       1.985404282079e-13       0.000000000000e+00       2.442762901331e-10       2.403537311291e-11      -4.886123718395e-15 
   24       1.261746162841e-10       1.256584988285e-15       2.071785774044e-13       0.000000000000e+00       2.262503049056e-10       2.241476897128e-11      -5.184397746709e-15 
   25       1.281526773671e-10       1.455665233895e-15       2.157474090469e-13       0.000000000000e+00       2.100912625588e-10       2.092924403409e-11      -6.815544706795e-15 
   26       1.301571537974e-10       1.675812214144e-15       2.239570937576e-13       0.000000000000e+00       1.955080486815e-10       1.954515601215e-11      -9.028808209544e-15 
   27       1.321960036388e-10       1.917300746576e-15       2.315425079368e-13       0.000000000000e+00       1.823269151662e-10       1.827945663379e-11      -1.112555051107e-14 
   28       1.342767361356e-10       2.180377511093e-15       2.382413493544e-13       0.000000000000e+00       1.703217806920e-10       1.715275170030e-11      -1.244934551588e-14 
   29       1.364047146176e-10       2.466044071297e-15       2.439135376694e-13       0.000000000000e+00       1.594316189298e-10       1.615317541246e-11      -1.292447129700e-14 
   30       1.385714899981e-10       2.775587952355e-15       2.484538345604e-13       0.000000000000e+00       1.495395151252e-10       1.524419739501e-11      -1.269724871499e-14 
   31       1.407588347438e-10       3.110374520947e-15       2.517785321265e-13       0.000000000000e+00       1.404438398509e-10       1.438215185268e-11      -1.196900602627e-14 
   32       1.429726180409e-10       3.471792220886e-15       2.539062199183e-13       0.000000000000e+00       1.320980530075e-10       1.356891740457e-11      -1.092490508841e-14 
   33       1.452191581813e-10       3.861296168717e-15       2.549109463703e-13       0.000000000000e+00       1.244437639707e-10       1.281765256539e-11      -9.786809965171e-15 
   34       1.474972516717e-10       4.280289938030e-15       2.548717114364e-13       0.000000000000e+00       1.173745451479e-10       1.213622573810e-11      -8.790574041669e-15 
   35       1.498051220322e-10       4.729648289955e-15       2.537600739559e-13       0.000000000000e+00       1.108544154204e-10       1.151837122662e-11      -8.027942633096e-15 
   36       1.521341188214e-10       5.210018815701e-15       2.515137243366e-13       0.000000000000e+00       1.048311428349e-10       1.094843136568e-11      -7.551044008538e-15 
   37       1.544724554113e-10       5.721988766116e-15       2.480677118642e-13       0.000000000000e+00       9.922644660883e-11       1.040867425951e-11      -7.390731867874e-15 
   38       1.568277285405e-10       6.266255327464e-15       2.433617842880e-13       0.000000000000e+00       9.402596222244e-11       9.898656406865e-12      -7.477089323913e-15 
   39       1.592107747369e-10       6.843501944050e-15       2.373348137517e-13       0.000000000000e+00       8.921333034922e-11       9.421682825579e-12      -7.690272315956e-15 
   40       1.616290876462e-10       7.454347331754e-15       2.299224161071e-13       0.000000000000e+00       8.474283199789e-11       8.979403551200e-12      -7.879121723122e-15 
   41       1.640860417750e-10       8.099386464035e-15       2.210615426013e-13       0.000000000000e+00       8.055534431040e-11       8.571624892210e-12      -7.901189455259e-15 
   42       1.665793038376e-10       8.779339698769e-15       2.107068303240e-13       0.000000000000e+00       7.663861374720e-11       8.196082992044e-12      -7.763475317406e-15 
