# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       4.698341204401e+01 
       2.321812845909e-05       1.026212067098e+02 
       3.609173376214e-05       1.575262295408e+02 
       4.904439972694e-05       2.121921728572e+02 
       6.211104704304e-05       2.669140105623e+02 
       7.532746857735e-05       3.219213747806e+02 
       8.873064804491e-05       3.774162206947e+02 
       1.023590926816e-04       4.335884119936e+02 
       1.162531841578e-04       4.906238901132e+02 
       1.304555520066e-04       5.487097420030e+02 
       1.450114738457e-04       6.080378311631e+02 
       1.599693066204e-04       6.688077240027e+02 
       1.753809529236e-04       7.312292564721e+02 
       1.913023661048e-04       7.955249405111e+02 
       2.077940972509e-04       8.619323143753e+02 
       2.249218861033e-04       9.307062988970e+02 
       2.427572963948e-04       1.002121584130e+03 
       2.613783937365e-04       1.076475069967e+03 
       2.808704608154e-04       1.154088301038e+03 
       3.013267399410e-04       1.235309910888e+03 
       3.228491865615e-04       1.320517948629e+03 
       3.455492088575e-04       1.410122014551e+03 
       3.695483575494e-04       1.504565019150e+03 
       3.949789163640e-04       1.604324385792e+03 
       4.219843271948e-04       1.709912394039e+03 
       4.507193653101e-04       1.821875360712e+03 
       4.813499602484e-04       1.940791219809e+03 
       5.140525396193e-04       2.067265069403e+03 
       5.490127597170e-04       2.201922179040e+03 
       5.864234841228e-04       2.345397991281e+03 
       6.264818863381e-04       2.498324776449e+03 
       6.693855925968e-04       2.661314711491e+03 
       7.153278528513e-04       2.834939569894e+03 
       7.644918338936e-04       3.019707566066e+03 
       8.170442633386e-04       3.216038487032e+03 
       8.731288006755e-04       3.424238766069e+03 
       9.328596442615e-04       3.644478512648e+03 
       9.963159659542e-04       3.876773031676e+03 
       1.063537764581e-03       4.120970903549e+03 
       1.134523626239e-03       4.376750519872e+03 
       1.209230679194e-03       4.643625771944e+03 
       1.287576767919e-03       4.920960933349e+03 
       1.369444599257e-03       5.207978116461e+03 
       1.454687391959e-03       5.503802912247e+03 
       1.543135431684e-03       5.807525482790e+03 
       1.634602912099e-03       6.118173244763e+03 
       1.728894515478e-03       6.434761509440e+03 
       1.825811320550e-03       6.756317478979e+03 
       1.925155782887e-03       7.081899475739e+03 
       2.026735681319e-03       7.410611714111e+03 
       2.130367042364e-03       7.741614405796e+03 
       2.235876135455e-03       8.074130720257e+03 
       2.343100676636e-03       8.407448910149e+03 
       2.451890394377e-03       8.740922944434e+03 
       2.562107107073e-03       9.073971032853e+03 
       2.673624445823e-03       9.406072202455e+03 
       2.786327334635e-03       9.736762920206e+03 
       2.900111317649e-03       1.006563221317e+04 
       3.014881802039e-03       1.039231917135e+04 
       3.130553267074e-03       1.071650486159e+04 
       3.247048475047e-03       1.103791246261e+04 
       3.364297708069e-03       1.135629810500e+04 
       3.482238045923e-03       1.167145301260e+04 
       3.600812693636e-03       1.198319322362e+04 
       3.719970362791e-03       1.229136496900e+04 
       3.839664707406e-03       1.259583136904e+04 
       3.959853813072e-03       1.289647984286e+04 
       4.080499736700e-03       1.319321564955e+04 
       4.201568093487e-03       1.348595580171e+04 
       4.323027687306e-03       1.377463834966e+04 
       4.444850180647e-03       1.405920368587e+04 
       4.567009800288e-03       1.433961727418e+04 
       4.689483075068e-03       1.461584091168e+04 
       4.812248602367e-03       1.488785368677e+04 
       4.935286840186e-03       1.515564289393e+04 
       5.058579921982e-03       1.541919578324e+04 
       5.182111491712e-03       1.567850919963e+04 
       5.305866556801e-03       1.593358773920e+04 
       5.429831356981e-03       1.618443578095e+04 
       5.553993247203e-03       1.643106814659e+04 
       5.678340593006e-03       1.667349365875e+04 
       5.802862676925e-03       1.691173619224e+04 
       5.927549614681e-03       1.714582291524e+04 
       6.052392280055e-03       1.737579705503e+04 
       6.177382237450e-03       1.760162038200e+04 
       6.302511681309e-03       1.782333784065e+04 
       6.427773381594e-03       1.804100900491e+04 
       6.553160634691e-03       1.825463260282e+04 
       6.678667219122e-03       1.846412970890e+04 
       6.804287355565e-03       1.866977523860e+04 
       6.930015670697e-03       1.887148363336e+04 
       7.055847164479e-03       1.906929812755e+04 
       7.181777180500e-03       1.926324185625e+04 
       7.307801379070e-03       1.945334989270e+04 
       7.433915712780e-03       1.963967430583e+04 
       7.560116404275e-03       1.982223560744e+04 
       7.686399926014e-03       2.000107541983e+04 
       7.812762981824e-03       2.017623096649e+04 
       7.939202490069e-03       2.034773749517e+04 
       8.065715568266e-03       2.051562876156e+04 
       8.192299519032e-03       2.067994799297e+04 
       8.318951817208e-03       2.084072539203e+04 
       8.445670098061e-03       2.099799754627e+04 
       8.572452146473e-03       2.115180233296e+04 
       8.699295887004e-03       2.130218202193e+04 
       8.826199374762e-03       2.144917041901e+04 
       8.953160787016e-03       2.159279615018e+04 
       9.080178415458e-03       2.173309891749e+04 
       9.207250659091e-03       2.187013944359e+04 
       9.334376017655e-03       2.200391952096e+04 
       9.461553085571e-03       2.213448869000e+04 
       9.588780546346e-03       2.226188106549e+04 
       9.716057167395e-03       2.238612997959e+04 
       9.843381795261e-03       2.250726922206e+04 
       9.970753351188e-03       2.262534835282e+04 
       1.009817082702e-02       2.274037907908e+04 
       1.022563328138e-02       2.285240959512e+04 
       1.035313983621e-02       2.296146750559e+04 
       1.048068967341e-02       2.306756980267e+04 
       1.060828203188e-02       2.317079786428e+04 
       1.073591620467e-02       2.327116139791e+04 
       1.086359153639e-02       2.336865130764e+04 
       1.099130742072e-02       2.346335850302e+04 
       1.111906329821e-02       2.355530480682e+04 
       1.124685865418e-02       2.364446866076e+04 
       1.137469301670e-02       2.373094115563e+04 
       1.150256595483e-02       2.381475078895e+04 
