# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.856500771756e-10       7.947222609215e-15       5.666305078571e-13       4.885230853072e-15       8.378335892528e-09       4.684821602735e-10      -2.088008106217e-12 
    3       2.440665284143e-10       1.029700440370e-14       4.582091410578e-13       4.920890508064e-15       5.174940286974e-09       3.325410066197e-10      -1.672547943697e-12 
    4       2.250254881925e-10       9.855172503631e-15       3.918159882658e-13       4.280172764949e-15       3.597561588968e-09       2.519625586770e-10      -1.188872129101e-12 
    5       2.143470021944e-10       7.602822591240e-15       3.278900597905e-13       3.352897144875e-15       2.682666091189e-09       1.991120306767e-10      -7.568757438683e-13 
    6       2.073507571227e-10       4.998992331962e-15       2.646693648298e-13       2.432466966363e-15       2.094287091199e-09       1.621040961875e-10      -4.123573427016e-13 
    7       2.027930619104e-10       2.995596414449e-15       2.075886045741e-13       1.680533412386e-15       1.689284116702e-09       1.349372124682e-10      -1.642279304207e-13 
    8       1.998092711835e-10       1.842017750647e-15       1.602696743926e-13       1.151237706342e-15       1.396008997102e-09       1.142713000955e-10      -6.227307032636e-15 
    9       1.979642024338e-10       1.343504209257e-15       1.243728673261e-13       8.327321867003e-16       1.175559050328e-09       9.815926713222e-11       7.644608289735e-14 
   10       1.969242474326e-10       1.193682029666e-15       9.986543063336e-14       6.822545323518e-16       1.004929145030e-09       8.535840593801e-11       1.028084337897e-13 
   11       1.964091650009e-10       1.174341888395e-15       8.544639449383e-14       6.510694144099e-16       8.472170685257e-10       7.526207575610e-11       9.253588505469e-14 
   12       1.963392919724e-10       1.196974329501e-15       7.891315552594e-14       6.961731145090e-16       7.402150834499e-10       6.664079560907e-11       6.357112386184e-14 
   13       1.965545866532e-10       1.251269137019e-15       7.772708837115e-14       7.865586284406e-16       6.523850790719e-10       5.941288431215e-11       2.930880759293e-14 
   14       1.969753159729e-10       1.346812775815e-15       7.961277199564e-14       9.014771030589e-16       5.793071468382e-10       5.328893420843e-11      -1.008468797102e-15 
