# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.433842375586e-10       5.213018156367e-15       3.981586451273e-13       0.000000000000e+00       8.378335892528e-09       4.684821602735e-10      -2.088008106217e-12 
    3       1.352039033264e-10       7.403223140699e-15       4.663567459503e-13       0.000000000000e+00       5.174940286974e-09       3.325410066197e-10      -1.672547943697e-12 
    4       1.274066513081e-10       7.199376715963e-15       4.528865242346e-13       0.000000000000e+00       3.597561588968e-09       2.519625586770e-10      -1.188872129101e-12 
    5       1.214562026129e-10       5.480251568311e-15       3.999465752516e-13       0.000000000000e+00       2.682666091189e-09       1.991120306767e-10      -7.568757438683e-13 
    6       1.172506696670e-10       3.469898784537e-15       3.331347831372e-13       0.000000000000e+00       2.094287091199e-09       1.621040961875e-10      -4.123573427016e-13 
    7       1.144566787413e-10       1.955821424912e-15       2.682871672157e-13       0.000000000000e+00       1.689284116702e-09       1.349372124682e-10      -1.642279304207e-13 
    8       1.126648342907e-10       1.120253431778e-15       2.136022988493e-13       0.000000000000e+00       1.396008997102e-09       1.142713000955e-10      -6.227307032636e-15 
    9       1.116860154947e-10       7.736857438311e-16       1.724372626857e-13       0.000000000000e+00       1.175559050328e-09       9.815926713222e-11       7.644608289735e-14 
   10       1.113283398386e-10       6.497483587623e-16       1.450944534351e-13       0.000000000000e+00       1.004929145030e-09       8.535840593801e-11       1.028084337897e-13 
   11       1.113943627287e-10       5.766954217368e-16       1.300493924441e-13       0.000000000000e+00       8.472170685257e-10       7.526207575610e-11       9.253588505469e-14 
   12       1.118525869283e-10       5.021117652321e-16       1.247002386722e-13       0.000000000000e+00       7.402150834499e-10       6.664079560907e-11       6.357112386184e-14 
   13       1.125717808496e-10       4.387167392944e-16       1.261193091066e-13       0.000000000000e+00       6.523850790719e-10       5.941288431215e-11       2.930880759293e-14 
   14       1.134902223203e-10       4.067221630788e-16       1.317261106844e-13       0.000000000000e+00       5.793071468382e-10       5.328893420843e-11      -1.008468797102e-15 
   15       1.146128721659e-10       4.090614690546e-16       1.394633138924e-13       0.000000000000e+00       5.178011515067e-10       4.812566637572e-11      -2.239780912108e-14 
   16       1.158773844214e-10       4.356915504435e-16       1.478945117734e-13       0.000000000000e+00       4.655108412036e-10       4.370584345930e-11      -3.364395816717e-14 
   17       1.172788927224e-10       4.768377208212e-16       1.562319983454e-13       0.000000000000e+00       4.206559814416e-10       3.981252298961e-11      -3.613951953290e-14 
   18       1.187823622581e-10       5.303865603977e-16       1.641937480354e-13       0.000000000000e+00       3.817245541589e-10       3.639467500359e-11      -3.248226570460e-14 
   19       1.203885220085e-10       6.003701552609e-16       1.719103796148e-13       0.000000000000e+00       3.480993305169e-10       3.340914235900e-11      -2.527085841150e-14 
   20       1.220594240647e-10       6.919844061668e-16       1.796360564212e-13       0.000000000000e+00       3.184853701663e-10       3.072987731720e-11      -1.759672558432e-14 
   21       1.238037710423e-10       8.072946515688e-16       1.875572201884e-13       0.000000000000e+00       2.924174543347e-10       2.835557204823e-11      -1.111321847552e-14 
   22       1.256137249582e-10       9.465966785909e-16       1.958164105685e-13       0.000000000000e+00       2.692714291168e-10       2.628204911572e-11      -6.942874354268e-15 
   23       1.274893261419e-10       1.108857430321e-15       2.044218941095e-13       0.000000000000e+00       2.487287136812e-10       2.445816152347e-11      -5.177936772544e-15 
   24       1.294112559760e-10       1.292285113367e-15       2.132721553350e-13       0.000000000000e+00       2.303141603983e-10       2.279436219861e-11      -5.406795337725e-15 
   25       1.313763452660e-10       1.496714204142e-15       2.220891142088e-13       0.000000000000e+00       2.138113196578e-10       2.126267448521e-11      -7.043593806895e-15 
   26       1.333735458114e-10       1.722343368062e-15       2.305012982555e-13       0.000000000000e+00       1.989218198750e-10       1.984574363006e-11      -9.309203940140e-15 
   27       1.354129148541e-10       1.969555657313e-15       2.382437116885e-13       0.000000000000e+00       1.854672749259e-10       1.856039482295e-11      -1.147771896718e-14 
   28       1.375000973866e-10       2.238831906011e-15       2.450775773445e-13       0.000000000000e+00       1.732158751195e-10       1.742136441483e-11      -1.286397009308e-14 
   29       1.396389270338e-10       2.531268273698e-15       2.508603078505e-13       0.000000000000e+00       1.621048394320e-10       1.641276842947e-11      -1.337656501619e-14 
   30       1.418186160618e-10       2.848210576078e-15       2.554745677439e-13       0.000000000000e+00       1.520144551877e-10       1.549365124537e-11      -1.314838153661e-14 
   31       1.440181115920e-10       3.191057623573e-15       2.588263035766e-13       0.000000000000e+00       1.427385066226e-10       1.461606816970e-11      -1.237239828593e-14 
   32       1.462429243903e-10       3.561095475595e-15       2.609416337630e-13       0.000000000000e+00       1.342291708557e-10       1.378313874146e-11      -1.125660335393e-14 
   33       1.484995403227e-10       3.959606197002e-15       2.619102584004e-13       0.000000000000e+00       1.264265441915e-10       1.301146760050e-11      -1.006146565044e-14 
   34       1.507868479060e-10       4.387847216415e-15       2.618268129735e-13       0.000000000000e+00       1.192217062790e-10       1.231242373497e-11      -9.057913279376e-15 
   35       1.531037685295e-10       4.846824622682e-15       2.606636105687e-13       0.000000000000e+00       1.125777628026e-10       1.168042483232e-11      -8.323093572257e-15 
   36       1.554424789295e-10       5.337435473950e-15       2.583538564604e-13       0.000000000000e+00       1.064412913958e-10       1.109955041071e-11      -7.874402184942e-15 
   37       1.577918758931e-10       5.860505112914e-15       2.548257361202e-13       0.000000000000e+00       1.007323041203e-10       1.055162180410e-11      -7.709238722468e-15 
   38       1.601598250606e-10       6.416726079363e-15       2.500065466343e-13       0.000000000000e+00       9.543602820325e-11       1.003564771572e-11      -7.759357078340e-15 
   39       1.625571663546e-10       7.006689597620e-15       2.438189819224e-13       0.000000000000e+00       9.053566894968e-11       9.554200419552e-12      -7.918955632878e-15 
   40       1.649911765152e-10       7.630894171370e-15       2.361793582232e-13       0.000000000000e+00       8.598449576094e-11       9.107969596140e-12      -8.054532512912e-15 
   41       1.674649616891e-10       8.289804523676e-15       2.270097409519e-13       0.000000000000e+00       8.172212017495e-11       8.695803836422e-12      -8.040635987280e-15 
   42       1.699764926502e-10       8.984066050669e-15       2.162803178432e-13       0.000000000000e+00       7.773598030882e-11       8.315303377231e-12      -7.885530092648e-15 
   43       1.725184886415e-10       9.714349986916e-15       2.039799481889e-13       0.000000000000e+00       7.401547657044e-11       7.962103862443e-12      -7.643344355247e-15 
   44       1.750780845042e-10       1.048129287645e-14       1.901050538454e-13       0.000000000000e+00       7.053352116512e-11       7.629494378717e-12      -7.380749366566e-15 
   45       1.776420005494e-10       1.128548198348e-14       1.746546350469e-13       0.000000000000e+00       6.725620988038e-11       7.310432474623e-12      -7.163023002868e-15 
   46       1.802149934993e-10       1.212741007773e-14       1.576127103718e-13       0.000000000000e+00       6.417837826087e-11       7.004713280734e-12      -7.005518209605e-15 
   47       1.828061288909e-10       1.300750442165e-14       1.389612265709e-13       0.000000000000e+00       6.129644281490e-11       6.713650822304e-12      -6.908958905671e-15 
   48       1.854234862500e-10       1.392613631219e-14       1.186849834029e-13       0.000000000000e+00       5.859767742864e-11       6.438031911232e-12      -6.872767726220e-15 
   49       1.880740176250e-10       1.488361873921e-14       9.677167875433e-14       0.000000000000e+00       5.605953351816e-11       6.178069947605e-12      -6.894968777968e-15 
   50       1.907625882189e-10       1.588018565459e-14       7.320834421857e-14       0.000000000000e+00       5.365642952647e-11       5.933497051212e-12      -6.971588135452e-15 
   51       1.934891194900e-10       1.691592857834e-14       4.796940654329e-14       0.000000000000e+00       5.138386930095e-11       5.703977118614e-12      -7.094889096346e-15 
   52       1.962504260451e-10       1.799083873729e-14       2.102546358926e-14       0.000000000000e+00       4.923969521807e-11       5.488725028874e-12      -7.254489812718e-15 
   53       1.990407900788e-10       1.910482081952e-14      -7.653511141478e-15       0.000000000000e+00       4.721687046169e-11       5.286339365675e-12      -7.437705670696e-15 
   54       2.018517814177e-10       2.025768976732e-14      -3.809829324712e-14       0.000000000000e+00       4.530315067377e-11       5.094762728506e-12      -7.629428410045e-15 
   55       2.046752277166e-10       2.144923005036e-14      -7.033590169753e-14       0.000000000000e+00       4.348481737192e-11       4.911849408780e-12      -7.815440745215e-15 
   56       2.075134013673e-10       2.267939807509e-14      -1.043744851197e-13       0.000000000000e+00       4.175971650567e-11       4.737324483799e-12      -7.993601407954e-15 
   57       2.103710480304e-10       2.394816444090e-14      -1.402148994356e-13       0.000000000000e+00       4.012688382789e-11       4.571241885712e-12      -8.165226977845e-15 
   58       2.132524022261e-10       2.525545510955e-14      -1.778549549248e-13       0.000000000000e+00       3.858260051783e-11       4.413404000146e-12      -8.331912513229e-15 
   59       2.161611301128e-10       2.660115063246e-14      -2.172893605580e-13       0.000000000000e+00       3.712022308252e-11       4.263345640961e-12      -8.495544521491e-15 
   60       2.191002722636e-10       2.798508537803e-14      -2.585096683305e-13       0.000000000000e+00       3.573001325803e-11       4.120318025003e-12      -8.658313929342e-15 
   61       2.220721617557e-10       2.940701594851e-14      -3.015061035062e-13       0.000000000000e+00       3.440184105816e-11       3.983518536449e-12      -8.821762479334e-15 
   62       2.250782864042e-10       3.086651989454e-14      -3.462736613474e-13       0.000000000000e+00       3.313438773014e-11       3.852876539752e-12      -8.983642451313e-15 
   63       2.281192939220e-10       3.236307279136e-14      -3.928072863084e-13       0.000000000000e+00       3.192771605891e-11       3.728416316481e-12      -9.140371879888e-15 
   64       2.311949570240e-10       3.389607532748e-14      -4.411001109713e-13       0.000000000000e+00       3.078050212897e-11       3.610018776616e-12      -9.287921581374e-15 
