# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.422653574189e-10       2.733966338195e-15       1.684718667822e-13       4.884992738457e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088616642070e-10       2.893304898294e-15      -8.147586851519e-15       4.920414143730e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.761724312037e-11       2.655001551801e-15      -6.107048420207e-14       4.279378530923e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.288842312302e-11       2.121379131344e-15      -7.205639773526e-14       3.351705259583e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.009678373146e-11       1.527424025440e-15      -6.846518730037e-14       2.430797461499e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.833201354612e-11       1.037547654415e-15      -6.069815367266e-14       1.678306116989e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.713886920629e-11       7.188987716543e-16      -5.333195358095e-14       1.148372240979e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.627129584132e-11       5.662340932478e-16      -4.806335785596e-14       8.291479682361e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.558757471849e-11       5.395496600797e-16      -4.522749206924e-14       6.778707893243e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.500491621310e-11       5.923818265595e-16      -4.460082481722e-14       6.458052125572e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.447516116093e-11       6.886361615271e-16      -4.578409558158e-14       6.899473915630e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.396950586319e-11       8.052830000242e-16      -4.838822394436e-14       7.792902368926e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.346994532983e-11       9.316969410926e-16      -5.210811556066e-14       8.930848592527e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.296524119207e-11       1.063607807348e-15      -5.671842987310e-14       1.020136857390e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.244873010470e-11       1.200550834487e-15      -6.206205855036e-14       1.154591244970e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.191675659138e-11       1.342990809567e-15      -6.802702152168e-14       1.293906012182e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.136159521915e-11       1.490859179951e-15      -7.453208193232e-14       1.437592893325e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.080051022110e-11       1.644138647653e-15      -8.153126142670e-14       1.585391257669e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.021425686023e-11       1.802925321421e-15      -8.896562727487e-14       1.737120107502e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.961337529147e-11       1.966914755714e-15      -9.679965801493e-14       1.892726196469e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.899243800674e-11       2.135706833850e-15      -1.049954977250e-13       2.052261561935e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.835887791393e-11       2.309149123635e-15      -1.135209480374e-13       2.215597441709e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.770662482505e-11       2.487236006996e-15      -1.223398530501e-13       2.382566393403e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.704160071532e-11       2.670082430334e-15      -1.314214508853e-13       2.552923917248e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.636052866776e-11       2.857858770724e-15      -1.407339173697e-13       2.726427649019e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.566584754395e-11       3.050547849089e-15      -1.502514424722e-13       2.902911768844e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
