# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.857114424968e-10       7.737430074908e-15       5.610485257035e-13       4.752330077106e-15       8.436332495165e-09       4.650963504140e-10      -2.059105752461e-12 
    3       2.437096171683e-10       1.003102235878e-14       4.521822505306e-13       4.790922350819e-15       5.179262605527e-09       3.305028868871e-10      -1.650907519375e-12 
    4       2.247965535186e-10       9.612217114725e-15       3.866733552588e-13       4.171158006771e-15       3.603924255736e-09       2.506462578368e-10      -1.174318737381e-12 
    5       2.142295935978e-10       7.427201086813e-15       3.236696926400e-13       3.271512103613e-15       2.691393811792e-09       1.981753325913e-10      -7.483506782825e-13 
    6       2.073000174298e-10       4.893395182308e-15       2.614216565193e-13       2.377580672929e-15       2.102962200551e-09       1.613515982302e-10      -4.084506309094e-13 
    7       2.027597774238e-10       2.940581977986e-15       2.052903365171e-13       1.647010589441e-15       1.696771282699e-09       1.343072855368e-10      -1.633755874781e-13 
    8       1.998334181029e-10       1.814653206735e-15       1.587590235987e-13       1.133122668132e-15       1.401981123543e-09       1.137593802904e-10      -7.082192657994e-15 
    9       1.980218021902e-10       1.328452425059e-15       1.234554374991e-13       8.244385599909e-16       1.179884672963e-09       9.773336357623e-11       7.491205837071e-14 
   10       1.969698431452e-10       1.183662516290e-15       9.938148077817e-14       6.799380981501e-16       1.007896380095e-09       8.498246534727e-11       1.012931488774e-13 
   11       1.964892790771e-10       1.167567059651e-15       8.522242289921e-14       6.518354046825e-16       8.504865764154e-10       7.498649377854e-11       9.150714681074e-14 
   12       1.964206905506e-10       1.192706387201e-15       7.880660920985e-14       6.987666977120e-16       7.431285526975e-10       6.632851959551e-11       6.295269097281e-14 
   13       1.966483942217e-10       1.249361751720e-15       7.767160764646e-14       7.898622189559e-16       6.550001112045e-10       5.926254384425e-11       2.934772904534e-14 
   14       1.970729623950e-10       1.346356989254e-15       7.956743695750e-14       9.055448320565e-16       5.816759691651e-10       5.310442562240e-11      -7.088417338005e-16 
   15       1.976925349808e-10       1.483283784840e-15       8.272288374951e-14       1.034223774750e-15       5.199569711854e-10       4.793765705258e-11      -2.197679046943e-14 
   16       1.984629782744e-10       1.649641719536e-15       8.583896286336e-14       1.170460989894e-15       4.674818441547e-10       4.352667319268e-11      -3.322870939400e-14 
   17       1.993270984492e-10       1.836136889312e-15       8.821238530898e-14       1.311934268700e-15       4.224670770078e-10       3.969780649982e-11      -3.568923115698e-14 
   18       2.002620858450e-10       2.040823602325e-15       8.977673565727e-14       1.457752748815e-15       3.833967273301e-10       3.630271231758e-11      -3.210443362766e-14 
   19       2.012959574048e-10       2.267544863437e-15       9.064419642153e-14       1.607687846651e-15       3.496501590161e-10       3.331690720306e-11      -2.504732098758e-14 
   20       2.023701480941e-10       2.521292835050e-15       9.098948765441e-14       1.761762885624e-15       3.199277002031e-10       3.068519300485e-11      -1.747558736798e-14 
   21       2.035056115840e-10       2.803892260075e-15       9.108584941852e-14       1.919843482091e-15       2.937627338562e-10       2.836425766438e-11      -1.100158513675e-14 
   22       2.046901850088e-10       3.115425446068e-15       9.121793148044e-14       2.081816569838e-15       2.705292787153e-10       2.627658938079e-11      -6.758797890067e-15 
   23       2.059233061621e-10       3.454697549736e-15       9.137906398192e-14       2.247587179476e-15       2.499081091182e-10       2.439364981500e-11      -4.946580199513e-15 
   24       2.071726436503e-10       3.819853151335e-15       9.141937666040e-14       2.417098868110e-15       2.314228194977e-10       2.268374283157e-11      -5.268464411409e-15 
   25       2.084611954212e-10       4.210888116950e-15       9.113375858495e-14       2.590191629326e-15       2.148561822451e-10       2.115020941232e-11      -7.038791087734e-15 
   26       2.097968867431e-10       4.628251616016e-15       9.025336411498e-14       2.766676615038e-15       1.999085287754e-10       1.978793597865e-11      -9.325880667256e-15 
   27       2.111647981319e-10       5.072328544102e-15       8.849711494630e-14       2.946289302602e-15       1.864006201202e-10       1.856336213569e-11      -1.144258698404e-14 
   28       2.125274899841e-10       5.543502750119e-15       8.558572065283e-14       3.128752974213e-15       1.740996283814e-10       1.742796942567e-11      -1.279764597539e-14 
   29       2.139026379113e-10       6.042635838993e-15       8.143220290071e-14       3.313842316987e-15       1.629427922941e-10       1.637898588178e-11      -1.330717166436e-14 
   30       2.153047075058e-10       6.570764297254e-15       7.601878202673e-14       3.501360868115e-15       1.528103759641e-10       1.542023381204e-11      -1.308125418900e-14 
   31       2.167286056872e-10       7.128959120556e-15       6.934357004515e-14       3.691117421580e-15       1.434957774264e-10       1.454697057420e-11      -1.229195756640e-14 
   32       2.181816753010e-10       7.718271338781e-15       6.141118315788e-14       3.882874202423e-15       1.349509446942e-10       1.375112211613e-11      -1.116005288541e-14 
   33       2.196586835316e-10       8.339768553487e-15       5.224083928010e-14       4.076379681920e-15       1.271155004074e-10       1.301621873147e-11      -9.973009696045e-15 
   34       2.211420147033e-10       8.994483371324e-15       4.186378636254e-14       4.271379666015e-15       1.198798515454e-10       1.232218103351e-11      -9.023287114356e-15 
   35       2.226405355483e-10       9.683181842398e-15       3.030160927002e-14       4.467609742213e-15       1.132070009921e-10       1.167017908699e-11      -8.362657390641e-15 
   36       2.241611701062e-10       1.040650745089e-14       1.758163647479e-14       4.664799713638e-15       1.070434520455e-10       1.106566268132e-11      -7.962465325033e-15 
   37       2.257018860772e-10       1.116503782673e-14       3.723000752770e-15       4.862685501346e-15       1.013090304953e-10       1.051113837687e-11      -7.778754035014e-15 
   38       2.272681359888e-10       1.195928892710e-14      -1.133289903696e-14       5.061044312302e-15       9.598894293674e-11       1.000485982079e-11      -7.758680348262e-15 
   39       2.288596454933e-10       1.278970308034e-14      -2.767670390934e-14       5.259671487238e-15       9.106632962290e-11       9.541170667092e-12      -7.833960538188e-15 
