# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.428289830446e-10       5.075005667130e-15       3.939745012556e-13       0.000000000000e+00       8.436332495165e-09       4.650963504140e-10      -2.059105752461e-12 
    3       1.347930944186e-10       7.210402531978e-15       4.607467621067e-13       0.000000000000e+00       5.179262605527e-09       3.305028868871e-10      -1.650907519375e-12 
    4       1.271224489847e-10       7.019946562397e-15       4.474737300474e-13       0.000000000000e+00       3.603924255736e-09       2.506462578368e-10      -1.174318737381e-12 
    5       1.212568361400e-10       5.351648606334e-15       3.953425171198e-13       0.000000000000e+00       2.691393811792e-09       1.981753325913e-10      -7.483506782825e-13 
    6       1.171127112131e-10       3.394213289006e-15       3.295463094813e-13       0.000000000000e+00       2.102962200551e-09       1.613515982302e-10      -4.084506309094e-13 
    7       1.143299482578e-10       1.916882787514e-15       2.657354284844e-13       0.000000000000e+00       1.696771282699e-09       1.343072855368e-10      -1.633755874781e-13 
    8       1.125914472393e-10       1.099805241704e-15       2.119245385986e-13       0.000000000000e+00       1.401981123543e-09       1.137593802904e-10      -7.082192657994e-15 
    9       1.116433827694e-10       7.601694955868e-16       1.714193050951e-13       0.000000000000e+00       1.179884672963e-09       9.773336357623e-11       7.491205837071e-14 
   10       1.112720556835e-10       6.387592507597e-16       1.445650452222e-13       0.000000000000e+00       1.007896380095e-09       8.498246534727e-11       1.012931488774e-13 
   11       1.113719099576e-10       5.676711192171e-16       1.298225746696e-13       0.000000000000e+00       8.504865764154e-10       7.498649377854e-11       9.150714681074e-14 
   12       1.118314966230e-10       4.952233840409e-16       1.246231903278e-13       0.000000000000e+00       7.431285526975e-10       6.632851959551e-11       6.295269097281e-14 
   13       1.125637165119e-10       4.336119788711e-16       1.261236049133e-13       0.000000000000e+00       6.550001112045e-10       5.926254384425e-11       2.934772904534e-14 
   14       1.134869037376e-10       4.027764024894e-16       1.317702258841e-13       0.000000000000e+00       5.816759691651e-10       5.310442562240e-11      -7.088417338005e-16 
   15       1.146102265196e-10       4.059041633354e-16       1.395652974013e-13       0.000000000000e+00       5.199569711854e-10       4.793765705258e-11      -2.197679046943e-14 
   16       1.158961115181e-10       4.333495784918e-16       1.480533390028e-13       0.000000000000e+00       4.674818441547e-10       4.352667319268e-11      -3.322870939400e-14 
   17       1.172910478467e-10       4.756104767223e-16       1.564226674807e-13       0.000000000000e+00       4.224670770078e-10       3.969780649982e-11      -3.568923115698e-14 
   18       1.187800064557e-10       5.303380352347e-16       1.645207054243e-13       0.000000000000e+00       3.833967273301e-10       3.630271231758e-11      -3.210443362766e-14 
