# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.428819746568e-10       2.662181541701e-15       1.670740285326e-13       4.752087211064e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.089155567025e-10       2.820133960893e-15      -8.564493391969e-15       4.790436485264e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.767250222076e-11       2.591460484745e-15      -6.080032261236e-14       4.170347940946e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.297036828873e-11       2.074336848036e-15      -7.167270582695e-14       3.270296477176e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.018398488267e-11       1.497479145236e-15      -6.812442014618e-14       2.375877941198e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.842543634255e-11       1.021427570915e-15      -6.044467981668e-14       1.644739007757e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.723637374411e-11       7.119255051779e-16      -5.316483894312e-14       1.130200286250e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.637149206733e-11       5.646274501525e-16      -4.796282214589e-14       8.207832269562e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.568941096886e-11       5.404323905080e-16      -4.518202209437e-14       6.754674776856e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.510743159329e-11       5.945271203793e-16      -4.459796230978e-14       6.464670006321e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.457759028601e-11       6.911335498925e-16      -4.581357135110e-14       6.924178886621e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.407130932154e-11       8.083369030765e-16      -4.844797112235e-14       7.824503007479e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.357083283627e-11       9.350214742333e-16      -5.219752792163e-14       8.969870665592e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.306513784361e-11       1.067591456203e-15      -5.683567767448e-14       1.024437442982e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.254766858692e-11       1.205192193875e-15      -6.220590450486e-14       1.159363447391e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.201474596151e-11       1.348032103766e-15      -6.819979490375e-14       1.299443000919e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.145859237777e-11       1.496514537245e-15      -7.473116907796e-14       1.443785425470e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.089650924394e-11       1.650588886839e-15      -8.175539953007e-14       1.592162366165e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.030925879413e-11       1.810104818518e-15      -8.921775067804e-14       1.744597425428e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.970737793957e-11       1.974802679346e-15      -9.708108135092e-14       1.900956524913e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.908540243550e-11       2.144421983872e-15      -1.053043469311e-13       2.061126937265e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.845078366313e-11       2.318817086165e-15      -1.138567172852e-13       2.225014038392e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.779746125516e-11       2.497926852040e-15      -1.227046760314e-13       2.392561744370e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.713134340180e-11       2.681754957605e-15      -1.318167467338e-13       2.563610391372e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.644912099217e-11       2.870362447022e-15      -1.411594591806e-13       2.737971466246e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.575325360859e-11       3.063797720714e-15      -1.507071427087e-13       2.915380748157e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.503975235802e-11       3.262083684718e-15      -1.604351283313e-13       3.095561793565e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.431646296279e-11       3.465017698479e-15      -1.703203433457e-13       3.278289510797e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.358425405903e-11       3.672297164537e-15      -1.803387738227e-13       3.463367616959e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.283495620222e-11       3.883597322628e-15      -1.904656358173e-13       3.650605045225e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.207376634261e-11       4.098666409101e-15      -2.006798169233e-13       3.839764109414e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.130297565757e-11       4.317262813573e-15      -2.109610966085e-13       4.030593316638e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.051879927395e-11       4.539140228754e-15      -2.212894329596e-13       4.222838460965e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.972456551821e-11       4.764085967843e-15      -2.316463655185e-13       4.416235097760e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.892064871824e-11       4.991895256903e-15      -2.420142035436e-13       4.610512952302e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.810358361847e-11       5.222358110263e-15      -2.523749975680e-13       4.805407834791e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.727761954353e-11       5.455249575331e-15      -2.627080417033e-13       5.000696891253e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.644598317057e-11       5.690335674505e-15      -2.729915940541e-13       5.196175390955e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.560715910711e-11       5.927375465382e-15      -2.832035540464e-13       5.391647971093e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.475722312043e-11       6.166148606700e-15      -2.933254542214e-13       5.586909345937e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.389893239384e-11       6.406549853739e-15      -3.033559771967e-13       5.781677618562e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.303477030667e-11       6.648524620645e-15      -3.133018538247e-13       5.975640144147e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.216408876992e-11       6.892045129717e-15      -3.231745375453e-13       6.168470650830e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.128479417137e-11       7.137060537211e-15      -3.329828711400e-13       6.359844954522e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.039970353250e-11       7.383326006372e-15      -3.427078095206e-13       6.549495677027e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.951158526687e-11       7.630525077737e-15      -3.523206187296e-13       6.737172463554e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.862116527398e-11       7.878315177378e-15      -3.617896814798e-13       6.922626965249e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.772694518269e-11       8.126326153889e-15      -3.710803400222e-13       7.105612955897e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.682659693701e-11       8.374180937858e-15      -3.801579546005e-13       7.285887074203e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
