# Matter power spectrum P(k) at redshift z=0
# for k=1.04233e-05 to 105.248 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042334792351e-05       5.068143271307e+01 
       2.327947088309e-05       1.097777830908e+02 
       3.618061400446e-05       1.677693072483e+02 
       4.916135487056e-05       2.253072724635e+02 
       6.225684064512e-05       2.827578319092e+02 
       7.550310026773e-05       3.403927129251e+02 
       8.893736659261e-05       3.984425544080e+02 
       1.025984127408e-04       4.571186449761e+02 
       1.165269069676e-04       5.166240266842e+02 
       1.307657903809e-04       5.771601567642e+02 
       1.453606818536e-04       6.389314998202e+02 
       1.603603144133e-04       7.021490565134e+02 
       1.758170072241e-04       7.670333517725e+02 
       1.917871769097e-04       8.338171457442e+02 
       2.083318913285e-04       9.027480083944e+02 
       2.255174678610e-04       9.740908577269e+02 
       2.434161166390e-04       1.048130487688e+03 
       2.621066267378e-04       1.125174120386e+03 
       2.816750898789e-04       1.205553947441e+03 
       3.022156513459e-04       1.289629636631e+03 
       3.238312712208e-04       1.377790711076e+03 
       3.466344703095e-04       1.470458698520e+03 
       3.707480238672e-04       1.568088894230e+03 
       3.963055522034e-04       1.671171479210e+03 
       4.234519404499e-04       1.780231766457e+03 
       4.523435007126e-04       1.895829200939e+03 
       4.831477697837e-04       2.018554660053e+03 
       5.160428170347e-04       2.149025646145e+03 
       5.512159239780e-04       2.287878812716e+03 
       5.888614949965e-04       2.435759401772e+03 
       6.291780750671e-04       2.593307186213e+03 
       6.723643927864e-04       2.761138804365e+03 
       7.186144220839e-04       2.939826644997e+03 
       7.681115657675e-04       3.129874947626e+03 
       8.210222024406e-04       3.331694316623e+03 
       8.774889881834e-04       3.545576331901e+03 
       9.376244369471e-04       3.771670588225e+03 
       1.001505382874e-03       4.009966495184e+03 
       1.069168920167e-03       4.260282071045e+03 
       1.140610303429e-03       4.522261649016e+03 
       1.215783081519e-03       4.795382907961e+03 
       1.294601467664e-03       5.078973230654e+03 
       1.376944674544e-03       5.372216559070e+03 
       1.462662724098e-03       5.674207399929e+03 
       1.551583119539e-03       5.984004801185e+03 
       1.643517754319e-03       6.300609410494e+03 
       1.738269513740e-03       6.623013994918e+03 
       1.835638165133e-03       6.950227453188e+03 
       1.935425292949e-03       7.281293837519e+03 
       2.037438183642e-03       7.615306830369e+03 
       2.141492682107e-03       7.951419449438e+03 
       2.247415119843e-03       8.288850414912e+03 
       2.355043457306e-03       8.626886025711e+03 
       2.464227796693e-03       8.964880132471e+03 
       2.574830415610e-03       9.302252562964e+03 
       2.686725455007e-03       9.638484753639e+03 
       2.799798372638e-03       9.973117310565e+03 
       2.913945250466e-03       1.030574315317e+04 
       3.029072023416e-03       1.063600628372e+04 
       3.145093678803e-03       1.096359352591e+04 
       3.261933461083e-03       1.128823262179e+04 
       3.379522105080e-03       1.160968561830e+04 
       3.497797112184e-03       1.192774919173e+04 
       3.616702077608e-03       1.224224584853e+04 
       3.736186072336e-03       1.255302496764e+04 
       3.856203080233e-03       1.285995715620e+04 
       3.976711488803e-03       1.316293421468e+04 
       4.097673630768e-03       1.346186757355e+04 
       4.219055372940e-03       1.375667792274e+04 
       4.340825748539e-03       1.404730819379e+04 
       4.462956628996e-03       1.433370510280e+04 
       4.585422431410e-03       1.461583645235e+04 
       4.708199857992e-03       1.489366906851e+04 
       4.831267664104e-03       1.516718757240e+04 
       4.954606451770e-03       1.543638152790e+04 
       5.078198485827e-03       1.570123491745e+04 
       5.202027530167e-03       1.596176872594e+04 
       5.326078701788e-03       1.621797459551e+04 
       5.450338340626e-03       1.646986350272e+04 
       5.574793893351e-03       1.671745403541e+04 
       5.699433809538e-03       1.696075744853e+04 
       5.824247448806e-03       1.719980238767e+04 
       5.949224997654e-03       1.743461793304e+04 
       6.074357394926e-03       1.766525114244e+04 
       6.199636264902e-03       1.789166361496e+04 
       6.325053857188e-03       1.811390525228e+04 
       6.450602992632e-03       1.833203594493e+04 
       6.576277014606e-03       1.854606114432e+04 
       6.702069745075e-03       1.875589643044e+04 
       6.827975444923e-03       1.896182704322e+04 
       6.953988778089e-03       1.916376638108e+04 
       7.080104779099e-03       1.936176086465e+04 
       7.206318823648e-03       1.955583287682e+04 
       7.332626601900e-03       1.974602132273e+04 
       7.459024094239e-03       1.993237911487e+04 
       7.585507549212e-03       2.011493044312e+04 
       7.712073463446e-03       2.029371830493e+04 
       7.838718563346e-03       2.046877970794e+04 
       7.965439788386e-03       2.064015093098e+04 
       8.092234275853e-03       2.080787222069e+04 
       8.219099346892e-03       2.097197761198e+04 
       8.346032493727e-03       2.113250673843e+04 
       8.473031367960e-03       2.128950476659e+04 
       8.600093769833e-03       2.144299572043e+04 
       8.727217638366e-03       2.159303573393e+04 
       8.854401042302e-03       2.173964505344e+04 
       8.981642171773e-03       2.188287153074e+04 
       9.108939330626e-03       2.202275171847e+04 
       9.236290929358e-03       2.215932275832e+04 
       9.363695478593e-03       2.229261714222e+04 
       9.491151583072e-03       2.242268533396e+04 
       9.618657936095e-03       2.254954227589e+04 
       9.746213314383e-03       2.267324034716e+04 
       9.873816573331e-03       2.279379544060e+04 
       1.000146664261e-02       2.291127268342e+04 
       1.012916252211e-02       2.302568806108e+04 
       1.025690327814e-02       2.313707985536e+04 
       1.038468803995e-02       2.324548217346e+04 
       1.051251599649e-02       2.335091748606e+04 
       1.064038639337e-02       2.345344267140e+04 
       1.076829853011e-02       2.355309293976e+04 
       1.089625175749e-02       2.364986418512e+04 
       1.102424547519e-02       2.374383299591e+04 
       1.115227912949e-02       2.383501971549e+04 
       1.128035221123e-02       2.392342520708e+04 
       1.140846425385e-02       2.400912014304e+04 
       1.153661483156e-02       2.409213422441e+04 
       1.166480355773e-02       2.417247125737e+04 
       1.179303008326e-02       2.425019771186e+04 
       1.192129409515e-02       2.432531137273e+04 
       1.204959531517e-02       2.439786480898e+04 
       1.217793349857e-02       2.446787588486e+04 
       1.230630843292e-02       2.453537803012e+04 
       1.243471993706e-02       2.460041103303e+04 
       1.256316786005e-02       2.466299313236e+04 
       1.269165208023e-02       2.472315195359e+04 
       1.282017250439e-02       2.478092621150e+04 
       1.294872906694e-02       2.483634056364e+04 
       1.307732172917e-02       2.488942501089e+04 
       1.320595047857e-02       2.494020591407e+04 
       1.333461532817e-02       2.498871066413e+04 
       1.346331631598e-02       2.503495637829e+04 
       1.359205350446e-02       2.507899655487e+04 
       1.372082697997e-02       2.512085179314e+04 
       1.384963685240e-02       2.516051900268e+04 
       1.397848325468e-02       2.519806486912e+04 
       1.410736634246e-02       2.523348372025e+04 
       1.423628629375e-02       2.526683062462e+04 
       1.436524330863e-02       2.529810822591e+04 
       1.449423760893e-02       2.532736237948e+04 
       1.462326943806e-02       2.535460158791e+04 
       1.475233906076e-02       2.537986426804e+04 
       1.488144676291e-02       2.540316467530e+04 
       1.501059285140e-02       2.542454495230e+04 
       1.513977765398e-02       2.544400915157e+04 
       1.526900151917e-02       2.546157105296e+04 
       1.539826481616e-02       2.547729715773e+04 
       1.552756793478e-02       2.549120082118e+04 
       1.565691128545e-02       2.550327540028e+04 
       1.578629529916e-02       2.551356690310e+04 
       1.591572042750e-02       2.552208459904e+04 
       1.604518714266e-02       2.552889616423e+04 
       1.617469593751e-02       2.553397435255e+04 
       1.630424732565e-02       2.553735538931e+04 
       1.643384184150e-02       2.553907114581e+04 
       1.656348004040e-02       2.553913714169e+04 
       1.669316249876e-02       2.553759909494e+04 
       1.682288981415e-02       2.553444628315e+04 
       1.695266260554e-02       2.552971476762e+04 
       1.708248151338e-02       2.552343843663e+04 
       1.721234719988e-02       2.551561790970e+04 
       1.734226034918e-02       2.550627404227e+04 
       1.747222166757e-02       2.549545719603e+04 
       1.760223188375e-02       2.548317851774e+04 
       1.773229174912e-02       2.546943744340e+04 
       1.786240203799e-02       2.545426546285e+04 
       1.799256354795e-02       2.543771603708e+04 
       1.812277710011e-02       2.541974202429e+04 
       1.825304353948e-02       2.540042489450e+04 
       1.838336373532e-02       2.537977205165e+04 
       1.851373858145e-02       2.535777479138e+04 
       1.864416899666e-02       2.533448343544e+04 
       1.877465592512e-02       2.530991075408e+04 
       1.890520033677e-02       2.528407698068e+04 
       1.903580322776e-02       2.525699162082e+04 
       1.916646562089e-02       2.522868801115e+04 
       1.929718856606e-02       2.519918628580e+04 
       1.942797314081e-02       2.516850184027e+04 
       1.955882045076e-02       2.513665551323e+04 
