# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.863859288513e-10       7.933019367171e-15       5.637475774825e-13       4.868578008339e-15       8.399038735023e-09       4.687270563302e-10      -2.082439832144e-12 
    3       2.442024754828e-10       1.034750714112e-14       4.552732610317e-13       4.928025792278e-15       5.158756697563e-09       3.329648911234e-10      -1.675746538489e-12 
    4       2.251166354034e-10       9.974985944240e-15       3.902053300072e-13       4.306893524054e-15       3.590106182812e-09       2.523614687589e-10      -1.197214097401e-12 
    5       2.144197055344e-10       7.754305679664e-15       3.273804334415e-13       3.389864917509e-15       2.680902391515e-09       1.994733867071e-10      -7.675193621975e-13 
    6       2.073900110358e-10       5.135640164614e-15       2.649726509351e-13       2.470453509430e-15       2.094571002734e-09       1.624259328510e-10      -4.229220211592e-13 
    7       2.027952093257e-10       3.091616696556e-15       2.083809635174e-13       1.713049141128e-15       1.689756248091e-09       1.351862787903e-10      -1.729008205543e-13 
    8       1.997812508622e-10       1.896832945989e-15       1.612562250175e-13       1.175238289354e-15       1.395904185004e-09       1.144564652727e-10      -1.203262227220e-14 
    9       1.979121464318e-10       1.371221317830e-15       1.253428710412e-13       8.476928882552e-16       1.174565190884e-09       9.831796911780e-11       7.370142772306e-14 
   10       1.968645086717e-10       1.208988715874e-15       1.006337058105e-13       6.894232868952e-16       1.003215705747e-09       8.549939062688e-11       1.027104306345e-13 
   11       1.963316569111e-10       1.185343373324e-15       8.593375598864e-14       6.522760031763e-16       8.468408073446e-10       7.536394571992e-11       9.426573491502e-14 
   12       1.962359433843e-10       1.205266599432e-15       7.918641043055e-14       6.933314460953e-16       7.398912211858e-10       6.673217074459e-11       6.627396557896e-14 
   13       1.964373790890e-10       1.256122493917e-15       7.790004391842e-14       7.810229338524e-16       6.521033414115e-10       5.947401843531e-11       3.207519130864e-14 
   14       1.968593478134e-10       1.347853644542e-15       7.977559329567e-14       8.943706766529e-16       5.790601444868e-10       5.338486012634e-11       1.254903867964e-15 
   15       1.974716934861e-10       1.480606364184e-15       8.292168473388e-14       1.021478280473e-15       5.175840554131e-10       4.823956433148e-11      -2.099052564827e-14 
   16       1.981927887181e-10       1.643994041686e-15       8.605179633097e-14       1.156294676505e-15       4.653194317687e-10       4.380821115145e-11      -3.318569269156e-14 
   17       1.990750344397e-10       1.827942963564e-15       8.849978154282e-14       1.296132364174e-15       4.204856919636e-10       3.985829716038e-11      -3.658148603629e-14 
   18       2.000205717313e-10       2.029398211429e-15       9.003504646228e-14       1.440282448052e-15       3.815728516709e-10       3.642159415134e-11      -3.351066037774e-14 
   19       2.010465904182e-10       2.252190564735e-15       9.077996448795e-14       1.588507120040e-15       3.479630124170e-10       3.345323104090e-11      -2.650447283721e-14 
   20       2.021248700488e-10       2.501728345306e-15       9.099812256903e-14       1.740720389796e-15       3.183628506188e-10       3.078432468422e-11      -1.870451487923e-14 
   21       2.032660745712e-10       2.780182952850e-15       9.096103409660e-14       1.896795371370e-15       2.923073214409e-10       2.840556472177e-11      -1.187032884668e-14 
   22       2.044383934789e-10       3.087935476347e-15       9.092995925500e-14       2.056670301816e-15       2.691721775268e-10       2.631861030989e-11      -7.272358372159e-15 
   23       2.056604485089e-10       3.423751171576e-15       9.093986035696e-14       2.220277783168e-15       2.486390282271e-10       2.448530560142e-11      -5.104040533732e-15 
   24       2.069256876955e-10       3.785586111681e-15       9.089603312365e-14       2.387571942780e-15       2.302330945655e-10       2.282891101707e-11      -5.045625170861e-15 
   25       2.082306729796e-10       4.173269386927e-15       9.056923029998e-14       2.558344408136e-15       2.137379140735e-10       2.131082333488e-11      -6.564605252341e-15 
   26       2.095472762565e-10       4.587103360217e-15       8.964753510411e-14       2.732347902629e-15       1.988550921878e-10       1.989661396343e-11      -8.903767028995e-15 
   27       2.108861263836e-10       5.027535616559e-15       8.787516897666e-14       2.909344843348e-15       1.854064694768e-10       1.860380745822e-11      -1.126265935626e-14 
