# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.863864097910e-10       7.933258781359e-15       5.637475734193e-13       4.868817422489e-15       8.399038735023e-09       4.687270563302e-10      -2.082439832144e-12 
    3       2.442034338615e-10       1.034798610772e-14       4.552732429439e-13       4.928504758513e-15       5.158756697563e-09       3.329648911234e-10      -1.675746538489e-12 
    4       2.251182250298e-10       9.975784522709e-15       3.902052781097e-13       4.307692100728e-15       3.590106182812e-09       2.523614687589e-10      -1.197214097401e-12 
    5       2.144220758458e-10       7.755504096256e-15       3.273803154285e-13       3.391063327963e-15       2.680902391515e-09       1.994733867071e-10      -7.675193621975e-13 
    6       2.073933062510e-10       5.137318839527e-15       2.649724193885e-13       2.472132167648e-15       2.094571002734e-09       1.624259328510e-10      -4.229220211592e-13 
    7       2.027995677488e-10       3.093856262153e-15       2.083805536420e-13       1.715288667997e-15       1.689756248091e-09       1.351862787903e-10      -1.729008205543e-13 
    8       1.997868043541e-10       1.899714255014e-15       1.612555527450e-13       1.178119518607e-15       1.395904185004e-09       1.144564652727e-10      -1.203262227220e-14 
    9       1.979190200613e-10       1.374825440937e-15       1.253418315322e-13       8.512968616094e-16       1.174565190884e-09       9.831796911780e-11       7.370142772306e-14 
   10       1.968728205516e-10       1.213396928132e-15       1.006321723684e-13       6.938312383699e-16       1.003215705747e-09       8.549939062688e-11       1.027104306345e-13 
   11       1.963415182159e-10       1.190637129749e-15       8.593157939031e-14       6.575693330549e-16       8.468408073446e-10       7.536394571992e-11       9.426573491502e-14 
   12       1.962474585443e-10       1.211527500008e-15       7.918341866174e-14       6.995916854373e-16       7.398912211858e-10       6.673217074459e-11       6.627396557896e-14 
   13       1.964506461443e-10       1.263432238880e-15       7.789604229437e-14       7.883317008804e-16       6.521033414115e-10       5.947401843531e-11       3.207519130864e-14 
   14       1.968744589092e-10       1.356293981087e-15       7.977036493524e-14       9.028096266967e-16       5.790601444868e-10       5.338486012634e-11       1.254903867964e-15 
   15       1.974887354856e-10       1.490259025999e-15       8.291499134829e-14       1.031129051437e-15       5.175840554131e-10       4.823956433148e-11      -2.099052564827e-14 
   16       1.982118439043e-10       1.654940682959e-15       8.604337928217e-14       1.167238832029e-15       4.653194317687e-10       4.380821115145e-11      -3.318569269156e-14 
   17       1.990961812763e-10       1.840265089285e-15       8.848936312299e-14       1.308451336760e-15       4.204856919636e-10       3.985829716038e-11      -3.658148603629e-14 
   18       2.000438856651e-10       2.043177105024e-15       9.002233136716e-14       1.454057483303e-15       3.815728516709e-10       3.642159415134e-11      -3.351066037774e-14 
