# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.428672260777e-10       2.736857394414e-15       1.662054241288e-13       4.868578008339e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.088851288821e-10       2.918522468690e-15      -1.127320322143e-14       4.928025792278e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.762171533030e-11       2.696142253226e-15      -6.408506710763e-14       4.306893524054e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.289558576192e-11       2.168550514687e-15      -7.486869567903e-14       3.389864917509e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.008876332998e-11       1.571134364024e-15      -7.093112145472e-14       2.470453509430e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.831381133586e-11       1.071819075615e-15      -6.274730930364e-14       1.713049141128e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.711252327253e-11       7.418767475768e-16      -5.496333954416e-14       1.175238289354e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.623905394001e-11       5.794628980727e-16      -4.931620227027e-14       8.476928882552e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.555143711338e-11       5.459727273392e-16      -4.616835920023e-14       6.894232868952e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.496628620537e-11       5.950540616408e-16      -4.529291891760e-14       6.522760031763e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.443498709754e-11       6.897321059918e-16      -4.628872729689e-14       6.933314460953e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.392850635250e-11       8.062411790693e-16      -4.876082632227e-14       7.810229338524e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.342869859110e-11       9.329792533984e-16      -5.238430081787e-14       8.943706766529e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.292416100902e-11       1.065488204196e-15      -5.692544494362e-14       1.021478280473e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.240807215046e-11       1.202946348664e-15      -6.222320862211e-14       1.156294676505e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.187668082437e-11       1.345726147565e-15      -6.815571045165e-14       1.296132364174e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.132218918221e-11       1.494020697082e-15      -7.463801365503e-14       1.440282448052e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.076181164042e-11       1.647775685690e-15      -8.162158260761e-14       1.588507120040e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.017627781682e-11       1.806938989002e-15      -8.904382346718e-14       1.740720389796e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.957610477670e-11       1.971255651140e-15      -9.686944437738e-14       1.896795371370e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.895585886461e-11       2.140439001655e-15      -1.050614980416e-13       2.056670301816e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.832297649560e-11       2.314334078535e-15      -1.135858909491e-13       2.220277783168e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.767140340549e-11       2.492888837970e-15      -1.224039184682e-13       2.387571942780e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.700705621771e-11       2.676175072782e-15      -1.314862787012e-13       2.558344408136e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.632665503656e-11       2.864320535428e-15      -1.408033030627e-13       2.732347902629e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.563264549583e-11       3.057289910292e-15      -1.503271263824e-13       2.909344843348e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.492102831817e-11       3.254992416365e-15      -1.600293231762e-13       3.089109368688e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.419964228587e-11       3.457274179228e-15      -1.698872895410e-13       3.271417234624e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.346937162504e-11       3.663951548497e-15      -1.798791168994e-13       3.456055076277e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.272207742046e-11       3.874811414070e-15      -1.899820116961e-13       3.642815711830e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.196294331662e-11       4.089565819836e-15      -2.001743082732e-13       3.831466729618e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       7.119424379182e-11       4.307875086284e-15      -2.104341764509e-13       4.021770791816e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   34       7.041218847570e-11       4.529391142286e-15      -2.207399993243e-13       4.213495326848e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   35       6.962010320796e-11       4.753879144074e-15      -2.310735092777e-13       4.406417413333e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   36       6.881837082009e-11       4.981137081447e-15      -2.414178526059e-13       4.600321065273e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   37       6.800354024001e-11       5.210967465609e-15      -2.517559324762e-13       4.794985400894e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   38       6.717984989715e-11       5.443189760478e-15      -2.620672714317e-13       4.990147403847e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   39       6.635051277629e-11       5.677632555294e-15      -2.723301668118e-13       5.185526357482e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   40       6.551400616086e-11       5.914130746938e-15      -2.825225373017e-13       5.380833028155e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   41       6.466640316096e-11       6.152527135391e-15      -2.926258908135e-13       5.575780313469e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   42       6.381045544807e-11       6.392676869786e-15      -3.026387643066e-13       5.770120826533e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   43       6.294864433428e-11       6.634445125336e-15      -3.125676712048e-13       5.963620517021e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   44       6.208032587772e-11       6.877706508908e-15      -3.224237927297e-13       6.156048626596e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   45       6.120341323260e-11       7.122322780812e-15      -3.322157645666e-13       6.347167503133e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   46       6.032071941475e-11       7.368066954294e-15      -3.419248095470e-13       6.536698034484e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   47       5.943500840420e-11       7.614677315823e-15      -3.515226439480e-13       6.724344153337e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   48       5.854700536320e-11       7.861877398084e-15      -3.609781744545e-13       6.909801861794e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   49       5.765521520237e-11       8.109375146280e-15      -3.702573449691e-13       7.092758795768e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   50       5.675731387680e-11       8.356862283397e-15      -3.793260093108e-13       7.272912996948e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   51       5.585518841534e-11       8.604014137034e-15      -3.881598239699e-13       7.450036246318e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   52       5.495095133086e-11       8.850488324477e-15      -3.967367758325e-13       7.623927168842e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   53       5.404538258518e-11       9.095923744866e-15      -4.050343804499e-13       7.794393985594e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   54       5.313782216610e-11       9.339939754865e-15      -4.130296712439e-13       7.961254982044e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   55       5.222712330377e-11       9.582172638453e-15      -4.207016487524e-13       8.124338586352e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   56       5.131503551534e-11       9.822397514155e-15      -4.280393656035e-13       8.283482554228e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   57       5.040347382138e-11       1.006043526831e-14      -4.350358311150e-13       8.438535401814e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   58       4.949346707844e-11       1.029611852927e-14      -4.416858104250e-13       8.589357221155e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
