# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730815825e+01 
       2.321812845909e-05       1.108985041876e+02 
       3.609173376214e-05       1.695113094642e+02 
       4.904439972694e-05       2.276638560964e+02 
       6.211104704304e-05       2.857257547799e+02 
       7.532746857735e-05       3.439710625669e+02 
       8.873064804491e-05       4.026322417087e+02 
       1.023590926816e-04       4.619221296867e+02 
       1.162531841578e-04       5.220451556162e+02 
       1.304555520066e-04       5.832040674790e+02 
       1.450114738457e-04       6.456045449487e+02 
       1.599693066204e-04       7.094587643485e+02 
       1.753809529236e-04       7.749883943752e+02 
       1.913023661048e-04       8.424273125191e+02 
       2.077940972509e-04       9.120241855057e+02 
       2.249218861033e-04       9.840450160132e+02 
       2.427572963948e-04       1.058775662056e+03 
       2.613783937365e-04       1.136524400699e+03 
       2.808704608154e-04       1.217624456731e+03 
       3.013267399410e-04       1.302436517917e+03 
       3.228491865615e-04       1.391351119481e+03 
       3.455492088575e-04       1.484790792627e+03 
       3.695483575494e-04       1.583211838498e+03 
       3.949789163640e-04       1.687105476391e+03 
       4.219843271948e-04       1.796998133687e+03 
       4.507193653101e-04       1.913450472673e+03 
       4.813499602484e-04       2.037054779537e+03 
       5.140525396193e-04       2.168430264768e+03 
       5.490127597170e-04       2.308215691472e+03 
       5.864234841228e-04       2.457058971201e+03 
       6.264818863381e-04       2.615603294407e+03 
       6.693855925968e-04       2.784469612942e+03 
       7.153278528513e-04       2.964235686255e+03 
       7.644918338936e-04       3.155412288671e+03 
       8.170442633386e-04       3.358417708585e+03 
       8.731288006755e-04       3.573552293555e+03 
       9.328596442615e-04       3.800975169402e+03 
       9.963159659542e-04       4.040685595463e+03 
       1.063537764581e-03       4.292511207145e+03 
       1.134523626239e-03       4.556104984476e+03 
       1.209230679194e-03       4.830951767042e+03 
       1.287576767919e-03       5.116383741462e+03 
       1.369444599257e-03       5.411588824240e+03 
       1.454687391959e-03       5.715657781513e+03 
       1.543135431684e-03       6.027647678768e+03 
       1.634602912099e-03       6.346553206437e+03 
       1.728894515478e-03       6.671358959772e+03 
       1.825811320550e-03       7.001063870809e+03 
       1.925155782887e-03       7.334700921760e+03 
       2.026735681319e-03       7.671352265279e+03 
       2.130367042364e-03       8.010157499435e+03 
       2.235876135455e-03       8.350324793914e+03 
       2.343100676636e-03       8.691128082719e+03 
       2.451890394377e-03       9.031910319678e+03 
       2.562107107073e-03       9.372080868806e+03 
       2.673624445823e-03       9.711111831018e+03 
       2.786327334635e-03       1.004853507883e+04 
       2.900111317649e-03       1.038393586376e+04 
       3.014881802039e-03       1.071695161129e+04 
       3.130553267074e-03       1.104726268195e+04 
       3.247048475047e-03       1.137459174934e+04 
       3.364297708069e-03       1.169869609951e+04 
       3.482238045923e-03       1.201936845534e+04 
       3.600812693636e-03       1.233642706493e+04 
       3.719970362791e-03       1.264972072847e+04 
       3.839664707406e-03       1.295911542714e+04 
       3.959853813072e-03       1.326450181145e+04 
       4.080499736700e-03       1.356578857568e+04 
       4.201568093487e-03       1.386289624859e+04 
       4.323027687306e-03       1.415576582022e+04 
       4.444850180647e-03       1.444434380978e+04 
       4.567009800288e-03       1.472859766452e+04 
       4.689483075068e-03       1.500849323007e+04 
       4.812248602367e-03       1.528401382510e+04 
       4.935286840186e-03       1.555515096977e+04 
       5.058579921982e-03       1.582189300425e+04 
       5.182111491712e-03       1.608424861351e+04 
       5.305866556801e-03       1.634221559855e+04 
       5.429831356981e-03       1.659581021519e+04 
       5.553993247203e-03       1.684504779379e+04 
       5.678340593006e-03       1.708994081027e+04 
       5.802862676925e-03       1.733051718781e+04 
       5.927549614681e-03       1.756680777608e+04 
       6.052392280055e-03       1.779885972317e+04 
       6.177382237450e-03       1.802663605520e+04 
       6.302511681309e-03       1.825018699760e+04 
       6.427773381594e-03       1.846957460529e+04 
       6.553160634691e-03       1.868480020910e+04 
       6.678667219122e-03       1.889578563660e+04 
       6.804287355565e-03       1.910281435495e+04 
       6.930015670697e-03       1.930580090482e+04 
       7.055847164479e-03       1.950479154840e+04 
       7.181777180500e-03       1.969981191559e+04 
       7.307801379070e-03       1.989089966970e+04 
       7.433915712780e-03       2.007811005968e+04 
       7.560116404275e-03       2.026146564096e+04 
       7.686399926014e-03       2.044101079193e+04 
       7.812762981824e-03       2.061678495573e+04 
       7.939202490069e-03       2.078882573803e+04 
       8.065715568266e-03       2.095716924103e+04 
       8.192299519032e-03       2.112186093556e+04 
       8.318951817208e-03       2.128293299671e+04 
       8.445670098061e-03       2.144042424824e+04 
       8.572452146473e-03       2.159437454411e+04 
       8.699295887004e-03       2.174482826100e+04 
       8.826199374762e-03       2.189181743922e+04 
       8.953160787016e-03       2.203538332474e+04 
       9.080178415458e-03       2.217555672098e+04 
       9.207250659091e-03       2.231240432153e+04 
       9.334376017655e-03       2.244592873714e+04 
       9.461553085571e-03       2.257618182136e+04 
       9.588780546346e-03       2.270319906640e+04 
       9.716057167395e-03       2.282701539969e+04 
       9.843381795261e-03       2.294766644482e+04 
       9.970753351188e-03       2.306520332220e+04 
       1.009817082702e-02       2.317963888679e+04 
       1.022563328138e-02       2.329102308219e+04 
       1.035313983621e-02       2.339938390203e+04 
       1.048068967341e-02       2.350474199153e+04 
       1.060828203188e-02       2.360717847905e+04 
       1.073591620467e-02       2.370670488143e+04 
       1.086359153639e-02       2.380331243133e+04 
       1.099130742072e-02       2.389709428155e+04 
       1.111906329821e-02       2.398807379799e+04 
       1.124685865418e-02       2.407622884801e+04 
       1.137469301670e-02       2.416165379680e+04 
       1.150256595483e-02       2.424437753938e+04 
       1.163047707693e-02       2.432439419290e+04 
       1.175842602905e-02       2.440177707839e+04 
       1.188641249350e-02       2.447651708880e+04 
       1.201443618746e-02       2.454867583045e+04 
       1.214249686173e-02       2.461826981460e+04 
       1.227059429957e-02       2.468532113166e+04 
       1.239872831558e-02       2.474990305699e+04 
       1.252689875467e-02       2.481199926276e+04 
       1.265510549116e-02       2.487164279973e+04 
       1.278334842789e-02       2.492888992993e+04 
       1.291162749538e-02       2.498374772109e+04 
       1.303994265110e-02       2.503627589568e+04 
       1.316829387881e-02       2.508646150734e+04 
       1.329668118784e-02       2.513434951508e+04 
       1.342510461258e-02       2.517997257955e+04 
       1.355356421189e-02       2.522337540292e+04 
       1.368206006859e-02       2.526454274643e+04 
       1.381059228906e-02       2.530354799345e+04 
       1.393916100277e-02       2.534038694370e+04 
       1.406776636193e-02       2.537508991583e+04 
       1.419640854111e-02       2.540769823836e+04 
       1.432508773700e-02       2.543822602901e+04 
       1.445380416806e-02       2.546671066190e+04 
       1.458255807434e-02       2.549318008703e+04 
       1.471134971720e-02       2.551762932944e+04 
       1.484017937920e-02       2.554011260649e+04 
       1.496904736387e-02       2.556065784486e+04 
       1.509795399561e-02       2.557927702371e+04 
       1.522689961960e-02       2.559600060742e+04 
       1.535588460168e-02       2.561085897067e+04 
       1.548490932832e-02       2.562387142799e+04 
       1.561397420656e-02       2.563504535854e+04 
       1.574307966400e-02       2.564444431093e+04 
       1.587222614882e-02       2.565205767850e+04 
       1.600141412980e-02       2.565791401870e+04 
       1.613064409636e-02       2.566204355081e+04 
       1.625991655862e-02       2.566448244241e+04 
       1.638923204749e-02       2.566523079196e+04 
       1.651859111480e-02       2.566432231810e+04 
       1.664799433338e-02       2.566180723862e+04 
       1.677744229721e-02       2.565764948431e+04 
       1.690693562161e-02       2.565194686478e+04 
       1.703647494338e-02       2.564461428832e+04 
       1.716606092099e-02       2.563576826650e+04 
       1.729569423481e-02       2.562540754288e+04 
       1.742537558732e-02       2.561352883453e+04 
       1.755510570338e-02       2.560019580422e+04 
       1.768488533045e-02       2.558539474154e+04 
       1.781471523888e-02       2.556916656086e+04 
       1.794459622222e-02       2.555153409661e+04 
       1.807452909752e-02       2.553247829339e+04 
       1.820451470563e-02       2.551206027487e+04 
       1.833455391158e-02       2.549032860143e+04 
       1.846464760492e-02       2.546724108193e+04 
       1.859479670009e-02       2.544283261571e+04 
       1.872500213684e-02       2.541718026703e+04 
       1.885526488061e-02       2.539020574314e+04 
       1.898558592297e-02       2.536199589992e+04 
       1.911596628205e-02       2.533257726112e+04 
       1.924640700304e-02       2.530190797988e+04 
       1.937690915863e-02       2.527008982626e+04 
       1.950747384953e-02       2.523708365253e+04 
       1.963810220498e-02       2.520294436810e+04 
       1.976879538328e-02       2.516765961111e+04 
       1.989955457238e-02       2.513126066595e+04 
       2.003038099040e-02       2.509375419581e+04 
       2.016127588626e-02       2.505521187359e+04 
       2.029224054028e-02       2.501559825532e+04 
       2.042327626483e-02       2.497490400806e+04 
       2.055438440499e-02       2.493322146772e+04 
       2.068556633919e-02       2.489053526029e+04 
       2.081682347996e-02       2.484688559914e+04 
       2.094815727463e-02       2.480221688562e+04 
       2.107956920606e-02       2.475664370489e+04 
       2.121106079346e-02       2.471012016721e+04 
       2.134263359312e-02       2.466268533911e+04 
       2.147428919931e-02       2.461434975414e+04 
       2.160602924503e-02       2.456512875196e+04 
       2.173785540298e-02       2.451506030856e+04 
       2.186976938640e-02       2.446412658129e+04 
       2.200177295002e-02       2.441230228905e+04 
       2.213386789099e-02       2.435977787834e+04 
       2.226605604995e-02       2.430643361018e+04 
       2.239833931192e-02       2.425223827400e+04 
       2.253071960749e-02       2.419733570271e+04 
       2.266319891380e-02       2.414168862226e+04 
       2.279577925570e-02       2.408527701101e+04 
       2.292846270690e-02       2.402814632347e+04 
       2.306125139117e-02       2.397033817867e+04 
       2.319414748354e-02       2.391175892177e+04 
       2.332715321158e-02       2.385259215142e+04 
       2.346027085672e-02       2.379275764249e+04 
       2.359350275556e-02       2.373225703814e+04 
       2.372685130130e-02       2.367112409712e+04 
       2.386031894513e-02       2.360936460524e+04 
       2.399390819777e-02       2.354701013167e+04 
       2.412762163093e-02       2.348413585285e+04 
       2.426146187892e-02       2.342063291072e+04 
       2.439543164029e-02       2.335656620893e+04 
       2.452953367946e-02       2.329193012185e+04 
       2.466377082853e-02       2.322679462316e+04 
       2.479814598899e-02       2.316113857572e+04 
       2.493266213362e-02       2.309500233365e+04 
       2.506732230841e-02       2.302836244607e+04 
       2.520212963448e-02       2.296121348967e+04 
       2.533708731018e-02       2.289362146592e+04 
       2.547219861317e-02       2.282552947370e+04 
       2.560746690259e-02       2.275701669068e+04 
       2.574289562134e-02       2.268812703189e+04 
       2.587848829840e-02       2.261877982102e+04 
       2.601424855124e-02       2.254905730861e+04 
       2.615018008833e-02       2.247886045276e+04 
       2.628628671169e-02       2.240834163882e+04 
       2.642257231958e-02       2.233747320816e+04 
       2.655904090928e-02       2.226621704736e+04 
       2.669569657994e-02       2.219457893060e+04 
       2.683254353554e-02       2.212270391908e+04 
       2.696958608796e-02       2.205040781695e+04 
       2.710682866019e-02       2.197785026701e+04 
       2.724427578962e-02       2.190497208994e+04 
       2.738193213142e-02       2.183179535626e+04 
       2.751980246214e-02       2.175835389017e+04 
       2.765789168337e-02       2.168459837442e+04 
