# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.842241094988e-10       9.202821271795e-15       5.597322143490e-13       5.557144452709e-15       8.499520604076e-09       4.559219249937e-10      -2.223935803910e-12 
    3       2.421643931621e-10       1.307168776710e-14       4.627878439838e-13       5.966139432352e-15       5.216576119309e-09       3.249671961404e-10      -1.874099389028e-12 
    4       2.229918765491e-10       1.374849798199e-14       4.070320122667e-13       5.524782949593e-15       3.628608337681e-09       2.471334489121e-10      -1.420689072981e-12 
    5       2.120138433070e-10       1.172476697588e-14       3.510770421152e-13       4.605337280424e-15       2.709879885190e-09       1.958133668019e-10      -9.881726188245e-13 
    6       2.046584222569e-10       8.508903999381e-15       2.924152719617e-13       3.545375625589e-15       2.117484739333e-09       1.596798925259e-10      -6.176232752317e-13 
    7       1.997482833201e-10       5.473807902777e-15       2.362459852206e-13       2.572890901429e-15       1.708642019616e-09       1.331002557979e-10      -3.258508423667e-13 
    8       1.964764377572e-10       3.330169876208e-15       1.864338951230e-13       1.802606132000e-15       1.412096116280e-09       1.128464034588e-10      -1.157475422026e-13 
    9       1.943791731069e-10       2.150315207235e-15       1.455524499866e-13       1.264440978911e-15       1.188676265355e-09       9.694959682927e-11       1.874832499568e-14 
   10       1.931153653380e-10       1.654031278210e-15       1.149170885768e-13       9.377362323642e-16       1.015455329958e-09       8.424339151027e-11       8.958483438627e-14 
   11       1.924579086721e-10       1.504416746392e-15       9.460702758725e-14       7.791219912235e-16       8.548280562305e-10       7.429764949701e-11       1.115333976675e-13 
   12       1.922904612920e-10       1.475866726264e-15       8.342873066049e-14       7.410311532670e-16       7.468245663213e-10       6.577422595904e-11       1.012343275957e-13 
   13       1.924324835566e-10       1.480465155333e-15       7.940253744986e-14       7.824767830554e-16       6.581735105230e-10       5.873020807850e-11       7.278099964404e-14 
   14       1.927820174605e-10       1.515488157168e-15       8.030591425655e-14       8.720723999527e-16       5.844170741896e-10       5.261956488473e-11       3.760266477779e-14 
   15       1.933391734755e-10       1.598756422194e-15       8.393807889586e-14       9.888457747837e-16       5.223405488886e-10       4.749918587688e-11       4.576875913068e-15 
   16       1.940929042712e-10       1.733448936995e-15       8.841082756848e-14       1.120511898538e-15       4.695665775807e-10       4.317666782494e-11      -2.115361264830e-14 
