# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854592647348e-10       7.806869034728e-15       5.603664762194e-13       4.801760592016e-15       8.285429911308e-09       4.688417082294e-10      -2.069962529017e-12 
    3       2.442172604289e-10       1.011716553174e-14       4.540116058639e-13       4.836857161124e-15       5.156810001759e-09       3.330428694419e-10      -1.657326259519e-12 
    4       2.251815950345e-10       9.681924981446e-15       3.881843739523e-13       4.207346803031e-15       3.590992009514e-09       2.522301127699e-10      -1.177728846041e-12 
    5       2.145315530650e-10       7.469360176938e-15       3.248958604141e-13       3.296571646392e-15       2.680223939611e-09       1.992803106231e-10      -7.494938572608e-13 
    6       2.075561157096e-10       4.912965897633e-15       2.623278557350e-13       2.392894101243e-15       2.091955139593e-09       1.621949178334e-10      -4.080022784861e-13 
    7       2.030037841476e-10       2.947638529908e-15       2.058527035111e-13       1.655225747204e-15       1.685925002997e-09       1.349390426582e-10      -1.621191115749e-13 
    8       2.000257327844e-10       1.817466828873e-15       1.590657230108e-13       1.136716168429e-15       1.392545901292e-09       1.142263331796e-10      -5.635463036972e-15 
    9       1.981876415086e-10       1.330600392984e-15       1.236112332421e-13       8.255191665695e-16       1.172710836425e-09       9.812614807135e-11       7.615790210673e-14 
   10       1.971660405277e-10       1.185738827367e-15       9.941696869215e-14       6.797212416155e-16       1.002790558486e-09       8.534328263094e-11       1.021550695714e-13 
   11       1.966545489635e-10       1.168956276360e-15       8.518076997943e-14       6.511566586454e-16       8.445739881130e-10       7.522820515020e-11       9.187002480642e-14 
   12       1.965781481269e-10       1.193337707987e-15       7.873829017788e-14       6.978284514387e-16       7.378362747507e-10       6.660556830708e-11       6.312258861899e-14 
   13       1.967969945683e-10       1.249258038862e-15       7.762188286541e-14       7.890049679118e-16       6.502284536942e-10       5.935123846234e-11       2.907259553800e-14 
   14       1.972352997398e-10       1.346042903816e-15       7.954246802214e-14       9.044950524221e-16       5.773396616593e-10       5.326343247102e-11      -9.922675015843e-16 
