# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434905425383e-10       5.120180843674e-15       3.941692040586e-13       0.000000000000e+00       8.285429911308e-09       4.688417082294e-10      -2.069962529017e-12 
    3       1.352915059141e-10       7.272964319375e-15       4.620908857006e-13       0.000000000000e+00       5.156810001759e-09       3.330428694419e-10      -1.657326259519e-12 
    4       1.274940478242e-10       7.071366195023e-15       4.487728369617e-13       0.000000000000e+00       3.590992009514e-09       2.522301127699e-10      -1.177728846041e-12 
    5       1.215524913694e-10       5.382206490859e-15       3.963852114414e-13       0.000000000000e+00       2.680223939611e-09       1.992803106231e-10      -7.494938572608e-13 
    6       1.173572197230e-10       3.407930876214e-15       3.302956831146e-13       0.000000000000e+00       2.091955139593e-09       1.621949178334e-10      -4.080022784861e-13 
    7       1.145635189248e-10       1.921982229956e-15       2.661607134910e-13       0.000000000000e+00       1.685925002997e-09       1.349390426582e-10      -1.621191115749e-13 
    8       1.127739555792e-10       1.102601505527e-15       2.121122601811e-13       0.000000000000e+00       1.392545901292e-09       1.142263331796e-10      -5.635463036972e-15 
    9       1.117995016916e-10       7.630799223872e-16       1.714804253757e-13       0.000000000000e+00       1.172710836425e-09       9.812614807135e-11       7.615790210673e-14 
   10       1.114582738322e-10       6.416532514724e-16       1.445241777370e-13       0.000000000000e+00       1.002790558486e-09       8.534328263094e-11       1.021550695714e-13 
   11       1.115267755951e-10       5.698408631408e-16       1.297167599738e-13       0.000000000000e+00       8.445739881130e-10       7.522820515020e-11       9.187002480642e-14 
   12       1.119780916073e-10       4.964839157238e-16       1.245048884798e-13       0.000000000000e+00       7.378362747507e-10       6.660556830708e-11       6.312258861899e-14 
   13       1.127009532764e-10       4.343094552176e-16       1.260332397058e-13       0.000000000000e+00       6.502284536942e-10       5.935123846234e-11       2.907259553800e-14 
   14       1.136373402517e-10       4.032467643794e-16       1.317056886398e-13       0.000000000000e+00       5.773396616593e-10       5.326343247102e-11      -9.922675015843e-16 
   15       1.147691205947e-10       4.062504038874e-16       1.394296196852e-13       0.000000000000e+00       5.159975040413e-10       4.811914524594e-11      -2.218675025965e-14 
   16       1.160211527920e-10       4.335123243278e-16       1.478727118365e-13       0.000000000000e+00       4.638497020246e-10       4.368969256946e-11      -3.331256723979e-14 
   17       1.174495783974e-10       4.753713850965e-16       1.562771217552e-13       0.000000000000e+00       4.191191444949e-10       3.974303981503e-11      -3.583109644569e-14 
   18       1.189649189789e-10       5.296703087805e-16       1.643013448049e-13       0.000000000000e+00       3.802975639568e-10       3.631082860490e-11      -3.220153013855e-14 
   19       1.205670274631e-10       6.004567821900e-16       1.720614746330e-13       0.000000000000e+00       3.467698517652e-10       3.334735866229e-11      -2.498892795577e-14 
   20       1.222465525543e-10       6.929558349379e-16       1.798218171936e-13       0.000000000000e+00       3.172433040614e-10       3.068279006002e-11      -1.731250737133e-14 
   21       1.240038339497e-10       8.091148809685e-16       1.877954096663e-13       0.000000000000e+00       2.912536418914e-10       2.830792920550e-11      -1.085491063377e-14 
   22       1.258128713442e-10       9.490658591808e-16       1.961463049582e-13       0.000000000000e+00       2.681784846970e-10       2.622497083917e-11      -6.761913007836e-15 
   23       1.276849468258e-10       1.111743773279e-15       2.048277256916e-13       0.000000000000e+00       2.476999286502e-10       2.439583818919e-11      -5.094544978014e-15 
   24       1.296195490405e-10       1.295420400024e-15       2.136695035730e-13       0.000000000000e+00       2.293439060008e-10       2.274371275675e-11      -5.392613249452e-15 
   25       1.316073397686e-10       1.500192486735e-15       2.224361997709e-13       0.000000000000e+00       2.128943282395e-10       2.122972253794e-11      -7.062503007032e-15 
   26       1.336234688795e-10       1.726547271417e-15       2.308295011343e-13       0.000000000000e+00       1.980535002516e-10       1.981914769637e-11      -9.331893853871e-15 
   27       1.356760776810e-10       1.974756616074e-15       2.385772069784e-13       0.000000000000e+00       1.846435909717e-10       1.852947906315e-11      -1.148211792914e-14 
