# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 106.946 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052807963578e-05       4.927701342191e+01 
       2.352713877128e-05       1.067958505592e+02 
       3.657270395910e-05       1.632429736902e+02 
       4.970052343139e-05       2.192558757864e+02 
       6.294694706346e-05       2.751943292338e+02 
       7.634925644306e-05       3.313262392316e+02 
       8.994600567360e-05       3.878796844848e+02 
       1.037773775211e-04       4.450641528150e+02 
       1.178855595494e-04       5.030814192376e+02 
       1.323151449221e-04       5.621321013518e+02 
       1.471135625522e-04       6.224202069493e+02 
       1.623315412098e-04       6.841566539765e+02 
       1.780236119899e-04       7.475622685720e+02 
       1.942486531248e-04       8.128705129868e+02 
       2.110704803784e-04       8.803301117685e+02 
       2.285584850483e-04       9.502076055440e+02 
       2.467883197222e-04       1.022789955984e+03 
       2.658426291575e-04       1.098387123674e+03 
       2.858118196580e-04       1.177334654699e+03 
       3.067948547504e-04       1.259996225387e+03 
       3.289000573938e-04       1.346766022670e+03 
       3.522458889436e-04       1.438070879867e+03 
       3.769616622471e-04       1.534371934902e+03 
       4.031881303182e-04       1.636165631406e+03 
       4.310778731430e-04       1.743983705915e+03 
       4.607953840079e-04       1.858391782432e+03 
       4.925167350372e-04       1.979986156952e+03 
       5.264286824636e-04       2.109388257199e+03 
       5.627270604340e-04       2.247236203647e+03 
       6.016143146715e-04       2.394173131221e+03 
       6.432960524117e-04       2.550831791456e+03 
       6.879765412181e-04       2.717815517080e+03 
       7.358531826733e-04       2.895675764108e+03 
       7.871101174963e-04       3.084887124677e+03 
       8.419112759710e-04       3.285821289783e+03 
       9.003933482234e-04       3.498721805081e+03 
       9.626592773655e-04       3.723682216440e+03 
       1.028772934362e-03       3.960629995042e+03 
       1.098755583872e-03       4.209318357271e+03 
       1.172584584722e-03       4.469327625258e+03 
       1.250194508415e-03       4.740076205388e+03 
       1.331480555359e-03       5.020840590233e+03 
       1.416303868000e-03       5.310819123804e+03 
       1.504498142286e-03       5.609084771581e+03 
       1.595876857627e-03       5.914643015203e+03 
       1.690240480427e-03       6.226495696173e+03 
       1.787383118814e-03       6.543648290064e+03 
       1.887098274083e-03       6.865131753013e+03 
       1.989183506405e-03       7.190019845414e+03 
       2.093443979114e-03       7.517441038299e+03 
       2.199694952594e-03       7.846586689000e+03 
       2.307763363477e-03       8.176715159718e+03 
       2.417488653685e-03       8.507152542817e+03 
       2.528723016384e-03       8.837291773311e+03 
       2.641331212050e-03       9.166589871357e+03 
       2.755190085468e-03       9.494563835030e+03 
       2.870187889577e-03       9.820786514165e+03 
       2.986223498027e-03       1.014488276603e+04 
       3.103205567240e-03       1.046652197991e+04 
       3.221051691227e-03       1.078541806155e+04 
       3.339687578590e-03       1.110132152099e+04 
       3.459046270523e-03       1.141401601061e+04 
       3.579067410833e-03       1.172331549478e+04 
       3.699696573416e-03       1.202905937898e+04 
       3.820884648717e-03       1.233111209566e+04 
       3.942587288154e-03       1.262935682222e+04 
       4.064764403838e-03       1.292369815064e+04 
       4.187379719976e-03       1.321405346194e+04 
       4.310400371864e-03       1.350035725402e+04 
       4.433796548217e-03       1.378255533072e+04 
       4.557541172652e-03       1.406060549196e+04 
       4.681609620309e-03       1.433447667068e+04 
       4.805979465866e-03       1.460411937468e+04 
       4.930630259525e-03       1.486956242596e+04 
       5.055543327810e-03       1.513077021306e+04 
       5.180701596388e-03       1.538773289098e+04 
       5.306089432377e-03       1.564052594722e+04 
       5.431692503891e-03       1.588910894155e+04 
       5.557497654851e-03       1.613348191595e+04 
       5.683492793264e-03       1.637366446770e+04 
       5.809666791453e-03       1.660966665995e+04 
       5.936009396828e-03       1.684151574828e+04 
       6.062511152017e-03       1.706923411592e+04 
       6.189163323278e-03       1.729285202122e+04 
       6.315957836252e-03       1.751239826123e+04 
       6.442887218245e-03       1.772790244144e+04 
