# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730794104e+01      -5.522795881311e-09      -3.108391580541e-07      -3.187390913397e+00      -2.586077690133e+00      -6.869728385962e+00       4.389683700016e+00      -8.619368544565e-07 
       2.321812845909e-05       1.108985073134e+02      -5.978333307741e-08      -6.986407350841e+00      -3.190774218002e+00      -2.588792008128e+00      -6.876262306702e+00       4.394284534555e+00      -8.783105330518e-06 
       3.609173376214e-05       1.695112948305e+02      -2.208076650195e-07      -1.082183452837e+01      -3.192609888184e+00      -2.590263824886e+00      -6.879033717263e+00       4.396815078235e+00      -3.218507935758e-05 
       4.904439972694e-05       2.276638063290e+02      -5.476118776012e-07      -1.348926693448e+01      -3.193939876037e+00      -2.591297585610e+00      -6.880074282594e+00       4.398582768811e+00      -7.966678129993e-05 
       6.211104704304e-05       2.857256624648e+02      -1.102267452516e-06      -1.554435644063e+01      -3.195014165155e+00      -2.592101933391e+00      -6.879936742584e+00       4.399952870273e+00      -1.602829373943e-04 
       7.532746857735e-05       3.439709072885e+02      -1.951769412892e-06      -1.722321048609e+01      -3.195925313658e+00      -2.592759868601e+00      -6.878839647635e+00       4.401080712451e+00      -2.838138899522e-04 
       8.873064804492e-05       4.026319935828e+02      -3.169973655622e-06      -1.864846036972e+01      -3.196738206537e+00      -2.593321035296e+00      -6.876878638349e+00       4.402047111757e+00      -4.610470947384e-04 
       1.023590926816e-04       4.619217552881e+02      -4.839732492385e-06      -1.989206938985e+01      -3.197491161097e+00      -2.593814407291e+00      -6.874090342810e+00       4.402899637339e+00      -7.040884006426e-04 
       1.162531841578e-04       5.220446161953e+02      -7.055331845587e-06      -2.099992241323e+01      -3.198206954320e+00      -2.594257523737e+00      -6.870476884487e+00       4.403668777115e+00      -1.026717922207e-03 
       1.304555520066e-04       5.832033166763e+02      -9.925336978392e-06      -2.200310969866e+01      -3.198903515578e+00      -2.594662970861e+00      -6.866016552557e+00       4.404375356843e+00      -1.444805984777e-03 
