# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854587862893e-10       7.806640912063e-15       5.603664802542e-13       4.801532469386e-15       8.296313421630e-09       4.689238212112e-10      -2.070111770204e-12 
    3       2.442163070480e-10       1.011670915257e-14       4.540116238266e-13       4.836400782299e-15       5.172009821449e-09       3.332104239525e-10      -1.657453276004e-12 
    4       2.251800137585e-10       9.681164058251e-15       3.881844254945e-13       4.206585881554e-15       3.607754180397e-09       2.524461328699e-10      -1.177797848357e-12 
    5       2.145291953161e-10       7.468218260788e-15       3.248959776293e-13       3.295429736118e-15       2.696985323739e-09       1.995224603424e-10      -7.495126259033e-13 
    6       2.075528381409e-10       4.911366351964e-15       2.623280857400e-13       2.391294571565e-15       2.107601987465e-09       1.624481475032e-10      -4.079895440972e-13 
    7       2.029994493392e-10       2.945504513010e-15       2.058531107065e-13       1.653091767417e-15       1.700170879512e-09       1.351963598663e-10      -1.620903911188e-13 
    8       2.000202097715e-10       1.814721286081e-15       1.590663909784e-13       1.133970702114e-15       1.405765961440e-09       1.144867134248e-10      -5.600742490197e-15 
    9       1.981808061282e-10       1.327166059244e-15       1.236122662521e-13       8.220849764821e-16       1.185295346853e-09       9.838951407091e-11       7.619306939520e-14 
   10       1.971577755808e-10       1.181538240499e-15       9.941849280305e-14       6.755209050740e-16       1.014796082158e-09       8.560800252316e-11       1.021880752975e-13 
   11       1.966447441924e-10       1.163911800929e-15       8.518293372930e-14       6.461125929804e-16       8.521508577631e-10       7.545262053341e-11       9.190301253387e-14 
   12       1.965667000178e-10       1.187371569366e-15       7.874126487509e-14       6.918629486124e-16       7.449686496315e-10       6.681893292542e-11       6.315227610283e-14 
   13       1.967838059918e-10       1.242292366669e-15       7.762586249956e-14       7.820402370177e-16       6.569668854135e-10       5.956553153168e-11       2.908530043848e-14 
