# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854592977864e-10       7.806906917816e-15       5.603664760403e-13       4.801798475108e-15       8.296313080254e-09       4.689238158750e-10      -2.070111770477e-12 
    3       2.442173264806e-10       1.011724130365e-14       4.540116050678e-13       4.836932933067e-15       5.172009444159e-09       3.332104179035e-10      -1.657453276847e-12 
    4       2.251817050069e-10       9.682051280306e-15       3.881843716731e-13       4.207473102085e-15       3.607753788393e-09       2.524461264373e-10      -1.177797849275e-12 
    5       2.145317178105e-10       7.469549647498e-15       3.248958552458e-13       3.296761117628e-15       2.696984935156e-09       1.995224537570e-10      -7.495126266124e-13 
    6       2.075563459969e-10       4.913231192034e-15       2.623278456286e-13       2.393159397531e-15       2.107601622103e-09       1.624481409664e-10      -4.079895445481e-13 
    7       2.030040906453e-10       2.947992307967e-15       2.058526856913e-13       1.655579529772e-15       1.700170543350e-09       1.351963534680e-10      -1.620903913578e-13 
    8       2.000261260461e-10       1.817921757782e-15       1.590656939148e-13       1.137171106952e-15       1.405765646871e-09       1.144867071493e-10      -5.600742578377e-15 
    9       1.981881319580e-10       1.331169146406e-15       1.236111884821e-13       8.260879387713e-16       1.185295045788e-09       9.838950789409e-11       7.619306940702e-14 
   10       1.971666384451e-10       1.186434083915e-15       9.941690304136e-14       6.804165323862e-16       1.014795793623e-09       8.560799646151e-11       1.021880753720e-13 
   11       1.966552644728e-10       1.169790717478e-15       8.518067738382e-14       6.519911586940e-16       8.521506872072e-10       7.545261568343e-11       9.190301243309e-14 
   12       1.965789911839e-10       1.194324015266e-15       7.873816379070e-14       6.988148555350e-16       7.449684910921e-10       6.681892844227e-11       6.315227634370e-14 
   13       1.967979749500e-10       1.250408890863e-15       7.762171510425e-14       7.901559727794e-16       6.569667374884e-10       5.956552682345e-11       2.908530103555e-14 
   14       1.972364270351e-10       1.347370972463e-15       7.954225064611e-14       9.058233543666e-16       5.837258698940e-10       5.348555386092e-11      -9.850421774963e-16 
   15       1.978650975748e-10       1.484149586304e-15       8.262589592474e-14       1.034619025668e-15       5.220691354523e-10       4.833913480468e-11      -2.216859807175e-14 
   16       1.986022288191e-10       1.650181438973e-15       8.569774835850e-14       1.171040377612e-15       4.696351151159e-10       4.389743055625e-11      -3.328889963883e-14 
   17       1.995003551170e-10       1.836552341340e-15       8.811309432381e-14       1.312314267937e-15       4.246407134901e-10       3.993961383689e-11      -3.581747118487e-14 
   18       2.004622817921e-10       2.040948763568e-15       8.960619345953e-14       1.458101634107e-15       3.855752314553e-10       3.650602605470e-11      -3.219690048964e-14 
   19       2.015051524023e-10       2.267292225172e-15       9.034044033726e-14       1.608186274771e-15       3.518267538867e-10       3.354460391011e-11      -2.498571103066e-14 
   20       2.026003460318e-10       2.520863217904e-15       9.064270972155e-14       1.762329477665e-15       3.220933331741e-10       3.087470838395e-11      -1.730361567149e-14 
   21       2.037587501109e-10       2.803405889358e-15       9.075921828768e-14       1.920430706908e-15       2.959102110697e-10       2.849077974528e-11      -1.084276608929e-14 
   22       2.049489215037e-10       3.114798901098e-15       9.088783572059e-14       2.082505023137e-15       2.726542499415e-10       2.640309112035e-11      -6.759167146437e-15 
   23       2.061895893029e-10       3.453834222862e-15       9.101540741910e-14       2.248454168748e-15       2.520070652258e-10       2.457282361058e-11      -5.102638733508e-15 
   24       2.074741699657e-10       3.818710907695e-15       9.101087474018e-14       2.418171072724e-15       2.334921727276e-10       2.291929321075e-11      -5.397118168128e-15 
   25       2.087992456713e-10       4.209466927851e-15       9.066898561258e-14       2.591463352771e-15       2.168930455342e-10       2.140182668026e-11      -7.057870373825e-15 
   26       2.101366723644e-10       4.626585729081e-15       8.972161693909e-14       2.768118402294e-15       2.019107691915e-10       1.998500185953e-11      -9.327667870564e-15 
   27       2.114970389920e-10       5.070440779292e-15       8.792232224437e-14       2.947880274300e-15       1.883670483773e-10       1.868860641238e-11      -1.148337377502e-14 
   28       2.128839633992e-10       5.541387435547e-15       8.502776435561e-14       3.130491228943e-15       1.760297923827e-10       1.753695692489e-11      -1.283998096439e-14 
   29       2.143108206370e-10       6.040265878012e-15       8.091777572396e-14       3.315731577747e-15       1.648365298281e-10       1.651747950658e-11      -1.332043825306e-14 
