# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434905425383e-10       5.120180843674e-15       3.941692040586e-13       0.000000000000e+00       8.296313080254e-09       4.689238158750e-10      -2.070111770477e-12 
    3       1.352915059141e-10       7.272964319375e-15       4.620908857006e-13       0.000000000000e+00       5.172009444159e-09       3.332104179035e-10      -1.657453276847e-12 
    4       1.274940478242e-10       7.071366195023e-15       4.487728369617e-13       0.000000000000e+00       3.607753788393e-09       2.524461264373e-10      -1.177797849275e-12 
    5       1.215524913694e-10       5.382206490859e-15       3.963852114414e-13       0.000000000000e+00       2.696984935156e-09       1.995224537570e-10      -7.495126266124e-13 
    6       1.173572197230e-10       3.407930876214e-15       3.302956831146e-13       0.000000000000e+00       2.107601622103e-09       1.624481409664e-10      -4.079895445481e-13 
    7       1.145635189248e-10       1.921982229956e-15       2.661607134910e-13       0.000000000000e+00       1.700170543350e-09       1.351963534680e-10      -1.620903913578e-13 
    8       1.127739555792e-10       1.102601505527e-15       2.121122601811e-13       0.000000000000e+00       1.405765646871e-09       1.144867071493e-10      -5.600742578377e-15 
    9       1.117995016916e-10       7.630799223872e-16       1.714804253757e-13       0.000000000000e+00       1.185295045788e-09       9.838950789409e-11       7.619306940702e-14 
   10       1.114582738322e-10       6.416532514724e-16       1.445241777370e-13       0.000000000000e+00       1.014795793623e-09       8.560799646151e-11       1.021880753720e-13 
   11       1.115267755951e-10       5.698408631408e-16       1.297167599738e-13       0.000000000000e+00       8.521506872072e-10       7.545261568343e-11       9.190301243309e-14 
