# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434905425383e-10       5.120180843674e-15       3.941692040586e-13       0.000000000000e+00       8.291899420920e-09       4.689294453502e-10      -2.069961174048e-12 
    3       1.352915059141e-10       7.272964319375e-15       4.620908857006e-13       0.000000000000e+00       5.161903869206e-09       3.331254277374e-10      -1.657325343754e-12 
    4       1.274940478242e-10       7.071366195023e-15       4.487728369617e-13       0.000000000000e+00       3.594829935145e-09       2.523050516618e-10      -1.177728045998e-12 
    5       1.215524913694e-10       5.382206490859e-15       3.963852114414e-13       0.000000000000e+00       2.682936387089e-09       1.993468110060e-10      -7.494930441677e-13 
    6       1.173572197230e-10       3.407930876214e-15       3.302956831146e-13       0.000000000000e+00       2.093534886549e-09       1.622520813842e-10      -4.080014150463e-13 
    7       1.145635189248e-10       1.921982229956e-15       2.661607134910e-13       0.000000000000e+00       1.686539113961e-09       1.349877119051e-10      -1.621182060489e-13 
    8       1.127739555792e-10       1.102601505527e-15       2.121122601811e-13       0.000000000000e+00       1.392544563110e-09       1.142687082351e-10      -5.634552443427e-15 
    9       1.117995016916e-10       7.630799223872e-16       1.714804253757e-13       0.000000000000e+00       1.172379946474e-09       9.816432140319e-11       7.615876920603e-14 
   10       1.114582738322e-10       6.416532514724e-16       1.445241777370e-13       0.000000000000e+00       1.002214725604e-09       8.537790494002e-11       1.021558484283e-13 
   11       1.115267755951e-10       5.698408631408e-16       1.297167599738e-13       0.000000000000e+00       8.451521442913e-10       7.526860012756e-11       9.187065052097e-14 
   12       1.119780916073e-10       4.964839157238e-16       1.245048884798e-13       0.000000000000e+00       7.383382803162e-10       6.664296583660e-11       6.312310154205e-14 
   13       1.127009532764e-10       4.343094552176e-16       1.260332397058e-13       0.000000000000e+00       6.506662281724e-10       5.938568126393e-11       2.907299795603e-14 
   14       1.136373402517e-10       4.032467643794e-16       1.317056886398e-13       0.000000000000e+00       5.777228007380e-10       5.329515558608e-11      -9.919734129337e-16 
   15       1.147691205947e-10       4.062504038874e-16       1.394296196852e-13       0.000000000000e+00       5.163337775895e-10       4.814851480408e-11      -2.218652823763e-14 
   16       1.160211527920e-10       4.335123243278e-16       1.478727118365e-13       0.000000000000e+00       4.641454773774e-10       4.371720726445e-11      -3.331236348315e-14 
   17       1.174495783974e-10       4.753713850965e-16       1.562771217552e-13       0.000000000000e+00       4.193794443085e-10       3.976910871397e-11      -3.583091338759e-14 
   18       1.189649189789e-10       5.296703087805e-16       1.643013448049e-13       0.000000000000e+00       3.805270326250e-10       3.633565446284e-11      -3.220134372506e-14 
   19       1.205670274631e-10       6.004567821900e-16       1.720614746330e-13       0.000000000000e+00       3.469716631861e-10       3.337102776106e-11      -2.498871638993e-14 
   20       1.222465525543e-10       6.929558349379e-16       1.798218171936e-13       0.000000000000e+00       3.174207277389e-10       3.070529336771e-11      -1.731227343233e-14 
   21       1.240038339497e-10       8.091148809685e-16       1.877954096663e-13       0.000000000000e+00       2.914096170647e-10       2.832927698679e-11      -1.085466813175e-14 
   22       1.258128713442e-10       9.490658591808e-16       1.961463049582e-13       0.000000000000e+00       2.683151749220e-10       2.624521119604e-11      -6.761681087996e-15 
   23       1.276849468258e-10       1.111743773279e-15       2.048277256916e-13       0.000000000000e+00       2.478192933066e-10       2.441499316079e-11      -5.094337950433e-15 
   24       1.296195490405e-10       1.295420400024e-15       2.136695035730e-13       0.000000000000e+00       2.294476911168e-10       2.276174790776e-11      -5.392436027560e-15 
   25       1.316073397686e-10       1.500192486735e-15       2.224361997709e-13       0.000000000000e+00       2.129841149731e-10       2.124658771732e-11      -7.062353315701e-15 
   26       1.336234688795e-10       1.726547271417e-15       2.308295011343e-13       0.000000000000e+00       1.981306033051e-10       1.983480207517e-11      -9.331763556346e-15 
   27       1.356760776810e-10       1.974756616074e-15       2.385772069784e-13       0.000000000000e+00       1.847091957097e-10       1.854397825167e-11      -1.148200028977e-14 
   28       1.377727923498e-10       2.245064233559e-15       2.454102556011e-13       0.000000000000e+00       1.724887221419e-10       1.739559687380e-11      -1.283785653017e-14 
   29       1.399191382552e-10       2.538489434962e-15       2.511854249366e-13       0.000000000000e+00       1.614064314283e-10       1.637743655908e-11      -1.332177405399e-14 
   30       1.421063451853e-10       2.856345618526e-15       2.557953856622e-13       0.000000000000e+00       1.513427096370e-10       1.545188339414e-11      -1.308472293936e-14 
   31       1.443154879528e-10       3.200026153923e-15       2.591549053097e-13       0.000000000000e+00       1.420916664804e-10       1.457405043946e-11      -1.233412465910e-14 
   32       1.465526050000e-10       3.570946603699e-15       2.612836698172e-13       0.000000000000e+00       1.336055481268e-10       1.374585605192e-11      -1.126000552716e-14 
   33       1.488241833713e-10       3.970590547946e-15       2.622582394862e-13       0.000000000000e+00       1.258246143641e-10       1.298086228763e-11      -1.008975039985e-14 
   34       1.511289169490e-10       4.400388739662e-15       2.621602369617e-13       0.000000000000e+00       1.186402416832e-10       1.228724385933e-11      -9.065064201239e-15 
   35       1.534649844195e-10       4.861229374439e-15       2.609610554567e-13       0.000000000000e+00       1.120155794570e-10       1.165861016810e-11      -8.279973930464e-15 
   36       1.558234721090e-10       5.353767688647e-15       2.585973137826e-13       0.000000000000e+00       1.058972755863e-10       1.107894659791e-11      -7.787894337680e-15 
   37       1.581921984862e-10       5.878597198713e-15       2.550028969212e-13       0.000000000000e+00       1.002054899766e-10       1.053012544642e-11      -7.620429441701e-15 
   38       1.605789456814e-10       6.436424447103e-15       2.501165425783e-13       0.000000000000e+00       9.492545332712e-11       1.001167402870e-11      -7.705944214341e-15 
   39       1.629948011068e-10       7.027942159375e-15       2.438760710462e-13       0.000000000000e+00       9.004039605562e-11       9.526952560383e-12      -7.921640431568e-15 
   40       1.654473633477e-10       7.653776980378e-15       2.362159180074e-13       0.000000000000e+00       8.550370439180e-11       9.077638479409e-12      -8.112618625227e-15 
   41       1.679399848999e-10       8.314531321995e-15       2.270718716719e-13       0.000000000000e+00       8.125514812688e-11       8.663528356338e-12      -8.132897775256e-15 
   42       1.704702871543e-10       9.010935563227e-15       2.163979547778e-13       0.000000000000e+00       7.728217447953e-11       8.282286586429e-12      -7.989648031990e-15 
   43       1.730304035310e-10       9.743738203697e-15       2.041544669680e-13       0.000000000000e+00       7.357418635915e-11       7.929320455698e-12      -7.742330106089e-15 
   44       1.756067812938e-10       1.051366293635e-14       1.903033919820e-13       0.000000000000e+00       7.010414935266e-11       7.597622934677e-12      -7.464424484282e-15 
   45       1.781856187907e-10       1.132135281083e-14       1.748126866572e-13       0.000000000000e+00       6.683823621600e-11       7.279840466611e-12      -7.228301839666e-15 
   46       1.807722269767e-10       1.216718546835e-14       1.576706488805e-13       0.000000000000e+00       6.377128131103e-11       6.975629365689e-12      -7.052457678893e-15 
   47       1.833766539665e-10       1.305140075585e-14       1.388758653752e-13       0.000000000000e+00       6.089970044521e-11       6.686198507546e-12      -6.939934213576e-15 
   48       1.860081507640e-10       1.397414647753e-14       1.184335590834e-13       0.000000000000e+00       5.821079865039e-11       6.412210005140e-12      -6.892845528959e-15 
   49       1.886750399326e-10       1.493547411903e-14       9.635584741366e-14       0.000000000000e+00       5.568209281331e-11       6.153731986789e-12      -6.912299212015e-15 
   50       1.913833501079e-10       1.593540049193e-14       7.265305295495e-14       0.000000000000e+00       5.328807760697e-11       5.910370458789e-12      -6.996491602623e-15 
   51       1.941325872660e-10       1.697412231321e-14       4.730425591301e-14       0.000000000000e+00       5.102425987993e-11       5.681816644251e-12      -7.134565850271e-15 
   52       1.969185886024e-10       1.805185248002e-14       2.027919486219e-14       0.000000000000e+00       4.888847725558e-11       5.467366587146e-12      -7.310951225641e-15 
   53       1.997344714535e-10       1.916875809430e-14      -8.453643283846e-15       0.000000000000e+00       4.687370568530e-11       5.265717178674e-12      -7.506883365700e-15 
