# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730804492e+01 
       2.321812845909e-05       1.108985084195e+02 
       3.609173376214e-05       1.695112981813e+02 
       4.904439972694e-05       2.276638165639e+02 
       6.211104704304e-05       2.857256818074e+02 
       7.532746857735e-05       3.439709421843e+02 
       8.873064804492e-05       4.026320527389e+02 
       1.023590926816e-04       4.619218462471e+02 
       1.162531841578e-04       5.220447482678e+02 
       1.304555520066e-04       5.832034997809e+02 
       1.450114738458e-04       6.456037733382e+02 
       1.599693066204e-04       7.094577387459e+02 
       1.753809529236e-04       7.749870530313e+02 
       1.913023661048e-04       8.424255818021e+02 
       2.077940972509e-04       9.120219826920e+02 
       2.249218861034e-04       9.840422348972e+02 
       2.427572963948e-04       1.058772183972e+03 
       2.613783937365e-04       1.136520077543e+03 
       2.808704608154e-04       1.217619114084e+03 
       3.013267399410e-04       1.302429949918e+03 
       3.228491865615e-04       1.391343071371e+03 
       3.455492088576e-04       1.484780959890e+03 
       3.695483575494e-04       1.583199852454e+03 
       3.949789163640e-04       1.687090895883e+03 
       4.219843271948e-04       1.796980416103e+03 
       4.507193653102e-04       1.913428956459e+03 
       4.813499602484e-04       2.037028665997e+03 
       5.140525396193e-04       2.168398563538e+03 
       5.490127597171e-04       2.308177203378e+03 
       5.864234841229e-04       2.457012233323e+03 
       6.264818863382e-04       2.615546506484e+03 
       6.693855925968e-04       2.784400583198e+03 
       7.153278528514e-04       2.964151738365e+03 
       7.644918338936e-04       3.155310178803e+03 
       8.170442633386e-04       3.358293504288e+03 
       8.731288006756e-04       3.573401247576e+03 
       9.328596442615e-04       3.800791595433e+03 
       9.963159659543e-04       4.040462712044e+03 
       1.063537764581e-03       4.292241005950e+03 
       1.134523626239e-03       4.555778077268e+03 
       1.209230679194e-03       4.830557151336e+03 
       1.287576767919e-03       5.115908807285e+03 
       1.369444599257e-03       5.411056373516e+03 
       1.454687391959e-03       5.715124850364e+03 
       1.543135431684e-03       6.027115399310e+03 
       1.634602912099e-03       6.346022466121e+03 
       1.728894515478e-03       6.670830463670e+03 
       1.825811320550e-03       7.000538150092e+03 
       1.925155782887e-03       7.334178264480e+03 
       2.026735681319e-03       7.670832475140e+03 
       2.130367042364e-03       8.009641675246e+03 
       2.235876135455e-03       8.349812309439e+03 
       2.343100676636e-03       8.690618983188e+03 
       2.451890394377e-03       9.031404339121e+03 
       2.562107107073e-03       9.371577920366e+03 
       2.673624445823e-03       9.710611622547e+03 
       2.786327334635e-03       1.004803707182e+04 
       2.900111317649e-03       1.038343962325e+04 
