# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854580574728e-10       7.806639904165e-15       5.603665712443e-13       4.801532469386e-15       8.287646974233e-09       4.688830736485e-10      -2.069962566653e-12 
    3       2.442143283592e-10       1.011670793023e-14       4.540119330482e-13       4.836400782299e-15       5.159906460208e-09       3.331015826300e-10      -1.657326592498e-12 
    4       2.251760990436e-10       9.681164646133e-15       3.881849326118e-13       4.206585881554e-15       3.594440284150e-09       2.522987184523e-10      -1.177729791736e-12 
    5       2.145226430331e-10       7.468221505136e-15       3.248965586993e-13       3.295429736118e-15       2.683665478884e-09       1.993533541905e-10      -7.494955693258e-13 
    6       2.075429920358e-10       4.911370147570e-15       2.623287584675e-13       2.391294571565e-15       2.095243194045e-09       1.622696309579e-10      -4.080046807452e-13 
    7       2.029857216742e-10       2.945504742153e-15       2.058540265036e-13       1.653091767417e-15       1.689058764837e-09       1.350148162190e-10      -1.621219194111e-13 
    8       2.000019916521e-10       1.814715028551e-15       1.590675220160e-13       1.133970702114e-15       1.395566659684e-09       1.143034687750e-10      -5.638293223594e-15 
    9       1.981575100849e-10       1.327153360743e-15       1.236136044947e-13       8.220849764821e-16       1.175639121040e-09       9.820430350705e-11       7.615543368436e-14 
   10       1.971287891178e-10       1.181520950275e-15       9.942007504191e-14       6.755209050740e-16       1.005622219958e-09       8.542172580860e-11       1.021533070683e-13 
   11       1.966095488853e-10       1.163891460571e-15       8.518470719471e-14       6.461125929804e-16       8.459586228310e-10       7.527626916117e-11       9.186925780847e-14 
