# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.03892e-05 to 100.018 h/Mpc,
# number of wavenumbers equal to 811
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.038922642939e-05       5.116730617822e+01      -5.522795691771e-09      -3.108391580541e-07      -3.957279053399e+00      -3.214931485258e+00      -8.529072670892e+00       5.457119236382e+00      -9.134398153279e-07 
       2.321812845909e-05       1.108985024619e+02      -5.978333050161e-08      -8.609246417152e+00      -3.961386392312e+00      -3.218272402728e+00      -8.537314881629e+00       5.462832394107e+00      -9.343764031778e-06 
       3.609173376214e-05       1.695112865511e+02      -2.208076545877e-07      -1.333560934610e+01      -3.963721646747e+00      -3.220128094544e+00      -8.541001868669e+00       5.465976199458e+00      -3.426067847010e-05 
       4.904439972694e-05       2.276638060394e+02      -5.476118785206e-07      -1.662269671027e+01      -3.965388307810e+00      -3.221424026427e+00      -8.542651089365e+00       5.468170675450e+00      -8.482159221998e-05 
       6.211104704304e-05       2.857256629209e+02      -1.102267459493e-06      -1.915522758581e+01      -3.966682665794e+00      -3.222414241124e+00      -8.542952722795e+00       5.469869889505e+00      -1.706694099902e-04 
       7.532746857735e-05       3.439709046701e+02      -1.951769411626e-06      -2.122415322487e+01      -3.967795212408e+00      -3.223232282536e+00      -8.542183207057e+00       5.471266912377e+00      -3.022198407192e-04 
       8.873064804492e-05       4.026319893173e+02      -3.169973652664e-06      -2.298059083041e+01      -3.968767681973e+00      -3.223924416738e+00      -8.540467675644e+00       5.472462164059e+00      -4.909611853620e-04 
       1.023590926816e-04       4.619217491468e+02      -4.839732489580e-06      -2.451322072613e+01      -3.969669330028e+00      -3.224535420128e+00      -8.537859448275e+00       5.473514724770e+00      -7.497858404114e-04 
       1.162531841578e-04       5.220446076647e+02      -7.055331845570e-06      -2.587858762074e+01      -3.970520450450e+00      -3.225084031045e+00      -8.534370617802e+00       5.474462428844e+00      -1.093369310813e-03 
       1.304555520066e-04       5.832033044899e+02      -9.925336974551e-06      -2.711500546144e+01      -3.971342754737e+00      -3.225585820762e+00      -8.529985494763e+00       5.475331087107e+00      -1.538613197550e-03 
       1.450114738458e-04       6.456035035419e+02      -1.357596767073e-05      -2.824966389484e+01      -3.972149152980e+00      -3.226050508560e+00      -8.524666820160e+00       5.476139204382e+00      -2.105170943014e-03 
       1.599693066204e-04       7.094573793362e+02      -1.815515076860e-05      -2.930260510956e+01      -3.972942375970e+00      -3.226482183766e+00      -8.518358509321e+00       5.476900622882e+00      -2.816079311047e-03 
       1.753809529236e-04       7.749865761217e+02      -2.383742263129e-05      -3.028903180314e+01      -3.973741547959e+00      -3.226890353422e+00      -8.510986400105e+00       5.477626059337e+00      -3.698522538465e-03 
       1.913023661048e-04       8.424249685736e+02      -3.082990835237e-05      -3.122080190427e+01      -3.974569684189e+00      -3.227285221258e+00      -8.502457843493e+00       5.478324104866e+00      -4.784764445536e-03 
       2.077940972509e-04       9.120211996213e+02      -3.937963851213e-05      -3.210733928660e+01      -3.975413687395e+00      -3.227661865603e+00      -8.492660320837e+00       5.479001839009e+00      -6.113289245047e-03 
       2.249218861034e-04       9.840412436207e+02      -4.978255423625e-05      -3.295629154533e+01      -3.976295734917e+00      -3.228028838988e+00      -8.481459361261e+00       5.479665273879e+00      -7.730205675256e-03 
       2.427572963948e-04       1.058770938281e+03      -6.239461467022e-05      -3.377396604840e+01      -3.977226758513e+00      -3.228389637019e+00      -8.468695721623e+00       5.480319654400e+00      -9.690979085020e-03 
       2.613783937365e-04       1.136518525949e+03      -7.764553367600e-05      -3.456563710379e+01      -3.978204889199e+00      -3.228742088159e+00      -8.454181836234e+00       5.480969671529e+00      -1.206257360911e-02 
       2.808704608154e-04       1.217617195773e+03      -9.605579874209e-05      -3.533576925846e+01      -3.979258234227e+00      -3.229095419866e+00      -8.437697485500e+00       5.481619617316e+00      -1.492610624975e-02 
       3.013267399410e-04       1.302427586220e+03      -1.182577784978e-04      -3.608818073412e+01      -3.980380020484e+00      -3.229444323604e+00      -8.418984603448e+00       5.482273500244e+00      -1.838013858420e-02 
       3.228491865615e-04       1.391340174212e+03      -1.450219092316e-04      -3.682616359819e+01      -3.981602067736e+00      -3.229798235192e+00      -8.397741122012e+00       5.482935123343e+00      -2.254476047115e-02 
       3.455492088576e-04       1.484777420395e+03      -1.772891634248e-04      -3.755257194508e+01      -3.982922348677e+00      -3.230152330173e+00      -8.373613750268e+00       5.483608136865e+00      -2.756665320898e-02 
       3.695483575494e-04       1.583195534219e+03      -2.162112492872e-04      -3.826988569649e+01      -3.984373990980e+00      -3.230514978961e+00      -8.346189578792e+00       5.484296058646e+00      -3.362535782839e-02 
