# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.434898518189e-10       5.120179877339e-15       3.941693235378e-13       0.000000000000e+00       8.285012666911e-09       4.688307933724e-10      -2.071254441887e-12 
    3       1.352896460953e-10       7.272963050692e-15       4.620913081950e-13       0.000000000000e+00       5.162901437943e-09       3.331625818027e-10      -1.658658226134e-12 
    4       1.274903569730e-10       7.071366650785e-15       4.487734609161e-13       0.000000000000e+00       3.600562801805e-09       2.524316342595e-10      -1.178665011414e-12 
    5       1.215462903859e-10       5.382209542245e-15       3.963858356439e-13       0.000000000000e+00       2.691258259214e-09       1.995298676620e-10      -7.499630424342e-13 
    6       1.173478736646e-10       3.407934395163e-15       3.302963604026e-13       0.000000000000e+00       2.103098655567e-09       1.624711798193e-10      -4.081125131506e-13 
    7       1.145504699578e-10       1.921982315032e-15       2.661615863030e-13       0.000000000000e+00       1.696701011464e-09       1.352315802586e-10      -1.620121967355e-13 
    8       1.127566468816e-10       1.102595493567e-15       2.121133152077e-13       0.000000000000e+00       1.403101799910e-09       1.145315889246e-10      -5.425685222545e-15 
    9       1.117773706653e-10       7.630678911171e-16       1.714817053492e-13       0.000000000000e+00       1.183229763863e-09       9.844159340550e-11       7.639807807309e-14 
   10       1.114307496652e-10       6.416369784850e-16       1.445257216117e-13       0.000000000000e+00       1.013196959791e-09       8.566568556060e-11       1.023899641147e-13 
   11       1.114933609895e-10       5.698216897801e-16       1.297185222148e-13       0.000000000000e+00       8.518091290367e-10       7.585973355897e-11       9.188532588145e-14 
   12       1.119381752788e-10       4.964610398172e-16       1.245069076746e-13       0.000000000000e+00       7.449453275082e-10       6.707329002143e-11       6.381732425148e-14 
   13       1.126539042869e-10       4.342800335956e-16       1.260355577012e-13       0.000000000000e+00       6.570776952310e-10       5.920638946361e-11       2.982548993326e-14 
   14       1.135827450003e-10       4.032077287564e-16       1.317082876139e-13       0.000000000000e+00       5.838776303232e-10       5.307655634692e-11      -1.163296734688e-15 
   15       1.147064676988e-10       4.061995315835e-16       1.394326717950e-13       0.000000000000e+00       5.222326578340e-10       4.858761717352e-11      -2.272741789670e-14 
   16       1.159499833787e-10       4.334474754830e-16       1.478764796450e-13       0.000000000000e+00       4.700507449739e-10       4.443708554796e-11      -3.316733873548e-14 
   17       1.173691955357e-10       4.752894381000e-16       1.562819025985e-13       0.000000000000e+00       4.253054335032e-10       4.020210909772e-11      -3.507115166240e-14 
   18       1.188748534231e-10       5.295664257960e-16       1.643074375083e-13       0.000000000000e+00       3.863281502584e-10       3.645522562241e-11      -3.191796559748e-14 
