# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585765252e-10       7.806876127145e-15       5.603665956812e-13       4.801768650766e-15       8.294880143867e-09       4.689784096834e-10      -2.069961132164e-12 
    3       2.442154056212e-10       1.011718038012e-14       4.540120282809e-13       4.836873278172e-15       5.165747076425e-09       3.331916267158e-10      -1.657325551232e-12 
    4       2.251779125160e-10       9.681952298079e-15       3.881849976858e-13       4.207373663814e-15       3.598981466287e-09       2.523807651830e-10      -1.177728738314e-12 
    5       2.145253645453e-10       7.469403518085e-15       3.248964841174e-13       3.296611935855e-15       2.687015833020e-09       1.994264482788e-10      -7.494944128513e-13 
    6       2.075467870419e-10       4.913025819953e-15       2.623285320514e-13       2.392950503802e-15       2.097366806209e-09       1.623327408121e-10      -4.080034954273e-13 
    7       2.029907582785e-10       2.947713816418e-15       2.058535746194e-13       1.655300946765e-15       1.690116870827e-09       1.350687236901e-10      -1.621207822690e-13 
    8       2.000084536550e-10       1.817557500780e-15       1.590667752733e-13       1.136812848457e-15       1.395928292172e-09       1.143503904016e-10      -5.637203576355e-15 
    9       1.981655472646e-10       1.330709212528e-15       1.236125089948e-13       8.256400102171e-16       1.175607725592e-09       9.824649297096e-11       7.615651081031e-14 
   10       1.971385610809e-10       1.185870257069e-15       9.941850642854e-14       6.798689319008e-16       1.005282999822e-09       8.545996078017e-11       1.021543513533e-13 
   11       1.966211877187e-10       1.169114343177e-15       8.518252364599e-14       6.513338786759e-16       8.466454372491e-10       7.532037177141e-11       9.187013488201e-14 
   12       1.965382944809e-10       1.193524296302e-15       7.874029779644e-14       6.980378846729e-16       7.397132647266e-10       6.669396128334e-11       6.312356871616e-14 
   13       1.967500182426e-10       1.249472993198e-15       7.762418568340e-14       7.892492984441e-16       6.519401623889e-10       5.943590828298e-11       2.907428612243e-14 
