# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.854585348297e-10       7.806894064348e-15       5.603665879931e-13       4.801786623790e-15       8.287922402572e-09       4.688862747512e-10      -2.069962620228e-12 
    3       2.442152951272e-10       1.011721636277e-14       4.540120228319e-13       4.836909224751e-15       5.160196716528e-09       3.331052022219e-10      -1.657326690719e-12 
    4       2.251776941568e-10       9.682012376739e-15       3.881850014795e-13       4.207433575911e-15       3.594724779485e-09       2.523024780211e-10      -1.177729771111e-12 
    5       2.145249826941e-10       7.469493657255e-15       3.248964880100e-13       3.296701806022e-15       2.683933165912e-09       1.993570647931e-10      -7.494954236080e-13 
    6       2.075462065467e-10       4.913151949844e-15       2.623285643643e-13       2.393076325225e-15       2.095485381944e-09       1.622732155227e-10      -4.080045396854e-13 
    7       2.029899679282e-10       2.947881658636e-15       2.058536531314e-13       1.655468713257e-15       1.689273721031e-09       1.350182766313e-10      -1.621218877248e-13 
    8       2.000074001781e-10       1.817772859311e-15       1.590668649556e-13       1.137028554381e-15       1.395759169415e-09       1.143067894922e-10      -5.638347184520e-15 
    9       1.981641842279e-10       1.330978064855e-15       1.236125959549e-13       8.259096503495e-16       1.175814355441e-09       9.820746793259e-11       7.615540644005e-14 
   10       1.971368560515e-10       1.186198664508e-15       9.941859571302e-14       6.801985012231e-16       1.005782054346e-09       8.542476737728e-11       1.021533947102e-13 
   11       1.966191177600e-10       1.169508492912e-15       8.518262324328e-14       6.517293721076e-16       8.460392977447e-10       7.527858107682e-11       9.186946303625e-14 
   12       1.965358361141e-10       1.193990360624e-15       7.874043779032e-14       6.985052967478e-16       7.391884000708e-10       6.665546638436e-11       6.312316105381e-14 
   13       1.967471134134e-10       1.250016628333e-15       7.762442609531e-14       7.897946229419e-16       6.514838293317e-10       5.940065007407e-11       2.907409966937e-14 
   14       1.971773819882e-10       1.346912362405e-15       7.954528165524e-14       9.054061948229e-16       5.785113555180e-10       5.331215061797e-11      -9.902530792701e-16 
   15       1.977973397193e-10       1.483618414110e-15       8.262935217242e-14       1.034142040366e-15       5.170960851638e-10       4.816699744519e-11      -2.218473855283e-14 
   16       1.985252600771e-10       1.649571934516e-15       8.570204628899e-14       1.170499555557e-15       4.648838608534e-10       4.373654356286e-11      -3.331100762468e-14 
   17       1.994134352848e-10       1.835857311695e-15       8.811856937436e-14       1.311705605566e-15       4.200960368252e-10       3.978880197759e-11      -3.583028136282e-14 
   18       2.003648972326e-10       2.040158973402e-15       8.961317071002e-14       1.457421137551e-15       3.812226025532e-10       3.635550017017e-11      -3.220160380838e-14 
   19       2.013968460303e-10       2.266396720204e-15       9.034923355918e-14       1.607429961551e-15       3.476493375066e-10       3.339111280714e-11      -2.498989632267e-14 
   20       2.024806010578e-10       2.519849405353e-15       9.065361390947e-14       1.761493378623e-15       3.180811234464e-10       3.072587867888e-11      -1.731420898320e-14 
   21       2.036270331859e-10       2.802260125053e-15       9.077263860658e-14       1.919510866896e-15       2.920533598068e-10       2.835045604859e-11      -1.085701510860e-14 
   22       2.048046989397e-10       3.113506611977e-15       9.090433417597e-14       2.081497502007e-15       2.689433789434e-10       2.626681365547e-11      -6.763949695371e-15 
   23       2.060323503840e-10       3.452379281189e-15       9.103562507613e-14       2.247355040991e-15       2.484330345246e-10       2.443694774792e-11      -5.096120520137e-15 
   24       2.073034304985e-10       3.817075279364e-15       9.103552246201e-14       2.416976427407e-15       2.300476298859e-10       2.278419048584e-11      -5.393520568239e-15 
   25       2.086145137507e-10       4.207630345546e-15       9.069892600247e-14       2.590169292036e-15       2.135709115291e-10       2.126966288394e-11      -7.062728857223e-15 
   26       2.099374395642e-10       4.624525440681e-15       8.975788907355e-14       2.766721040221e-15       1.987048888102e-10       1.985857642159e-11      -9.331620792184e-15 
   27       2.112828100084e-10       5.068131432014e-15       8.796607052821e-14       2.946375734588e-15       1.852715645744e-10       1.856838843026e-11      -1.148157721044e-14 
   28       2.126542639350e-10       5.538800886916e-15       8.508022868148e-14       3.128875642839e-15       1.730396372189e-10       1.742044347386e-11      -1.283737955894e-14 
   29       2.140651825123e-10       6.037370993357e-15       8.098035930764e-14       3.314001080993e-15       1.619463959163e-10       1.640252992355e-11      -1.332143242780e-14 
   30       2.155076763260e-10       6.564851896191e-15       7.558294274041e-14       3.501557775652e-15       1.518722027864e-10       1.547710207474e-11      -1.308464498108e-14 
   31       2.169546613293e-10       7.122301702848e-15       6.882735210793e-14       3.691356544681e-15       1.426110444261e-10       1.459935274839e-11      -1.233436578235e-14 
   32       2.184173786585e-10       7.710839391479e-15       6.075460174656e-14       3.883158432322e-15       1.341151897312e-10       1.377125223766e-11      -1.126057702059e-14 
   33       2.199046090001e-10       8.331641498924e-15       5.146185756083e-14       4.076709389184e-15       1.263248908315e-10       1.300641265555e-11      -1.009062109789e-14 
   34       2.214112633702e-10       8.985826022734e-15       4.105119297329e-14       4.271759504784e-15       1.191314528356e-10       1.231304380653e-11      -9.066156488218e-15 
   35       2.229388582598e-10       9.674050961365e-15       2.951270087390e-14       4.468081142125e-15       1.124980353251e-10       1.168469274347e-11      -8.281178960214e-15 
   36       2.244788658929e-10       1.039676567129e-14       1.680088851783e-14       4.665457527753e-15       1.063712689396e-10       1.110523654872e-11      -7.789074340038e-15 
   37       2.260156478667e-10       1.115436360421e-14       2.867732316077e-15       4.863668042938e-15       1.006712574809e-10       1.055644419979e-11      -7.621429967868e-15 
   38       2.275612301419e-10       1.194737288368e-14      -1.232746160104e-14       5.062452921556e-15       9.538325472289e-11       1.003785125668e-11      -7.706658238738e-15 
   39       2.291299141777e-10       1.277631951491e-14      -2.882540424446e-14       5.261536520698e-15       9.049050486793e-11       9.552866178207e-12      -7.922038959880e-15 
   40       2.307277658313e-10       1.364167154841e-14      -4.666991544755e-14       5.460636106979e-15       8.594636123321e-11       9.103227131327e-12      -8.112768914677e-15 
   41       2.323541981249e-10       1.454387579096e-14      -6.590697543366e-14       5.659468912817e-15       8.169053745189e-11       8.688792596655e-12      -8.132954001087e-15 
   42       2.340096003527e-10       1.548349133569e-14      -8.658065797241e-14       5.857777313864e-15       7.771049179403e-11       8.307249802665e-12      -7.989745718376e-15 
   43       2.356886093340e-10       1.646109318231e-14      -1.087364686260e-13       6.055310975300e-15       7.399563677597e-11       7.954018286849e-12      -7.742547415665e-15 
   44       2.373770472511e-10       1.747723456986e-14      -1.324227919475e-13       6.251819987040e-15       7.051891812513e-11       7.622103627032e-12      -7.464768716713e-15 
   45       2.390590397727e-10       1.853237931728e-14      -1.576795340758e-13       6.447050603854e-15       6.724647540865e-11       7.304160601449e-12      -7.228711363701e-15 
   46       2.407427163755e-10       1.962667707852e-14      -1.844993874195e-13       6.640730943345e-15       6.417315680796e-11       6.999834141607e-12      -7.052857588554e-15 
   47       2.424408880872e-10       2.076011919824e-14      -2.128554289429e-13       6.832581014902e-15       6.129539220342e-11       6.710312786376e-12      -6.940252934569e-15 
   48       2.441635239347e-10       2.193259482656e-14      -2.427113349372e-13       7.022316372428e-15       5.860048226299e-11       6.436233253078e-12      -6.893016687822e-15 
