# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.415282580267e-10       5.918823674217e-15       4.272866733741e-13       0.000000000000e+00       8.509235053571e-09       4.559979651508e-10      -2.223935838334e-12 
    3       1.337498870841e-10       9.229600022136e-15       5.178770768239e-13       0.000000000000e+00       5.224681450374e-09       3.250434738946e-10      -1.874099658467e-12 
    4       1.260985658665e-10       9.912931743023e-15       5.195274360389e-13       0.000000000000e+00       3.635568989893e-09       2.472117586159e-10      -1.420689916529e-12 
    5       1.201177391574e-10       8.395586532578e-15       4.733007724508e-13       0.000000000000e+00       2.716135435421e-09       1.958934691205e-10      -9.881742139652e-13 
    6       1.157909245911e-10       5.918813254673e-15       4.060154594865e-13       0.000000000000e+00       2.123255981107e-09       1.597595868195e-10      -6.176256428107e-13 
    7       1.128448383804e-10       3.617797398118e-15       3.351515266623e-13       0.000000000000e+00       1.714022489233e-09       1.331788530714e-10      -3.258539096835e-13 
    8       1.109255040205e-10       2.058448043927e-15       2.706308132032e-13       0.000000000000e+00       1.417126265983e-09       1.129246824861e-10      -1.157511131768e-13 
    9       1.098150049284e-10       1.261221827491e-15       2.176340332147e-13       0.000000000000e+00       1.193370369363e-09       9.702843199229e-11       1.874462133325e-14 
   10       1.093175488608e-10       9.590486904778e-16       1.782698293058e-13       0.000000000000e+00       1.019841790297e-09       8.432270767393e-11       8.958150217210e-14 
   11       1.092947623422e-10       8.597072841325e-16       1.525239539838e-13       0.000000000000e+00       8.565541420738e-10       7.435052828092e-11       1.115309696108e-13 
   12       1.096848403855e-10       7.875931615690e-16       1.387448764262e-13       0.000000000000e+00       7.484166499669e-10       6.582647398855e-11       1.012331027407e-13 
   13       1.103419176385e-10       6.960131146054e-16       1.344234145960e-13       0.000000000000e+00       6.596499742470e-10       5.878189937392e-11       7.278107185652e-14 
   14       1.111869096741e-10       6.089747848151e-16       1.368592806597e-13       0.000000000000e+00       5.857928198864e-10       5.267074801924e-11       3.760390855277e-14 
   15       1.122351962013e-10       5.587666590426e-16       1.434543353428e-13       0.000000000000e+00       5.236277906390e-10       4.754982018687e-11       4.579001964328e-15 
   16       1.134853630628e-10       5.549077970099e-16       1.520240348133e-13       0.000000000000e+00       4.707754503172e-10       4.322667900841e-11      -2.115101060587e-14 
   17       1.148000572155e-10       5.854152791139e-16       1.610686060917e-13       0.000000000000e+00       4.254384248282e-10       3.949943100587e-11      -3.736166678091e-14 
   18       1.162336992325e-10       6.319142498666e-16       1.696305494845e-13       0.000000000000e+00       3.860874810491e-10       3.614073752714e-11      -4.431203879883e-14 
   19       1.177973213638e-10       6.889580674936e-16       1.774194481532e-13       0.000000000000e+00       3.521015769557e-10       3.314534032752e-11      -4.350124630044e-14 
   20       1.194116275098e-10       7.558608625357e-16       1.843738500698e-13       0.000000000000e+00       3.221684019951e-10       3.051510226124e-11      -3.755364082781e-14 
   21       1.210909795533e-10       8.400197661569e-16       1.907931679582e-13       0.000000000000e+00       2.958179801514e-10       2.821650411620e-11      -2.883397268964e-14 
   22       1.228462395714e-10       9.512516669722e-16       1.971277832652e-13       0.000000000000e+00       2.724208526477e-10       2.616383328376e-11      -1.993868028899e-14 
   23       1.246628375628e-10       1.091960738477e-15       2.036149058848e-13       0.000000000000e+00       2.516551955390e-10       2.431493964288e-11      -1.240902220766e-14 
   24       1.265015529832e-10       1.261269468104e-15       2.104065489716e-13       0.000000000000e+00       2.330404991632e-10       2.262321050654e-11      -7.388009156229e-15 
   25       1.283815339577e-10       1.457239351773e-15       2.175379819390e-13       0.000000000000e+00       2.163580083081e-10       2.109108325699e-11      -5.057890696323e-15 
   26       1.303218287904e-10       1.677219104364e-15       2.249425470989e-13       0.000000000000e+00       2.013061622798e-10       1.971980687935e-11      -5.100958173163e-15 
   27       1.323104235815e-10       1.920559295374e-15       2.323571876943e-13       0.000000000000e+00       1.877044277017e-10       1.849083443947e-11      -6.780170305444e-15 
   28       1.343179379881e-10       2.187058439509e-15       2.394190306718e-13       0.000000000000e+00       1.753182211803e-10       1.737091612801e-11      -9.146744447528e-15 
   29       1.363517945418e-10       2.476867723883e-15       2.458505790685e-13       0.000000000000e+00       1.640842662676e-10       1.634982218372e-11      -1.167379512676e-14 
   30       1.384204361094e-10       2.790080629387e-15       2.513537223474e-13       0.000000000000e+00       1.538819143540e-10       1.541380101807e-11      -1.387118146977e-14 
   31       1.405220056379e-10       3.126816180871e-15       2.556219329477e-13       0.000000000000e+00       1.445030478193e-10       1.454171429136e-11      -1.524246361282e-14 
   32       1.426590145091e-10       3.488132020328e-15       2.585439812083e-13       0.000000000000e+00       1.358993000157e-10       1.373201235291e-11      -1.570694674485e-14 
   33       1.448265130441e-10       3.875462632901e-15       2.600765809948e-13       0.000000000000e+00       1.280099313870e-10       1.298437082377e-11      -1.533827662352e-14 
   34       1.470134898521e-10       4.290362254946e-15       2.602033223955e-13       0.000000000000e+00       1.207246393488e-10       1.229397495524e-11      -1.427390705898e-14 
   35       1.492259856615e-10       4.734390026281e-15       2.589697410815e-13       0.000000000000e+00       1.140061503229e-10       1.165828382234e-11      -1.276381431530e-14 
   36       1.514704522927e-10       5.209200240936e-15       2.564641969721e-13       0.000000000000e+00       1.078005472943e-10       1.107171803545e-11      -1.114798898617e-14 
   37       1.537481842106e-10       5.716376595206e-15       2.527794004459e-13       0.000000000000e+00       1.020270481456e-10       1.052604628444e-11      -9.771455784240e-15 
   38       1.560597706184e-10       6.256730980779e-15       2.479038108651e-13       0.000000000000e+00       9.667073974090e-11       1.001949625405e-11      -8.717034263729e-15 
   39       1.584009199352e-10       6.830767919183e-15       2.417954544253e-13       0.000000000000e+00       9.171463740267e-11       9.550080133168e-12      -7.986641252886e-15 
   40       1.607604177744e-10       7.438860747823e-15       2.344106320038e-13       0.000000000000e+00       8.711147719614e-11       9.112823656143e-12      -7.571674569376e-15 
   41       1.631254871678e-10       8.081317906026e-15       2.257011126502e-13       0.000000000000e+00       8.280018548501e-11       8.701483987364e-12      -7.444932378514e-15 
   42       1.655015636561e-10       8.758629451645e-15       2.156053154488e-13       0.000000000000e+00       7.876808521369e-11       8.314998925236e-12      -7.535419677595e-15 
   43       1.678978403247e-10       9.471285595781e-15       2.040537668088e-13       0.000000000000e+00       7.500449413241e-11       7.952700946699e-12      -7.743791619267e-15 
   44       1.703215542167e-10       1.021970453183e-14       1.909709122193e-13       0.000000000000e+00       7.148205841331e-11       7.612400390073e-12      -7.947419348694e-15 
   45       1.727775146782e-10       1.100426631311e-14       1.762846183614e-13       0.000000000000e+00       6.816652721888e-11       7.291239240327e-12      -8.029349336851e-15 
   46       1.752671101188e-10       1.182543562821e-14       1.599591573269e-13       0.000000000000e+00       6.505268885523e-11       6.988847213068e-12      -7.978823137212e-15 
   47       1.777885785139e-10       1.268366918710e-14       1.419712963338e-13       0.000000000000e+00       6.213692034563e-11       6.704919627483e-12      -7.818414279044e-15 
   48       1.803369467290e-10       1.357937955261e-14       1.223012973273e-13       0.000000000000e+00       5.940634821544e-11       6.438257116204e-12      -7.576602213783e-15 
   49       1.829037674557e-10       1.451293346618e-14       1.009330281761e-13       0.000000000000e+00       5.683816057281e-11       6.186698679957e-12      -7.288113349397e-15 
   50       1.854804790711e-10       1.548461365599e-14       7.785730624842e-14       0.000000000000e+00       5.440647803385e-11       5.947787967774e-12      -6.989926421159e-15 
   51       1.880701706748e-10       1.649449592383e-14       5.308274110492e-14       0.000000000000e+00       5.210676116699e-11       5.721140640523e-12      -6.707219122880e-15 
   52       1.906785558173e-10       1.754253580087e-14       2.662802714259e-14       0.000000000000e+00       4.993683906282e-11       5.506603882303e-12      -6.464196346389e-15 
   53       1.933105383142e-10       1.862859883728e-14      -1.480774489977e-15       0.000000000000e+00       4.788960520275e-11       5.303547667076e-12      -6.288226196741e-15 
   54       1.959701196736e-10       1.975245720953e-14      -3.120997258378e-14       0.000000000000e+00       4.595268524999e-11       5.110832318049e-12      -6.209976995347e-15 
   55       1.986602485091e-10       2.091385696215e-14      -6.253001111414e-14       0.000000000000e+00       4.411221272940e-11       4.927170757260e-12      -6.254266700883e-15 
