# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.426951104527e-10       3.283996339657e-15       1.324455638494e-13       5.557144452709e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.084123795360e-10       3.842085484942e-15      -5.508912338770e-14       5.966139432352e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.688920471132e-11       3.835565830887e-15      -1.124951395359e-13       5.524782949593e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.188941798438e-11       3.329184706307e-15      -1.222231780769e-13       4.605337280424e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       8.885760487207e-11       2.590098516276e-15      -1.135992974126e-13       3.545375625589e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.688969446291e-11       1.856016482362e-15      -9.890427714442e-14       2.572890901429e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.553274743264e-11       1.271719803914e-15      -8.419532720426e-14       1.802606132000e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.454093388901e-11       8.890798999911e-16      -7.207969925836e-14       1.264440978911e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.376893453408e-11       6.949584235392e-16      -6.335054959941e-14       9.377362323642e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.312803358784e-11       6.446780578165e-16      -5.791444438202e-14       7.791219912235e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.256372229760e-11       6.882377974053e-16      -5.531336531712e-14       7.410311532670e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.204136374279e-11       7.844116953547e-16      -5.501780718651e-14       7.824767830554e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.153800129096e-11       9.064649115848e-16      -5.654991698389e-14       8.720723999527e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.103842225645e-11       1.039927958645e-15      -5.951225626591e-14       9.888457747837e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.053289751060e-11       1.178461441040e-15      -6.360847902057e-14       1.120511898538e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.001546903703e-11       1.321162092814e-15      -6.861600268489e-14       1.259803810100e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       7.947689793997e-11       1.468036057301e-15      -7.435725494425e-14       1.403927333115e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       7.893318976766e-11       1.619435621568e-15      -8.073972534486e-14       1.551859122480e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       7.836480345459e-11       1.775992371453e-15      -8.765300012478e-14       1.702923770282e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       7.778175042148e-11       1.937600170438e-15      -9.503807925799e-14       1.857028135349e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       7.717861940620e-11       2.103930195731e-15      -1.028361691540e-13       2.014380752680e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       7.656265761178e-11       2.274702673686e-15      -1.110053965915e-13       2.174947132217e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       7.592798739541e-11       2.449674463230e-15      -1.194999926374e-13       2.338672590395e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       7.528046234314e-11       2.628639671730e-15      -1.282817695368e-13       2.505439953325e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       7.461698010883e-11       2.811487484247e-15      -1.373109059430e-13       2.675134784292e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       7.394000269314e-11       2.998405637673e-15      -1.465595317208e-13       2.847565200264e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       7.324569303966e-11       3.189682860415e-15      -1.560011020653e-13       3.022535188430e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       7.254175060100e-11       3.385317233903e-15      -1.656105554882e-13       3.199871847560e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       7.182907783019e-11       3.585224625429e-15      -1.753607572079e-13       3.379431831300e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       7.109976288028e-11       3.789299061302e-15      -1.852231657369e-13       3.561081628362e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       7.035888453491e-11       3.997321212112e-15      -1.951756666328e-13       3.744615898720e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   33       6.960867028735e-11       4.209010603707e-15      -2.051975799540e-13       3.929809274432e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
